metric,t-stat,p-val,model_1,model_2,p-val-corrected,significance,significant
test_r2,-0.38052194145107854,0.7052026770054831,Linear Regression,Ridge Regression,1.0,ns,False
test_r2,0.9017823605685912,0.3715839130538865,Linear Regression,SVM-linear,1.0,ns,False
test_r2,1.1018493040932074,0.2759100838549839,Linear Regression,SVM-rbf,1.0,ns,False
test_r2,0.6636423641699069,0.5100297596443127,Linear Regression,Random Forest,1.0,ns,False
test_r2,0.25618837585887516,0.7987611976586702,Linear Regression,XGBoost,1.0,ns,False
test_r2,0.13167709381570641,0.8957202182004811,Linear Regression,AutoGluon,1.0,ns,False
test_r2,0.9037641043772464,0.3705423857303367,Ridge Regression,SVM-linear,1.0,ns,False
test_r2,1.1032562400917572,0.2753048412613953,Ridge Regression,SVM-rbf,1.0,ns,False
test_r2,0.6647075599724206,0.5093539155645626,Ridge Regression,Random Forest,1.0,ns,False
test_r2,0.2569618280458346,0.798167106091239,Ridge Regression,XGBoost,1.0,ns,False
test_r2,0.13243708806058452,0.8951219150223301,Ridge Regression,AutoGluon,1.0,ns,False
test_r2,0.7719602604090731,0.44384525597457336,SVM-linear,SVM-rbf,1.0,ns,False
test_r2,0.1357276982001344,0.8925926192900042,SVM-linear,Random Forest,1.0,ns,False
test_r2,-0.051394366254319174,0.9591974795132796,SVM-linear,XGBoost,1.0,ns,False
test_r2,-0.18668498905205314,0.8525945397218446,SVM-linear,AutoGluon,1.0,ns,False
test_r2,-0.11747465609952691,0.9069641419512889,SVM-rbf,Random Forest,1.0,ns,False
test_r2,-0.19710534733470036,0.8444716978934544,SVM-rbf,XGBoost,1.0,ns,False
test_r2,-0.3372977839860971,0.7371762970856828,SVM-rbf,AutoGluon,1.0,ns,False
test_r2,-0.17986079310871142,0.8579228888127818,Random Forest,XGBoost,1.0,ns,False
test_r2,-0.31387799829646873,0.7548011238166701,Random Forest,AutoGluon,1.0,ns,False
test_r2,-0.30290182645835534,0.7632469179311685,XGBoost,AutoGluon,1.0,ns,False
test_r_corr,-0.023528930598744245,0.9813239198964087,Linear Regression,Ridge Regression,1.0,ns,False
test_r_corr,0.24359096874440772,0.8085645939543735,Linear Regression,SVM-linear,1.0,ns,False
test_r_corr,0.6886755977027437,0.4942753811392684,Linear Regression,SVM-rbf,1.0,ns,False
test_r_corr,0.6214196693742626,0.5372039855387256,Linear Regression,Random Forest,1.0,ns,False
test_r_corr,0.4617990639203336,0.6460468576353846,Linear Regression,XGBoost,1.0,ns,False
test_r_corr,0.31919065893703685,0.7507911139356784,Linear Regression,AutoGluon,1.0,ns,False
test_r_corr,0.2431239872478578,0.8089242683213514,Ridge Regression,SVM-linear,1.0,ns,False
test_r_corr,0.6885178027628501,0.49437384062888945,Ridge Regression,SVM-rbf,1.0,ns,False
test_r_corr,0.621559783342468,0.5371125833255932,Ridge Regression,Random Forest,1.0,ns,False
test_r_corr,0.4617901686163405,0.6460531973329318,Ridge Regression,XGBoost,1.0,ns,False
test_r_corr,0.3191942928401243,0.7507883734077092,Ridge Regression,AutoGluon,1.0,ns,False
test_r_corr,0.6220543122769698,0.5367900458008937,SVM-linear,SVM-rbf,1.0,ns,False
test_r_corr,0.5358117669913948,0.594512593543419,SVM-linear,Random Forest,1.0,ns,False
test_r_corr,0.4255251268869541,0.672114381973919,SVM-linear,XGBoost,1.0,ns,False
test_r_corr,0.28199064979921545,0.7790090661746685,SVM-linear,AutoGluon,1.0,ns,False
test_r_corr,0.35469132461035774,0.7243428965825869,SVM-rbf,Random Forest,1.0,ns,False
test_r_corr,0.3168612784660127,0.7525484923212435,SVM-rbf,XGBoost,1.0,ns,False
test_r_corr,0.17990398259996224,0.8578891451544948,SVM-rbf,AutoGluon,1.0,ns,False
test_r_corr,0.08738236315728624,0.9306849617444091,Random Forest,XGBoost,1.0,ns,False
test_r_corr,-0.050414676907042,0.959974587850115,Random Forest,AutoGluon,1.0,ns,False
test_r_corr,-0.35792745259798264,0.7219349021145793,XGBoost,AutoGluon,1.0,ns,False
test_spearmanr,0.12373182716418175,0.9020337740569264,Linear Regression,Ridge Regression,1.0,ns,False
test_spearmanr,0.6923111513217646,0.4920098974936389,Linear Regression,SVM-linear,1.0,ns,False
test_spearmanr,0.860279055281518,0.3938250214302421,Linear Regression,SVM-rbf,1.0,ns,False
test_spearmanr,0.8590541187637001,0.3944938394249633,Linear Regression,Random Forest,1.0,ns,False
test_spearmanr,0.37162201831437336,0.7116021579459524,Linear Regression,XGBoost,1.0,ns,False
test_spearmanr,0.29807956340492486,0.7667656089224288,Linear Regression,AutoGluon,1.0,ns,False
test_spearmanr,0.688735264425705,0.49423815364292834,Ridge Regression,SVM-linear,1.0,ns,False
test_spearmanr,0.8580683013625447,0.39503261195757033,Ridge Regression,SVM-rbf,1.0,ns,False
test_spearmanr,0.8579264012079171,0.39511020148888143,Ridge Regression,Random Forest,1.0,ns,False
test_spearmanr,0.3710019626172998,0.7120613051575095,Ridge Regression,XGBoost,1.0,ns,False
test_spearmanr,0.2974124695381312,0.7672720957151464,Ridge Regression,AutoGluon,1.0,ns,False
test_spearmanr,0.5822002477309492,0.5631011933646188,SVM-linear,SVM-rbf,1.0,ns,False
test_spearmanr,0.6774962414101482,0.5012776557516601,SVM-linear,Random Forest,1.0,ns,False
test_spearmanr,0.2891633918688859,0.7735435328781509,SVM-linear,XGBoost,1.0,ns,False
test_spearmanr,0.21083183828788954,0.833797689971448,SVM-linear,AutoGluon,1.0,ns,False
test_spearmanr,0.4684747131993635,0.6415225729065421,SVM-rbf,Random Forest,1.0,ns,False
test_spearmanr,0.17215271895385076,0.8639493682938247,SVM-rbf,XGBoost,1.0,ns,False
test_spearmanr,0.09367236165335421,0.9257098351404599,SVM-rbf,AutoGluon,1.0,ns,False
test_spearmanr,-0.12579177516032053,0.9003554546890318,Random Forest,XGBoost,1.0,ns,False
test_spearmanr,-0.23456610674622147,0.8154165737930852,Random Forest,AutoGluon,1.0,ns,False
test_spearmanr,-0.13838860128932198,0.8905004741478639,XGBoost,AutoGluon,1.0,ns,False
