metric,t-stat,p-val,model_1,model_2,p-val-corrected,significance
test_r2,-0.38052194145107854,0.7052026770054831,Linear Regression,Ridge Regression,1.0,ns
test_r2,0.9017823605685912,0.3715839130538865,Linear Regression,SVM-linear,1.0,ns
test_r2,1.1018493040932074,0.2759100838549839,Linear Regression,SVM-rbf,1.0,ns
test_r2,0.6636423641699069,0.5100297596443127,Linear Regression,Random Forest,1.0,ns
test_r2,0.25618837585887516,0.7987611976586702,Linear Regression,XGBoost,1.0,ns
test_r2,0.13167709381570641,0.8957202182004811,Linear Regression,AutoGluon,1.0,ns
test_r2,0.9037641043772464,0.3705423857303367,Ridge Regression,SVM-linear,1.0,ns
test_r2,1.1032562400917572,0.2753048412613953,Ridge Regression,SVM-rbf,1.0,ns
test_r2,0.6647075599724206,0.5093539155645626,Ridge Regression,Random Forest,1.0,ns
test_r2,0.2569618280458346,0.798167106091239,Ridge Regression,XGBoost,1.0,ns
test_r2,0.13243708806058452,0.8951219150223301,Ridge Regression,AutoGluon,1.0,ns
test_r2,0.7719602604090731,0.44384525597457336,SVM-linear,SVM-rbf,1.0,ns
test_r2,0.1357276982001344,0.8925926192900042,SVM-linear,Random Forest,1.0,ns
test_r2,-0.051394366254319174,0.9591974795132796,SVM-linear,XGBoost,1.0,ns
test_r2,-0.18668498905205314,0.8525945397218446,SVM-linear,AutoGluon,1.0,ns
test_r2,-0.11747465609952691,0.9069641419512889,SVM-rbf,Random Forest,1.0,ns
test_r2,-0.19710534733470036,0.8444716978934544,SVM-rbf,XGBoost,1.0,ns
test_r2,-0.3372977839860971,0.7371762970856828,SVM-rbf,AutoGluon,1.0,ns
test_r2,-0.17986079310871142,0.8579228888127818,Random Forest,XGBoost,1.0,ns
test_r2,-0.31387799829646873,0.7548011238166701,Random Forest,AutoGluon,1.0,ns
test_r2,-0.30290182645835534,0.7632469179311685,XGBoost,AutoGluon,1.0,ns
train_r2,19.18458423500997,1.976420664288429e-24,Linear Regression,Ridge Regression,4.1504833950057006e-23,****
train_r2,8.107429000482139,1.3095511304522615e-10,Linear Regression,SVM-linear,2.750057373949749e-09,****
train_r2,0.7739499122978925,0.44267866745448115,Linear Regression,SVM-rbf,1.0,ns
train_r2,-23.085516044280673,5.536244982832153e-28,Linear Regression,Random Forest,1.162611446394752e-26,****
train_r2,23.9076484438609,9.82215333280462e-31,Linear Regression,XGBoost,2.06265219988897e-29,****
train_r2,23.9076484438609,9.82215333280462e-31,Linear Regression,AutoGluon,2.06265219988897e-29,****
train_r2,8.107178544113102,1.3107034887022416e-10,Ridge Regression,SVM-linear,2.7524773262747072e-09,****
train_r2,0.7739040262471122,0.4427055513505048,Ridge Regression,SVM-rbf,1.0,ns
train_r2,-23.085557881942936,5.535793957468253e-28,Ridge Regression,Random Forest,1.1625167310683331e-26,****
train_r2,23.907647764796202,9.822167353657291e-31,Ridge Regression,XGBoost,2.0626551442680312e-29,****
train_r2,23.907647764796202,9.822167353657291e-31,Ridge Regression,AutoGluon,2.0626551442680312e-29,****
train_r2,-0.8904619458214824,0.3775693129463584,SVM-linear,SVM-rbf,1.0,ns
train_r2,-23.417593881905713,2.9110484896068293e-28,SVM-linear,Random Forest,6.113201828174341e-27,****
train_r2,20.42319489932023,2.3963306413518957e-27,SVM-linear,XGBoost,5.032294346838981e-26,****
train_r2,20.42319489932023,2.3963306413518957e-27,SVM-linear,AutoGluon,5.032294346838981e-26,****
train_r2,-19.17586286119026,2.0157681361399832e-24,SVM-rbf,Random Forest,4.233113085893965e-23,****
train_r2,13.950095175765162,1.0404167780575235e-19,SVM-rbf,XGBoost,2.1848752339207995e-18,****
train_r2,13.950095175765162,1.0404167780575235e-19,SVM-rbf,AutoGluon,2.1848752339207995e-18,****
train_r2,29.814784719633458,1.234779819202281e-35,Random Forest,XGBoost,2.59303762032479e-34,****
train_r2,29.814784719633458,1.234779819202281e-35,Random Forest,AutoGluon,2.59303762032479e-34,****
train_r2,,,XGBoost,AutoGluon,,ns
test_neg_mean_absolute_error,0.03140316808166864,0.9750755801232738,Linear Regression,Ridge Regression,1.0,ns
test_neg_mean_absolute_error,-0.6216974350074408,0.5370227952235556,Linear Regression,SVM-linear,1.0,ns
test_neg_mean_absolute_error,-0.31843227316175554,0.7515103813649319,Linear Regression,SVM-rbf,1.0,ns
test_neg_mean_absolute_error,-0.3221348718461085,0.7487208920545236,Linear Regression,Random Forest,1.0,ns
test_neg_mean_absolute_error,-62.41813119973323,9.62015561318583e-53,Linear Regression,XGBoost,2.0202326787690244e-51,****
test_neg_mean_absolute_error,-0.03624993107457976,0.971214322541661,Linear Regression,AutoGluon,1.0,ns
test_neg_mean_absolute_error,-0.6215276294421148,0.5371335579498128,Ridge Regression,SVM-linear,1.0,ns
test_neg_mean_absolute_error,-0.3184604763879958,0.7514891207142435,Ridge Regression,SVM-rbf,1.0,ns
test_neg_mean_absolute_error,-0.32247412993675395,0.7484654682595941,Ridge Regression,Random Forest,1.0,ns
test_neg_mean_absolute_error,-62.43666608617282,9.466450637212656e-53,Ridge Regression,XGBoost,1.9879546338146577e-51,****
test_neg_mean_absolute_error,-0.036223647026246475,0.9712351851230305,Ridge Regression,AutoGluon,1.0,ns
test_neg_mean_absolute_error,0.43766679973355893,0.6635510199013613,SVM-linear,SVM-rbf,1.0,ns
test_neg_mean_absolute_error,0.0543516879074061,0.9568759717864361,SVM-linear,Random Forest,1.0,ns
test_neg_mean_absolute_error,-60.24481301671373,6.572058990098624e-52,SVM-linear,XGBoost,1.380132387920711e-50,****
test_neg_mean_absolute_error,0.0703248453496253,0.9441901904595211,SVM-linear,AutoGluon,1.0,ns
test_neg_mean_absolute_error,-0.06674247013790399,0.947058310121777,SVM-rbf,Random Forest,1.0,ns
test_neg_mean_absolute_error,-60.28878439223652,6.317266620804169e-52,SVM-rbf,XGBoost,1.3266259903688755e-50,****
test_neg_mean_absolute_error,0.027141247102827008,0.9784453181716433,SVM-rbf,AutoGluon,1.0,ns
test_neg_mean_absolute_error,-65.33617148534981,8.055533272284608e-54,Random Forest,XGBoost,1.6916619871797675e-52,****
test_neg_mean_absolute_error,0.048635416521140694,0.9613860306432764,Random Forest,AutoGluon,1.0,ns
test_neg_mean_absolute_error,41.383932864982306,8.818670715879371e-40,XGBoost,AutoGluon,1.851920850334668e-38,****
train_neg_mean_absolute_error,1.9887085693550164,0.052332961231826125,Linear Regression,Ridge Regression,1.0,ns
train_neg_mean_absolute_error,-7.6820991973620725,5.86884346970621e-10,Linear Regression,SVM-linear,1.232457128638304e-08,****
train_neg_mean_absolute_error,-2.320472536494007,0.024521560968279392,Linear Regression,SVM-rbf,0.5149527803338673,ns
train_neg_mean_absolute_error,-21.44663366074404,1.4852510934343118e-26,Linear Regression,Random Forest,3.119027296212055e-25,****
train_neg_mean_absolute_error,-163.1110583219849,1.5098717258950447e-75,Linear Regression,XGBoost,3.170730624379594e-74,****
train_neg_mean_absolute_error,-163.1110583219849,1.5098717258950447e-75,Linear Regression,AutoGluon,3.170730624379594e-74,****
train_neg_mean_absolute_error,-7.701174078362162,5.485686332981774e-10,Ridge Regression,SVM-linear,1.1519941299261726e-08,****
train_neg_mean_absolute_error,-2.321997635644597,0.02443236996894528,Ridge Regression,SVM-rbf,0.5130797693478509,ns
train_neg_mean_absolute_error,-21.45194366927553,1.469023877230308e-26,Ridge Regression,Random Forest,3.084950142183647e-25,****
train_neg_mean_absolute_error,-163.12153811941025,1.504556623057225e-75,Ridge Regression,XGBoost,3.1595689084201722e-74,****
train_neg_mean_absolute_error,-163.12153811941025,1.504556623057225e-75,Ridge Regression,AutoGluon,3.1595689084201722e-74,****
train_neg_mean_absolute_error,-1.0740042763267232,0.28808133532254676,SVM-linear,SVM-rbf,1.0,ns
train_neg_mean_absolute_error,-20.632274955037666,8.223361161134174e-26,SVM-linear,Random Forest,1.7269058438381765e-24,****
train_neg_mean_absolute_error,-164.9637601544559,8.122653739846307e-76,SVM-linear,XGBoost,1.7057572853677245e-74,****
train_neg_mean_absolute_error,-164.9637601544559,8.122653739846307e-76,SVM-linear,AutoGluon,1.7057572853677245e-74,****
train_neg_mean_absolute_error,-14.746136033053627,1.199867371712418e-19,SVM-rbf,Random Forest,2.519721480596078e-18,****
train_neg_mean_absolute_error,-135.70278934094478,3.650767565627529e-71,SVM-rbf,XGBoost,7.666611887817811e-70,****
train_neg_mean_absolute_error,-135.70278934094478,3.650767565627529e-71,SVM-rbf,AutoGluon,7.666611887817811e-70,****
train_neg_mean_absolute_error,-134.37756116793844,6.253206108807638e-71,Random Forest,XGBoost,1.313173282849604e-69,****
train_neg_mean_absolute_error,-134.37756116793844,6.253206108807638e-71,Random Forest,AutoGluon,1.313173282849604e-69,****
train_neg_mean_absolute_error,,,XGBoost,AutoGluon,,ns
test_neg_root_mean_squared_error,-0.3252206576789394,0.7463986867091713,Linear Regression,Ridge Regression,1.0,ns
test_neg_root_mean_squared_error,0.9294640396022238,0.3572051254138964,Linear Regression,SVM-linear,1.0,ns
test_neg_root_mean_squared_error,1.1377328103624103,0.26076481458741707,Linear Regression,SVM-rbf,1.0,ns
test_neg_root_mean_squared_error,0.6337564709704641,0.5291871730960612,Linear Regression,Random Forest,1.0,ns
test_neg_root_mean_squared_error,-63.63476720482318,3.374942391105165e-53,Linear Regression,XGBoost,7.087379021320847e-52,****
test_neg_root_mean_squared_error,0.07806036063820956,0.9380633398758871,Linear Regression,AutoGluon,1.0,ns
test_neg_root_mean_squared_error,0.9313303656721035,0.35624885826218,Ridge Regression,SVM-linear,1.0,ns
test_neg_root_mean_squared_error,1.1391687616013653,0.26017132268587817,Ridge Regression,SVM-rbf,1.0,ns
test_neg_root_mean_squared_error,0.6347296538924793,0.5285574501261043,Ridge Regression,Random Forest,1.0,ns
test_neg_root_mean_squared_error,-63.64278982867223,3.3519288296691896e-53,Ridge Regression,XGBoost,7.039050542305299e-52,****
test_neg_root_mean_squared_error,0.0782842576576587,0.9378860583843975,Ridge Regression,AutoGluon,1.0,ns
test_neg_root_mean_squared_error,0.7963845782216425,0.42965022906801,SVM-linear,SVM-rbf,1.0,ns
test_neg_root_mean_squared_error,0.08977308091703637,0.9288334909460246,SVM-linear,Random Forest,1.0,ns
test_neg_root_mean_squared_error,-61.71294491924759,1.7816625870572172e-52,SVM-linear,XGBoost,3.7414914328201564e-51,****
test_neg_root_mean_squared_error,-0.056699773717666546,0.9549898401438944,SVM-linear,AutoGluon,1.0,ns
test_neg_root_mean_squared_error,-0.16222200728209585,0.8717981482489006,SVM-rbf,Random Forest,1.0,ns
test_neg_root_mean_squared_error,-62.137627277740776,1.228257573913565e-52,SVM-rbf,XGBoost,2.5793409052184864e-51,****
test_neg_root_mean_squared_error,-0.12345210157087452,0.9021991451671634,SVM-rbf,AutoGluon,1.0,ns
test_neg_root_mean_squared_error,-67.79981565693313,1.0780362009858768e-54,Random Forest,XGBoost,2.2638760220703414e-53,****
test_neg_root_mean_squared_error,-0.10975145610192438,0.9130059694252826,Random Forest,AutoGluon,1.0,ns
test_neg_root_mean_squared_error,43.45115636514025,8.611549162760306e-41,XGBoost,AutoGluon,1.8084253241796643e-39,****
train_neg_root_mean_squared_error,18.347401082578003,1.3539504101266596e-23,Linear Regression,Ridge Regression,2.8432958612659853e-22,****
train_neg_root_mean_squared_error,8.076884024790157,1.4578894585846197e-10,Linear Regression,SVM-linear,3.0615678630277013e-09,****
