metric,t-stat,p-val,model_1,model_2,p-val-corrected,significance,significant
test_r2,-8.340937399185261,5.779626070374949e-11,Linear Regression,Ridge Regression,1.2137214747787392e-09,****,True
test_r2,-10.8701072903559,1.173822525260921e-14,Linear Regression,SVM-linear,2.465027303047934e-13,****,True
test_r2,-10.887048964916465,1.1116756158414148e-14,Linear Regression,SVM-rbf,2.334518793266971e-13,****,True
test_r2,-11.072535372872315,6.142757916432404e-15,Linear Regression,Random Forest,1.2899791624508048e-13,****,True
test_r2,-10.822062088871363,3.0527774419802017e-15,Linear Regression,XGBoost,6.410832628158423e-14,****,True
test_r2,-10.901831808235356,2.3125282376617718e-15,Linear Regression,AutoGluon,4.856309299089721e-14,****,True
test_r2,-10.861170019488927,1.2080124532650074e-14,Ridge Regression,SVM-linear,2.5368261518565156e-13,****,True
test_r2,-10.869450429237098,1.1763016856659737e-14,Ridge Regression,SVM-rbf,2.470233539898545e-13,****,True
test_r2,-11.053842012574925,6.519879136738405e-15,Ridge Regression,Random Forest,1.369174618715065e-13,****,True
test_r2,-10.806005889130471,3.228583231301571e-15,Ridge Regression,XGBoost,6.7800247857333e-14,****,True
test_r2,-10.885436903398286,2.4482056308399436e-15,Ridge Regression,AutoGluon,5.1412318247638816e-14,****,True
test_r2,-3.686783136136992,0.0005683002079495288,SVM-linear,SVM-rbf,0.011934304366940105,*,True
test_r2,-3.879828611265959,0.00031208662061680615,SVM-linear,Random Forest,0.006553819032952929,**,True
test_r2,-2.4826090156497598,0.016122842996251007,SVM-linear,XGBoost,0.33857970292127115,ns,False
test_r2,-2.9665367262200104,0.0044499390064791765,SVM-linear,AutoGluon,0.0934487191360627,ns,False
test_r2,-1.4085924302881794,0.16526975250341422,SVM-rbf,Random Forest,1.0,ns,False
test_r2,-0.6187889219068617,0.5386099665257313,SVM-rbf,XGBoost,1.0,ns,False
test_r2,-1.0972055523346849,0.27733218375296004,SVM-rbf,AutoGluon,1.0,ns,False
test_r2,0.19297339085866774,0.8476906454524357,Random Forest,XGBoost,1.0,ns,False
test_r2,-0.22486744184428462,0.8229157724633827,Random Forest,AutoGluon,1.0,ns,False
test_r2,-0.7729831494043868,0.4432452816583361,XGBoost,AutoGluon,1.0,ns,False
