metric,t-stat,p-val,model_1,model_2,p-val-corrected,significance
test_r2,-8.340937399185261,5.779626070374949e-11,Linear Regression,Ridge Regression,1.2137214747787392e-09,****
test_r2,-10.8701072903559,1.173822525260921e-14,Linear Regression,SVM-linear,2.465027303047934e-13,****
test_r2,-10.887048964916465,1.1116756158414148e-14,Linear Regression,SVM-rbf,2.334518793266971e-13,****
test_r2,-11.072535372872315,6.142757916432404e-15,Linear Regression,Random Forest,1.2899791624508048e-13,****
test_r2,-10.822062088871363,3.0527774419802017e-15,Linear Regression,XGBoost,6.410832628158423e-14,****
test_r2,-10.901831808235356,2.3125282376617718e-15,Linear Regression,AutoGluon,4.856309299089721e-14,****
test_r2,-10.861170019488927,1.2080124532650074e-14,Ridge Regression,SVM-linear,2.5368261518565156e-13,****
test_r2,-10.869450429237098,1.1763016856659737e-14,Ridge Regression,SVM-rbf,2.470233539898545e-13,****
test_r2,-11.053842012574925,6.519879136738405e-15,Ridge Regression,Random Forest,1.369174618715065e-13,****
test_r2,-10.806005889130471,3.228583231301571e-15,Ridge Regression,XGBoost,6.7800247857333e-14,****
test_r2,-10.885436903398286,2.4482056308399436e-15,Ridge Regression,AutoGluon,5.1412318247638816e-14,****
test_r2,-3.686783136136992,0.0005683002079495288,SVM-linear,SVM-rbf,0.011934304366940105,*
test_r2,-3.879828611265959,0.00031208662061680615,SVM-linear,Random Forest,0.006553819032952929,**
test_r2,-2.4826090156497598,0.016122842996251007,SVM-linear,XGBoost,0.33857970292127115,ns
test_r2,-2.9665367262200104,0.0044499390064791765,SVM-linear,AutoGluon,0.0934487191360627,ns
test_r2,-1.4085924302881794,0.16526975250341422,SVM-rbf,Random Forest,1.0,ns
test_r2,-0.6187889219068617,0.5386099665257313,SVM-rbf,XGBoost,1.0,ns
test_r2,-1.0972055523346849,0.27733218375296004,SVM-rbf,AutoGluon,1.0,ns
test_r2,0.19297339085866774,0.8476906454524357,Random Forest,XGBoost,1.0,ns
test_r2,-0.22486744184428462,0.8229157724633827,Random Forest,AutoGluon,1.0,ns
test_r2,-0.7729831494043868,0.4432452816583361,XGBoost,AutoGluon,1.0,ns
train_r2,12.92771253285896,2.0772509636764174e-17,Linear Regression,Ridge Regression,4.3622270237204767e-16,****
train_r2,65.3140959841017,2.5701165339427414e-49,Linear Regression,SVM-linear,5.397244721279757e-48,****
train_r2,9.361405445513654,1.7174738128054907e-12,Linear Regression,SVM-rbf,3.606695006891531e-11,****
train_r2,4.025569672761775,0.00019678775928369736,Linear Regression,Random Forest,0.004132542944957645,**
train_r2,inf,0.0,Linear Regression,XGBoost,0.0,****
train_r2,inf,0.0,Linear Regression,AutoGluon,0.0,****
train_r2,65.33991651341921,2.521362694918909e-49,Ridge Regression,SVM-linear,5.294861659329709e-48,****
train_r2,9.356879015228461,1.744058550525716e-12,Ridge Regression,SVM-rbf,3.662522956104004e-11,****
train_r2,4.021519598360735,0.00019934486637755708,Ridge Regression,Random Forest,0.004186242193928698,**
train_r2,54157.789238344056,3.454677178421888e-214,Ridge Regression,XGBoost,7.254822074685965e-213,****
train_r2,54157.789238344056,3.454677178421888e-214,Ridge Regression,AutoGluon,7.254822074685965e-213,****
train_r2,-4.864426805286559,1.2295655769284554e-05,SVM-linear,SVM-rbf,0.0002582087711549756,***
train_r2,-6.597270899694552,2.7914890227595232e-08,SVM-linear,Random Forest,5.862126947794998e-07,****
train_r2,49.57882995013592,2.448010070787781e-47,SVM-linear,XGBoost,5.14082114865434e-46,****
train_r2,49.57882995013592,2.448010070787781e-47,SVM-linear,AutoGluon,5.14082114865434e-46,****
train_r2,-2.518070890416867,0.01511685691860692,SVM-rbf,Random Forest,0.3174539952907453,ns
train_r2,19.47118295581709,2.4188845410100733e-26,SVM-rbf,XGBoost,5.079657536121154e-25,****
train_r2,19.47118295581709,2.4188845410100733e-26,SVM-rbf,AutoGluon,5.079657536121154e-25,****
train_r2,13.722567928354316,2.1079496798090505e-19,Random Forest,XGBoost,4.426694327599006e-18,****
train_r2,13.722567928354316,2.1079496798090505e-19,Random Forest,AutoGluon,4.426694327599006e-18,****
train_r2,,,XGBoost,AutoGluon,,ns
test_neg_mean_absolute_error,-11.043617330161702,6.7359861420707464e-15,Linear Regression,Ridge Regression,1.4145570898348566e-13,****
test_neg_mean_absolute_error,-19.896915405321938,4.042013708981827e-25,Linear Regression,SVM-linear,8.488228788861838e-24,****
test_neg_mean_absolute_error,-20.275710774053756,1.769662844729349e-25,Linear Regression,SVM-rbf,3.716291973931633e-24,****
test_neg_mean_absolute_error,-19.850869138614566,4.472675954648281e-25,Linear Regression,Random Forest,9.39261950476139e-24,****
test_neg_mean_absolute_error,-70.52370954082254,1.265560187534943e-55,Linear Regression,XGBoost,2.6576763938233805e-54,****
test_neg_mean_absolute_error,-18.383716887068502,3.772743476277453e-25,Linear Regression,AutoGluon,7.922761300182651e-24,****
test_neg_mean_absolute_error,-19.663733406283,6.762221198937136e-25,Ridge Regression,SVM-linear,1.4200664517767988e-23,****
test_neg_mean_absolute_error,-19.969182373195892,3.449456429031337e-25,Ridge Regression,SVM-rbf,7.243858500965808e-24,****
test_neg_mean_absolute_error,-19.486874904398633,1.0022620628601884e-24,Ridge Regression,Random Forest,2.1047503320063957e-23,****
test_neg_mean_absolute_error,-70.48710263418282,1.3018212380958594e-55,Ridge Regression,XGBoost,2.733824600001305e-54,****
test_neg_mean_absolute_error,-17.875756196912153,1.4179385507328322e-24,Ridge Regression,AutoGluon,2.9776709565389477e-23,****
test_neg_mean_absolute_error,-3.9065127120440097,0.000286971879092859,SVM-linear,SVM-rbf,0.006026409460950039,**
test_neg_mean_absolute_error,-3.153542773326987,0.00275380274004275,SVM-linear,Random Forest,0.05782985754089775,ns
test_neg_mean_absolute_error,-60.26190120349859,6.471821310146329e-52,SVM-linear,XGBoost,1.359082475130729e-50,****
test_neg_mean_absolute_error,-1.389575763900374,0.170257476127307,SVM-linear,AutoGluon,1.0,ns
test_neg_mean_absolute_error,-0.4015080626685162,0.6897918919944422,SVM-rbf,Random Forest,1.0,ns
test_neg_mean_absolute_error,-60.64800550701054,4.578206938033601e-52,SVM-rbf,XGBoost,9.614234569870562e-51,****
test_neg_mean_absolute_error,-0.1665039982546646,0.8683709537273752,SVM-rbf,AutoGluon,1.0,ns
test_neg_mean_absolute_error,-62.76964014372533,7.0936254520095345e-53,Random Forest,XGBoost,1.4896613449220022e-51,****
test_neg_mean_absolute_error,-0.06631778028464336,0.9473653110094387,Random Forest,AutoGluon,1.0,ns
test_neg_mean_absolute_error,46.64462107268391,2.889518090413041e-42,XGBoost,AutoGluon,6.067987989867386e-41,****
train_neg_mean_absolute_error,25.00230762422394,1.5002492860166028e-29,Linear Regression,Ridge Regression,3.150523500634866e-28,****
train_neg_mean_absolute_error,99.860791396434,2.7729576390742202e-58,Linear Regression,SVM-linear,5.823211042055863e-57,****
train_neg_mean_absolute_error,11.015601431593982,7.366041195778609e-15,Linear Regression,SVM-rbf,1.5468686511135078e-13,****
train_neg_mean_absolute_error,8.1712684772956,1.0466994234061222e-10,Linear Regression,Random Forest,2.198068789152857e-09,****
train_neg_mean_absolute_error,-35.669964863686324,1.0388476897539037e-39,Linear Regression,XGBoost,2.1815801484831978e-38,****
train_neg_mean_absolute_error,-35.669964863686324,1.0388476897539037e-39,Linear Regression,AutoGluon,2.1815801484831978e-38,****
train_neg_mean_absolute_error,101.66295904281766,1.1590878456966795e-58,Ridge Regression,SVM-linear,2.434084475963027e-57,****
