metric,t-stat,p-val,model_1,model_2,p-val-corrected,significance
test_r2,-0.9450190033407346,0.349285994891255,Linear Regression,Ridge Regression,1.0,ns
test_r2,0.26526147164894737,0.7919208348260105,Linear Regression,SVM-linear,1.0,ns
test_r2,0.032517286539662904,0.9741916265761912,Linear Regression,SVM-rbf,1.0,ns
test_r2,1.6110588587068044,0.11359065446384918,Linear Regression,Random Forest,1.0,ns
test_r2,0.9236655563326178,0.3596951392968263,Linear Regression,XGBoost,1.0,ns
test_r2,0.5027513070565719,0.6171464116844689,Linear Regression,AutoGluon,1.0,ns
test_r2,0.27230398074020495,0.7865324945497362,Ridge Regression,SVM-linear,1.0,ns
test_r2,0.038923248736769604,0.9691097358215716,Ridge Regression,SVM-rbf,1.0,ns
test_r2,1.6171867533967064,0.11225847827693378,Ridge Regression,Random Forest,1.0,ns
test_r2,0.9267205899287655,0.358120482286311,Ridge Regression,XGBoost,1.0,ns
test_r2,0.5053161459523828,0.6153558629102822,Ridge Regression,AutoGluon,1.0,ns
test_r2,-0.38178002305387304,0.7042752265075389,SVM-linear,SVM-rbf,1.0,ns
test_r2,1.2510157688583279,0.2168690897342897,SVM-linear,Random Forest,1.0,ns
test_r2,0.8747622691426998,0.3855072825264996,SVM-linear,XGBoost,1.0,ns
test_r2,0.45895095229361,0.6480780589146415,SVM-linear,AutoGluon,1.0,ns
test_r2,1.5020153967032255,0.13951062301975778,SVM-rbf,Random Forest,1.0,ns
test_r2,0.9689281997130595,0.3368227331058785,SVM-rbf,XGBoost,1.0,ns
test_r2,0.525886885162819,0.6010809022200678,SVM-rbf,AutoGluon,1.0,ns
test_r2,-0.059545846829044714,0.952733185433424,Random Forest,XGBoost,1.0,ns
test_r2,-0.47211906855928903,0.6387096672584447,Random Forest,AutoGluon,1.0,ns
test_r2,-1.0206787299064035,0.312419750301581,XGBoost,AutoGluon,1.0,ns
train_r2,10.17924341175551,1.1125096748502541e-13,Linear Regression,Ridge Regression,2.3362703171855338e-12,****
train_r2,6.824845233847336,1.2391882302183265e-08,Linear Regression,SVM-linear,2.6022952834584856e-07,****
train_r2,-1.0204998626671686,0.31250367253029204,Linear Regression,SVM-rbf,1.0,ns
train_r2,-5.792062780848729,4.886065151737345e-07,Linear Regression,Random Forest,1.0260736818648424e-05,****
train_r2,28.954418075078294,5.621494449393502e-35,Linear Regression,XGBoost,1.1805138343726354e-33,****
train_r2,28.954418075078294,5.621494449393502e-35,Linear Regression,AutoGluon,1.1805138343726354e-33,****
train_r2,6.824432836689238,1.241013197887722e-08,Ridge Regression,SVM-linear,2.6061277155642166e-07,****
train_r2,-1.0206951053934463,0.312412067896637,Ridge Regression,SVM-rbf,1.0,ns
train_r2,-5.792086994413088,4.885647317552598e-07,Ridge Regression,Random Forest,1.0259859366860457e-05,****
train_r2,28.954443579316447,5.621238588206019e-35,Ridge Regression,XGBoost,1.180460103523264e-33,****
train_r2,28.954443579316447,5.621238588206019e-35,Ridge Regression,AutoGluon,1.180460103523264e-33,****
train_r2,-4.109626374115637,0.00015035410718551185,SVM-linear,SVM-rbf,0.003157436250895749,**
train_r2,-6.087357629792649,1.7164410394719282e-07,SVM-linear,Random Forest,3.6045261828910493e-06,****
train_r2,25.954249316289086,1.5394007512986537e-32,SVM-linear,XGBoost,3.232741577727173e-31,****
train_r2,25.954249316289086,1.5394007512986537e-32,SVM-linear,AutoGluon,3.232741577727173e-31,****
train_r2,-5.739150431693389,5.88936166473153e-07,SVM-rbf,Random Forest,1.2367659495936213e-05,****
