metric,t-stat,p-val,model_1,model_2,p-val-corrected,significance,significant
test_r2,-0.4464566552707822,0.6572343157520145,Linear Regression,Ridge Regression,1.0,ns,False
test_r2,1.6487844186220353,0.10558956649185255,Linear Regression,SVM-linear,1.0,ns,False
test_r2,1.4132310564805681,0.1639090981356162,Linear Regression,SVM-rbf,1.0,ns,False
test_r2,1.2219476699613576,0.22757339335415946,Linear Regression,Random Forest,1.0,ns,False
test_r2,0.30712466434311225,0.7599083629713663,Linear Regression,XGBoost,1.0,ns,False
test_r2,0.24817298741404886,0.8049248355531775,Linear Regression,AutoGluon,1.0,ns,False
test_r2,1.6563607817356534,0.10403961568250683,Ridge Regression,SVM-linear,1.0,ns,False
test_r2,1.4195145249731587,0.1620798563151999,Ridge Regression,SVM-rbf,1.0,ns,False
test_r2,1.2247932103845147,0.2265086860034922,Ridge Regression,Random Forest,1.0,ns,False
test_r2,0.3084228851100937,0.7589257342575968,Ridge Regression,XGBoost,1.0,ns,False
test_r2,0.2494364055033252,0.8039524595657058,Ridge Regression,AutoGluon,1.0,ns,False
test_r2,-0.5780994228611626,0.5658444900816324,SVM-linear,SVM-rbf,1.0,ns,False
test_r2,-0.43563949797726587,0.665011437997324,SVM-linear,Random Forest,1.0,ns,False
test_r2,-0.470517055596905,0.6398462910120934,SVM-linear,XGBoost,1.0,ns,False
test_r2,-0.568736026007057,0.5718504342129667,SVM-linear,AutoGluon,1.0,ns,False
test_r2,-0.29870926431202777,0.766425056285545,SVM-rbf,Random Forest,1.0,ns,False
test_r2,-0.33105328643839665,0.7418622460673858,SVM-rbf,XGBoost,1.0,ns,False
test_r2,-0.41850498482474907,0.6772076734101583,SVM-rbf,AutoGluon,1.0,ns,False
test_r2,-0.15939881827651445,0.8739385908211033,Random Forest,XGBoost,1.0,ns,False
test_r2,-0.22658226441526774,0.8215886063876567,Random Forest,AutoGluon,1.0,ns,False
test_r2,-0.33867421589617663,0.7363021951970983,XGBoost,AutoGluon,1.0,ns,False
test_r_corr,-0.1329940852873037,0.8947427354175637,Linear Regression,Ridge Regression,1.0,ns,False
test_r_corr,0.35948041843935,0.7207803502638324,Linear Regression,SVM-linear,1.0,ns,False
test_r_corr,-0.11010828280753583,0.9127732362732004,Linear Regression,SVM-rbf,1.0,ns,False
test_r_corr,1.3599695044078528,0.18006427369963954,Linear Regression,Random Forest,1.0,ns,False
