metric,t-stat,p-val,model_1,model_2,p-val-corrected,significance
test_r2,-0.4464566552707822,0.6572343157520145,Linear Regression,Ridge Regression,1.0,ns
test_r2,1.6487844186220353,0.10558956649185255,Linear Regression,SVM-linear,1.0,ns
test_r2,1.4132310564805681,0.1639090981356162,Linear Regression,SVM-rbf,1.0,ns
test_r2,1.2219476699613576,0.22757339335415946,Linear Regression,Random Forest,1.0,ns
test_r2,0.30712466434311225,0.7599083629713663,Linear Regression,XGBoost,1.0,ns
test_r2,0.24817298741404886,0.8049248355531775,Linear Regression,AutoGluon,1.0,ns
test_r2,1.6563607817356534,0.10403961568250683,Ridge Regression,SVM-linear,1.0,ns
test_r2,1.4195145249731587,0.1620798563151999,Ridge Regression,SVM-rbf,1.0,ns
test_r2,1.2247932103845147,0.2265086860034922,Ridge Regression,Random Forest,1.0,ns
test_r2,0.3084228851100937,0.7589257342575968,Ridge Regression,XGBoost,1.0,ns
test_r2,0.2494364055033252,0.8039524595657058,Ridge Regression,AutoGluon,1.0,ns
test_r2,-0.5780994228611626,0.5658444900816324,SVM-linear,SVM-rbf,1.0,ns
test_r2,-0.43563949797726587,0.665011437997324,SVM-linear,Random Forest,1.0,ns
test_r2,-0.470517055596905,0.6398462910120934,SVM-linear,XGBoost,1.0,ns
test_r2,-0.568736026007057,0.5718504342129667,SVM-linear,AutoGluon,1.0,ns
test_r2,-0.29870926431202777,0.766425056285545,SVM-rbf,Random Forest,1.0,ns
test_r2,-0.33105328643839665,0.7418622460673858,SVM-rbf,XGBoost,1.0,ns
test_r2,-0.41850498482474907,0.6772076734101583,SVM-rbf,AutoGluon,1.0,ns
test_r2,-0.15939881827651445,0.8739385908211033,Random Forest,XGBoost,1.0,ns
test_r2,-0.22658226441526774,0.8215886063876567,Random Forest,AutoGluon,1.0,ns
test_r2,-0.33867421589617663,0.7363021951970983,XGBoost,AutoGluon,1.0,ns
train_r2,21.266678757793485,2.158031545484157e-26,Linear Regression,Ridge Regression,4.53186624551673e-25,****
train_r2,14.380928837532162,3.2702570746183275e-19,Linear Regression,SVM-linear,6.867539856698488e-18,****
train_r2,4.233400361234179,0.0001007592588215989,Linear Regression,SVM-rbf,0.002115944435253577,**
train_r2,-17.23966822943034,1.916342651629076e-22,Linear Regression,Random Forest,4.024319568421059e-21,****
train_r2,25.750135029327502,2.300674532745881e-32,Linear Regression,XGBoost,4.83141651876635e-31,****
train_r2,25.750135029327502,2.300674532745881e-32,Linear Regression,AutoGluon,4.83141651876635e-31,****
train_r2,14.380748893318577,3.2718859539653087e-19,Ridge Regression,SVM-linear,6.870960503327149e-18,****
train_r2,4.233291535251198,0.00010079492553757064,Ridge Regression,SVM-rbf,0.0021166934362889835,**
train_r2,-17.239706216518123,1.91616446623742e-22,Ridge Regression,Random Forest,4.0239453790985815e-21,****
train_r2,25.750133976606275,2.300679316563082e-32,Ridge Regression,XGBoost,4.831426564782472e-31,****
train_r2,25.750133976606275,2.300679316563082e-32,Ridge Regression,AutoGluon,4.831426564782472e-31,****
train_r2,-4.11510046266608,0.00014773044435532204,SVM-linear,SVM-rbf,0.003102339331461763,**
train_r2,-20.214931768861714,2.0187765335403977e-25,SVM-linear,Random Forest,4.239430720434835e-24,****
train_r2,18.90434561495713,9.980665238971099e-26,SVM-linear,XGBoost,2.095939700183931e-24,****
train_r2,18.90434561495713,9.980665238971099e-26,SVM-linear,AutoGluon,2.095939700183931e-24,****
train_r2,-16.4492594434414,1.3705829090046841e-21,SVM-rbf,Random Forest,2.878224108909837e-20,****
train_r2,17.16397764228729,9.489197887398031e-24,SVM-rbf,XGBoost,1.9927315563535866e-22,****
train_r2,17.16397764228729,9.489197887398031e-24,SVM-rbf,AutoGluon,1.9927315563535866e-22,****
train_r2,29.50807488391514,2.1101108034460477e-35,Random Forest,XGBoost,4.4312326872367e-34,****
