metric,t-stat,p-val,model_1,model_2,p-val-corrected,significance,significant
test_r2,-6.043500012697857,2.005681670084851e-07,Linear Regression,Ridge Regression,4.211931507178187e-06,****,True
test_r2,-6.400365874166986,5.634137847385123e-08,Linear Regression,SVM-linear,1.1831689479508759e-06,****,True
test_r2,-6.3910429333271335,5.824507990624815e-08,Linear Regression,SVM-rbf,1.2231466780312112e-06,****,True
test_r2,-6.629743903847288,2.4860731976434317e-08,Linear Regression,Random Forest,5.220753715051207e-07,****,True
test_r2,-6.653008841298025,1.3948285627870283e-08,Linear Regression,XGBoost,2.9291399818527595e-07,****,True
test_r2,-6.740666035741268,1.0027228016525311e-08,Linear Regression,AutoGluon,2.1057178834703153e-07,****,True
test_r2,-6.388996210444149,5.867152919041241e-08,Ridge Regression,SVM-linear,1.2321021129986606e-06,****,True
test_r2,-6.3794702309628715,6.06976955607556e-08,Ridge Regression,SVM-rbf,1.2746516067758674e-06,****,True
test_r2,-6.629147904469288,2.4913660487517497e-08,Ridge Regression,Random Forest,5.231868702378674e-07,****,True
test_r2,-6.642587542981344,1.4506209599164162e-08,Ridge Regression,XGBoost,3.046304015824474e-07,****,True
test_r2,-6.733976331466992,1.0283101751310375e-08,Ridge Regression,AutoGluon,2.159451367775179e-07,****,True
test_r2,-3.1112356336859732,0.0031042544233868376,SVM-linear,SVM-rbf,0.06518934289112359,ns,False
test_r2,-2.9105066074095776,0.0054150686135061845,SVM-linear,Random Forest,0.11371644088362988,ns,False
test_r2,-2.8033658291981407,0.0069726579288432065,SVM-linear,XGBoost,0.14642581650570732,ns,False
test_r2,-3.579404111683659,0.0007285193869927716,SVM-linear,AutoGluon,0.015298907126848203,*,True
test_r2,-1.4326582143016042,0.15830486603331362,SVM-rbf,Random Forest,1.0,ns,False
test_r2,-1.6668788402581114,0.10122390059498612,SVM-rbf,XGBoost,1.0,ns,False
test_r2,-2.609165119889969,0.011667305927400931,SVM-rbf,AutoGluon,0.24501342447541957,ns,False
test_r2,-0.23170067898718572,0.8176304053062894,Random Forest,XGBoost,1.0,ns,False
test_r2,-0.7754234308464562,0.4414109017466621,Random Forest,AutoGluon,1.0,ns,False
test_r2,-1.0929735833564247,0.2797498514383777,XGBoost,AutoGluon,1.0,ns,False
test_r_corr,-2.1064605360210575,0.04030910852387024,Linear Regression,Ridge Regression,0.8464912790012751,ns,False
test_r_corr,-5.654564011818996,7.93419678896351e-07,Linear Regression,SVM-linear,1.666181325682337e-05,****,True
test_r_corr,-6.483731143762036,4.185417570792361e-08,Linear Regression,SVM-rbf,8.789376898663959e-07,****,True
test_r_corr,-5.560198561446844,1.1054550361027885e-06,Linear Regression,Random Forest,2.3214555758158557e-05,****,True
test_r_corr,-5.678212435586401,5.29383550931687e-07,Linear Regression,XGBoost,1.1117054569565428e-05,****,True
test_r_corr,-6.5243094585949954,2.2632510626370522e-08,Linear Regression,AutoGluon,4.75282723153781e-07,****,True
test_r_corr,-5.651148942037255,8.03012918268141e-07,Ridge Regression,SVM-linear,1.686327128363096e-05,****,True
test_r_corr,-6.443849994417132,4.825053289246296e-08,Ridge Regression,SVM-rbf,1.0132611907417221e-06,****,True
test_r_corr,-5.5334463347171905,1.2142295164434568e-06,Ridge Regression,Random Forest,2.5498819845312592e-05,****,True
test_r_corr,-5.631358841258009,6.289506746235215e-07,Ridge Regression,XGBoost,1.3207964167093952e-05,****,True
test_r_corr,-6.4767212167192945,2.7062933308844744e-08,Ridge Regression,AutoGluon,5.683215994857396e-07,****,True
test_r_corr,-2.605159123906765,0.012125977838390378,SVM-linear,SVM-rbf,0.25464553460619793,ns,False
test_r_corr,-2.5274289458060575,0.014766040207161426,SVM-linear,Random Forest,0.31008684435038997,ns,False
test_r_corr,-2.5139411863921155,0.014895593536607266,SVM-linear,XGBoost,0.3128074642687526,ns,False
test_r_corr,-3.3844880301627898,0.0013211912788627293,SVM-linear,AutoGluon,0.027745016856117317,*,True
test_r_corr,-1.3630935206628791,0.1790841939405824,SVM-rbf,Random Forest,1.0,ns,False
test_r_corr,-1.4780430307860322,0.1451004653061459,SVM-rbf,XGBoost,1.0,ns,False
test_r_corr,-2.2554186356234474,0.02810625762495807,SVM-rbf,AutoGluon,0.5902314101241195,ns,False
test_r_corr,-0.32575721578117994,0.7458442128091105,Random Forest,XGBoost,1.0,ns,False
test_r_corr,-1.0884585887768872,0.2811393296384244,Random Forest,AutoGluon,1.0,ns,False
test_r_corr,-1.6479667935277862,0.10575795703989174,XGBoost,AutoGluon,1.0,ns,False
test_spearmanr,-1.7992264244176865,0.07814252753968685,Linear Regression,Ridge Regression,1.0,ns,False
test_spearmanr,-5.98266186541301,2.488856190324278e-07,Linear Regression,SVM-linear,5.226597999680984e-06,****,True
test_spearmanr,-7.669791473153945,6.130226139394516e-10,Linear Regression,SVM-rbf,1.2873474892728483e-08,****,True
test_spearmanr,-7.882786759549532,2.8875859907810055e-10,Linear Regression,Random Forest,6.0639305806401115e-09,****,True
test_spearmanr,-6.357691448027133,4.229949765743398e-08,Linear Regression,XGBoost,8.882894508061136e-07,****,True
test_spearmanr,-7.304901416788335,1.1939113756334953e-09,Linear Regression,AutoGluon,2.5072138888303402e-08,****,True
test_spearmanr,-5.885444622699295,3.5121420989204036e-07,Ridge Regression,SVM-linear,7.375498407732848e-06,****,True
test_spearmanr,-7.55103141041562,9.338173824608093e-10,Ridge Regression,SVM-rbf,1.9610165031676995e-08,****,True
test_spearmanr,-7.78001776017863,4.15080204061968e-10,Ridge Regression,Random Forest,8.716684285301328e-09,****,True
test_spearmanr,-6.291091905078811,5.4286323148656957e-08,Ridge Regression,XGBoost,1.140012786121796e-06,****,True
