metric,t-stat,p-val,model_1,model_2,p-val-corrected,significance
test_r2,-6.043500012697857,2.005681670084851e-07,Linear Regression,Ridge Regression,4.211931507178187e-06,****
test_r2,-6.400365874166986,5.634137847385123e-08,Linear Regression,SVM-linear,1.1831689479508759e-06,****
test_r2,-6.3910429333271335,5.824507990624815e-08,Linear Regression,SVM-rbf,1.2231466780312112e-06,****
test_r2,-6.629743903847288,2.4860731976434317e-08,Linear Regression,Random Forest,5.220753715051207e-07,****
test_r2,-6.653008841298025,1.3948285627870283e-08,Linear Regression,XGBoost,2.9291399818527595e-07,****
test_r2,-6.740666035741268,1.0027228016525311e-08,Linear Regression,AutoGluon,2.1057178834703153e-07,****
test_r2,-6.388996210444149,5.867152919041241e-08,Ridge Regression,SVM-linear,1.2321021129986606e-06,****
test_r2,-6.3794702309628715,6.06976955607556e-08,Ridge Regression,SVM-rbf,1.2746516067758674e-06,****
test_r2,-6.629147904469288,2.4913660487517497e-08,Ridge Regression,Random Forest,5.231868702378674e-07,****
test_r2,-6.642587542981344,1.4506209599164162e-08,Ridge Regression,XGBoost,3.046304015824474e-07,****
test_r2,-6.733976331466992,1.0283101751310375e-08,Ridge Regression,AutoGluon,2.159451367775179e-07,****
test_r2,-3.1112356336859732,0.0031042544233868376,SVM-linear,SVM-rbf,0.06518934289112359,ns
test_r2,-2.9105066074095776,0.0054150686135061845,SVM-linear,Random Forest,0.11371644088362988,ns
test_r2,-2.8033658291981407,0.0069726579288432065,SVM-linear,XGBoost,0.14642581650570732,ns
test_r2,-3.579404111683659,0.0007285193869927716,SVM-linear,AutoGluon,0.015298907126848203,*
test_r2,-1.4326582143016042,0.15830486603331362,SVM-rbf,Random Forest,1.0,ns
test_r2,-1.6668788402581114,0.10122390059498612,SVM-rbf,XGBoost,1.0,ns
test_r2,-2.609165119889969,0.011667305927400931,SVM-rbf,AutoGluon,0.24501342447541957,ns
test_r2,-0.23170067898718572,0.8176304053062894,Random Forest,XGBoost,1.0,ns
test_r2,-0.7754234308464562,0.4414109017466621,Random Forest,AutoGluon,1.0,ns
test_r2,-1.0929735833564247,0.2797498514383777,XGBoost,AutoGluon,1.0,ns
train_r2,11.726417999235542,7.861244605686025e-16,Linear Regression,Ridge Regression,1.650861367194065e-14,****
train_r2,53.967766719795854,2.6049609492626742e-45,Linear Regression,SVM-linear,5.470417993451616e-44,****
train_r2,35.407992234922176,1.4405342183658598e-36,Linear Regression,SVM-rbf,3.0251218585683056e-35,****
train_r2,3.816643485266927,0.00038029420148328057,Linear Regression,Random Forest,0.007986178231148892,**
train_r2,inf,0.0,Linear Regression,XGBoost,0.0,****
train_r2,inf,0.0,Linear Regression,AutoGluon,0.0,****
train_r2,53.96474040322907,2.6120123195452694e-45,Ridge Regression,SVM-linear,5.485225871045066e-44,****
train_r2,35.39254729089201,1.4705018820047257e-36,Ridge Regression,SVM-rbf,3.088053952209924e-35,****
train_r2,3.8136933006203533,0.0003838069478988391,Ridge Regression,Random Forest,0.008059945905875622,**
train_r2,59283.53160410998,2.3899281060441464e-216,Ridge Regression,XGBoost,5.018849022692708e-215,****
train_r2,59283.53160410998,2.3899281060441464e-216,Ridge Regression,AutoGluon,5.018849022692708e-215,****
train_r2,-25.917082398372955,2.9119680416775986e-30,SVM-linear,SVM-rbf,6.115132887522958e-29,****
train_r2,-4.582086984896421,3.188778796636274e-05,SVM-linear,Random Forest,0.0006696435472936176,***
train_r2,47.756569368297555,1.83371577181107e-46,SVM-linear,XGBoost,3.850803120803247e-45,****
train_r2,47.756569368297555,1.83371577181107e-46,SVM-linear,AutoGluon,3.850803120803247e-45,****
train_r2,-1.9453755888010438,0.05747879158126715,SVM-rbf,Random Forest,1.0,ns
train_r2,62.783879056270244,7.006864073955914e-53,SVM-rbf,XGBoost,1.471441455530742e-51,****
train_r2,62.783879056270244,7.006864073955914e-53,SVM-rbf,AutoGluon,1.471441455530742e-51,****
train_r2,10.581557103215465,7.0851414762124196e-15,Random Forest,XGBoost,1.487879710004608e-13,****
train_r2,10.581557103215465,7.0851414762124196e-15,Random Forest,AutoGluon,1.487879710004608e-13,****
train_r2,,,XGBoost,AutoGluon,,ns
test_neg_mean_absolute_error,-11.86613533101092,5.102836952954588e-16,Linear Regression,Ridge Regression,1.0715957601204634e-14,****
test_neg_mean_absolute_error,-16.084769806710906,3.4728457424910166e-21,Linear Regression,SVM-linear,7.292976059231134e-20,****
test_neg_mean_absolute_error,-16.865526920070675,4.823507011833535e-22,Linear Regression,SVM-rbf,1.0129364724850425e-20,****
test_neg_mean_absolute_error,-17.635281877918498,7.334395416777511e-23,Linear Regression,Random Forest,1.5402230375232774e-21,****
test_neg_mean_absolute_error,-44.61443288354287,7.059716441013869e-45,Linear Regression,XGBoost,1.4825404526129126e-43,****
test_neg_mean_absolute_error,-14.902907730593565,5.801968428646139e-21,Linear Regression,AutoGluon,1.218413370015689e-19,****
test_neg_mean_absolute_error,-15.891714720564117,5.716309834388957e-21,Ridge Regression,SVM-linear,1.200425065221681e-19,****
test_neg_mean_absolute_error,-16.681240971580454,7.641231753600598e-22,Ridge Regression,SVM-rbf,1.6046586682561256e-20,****
test_neg_mean_absolute_error,-17.453467964712097,1.1381536061919922e-22,Ridge Regression,Random Forest,2.3901225730031836e-21,****
test_neg_mean_absolute_error,-44.93284590854556,4.823626728543995e-45,Ridge Regression,XGBoost,1.012961612994239e-43,****
test_neg_mean_absolute_error,-14.550829903212545,1.6638715670700676e-20,Ridge Regression,AutoGluon,3.494130290847142e-19,****
test_neg_mean_absolute_error,-5.1923574362603855,3.986690117221563e-06,SVM-linear,SVM-rbf,8.372049246165283e-05,****
test_neg_mean_absolute_error,-2.196685533910375,0.03280350350895105,SVM-linear,Random Forest,0.6888735736879721,ns
test_neg_mean_absolute_error,-39.77606794496361,3.232860084905926e-42,SVM-linear,XGBoost,6.789006178302444e-41,****
test_neg_mean_absolute_error,-0.45027553083421107,0.6542817013160579,SVM-linear,AutoGluon,1.0,ns
test_neg_mean_absolute_error,0.6808182667515887,0.49919123897736106,SVM-rbf,Random Forest,1.0,ns
test_neg_mean_absolute_error,-39.07975756758111,8.265557916080197e-42,SVM-rbf,XGBoost,1.7357671623768413e-40,****
test_neg_mean_absolute_error,0.6705102156335533,0.5053384999909749,SVM-rbf,AutoGluon,1.0,ns
test_neg_mean_absolute_error,-38.906073785663146,1.0471717511625604e-41,Random Forest,XGBoost,2.1990606774413768e-40,****
test_neg_mean_absolute_error,0.5124429726740307,0.6103928947882568,Random Forest,AutoGluon,1.0,ns
test_neg_mean_absolute_error,25.31340845725453,8.54177318629153e-30,XGBoost,AutoGluon,1.7937723691212215e-28,****
