metric,t-stat,p-val,model_1,model_2,p-val-corrected,significance,significant
test_r2,-0.9064949676986128,0.369110215383992,Linear Regression,Ridge Regression,1.0,ns,False
test_r2,1.488282718884184,0.14308431915834996,Linear Regression,SVM-linear,1.0,ns,False
test_r2,0.9496214283671699,0.3469650660718514,Linear Regression,SVM-rbf,1.0,ns,False
test_r2,0.20237671989154923,0.8404601681717208,Linear Regression,Random Forest,1.0,ns,False
test_r2,0.4725318072393224,0.638416971398249,Linear Regression,XGBoost,1.0,ns,False
test_r2,0.07108869853681862,0.9435850298045321,Linear Regression,AutoGluon,1.0,ns,False
test_r2,1.4968691883683822,0.1408414513578745,Ridge Regression,SVM-linear,1.0,ns,False
test_r2,0.9556440104818159,0.34394329362605514,Ridge Regression,SVM-rbf,1.0,ns,False
test_r2,0.20715669128644199,0.8367459909094666,Ridge Regression,Random Forest,1.0,ns,False
test_r2,0.47493091604543136,0.636716777740791,Ridge Regression,XGBoost,1.0,ns,False
test_r2,0.07334699693201695,0.9417960959338443,Ridge Regression,AutoGluon,1.0,ns,False
test_r2,-0.7124727028861995,0.4795511446627948,SVM-linear,SVM-rbf,1.0,ns,False
test_r2,-1.1850090360916055,0.24172947218818466,SVM-linear,Random Forest,1.0,ns,False
test_r2,-0.15978399299294657,0.8736365998167441,SVM-linear,XGBoost,1.0,ns,False
test_r2,-0.7031705844541566,0.48491545936935276,SVM-linear,AutoGluon,1.0,ns,False
test_r2,-0.7855231036294095,0.4359289107481218,SVM-rbf,Random Forest,1.0,ns,False
test_r2,0.05817303056613297,0.953821645597166,SVM-rbf,XGBoost,1.0,ns,False
test_r2,-0.44475907633504136,0.6582392564249502,SVM-rbf,AutoGluon,1.0,ns,False
test_r2,0.4313159733503742,0.6679245707707897,Random Forest,XGBoost,1.0,ns,False
test_r2,0.009545786668623905,0.9924182211361687,Random Forest,AutoGluon,1.0,ns,False
test_r2,-1.4821859037528338,0.14469394794720272,XGBoost,AutoGluon,1.0,ns,False
test_r_corr,-0.6003388882844531,0.5510470460119472,Linear Regression,Ridge Regression,1.0,ns,False
test_r_corr,0.0011777714038527644,0.999065056578643,Linear Regression,SVM-linear,1.0,ns,False
test_r_corr,-0.42658035415235723,0.671553378213699,Linear Regression,SVM-rbf,1.0,ns,False
test_r_corr,0.33611156236397693,0.7382218373297227,Linear Regression,Random Forest,1.0,ns,False
test_r_corr,0.45467248217894374,0.6511344163506496,Linear Regression,XGBoost,1.0,ns,False
test_r_corr,-0.002915517487935508,0.9976843062223526,Linear Regression,AutoGluon,1.0,ns,False
test_r_corr,0.006928779337033577,0.9944998110193083,Ridge Regression,SVM-linear,1.0,ns,False
test_r_corr,-0.4242054203531958,0.6732726835209493,Ridge Regression,SVM-rbf,1.0,ns,False
test_r_corr,0.3380737294856568,0.7367518581432357,Ridge Regression,Random Forest,1.0,ns,False
test_r_corr,0.45554033224766155,0.6505139715847537,Ridge Regression,XGBoost,1.0,ns,False
test_r_corr,-0.0019686675339822073,0.9984363548648785,Ridge Regression,AutoGluon,1.0,ns,False
test_r_corr,-0.49045130496792116,0.6260037218455368,SVM-linear,SVM-rbf,1.0,ns,False
test_r_corr,0.3462012208942286,0.7306736827528374,SVM-linear,Random Forest,1.0,ns,False
test_r_corr,0.4865405054433592,0.6285171998593628,SVM-linear,XGBoost,1.0,ns,False
test_r_corr,0.00992331705079961,0.9921183759657097,SVM-linear,AutoGluon,1.0,ns,False
test_r_corr,0.665265870096199,0.5089998728667451,SVM-rbf,Random Forest,1.0,ns,False
test_r_corr,0.6058890774005965,0.5470808426407605,SVM-rbf,XGBoost,1.0,ns,False
test_r_corr,0.13786869987014075,0.8908476999604096,SVM-rbf,AutoGluon,1.0,ns,False
test_r_corr,0.30386375536444415,0.762378311977674,Random Forest,XGBoost,1.0,ns,False
test_r_corr,-0.12625960287550295,0.8999868668412321,Random Forest,AutoGluon,1.0,ns,False
test_r_corr,-1.460667448517482,0.15048960149672166,XGBoost,AutoGluon,1.0,ns,False
test_spearmanr,-0.033199649639830464,0.9736502484298226,Linear Regression,Ridge Regression,1.0,ns,False
test_spearmanr,-0.39200169340994423,0.6967567765604564,Linear Regression,SVM-linear,1.0,ns,False
test_spearmanr,0.009440175478605732,0.9925062722285889,Linear Regression,SVM-rbf,1.0,ns,False
test_spearmanr,1.3873023737329337,0.1716274436799915,Linear Regression,Random Forest,1.0,ns,False
test_spearmanr,0.5045199196778607,0.6159114680971441,Linear Regression,XGBoost,1.0,ns,False
test_spearmanr,0.22431248078118743,0.8233453895332146,Linear Regression,AutoGluon,1.0,ns,False
test_spearmanr,-0.39090993843372374,0.6975583592913717,Ridge Regression,SVM-linear,1.0,ns,False
test_spearmanr,0.010002067688727124,0.9920602500104125,Ridge Regression,SVM-rbf,1.0,ns,False
test_spearmanr,1.3839471751764245,0.172646373682295,Ridge Regression,Random Forest,1.0,ns,False
test_spearmanr,0.5050793160275259,0.6155210987282012,Ridge Regression,XGBoost,1.0,ns,False
test_spearmanr,0.2247275827617718,0.8230240377156997,Ridge Regression,AutoGluon,1.0,ns,False
test_spearmanr,0.2836871661071079,0.7778453793755072,SVM-linear,SVM-rbf,1.0,ns,False
test_spearmanr,1.7008890681882463,0.09530275796062582,SVM-linear,Random Forest,1.0,ns,False
test_spearmanr,0.6088030213551544,0.5451614483779936,SVM-linear,XGBoost,1.0,ns,False
test_spearmanr,0.31393445823116606,0.754758471770852,SVM-linear,AutoGluon,1.0,ns,False
test_spearmanr,1.2980913854116394,0.20033299026995147,SVM-rbf,Random Forest,1.0,ns,False
test_spearmanr,0.522423357140352,0.6034736252700302,SVM-rbf,XGBoost,1.0,ns,False
test_spearmanr,0.22253923911632323,0.8247184893113588,SVM-rbf,AutoGluon,1.0,ns,False
test_spearmanr,0.04709525631725491,0.9626079018176712,Random Forest,XGBoost,1.0,ns,False
test_spearmanr,-0.246864810382041,0.8059319865610051,Random Forest,AutoGluon,1.0,ns,False
test_spearmanr,-1.477444275793578,0.1459556516946197,XGBoost,AutoGluon,1.0,ns,False
