metric,t-stat,p-val,model_1,model_2,p-val-corrected,significance
test_r2,-0.9064949676986128,0.369110215383992,Linear Regression,Ridge Regression,1.0,ns
test_r2,1.488282718884184,0.14308431915834996,Linear Regression,SVM-linear,1.0,ns
test_r2,0.9496214283671699,0.3469650660718514,Linear Regression,SVM-rbf,1.0,ns
test_r2,0.20237671989154923,0.8404601681717208,Linear Regression,Random Forest,1.0,ns
test_r2,0.4725318072393224,0.638416971398249,Linear Regression,XGBoost,1.0,ns
test_r2,0.07108869853681862,0.9435850298045321,Linear Regression,AutoGluon,1.0,ns
test_r2,1.4968691883683822,0.1408414513578745,Ridge Regression,SVM-linear,1.0,ns
test_r2,0.9556440104818159,0.34394329362605514,Ridge Regression,SVM-rbf,1.0,ns
test_r2,0.20715669128644199,0.8367459909094666,Ridge Regression,Random Forest,1.0,ns
test_r2,0.47493091604543136,0.636716777740791,Ridge Regression,XGBoost,1.0,ns
test_r2,0.07334699693201695,0.9417960959338443,Ridge Regression,AutoGluon,1.0,ns
test_r2,-0.7124727028861995,0.4795511446627948,SVM-linear,SVM-rbf,1.0,ns
test_r2,-1.1850090360916055,0.24172947218818466,SVM-linear,Random Forest,1.0,ns
test_r2,-0.15978399299294657,0.8736365998167441,SVM-linear,XGBoost,1.0,ns
test_r2,-0.7031705844541566,0.48491545936935276,SVM-linear,AutoGluon,1.0,ns
test_r2,-0.7855231036294095,0.4359289107481218,SVM-rbf,Random Forest,1.0,ns
test_r2,0.05817303056613297,0.953821645597166,SVM-rbf,XGBoost,1.0,ns
test_r2,-0.44475907633504136,0.6582392564249502,SVM-rbf,AutoGluon,1.0,ns
test_r2,0.4313159733503742,0.6679245707707897,Random Forest,XGBoost,1.0,ns
test_r2,0.009545786668623905,0.9924182211361687,Random Forest,AutoGluon,1.0,ns
test_r2,-1.4821859037528338,0.14469394794720272,XGBoost,AutoGluon,1.0,ns
train_r2,7.040794882959956,5.735625926770912e-09,Linear Regression,Ridge Regression,1.2044814446218915e-07,****
train_r2,15.844133986788083,6.467457577806057e-21,Linear Regression,SVM-linear,1.358166091339272e-19,****
train_r2,1.625494505857761,0.1104727200088754,Linear Regression,SVM-rbf,1.0,ns
train_r2,-5.764156036745151,5.392005781783462e-07,Linear Regression,Random Forest,1.1323212141745271e-05,****
