repeat,fold,Best_Model,score_val,score_test,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr,models_list
1,1,WeightedEnsemble_L2,0.05786896859892676,0.06020567705531521,0.06020567705531521,-15.152676509729563,-11.984936595668454,0.3263787279961173,0.3137796331595099,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1']"
1,2,WeightedEnsemble_L3,0.0670301044191991,0.021680951678898497,0.021680951678898497,-14.422856410765396,-11.861886515419863,0.22538605850567547,0.2181304886848675,"['RandomForestMSE_BAG_L1', 'LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBMXT_BAG_L2']"
1,3,WeightedEnsemble_L3,0.06865154209074709,0.016535326267431816,0.016535326267431816,-15.112503781878168,-12.116731113230689,0.14157787627084692,0.14875633050903064,"['LightGBM_BAG_L1', 'LightGBMXT_BAG_L1', 'LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'RandomForestMSE_BAG_L1']"
1,4,WeightedEnsemble_L2,0.06104066521686957,0.06800021499845765,0.06800021499845765,-15.98883729046764,-12.702624416915622,0.3064077027580974,0.266456229317632,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1']"
1,5,WeightedEnsemble_L3,0.059522000771619066,0.05597861572545282,0.05597861572545282,-16.037051927464017,-12.943008738861987,0.27182558180892524,0.2416014752968974,"['LightGBM_BAG_L2', 'LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
2,1,WeightedEnsemble_L2,0.06811131043697416,0.026624797531666466,0.026624797531666466,-14.811943795430127,-11.868514427771935,0.19531230726615598,0.20615764299428033,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1', 'RandomForestMSE_BAG_L1']"
2,2,WeightedEnsemble_L3,0.04215070022058731,0.0706083049908024,0.0706083049908024,-15.731377748297955,-12.217994825374445,0.3295389449469806,0.2851587053641012,"['RandomForestMSE_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L2']"
2,3,WeightedEnsemble_L2,0.08314161074320348,0.004587233595007234,0.004587233595007234,-15.574169364361447,-12.86472173837515,0.15470497495180252,0.1715257676372186,"['WeightedEnsemble_L2', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
2,4,WeightedEnsemble_L2,0.06510662393098665,0.02862689545850372,0.02862689545850372,-15.322138054970324,-12.190955483701808,0.1692856720627929,0.1749430153363669,"['WeightedEnsemble_L2', 'LightGBMXT_BAG_L1', 'RandomForestMSE_BAG_L1']"
2,5,WeightedEnsemble_L3,0.061178566198776485,0.030631042078140824,0.030631042078140824,-15.87864493417594,-12.830986203526605,0.17879168394690517,0.18865392660843058,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'RandomForestMSE_BAG_L1', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L2']"
