repeat,fold,Best_Model,score_val,score_test,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr,models_list
1,1,WeightedEnsemble_L3,0.10760359975738898,0.07724879140334151,0.07724879140334151,-15.014651432260798,-11.652129720654008,0.2882278689629661,0.28854605814686407,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1']"
1,2,WeightedEnsemble_L3,0.11734580664856853,0.018840988538947778,0.018840988538947778,-14.443775301048163,-11.869068078035433,0.22317596878382112,0.21840891791456837,"['LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2']"
1,3,WeightedEnsemble_L3,0.1318445589725994,0.008286866161090867,0.008286866161090867,-15.175746826407433,-12.234176838891747,0.17849763722630793,0.20359419855228966,"['LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2']"
1,4,WeightedEnsemble_L3,0.08910725383907114,0.14403908195384885,0.14403908195384885,-15.322722795935594,-11.939661669307911,0.4207374670422268,0.4239754321455811,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1', 'RandomForestMSE_BAG_L1']"
1,5,WeightedEnsemble_L3,0.10341927951490049,0.12246385404779836,0.12246385404779836,-15.46201628877319,-12.404940813956175,0.3583810944187228,0.3415186330647923,"['LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'RandomForestMSE_BAG_L1']"
2,1,WeightedEnsemble_L3,0.11015543502229364,0.09859761515761156,0.09859761515761156,-14.253819922721513,-11.38400121835562,0.3294866865255348,0.3470340170894081,"['LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBMXT_BAG_L2']"
2,2,WeightedEnsemble_L3,0.08718190280124116,0.1365563129857268,0.1365563129857268,-15.162973474974082,-11.797020996816059,0.4121986658171903,0.37697411562005306,"['LightGBMXT_BAG_L2', 'LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1']"
2,3,WeightedEnsemble_L3,0.11194738706207719,0.048983430693842145,0.048983430693842145,-15.222897803400945,-12.401136499890208,0.25323951270495926,0.26761157612593545,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L2']"
2,4,WeightedEnsemble_L2,0.10650653479325434,0.05689117959273016,0.05689117959273016,-15.097576439286495,-11.92061748166056,0.2422676308781503,0.23794322287694272,"['WeightedEnsemble_L2', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
2,5,WeightedEnsemble_L2,0.1121208285241555,0.049947734684963496,0.049947734684963496,-15.719641316179567,-12.62207992824577,0.2293095247545071,0.21646608843962287,"['LightGBM_BAG_L1', 'WeightedEnsemble_L2', 'LightGBMXT_BAG_L1']"
3,1,WeightedEnsemble_L3,0.10684007435462961,0.09222122148264844,0.09222122148264844,-14.800518404364537,-12.104433251555855,0.31004243112723034,0.3156550967280883,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L2']"
3,2,WeightedEnsemble_L3,0.11958463369121664,0.058165669516529794,0.058165669516529794,-15.21108996514709,-11.63458209065996,0.2531485562629051,0.29157671935457136,"['WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1']"
3,3,WeightedEnsemble_L2,0.09262340829671023,0.11108844088830505,0.11108844088830505,-14.785114066235158,-11.981455718271832,0.3472324480426182,0.31644466479817357,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1']"
3,4,WeightedEnsemble_L3,0.12751201545168445,0.0597951149298267,0.0597951149298267,-15.694597307734455,-12.634062343800561,0.2487758557123458,0.22810068318492577,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L2']"
3,5,WeightedEnsemble_L2,0.11899720085947474,0.03421651650989643,0.03421651650989643,-15.3178810355988,-12.228881700504461,0.2220880237249753,0.19860241327672504,"['CatBoost_BAG_L1', 'LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1']"
4,1,WeightedEnsemble_L3,0.12621488632782996,0.04572492354829183,0.04572492354829183,-16.716077654560376,-13.248318282810189,0.22049835486287253,0.19930614314651038,"['LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2']"
4,2,WeightedEnsemble_L2,0.10536599570733718,0.0789942355635842,0.0789942355635842,-13.857060337286878,-10.978448427640474,0.2843998725449271,0.2931359100315848,"['LightGBM_BAG_L1', 'WeightedEnsemble_L2', 'LightGBMXT_BAG_L1']"
4,3,WeightedEnsemble_L3,0.11678897628278284,0.07162257428804042,0.07162257428804042,-16.011433319672875,-12.815066343228493,0.27032953214327937,0.28453321380593855,"['LightGBMXT_BAG_L1', 'LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1']"
4,4,WeightedEnsemble_L2,0.09883197148221656,0.11142923957681339,0.11142923957681339,-14.39238369664355,-11.47293122421355,0.34243258855202646,0.29442073728110413,"['LightGBM_BAG_L1', 'WeightedEnsemble_L2', 'LightGBMXT_BAG_L1']"
4,5,WeightedEnsemble_L3,0.10255441867916992,0.10322888452165468,0.10322888452165468,-14.358879757212,-11.627574130628236,0.32242598430564534,0.30699879028838345,"['WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1']"
5,1,WeightedEnsemble_L3,0.11006279730866764,0.0569752447408195,0.0569752447408195,-15.491817574114064,-12.22005638709435,0.24663490024376253,0.23929733556165494,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L2']"
5,2,WeightedEnsemble_L2,0.08656562665516598,0.12371949478203348,0.12371949478203348,-14.431942183315979,-11.661629513170592,0.373794317760672,0.3727112627010939,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1']"
5,3,WeightedEnsemble_L3,0.12826234304321438,0.06342020954859251,0.06342020954859251,-14.290877579416819,-11.27965247701611,0.2753714796091176,0.2664483059229728,"['WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
5,4,WeightedEnsemble_L2,0.10249494754194621,0.12183341582052298,0.12183341582052298,-15.058376822815156,-11.953922249156342,0.3619499349270629,0.33710532496454065,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1']"
5,5,WeightedEnsemble_L2,0.12281774174787985,0.06460698397478448,0.06460698397478448,-15.913669022229369,-12.826946235972748,0.2559047626266968,0.25316739705053887,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1']"
6,1,WeightedEnsemble_L3,0.10491387438086763,0.10130993360975116,0.10130993360975116,-15.068231938962695,-12.103908719395745,0.3292085506759084,0.32541857285054193,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1']"
6,2,WeightedEnsemble_L2,0.1273705800884254,0.03109569397361578,0.03109569397361578,-15.224779351482235,-12.323669411021577,0.2029769002264237,0.1994324946433105,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1']"
6,3,WeightedEnsemble_L2,0.07438463420210506,0.12854696579284153,0.12854696579284153,-14.781236092109722,-11.890181637374607,0.4131125034747824,0.41894665307689294,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
6,4,WeightedEnsemble_L3,0.10430167797307754,0.1165208989194707,0.1165208989194707,-14.679901437413701,-11.575836565367569,0.3507172682819827,0.3288673894779758,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1']"
6,5,WeightedEnsemble_L2,0.11129960113960302,0.05300575277049946,0.05300575277049946,-15.432678754886195,-12.113001377624872,0.26028408844235695,0.27453820389859573,"['LightGBM_BAG_L1', 'WeightedEnsemble_L2', 'LightGBMXT_BAG_L1']"
7,1,WeightedEnsemble_L3,0.09897756973203753,0.13835175817363343,0.13835175817363343,-14.978601208927994,-11.722258934607872,0.40539981126006086,0.38708740301237565,"['LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
7,2,WeightedEnsemble_L3,0.10736667036923353,0.08917584458830263,0.08917584458830263,-14.06708760776229,-11.143546967816777,0.2987899597252291,0.2793893004446404,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1']"
7,3,WeightedEnsemble_L3,0.13514272091783797,0.00031510102225951186,0.00031510102225951186,-15.730153890127543,-12.605876516308305,0.17804646772110944,0.14223458711738374,"['LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2']"
7,4,WeightedEnsemble_L3,0.11530583054855403,0.09812459277656282,0.09812459277656282,-14.962278049771795,-11.80728822064823,0.32437905059669225,0.30844337651616077,"['WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
7,5,WeightedEnsemble_L2,0.1133971295375783,0.0575715263556531,0.0575715263556531,-15.793085057923248,-12.717020768385668,0.25562063773775684,0.2506158362192203,"['WeightedEnsemble_L2', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
8,1,WeightedEnsemble_L3,0.10047451601397539,0.10562045648142038,0.10562045648142038,-13.801947884873625,-11.120565132276546,0.33743902162999095,0.340127734004011,"['LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
8,2,WeightedEnsemble_L3,0.0994331376423715,0.10097376032289274,0.10097376032289274,-14.748682715565698,-12.112569301086065,0.32746610685705013,0.30617976908427535,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L2']"
8,3,WeightedEnsemble_L3,0.11609983426870141,0.059651338392871844,0.059651338392871844,-15.089792947274297,-11.777411917962972,0.26520922455160184,0.24239761949584152,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1']"
8,4,WeightedEnsemble_L3,0.11029377228243553,0.114960565966155,0.114960565966155,-14.501553634970923,-11.429888640635113,0.341534195283158,0.3642402226342572,"['LightGBM_BAG_L1', 'LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2']"
8,5,WeightedEnsemble_L3,0.13853382746320952,0.04570852286120619,0.04570852286120619,-17.016161320217876,-13.45630074675972,0.2187096812957669,0.23151511173441633,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1']"
9,1,WeightedEnsemble_L3,0.11014496375374949,0.0746383609401381,0.0746383609401381,-15.40827072123933,-12.242022181403707,0.2756893789866291,0.295313614262776,"['LightGBMXT_BAG_L2', 'LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1']"
9,2,WeightedEnsemble_L2,0.11106127913369068,0.08391951827410082,0.08391951827410082,-15.480530067948678,-12.2272271150668,0.3105908577912924,0.2791320381412359,"['WeightedEnsemble_L2', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
9,3,WeightedEnsemble_L3,0.12176058636833342,0.04803872571948831,0.04803872571948831,-15.304393414800451,-12.168286927352996,0.2282345109442338,0.266057909735189,"['LightGBM_BAG_L1', 'LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2']"
9,4,WeightedEnsemble_L3,0.11754207562588359,0.08885544599432527,0.08885544599432527,-14.471255554099091,-11.68384287907527,0.31892095231001066,0.2853987297063954,"['WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
9,5,WeightedEnsemble_L3,0.09962834658908715,0.11871090327344325,0.11871090327344325,-14.681002044714232,-11.6757593775642,0.3639774968480594,0.3375935672050404,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1']"
10,1,WeightedEnsemble_L3,0.09038653445118916,0.11992125112523921,0.11992125112523921,-14.3332737981334,-11.430298438439003,0.36672514110981747,0.33352858299976185,"['LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBMXT_BAG_L1']"
