repeat,fold,Best_Model,score_val,score_test,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr,models_list
1,1,WeightedEnsemble_L3,0.022305527202315933,0.020335668408632768,0.020335668408632768,-15.470757943475963,-12.190454652323526,0.17345205160957405,0.11440222381437626,"['LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
1,2,WeightedEnsemble_L3,0.0475398535585797,0.0029313875811822765,0.0029313875811822765,-14.560408099056287,-12.132713701598037,0.17986498610256857,0.19222152009405094,"['WeightedEnsemble_L3', 'CatBoost_BAG_L1', 'LightGBMXT_BAG_L2', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'RandomForestMSE_BAG_L1']"
1,3,WeightedEnsemble_L3,0.032909375551632314,0.006957375094425067,0.006957375094425067,-15.185915725901133,-12.26010741284613,0.1069881158312772,0.1088889373400897,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1']"
1,4,WeightedEnsemble_L2,0.017956729503070368,0.020893352554008482,0.020893352554008482,-16.38792532930894,-13.047477180435813,0.17357550351454362,0.18730370410503902,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
1,5,WeightedEnsemble_L3,0.0443019977441218,-0.029532010530991526,-0.029532010530991526,-16.747637286026933,-13.597527520896415,-0.036004721916326206,-0.05213248540179347,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L2']"
2,1,WeightedEnsemble_L2,0.019818914834756396,0.005686878328424183,0.005686878328424183,-14.970403350044913,-12.129270429441915,0.12954433885156613,0.14544915907456496,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1', 'CatBoost_BAG_L1']"
2,2,WeightedEnsemble_L2,0.025880754538573192,0.017514132546237904,0.017514132546237904,-16.17448725193206,-12.569598948461769,0.1364723440216523,0.1377018078515835,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1']"
2,3,WeightedEnsemble_L3,0.029509092976636175,0.004319748162236459,0.004319748162236459,-15.576261754448215,-12.928146497737727,0.13121811052803284,0.1372399336064479,"['WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'RandomForestMSE_BAG_L1']"
2,4,WeightedEnsemble_L2,0.024493416352399322,0.00966482526306145,0.00966482526306145,-15.470966157854907,-12.271350025425296,0.10139576083557941,0.07567425626113287,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
2,5,WeightedEnsemble_L3,0.048703258416687545,-0.001188464277526613,-0.001188464277526613,-16.13714873446168,-13.310471799952039,0.0637857026734742,0.044510977945297174,"['WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
3,1,WeightedEnsemble_L2,0.04373915688181318,-0.007490715220056732,-0.007490715220056732,-15.592201572647102,-12.83857013770109,0.06661542863935031,0.054075238732438774,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
3,2,WeightedEnsemble_L3,0.046681749946112516,-0.029851472104989174,-0.029851472104989174,-15.905977861763917,-12.491917559381067,0.010344593149647417,0.011794884355919827,"['LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'RandomForestMSE_BAG_L1']"
3,3,WeightedEnsemble_L2,0.01838751459930199,0.028934224092436955,0.028934224092436955,-15.453246302811843,-12.65695429694723,0.2320568716574369,0.18685781095316795,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'CatBoost_BAG_L1']"
3,4,WeightedEnsemble_L2,0.028918648268468794,0.011075749259266243,0.011075749259266243,-16.096091746989067,-12.974456425954605,0.11216992837199316,0.10910623428190977,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'CatBoost_BAG_L1']"
3,5,WeightedEnsemble_L2,0.015731962676727496,0.009554992510294569,0.009554992510294569,-15.512221196000745,-12.350309563811715,0.14194289519262138,0.12201024126459996,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
4,1,WeightedEnsemble_L2,0.019854839589034445,-0.0042670976662124716,-0.0042670976662124716,-17.148344773821083,-13.845513157590606,0.03218697579787157,0.0375812808755826,"['CatBoost_BAG_L1', 'WeightedEnsemble_L2', 'LightGBMXT_BAG_L1']"
4,2,WeightedEnsemble_L3,0.021629509810608294,0.0107150464636937,0.0107150464636937,-14.3615275503143,-11.488325175448988,0.11851566081697607,0.13666311336256756,"['LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
4,3,WeightedEnsemble_L3,0.03556946739989797,0.018065798083676587,0.018065798083676587,-16.4667965159781,-13.010449652135724,0.15027238565441475,0.14643949439007187,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1']"
4,4,WeightedEnsemble_L2,0.03310827900276436,-0.003638393767291026,-0.003638393767291026,-15.295911175273297,-12.46869316326796,0.055424982639491985,-0.006710141922370909,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
4,5,WeightedEnsemble_L3,0.026446672678576366,0.011532975755218278,0.011532975755218278,-15.075122357591622,-12.293505922577085,0.10942371478365995,0.10792573057889664,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1']"
5,1,WeightedEnsemble_L3,0.035076732140656874,-0.015870108257959314,-0.015870108257959314,-16.079032692947624,-12.870679595766688,0.006878664947008283,-0.020868188559509938,"['LightGBM_BAG_L1', 'LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1']"
5,2,WeightedEnsemble_L3,0.027980189224687146,-0.005410996050658756,-0.005410996050658756,-15.458773027836466,-12.63006555681398,0.060783688633764106,0.055787845001491296,"['LightGBM_BAG_L1', 'LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2']"
5,3,WeightedEnsemble_L3,0.03202802517235914,0.002758080724940659,0.002758080724940659,-14.746425826703907,-11.967361675917044,0.1152984816967499,0.0907556083371356,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L2']"
5,4,WeightedEnsemble_L2,0.01987604963470946,0.0216491598164551,0.0216491598164551,-15.894139420082032,-12.5971386926414,0.15183339823136446,0.13875440803779976,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
5,5,WeightedEnsemble_L3,0.02195848141024448,0.013373851254091185,0.013373851254091185,-16.343669462523355,-13.174649977825098,0.1343840066855744,0.18638979749298448,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1']"
6,1,WeightedEnsemble_L3,0.03368184488615489,0.0005494127785007352,0.0005494127785007352,-15.890515622076627,-12.763161134437697,0.06597095805334843,0.10128538534791642,"['LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L1']"
6,2,WeightedEnsemble_L3,0.03605159658624435,-0.01414074333191162,-0.01414074333191162,-15.576134178792376,-12.846771623961319,-0.006189605219933225,-0.010894498557258664,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1']"
6,3,WeightedEnsemble_L2,0.01301577598913628,0.032667475834608606,0.032667475834608606,-15.57315677462879,-12.70498490192481,0.2748487094138733,0.28712701535384794,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1']"
6,4,WeightedEnsemble_L3,0.04226049585351099,-0.00180438884958245,-0.00180438884958245,-15.632069036303472,-12.387077173537756,0.0743814506494524,0.025858638273951216,"['LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2']"
6,5,WeightedEnsemble_L3,0.044259865958226285,-0.01082773502876444,-0.01082773502876444,-15.944328019603022,-12.560414511776536,0.07214728644288489,0.04762784934394309,"['LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
7,1,WeightedEnsemble_L3,0.017031768102981126,0.028538807927074084,0.028538807927074084,-15.904462014056747,-12.658691857693464,0.28574239112484867,0.2887971311264316,"['LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
7,2,WeightedEnsemble_L3,0.04587233406491564,-0.03050718862133328,-0.03050718862133328,-14.96278498418721,-12.208938350338908,0.010855788008365298,-0.001535381738013361,"['LightGBM_BAG_L1', 'LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1']"
7,3,WeightedEnsemble_L2,0.04273377144750867,0.0099334961972104,0.0099334961972104,-15.654297725121227,-12.64383950318105,0.11954212324781019,0.0678307892906658,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
7,4,WeightedEnsemble_L2,0.027787935755040905,0.011756718657024545,0.011756718657024545,-15.662330502337968,-12.577129341441498,0.12607412092683049,0.14612858409080645,"['WeightedEnsemble_L2', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
7,5,WeightedEnsemble_L3,0.037709483142682854,-0.008195104410561926,-0.008195104410561926,-16.33484684942212,-13.145414183125693,0.036534735712995474,0.08570922122139486,"['LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2']"
8,1,WeightedEnsemble_L3,0.04204073565708266,0.009905813440410416,0.009905813440410416,-14.521708334250896,-11.79842331564638,0.11246274793290217,0.1301224439517404,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1']"
8,2,WeightedEnsemble_L2,0.03301013224212923,-0.010779610794482197,-0.010779610794482197,-15.638506879852615,-12.987876553507245,0.05870519077512256,0.0463563298282168,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
8,3,WeightedEnsemble_L3,0.03849197232521995,0.003884329210278592,0.003884329210278592,-15.530795868845447,-12.281691376274154,0.10617154975740821,0.10302780010033159,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1']"
8,4,WeightedEnsemble_L2,0.027485724840179526,-0.00047907329438690027,-0.00047907329438690027,-15.418326102550884,-12.562946251863558,0.056023253382003604,0.07891348571484498,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
8,5,WeightedEnsemble_L3,0.052124225660012624,0.024987781720427038,0.024987781720427038,-17.199907078831405,-13.471247859255097,0.17288852104311883,0.2093919395995825,"['WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
9,1,WeightedEnsemble_L2,0.030987600377644697,0.015888974442216153,0.015888974442216153,-15.889864842930379,-13.004794239292483,0.14177560275196688,0.11451991387383176,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
9,2,WeightedEnsemble_L3,0.03628488921668205,-0.019960268579151563,-0.019960268579151563,-16.334680322778357,-13.112750713641827,-0.003258607803858976,-0.005112138615331794,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L2']"
9,3,WeightedEnsemble_L3,0.04449374988054844,-0.0032520921104648437,-0.0032520921104648437,-15.711278148473106,-12.669927156888521,0.05453489798656445,-0.003643340821205389,"['LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2']"
9,4,WeightedEnsemble_L3,0.038087683706120146,-0.02512566915911507,-0.02512566915911507,-15.349743594744483,-12.166709787041478,0.02938954277427479,0.044646404759668946,"['LightGBMXT_BAG_L2', 'LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1']"
9,5,WeightedEnsemble_L3,0.032308298971222005,0.022304403945131,0.022304403945131,-15.463162864647817,-12.369088438135632,0.1496746485419057,0.15742381934129082,"['WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1']"
10,1,WeightedEnsemble_L3,0.020490306374912004,0.041831051919091866,0.041831051919091866,-14.955663188340175,-11.953861304288786,0.2799020049747898,0.28642925299317257,"['WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
10,2,WeightedEnsemble_L3,0.05423964052514141,-0.004414255460234884,-0.004414255460234884,-15.114572611129928,-11.901307100375023,0.06338345421956947,0.0452166444563242,"['LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2']"
10,3,WeightedEnsemble_L3,0.04778315370003039,-0.026771178113105032,-0.026771178113105032,-16.476891430112033,-13.394980300813032,0.060079177447439965,0.04713366036757754,"['LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2']"
10,4,WeightedEnsemble_L3,0.03588762954136082,-0.010017036928331002,-0.010017036928331002,-15.644619724200446,-12.936541337233324,0.04583293580173223,0.09046998767963885,"['WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
10,5,WeightedEnsemble_L3,0.057511808700392186,-0.015236210291080354,-0.015236210291080354,-16.484030077286338,-13.117746025852902,0.022797804628263082,0.07393272439794814,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1']"
