repeat,fold,Best_Model,score_val,score_test,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr,models_list
1,1,WeightedEnsemble_L2,0.07247343804049455,0.03491935325671269,0.03491935325671269,-15.355174151197104,-12.172526252340283,0.20219150892129725,0.14221771568683056,"['WeightedEnsemble_L2', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetFastAI_r145_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1']"
1,2,WeightedEnsemble_L3,0.09514516721130162,0.0032747556214726137,0.0032747556214726137,-14.557900744375615,-11.932045547214486,0.1785044213909607,0.19526166627781216,"['NeuralNetTorch_r22_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetTorch_BAG_L1', 'CatBoost_BAG_L1', 'WeightedEnsemble_L3', 'XGBoost_BAG_L2', 'LightGBM_r96_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'LightGBMXT_BAG_L1', 'NeuralNetTorch_BAG_L2', 'CatBoost_r177_BAG_L1', 'CatBoost_r9_BAG_L1', 'XGBoost_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'LightGBM_BAG_L1', 'LightGBMLarge_BAG_L1', 'LightGBM_r131_BAG_L1', 'RandomForestMSE_BAG_L1', 'ExtraTreesMSE_BAG_L1']"
1,3,WeightedEnsemble_L2,0.08441648686072056,0.0220150138088141,0.0220150138088141,-15.070342900816117,-12.1523400481636,0.16475387948441306,0.14585093832277712,"['WeightedEnsemble_L2', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetTorch_r22_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
1,4,WeightedEnsemble_L3,0.10076678222746804,-0.010918962104267349,-0.010918962104267349,-16.65202860635405,-13.2699304388825,0.07690782195403498,0.10599041133640741,"['NeuralNetFastAI_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'CatBoost_r177_BAG_L1', 'LightGBMXT_BAG_L1', 'CatBoost_BAG_L1', 'LightGBM_r96_BAG_L1', 'NeuralNetTorch_r22_BAG_L1', 'XGBoost_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'CatBoost_r9_BAG_L1', 'LightGBM_BAG_L1', 'NeuralNetTorch_BAG_L1', 'LightGBMLarge_BAG_L1', 'LightGBM_r131_BAG_L1', 'RandomForestMSE_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'ExtraTreesMSE_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetTorch_BAG_L2', 'RandomForestMSE_BAG_L2']"
1,5,WeightedEnsemble_L3,0.11124303497289634,-0.043305682039640914,-0.043305682039640914,-16.85929483519963,-13.668712931977222,-0.04020020547077845,-0.02179896822401066,"['LightGBM_BAG_L1', 'LightGBM_r96_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'CatBoost_r9_BAG_L1', 'LightGBMXT_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'LightGBMLarge_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'XGBoost_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_r131_BAG_L1', 'NeuralNetTorch_BAG_L1', 'CatBoost_BAG_L2', 'NeuralNetFastAI_BAG_L2', 'CatBoost_BAG_L1', 'CatBoost_r177_BAG_L1', 'LightGBMXT_BAG_L2', 'ExtraTreesMSE_BAG_L1', 'RandomForestMSE_BAG_L1']"
2,1,WeightedEnsemble_L2,0.08146980390462266,0.019580478348768304,0.019580478348768304,-14.865444214506732,-12.067553345268294,0.17262612763100738,0.15287617415218702,"['NeuralNetTorch_r22_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
2,2,WeightedEnsemble_L3,0.08872878465278622,0.007412837800117145,0.007412837800117145,-16.257422519939905,-12.492106691620053,0.1091806118017611,0.1623521160054564,"['NeuralNetFastAI_r191_BAG_L1', 'LightGBM_r96_BAG_L1', 'NeuralNetTorch_BAG_L1', 'CatBoost_r177_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'CatBoost_BAG_L1', 'LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'CatBoost_r9_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'NeuralNetTorch_BAG_L2', 'LightGBM_BAG_L1', 'LightGBM_r131_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'XGBoost_BAG_L1', 'LightGBMLarge_BAG_L1', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L2', 'ExtraTreesMSE_BAG_L1', 'RandomForestMSE_BAG_L1']"
2,3,WeightedEnsemble_L2,0.06333715823824326,0.021318019551651357,0.021318019551651357,-15.442730275964262,-12.717297886955668,0.18548061522511886,0.17153831276492834,"['NeuralNetTorch_r22_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1']"
2,4,WeightedEnsemble_L2,0.0926123474812276,0.005525751990807071,0.005525751990807071,-15.503262644479586,-12.293832587067191,0.1194129212144432,0.10847575804681844,"['NeuralNetFastAI_r102_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetTorch_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
2,5,WeightedEnsemble_L2,0.08550450833086154,0.017464096279233066,0.017464096279233066,-15.986121079226793,-13.140263122919748,0.13536224963041993,0.11211507761276204,"['NeuralNetFastAI_r191_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetTorch_BAG_L1']"
3,1,WeightedEnsemble_L3,0.08981431576819066,-0.029790570308366293,-0.029790570308366293,-15.763816461763504,-12.877391815185547,0.050836320948016864,0.04158381601223293,"['CatBoost_r9_BAG_L1', 'CatBoost_BAG_L1', 'XGBoost_BAG_L1', 'CatBoost_r177_BAG_L1', 'LightGBMXT_BAG_L1', 'LightGBM_r131_BAG_L1', 'LightGBM_BAG_L1', 'LightGBMLarge_BAG_L1', 'WeightedEnsemble_L3', 'NeuralNetTorch_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'RandomForestMSE_BAG_L1']"
3,2,WeightedEnsemble_L2,0.07541116542541249,0.012869113674739974,0.012869113674739974,-15.572575566180504,-12.102520372740615,0.1430088710745157,0.13415849578022354,"['WeightedEnsemble_L2', 'NeuralNetTorch_r22_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
3,3,WeightedEnsemble_L2,0.06341465229784304,0.03252884937606404,0.03252884937606404,-15.424617896190714,-12.545437468579536,0.1913898880960561,0.17724028622593718,"['NeuralNetTorch_r22_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetTorch_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
3,4,WeightedEnsemble_L2,0.07801780429944138,0.027830425240635392,0.027830425240635392,-15.959156661448779,-12.80031405115974,0.1744009058418195,0.16887290944869507,"['WeightedEnsemble_L2', 'NeuralNetTorch_r22_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_BAG_L1']"
3,5,WeightedEnsemble_L2,0.06080564058138094,0.013471205197916558,0.013471205197916558,-15.481523213552643,-12.372164619039502,0.13559694008865944,0.08637213528444362,"['NeuralNetTorch_r22_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
4,1,WeightedEnsemble_L2,0.07149780461255284,-0.011542668247602306,-0.011542668247602306,-17.210349612876087,-13.840225039149177,0.04300678906633808,0.03500649932393328,"['NeuralNetFastAI_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetTorch_BAG_L1']"
4,2,WeightedEnsemble_L2,0.05932795834420679,0.04664061361448779,0.04664061361448779,-14.09834900101079,-11.254392590043107,0.2180424128623254,0.25709113528356786,"['WeightedEnsemble_L2', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetTorch_BAG_L1']"
4,3,WeightedEnsemble_L2,0.06734773759715884,0.02089086515128058,0.02089086515128058,-16.44309161164435,-12.858318261140901,0.16430634232076666,0.1530143339427359,"['WeightedEnsemble_L2', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetTorch_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
