repeat,fold,Best_Model,score_val,score_test,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr,models_list
1,1,WeightedEnsemble_L2,0.07671711539447923,0.020999168409196467,0.020999168409196467,-15.465518094383008,-12.144770018447785,0.17027605988804617,0.13904106150719053,"['NeuralNetTorch_r22_BAG_L1', 'NeuralNetFastAI_r145_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
1,2,WeightedEnsemble_L2,0.07782431810727619,0.016614406371709967,0.016614406371709967,-14.460154923099255,-11.903713158601839,0.2318893181131737,0.27095929955631554,"['NeuralNetTorch_r22_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetTorch_BAG_L1', 'NeuralNetFastAI_r145_BAG_L1']"
1,3,WeightedEnsemble_L3,0.10906339733739223,-0.01606254365920634,-0.01606254365920634,-15.36092119484401,-12.448589686105942,0.030650564180426148,0.001356851978315045,"['NeuralNetFastAI_r191_BAG_L1', 'NeuralNetTorch_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'XGBoost_BAG_L1', 'CatBoost_r177_BAG_L1', 'NeuralNetTorch_r22_BAG_L1', 'CatBoost_r9_BAG_L1', 'LightGBMLarge_BAG_L1', 'CatBoost_BAG_L1', 'LightGBM_r131_BAG_L1', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L1', 'LightGBM_r96_BAG_L1', 'NeuralNetTorch_BAG_L2', 'WeightedEnsemble_L3', 'NeuralNetFastAI_BAG_L2', 'NeuralNetTorch_r79_BAG_L1', 'LightGBMXT_BAG_L2', 'ExtraTreesMSE_BAG_L2', 'ExtraTreesMSE_BAG_L1', 'RandomForestMSE_BAG_L1']"
1,4,WeightedEnsemble_L3,0.10278727338526661,0.01155082024619103,0.01155082024619103,-16.465925630465186,-13.026563633123093,0.12331005552490666,0.14528655123459797,"['NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'NeuralNetTorch_r22_BAG_L1', 'LightGBMXT_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'CatBoost_r177_BAG_L1', 'RandomForestMSE_BAG_L1', 'CatBoost_BAG_L1', 'XGBoost_BAG_L1', 'LightGBM_r96_BAG_L1', 'CatBoost_r9_BAG_L1', 'NeuralNetTorch_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'LightGBM_r131_BAG_L1', 'LightGBMLarge_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'LightGBMXT_BAG_L2']"
1,5,WeightedEnsemble_L2,0.09397488788362163,-0.030201634284338308,-0.030201634284338308,-16.75308286356935,-13.512298809706106,0.009227135782698745,-0.015293831600305204,"['NeuralNetTorch_r79_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetTorch_r22_BAG_L1']"
2,1,WeightedEnsemble_L2,0.07912069000563393,0.007355157928423783,0.007355157928423783,-14.95783924796009,-12.068023230197161,0.15111973736035905,0.1627751004083864,"['NeuralNetFastAI_r191_BAG_L1', 'NeuralNetTorch_r22_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
2,2,WeightedEnsemble_L2,0.08752621912280045,0.01763534989917248,0.01763534989917248,-16.1734894314681,-12.446274819458731,0.13903800041089134,0.17691518767067474,"['NeuralNetTorch_r22_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetFastAI_r102_BAG_L1']"
2,3,WeightedEnsemble_L2,0.06197330018161029,0.03190170710011786,0.03190170710011786,-15.359002715339397,-12.601352646506044,0.2078034571571092,0.2030955815188265,"['NeuralNetTorch_r79_BAG_L1', 'NeuralNetTorch_r22_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_BAG_L1']"
2,4,WeightedEnsemble_L3,0.11493402202437997,-0.004504590764009331,-0.004504590764009331,-15.581250033096136,-12.320553119365986,0.1048968334550646,0.05321620318385125,"['NeuralNetTorch_BAG_L1', 'LightGBMLarge_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'XGBoost_BAG_L1', 'LightGBM_r131_BAG_L1', 'LightGBM_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'CatBoost_r9_BAG_L1', 'LightGBMXT_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'CatBoost_BAG_L1', 'CatBoost_r177_BAG_L1', 'WeightedEnsemble_L3', 'NeuralNetTorch_r79_BAG_L1', 'CatBoost_BAG_L2', 'RandomForestMSE_BAG_L1', 'ExtraTreesMSE_BAG_L1']"
2,5,WeightedEnsemble_L2,0.08564590443821607,-0.0057731151969615535,-0.0057731151969615535,-16.174054219125935,-13.277829006578795,0.06277702608291069,0.03966923528103658,"['NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetTorch_BAG_L1']"
