repeat,fold,Best_Model,score_val,score_test,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr,models_list
1,1,WeightedEnsemble_L2,0.14778462038148354,0.11844464327594506,0.11844464327594506,-14.675663237962208,-11.4007688669058,0.3578708696977121,0.36303346167456824,"['NeuralNetTorch_r22_BAG_L1', 'NeuralNetFastAI_r102_BAG_L1', 'WeightedEnsemble_L2', 'CatBoost_r137_BAG_L1', 'NeuralNetTorch_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
1,2,WeightedEnsemble_L2,0.16932236170989767,0.025206729903632263,0.025206729903632263,-14.396843581779114,-11.825156194923897,0.24714123948612993,0.23871920145410186,"['NeuralNetTorch_r79_BAG_L1', 'NeuralNetTorch_r22_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetTorch_BAG_L1', 'XGBoost_BAG_L1', 'LightGBMLarge_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_r102_BAG_L1']"
1,3,WeightedEnsemble_L3,0.18305932375561906,0.02512629735599392,0.02512629735599392,-15.046352010597323,-11.998792772462382,0.2300221540149621,0.2355171795379474,"['NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'CatBoost_r9_BAG_L1', 'LightGBMXT_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'CatBoost_r177_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMLarge_BAG_L1', 'CatBoost_BAG_L1', 'LightGBM_BAG_L1', 'XGBoost_BAG_L1', 'LightGBM_r131_BAG_L1', 'CatBoost_BAG_L2', 'ExtraTreesMSE_BAG_L1', 'NeuralNetTorch_BAG_L2', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetTorch_BAG_L1', 'RandomForestMSE_BAG_L1']"
1,4,WeightedEnsemble_L2,0.14530520574427874,0.15924583004671233,0.15924583004671233,-15.18600336860577,-11.748102244540785,0.43004412664742714,0.44576233610533766,"['NeuralNetFastAI_r191_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetTorch_r22_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
1,5,WeightedEnsemble_L2,0.161700770187292,0.09320703758143356,0.09320703758143356,-15.717652754677806,-12.73080532367413,0.30564935849856273,0.28793617630600804,"['NeuralNetTorch_r79_BAG_L1', 'NeuralNetTorch_r22_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetTorch_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'NeuralNetFastAI_r102_BAG_L1']"
2,1,WeightedEnsemble_L3,0.1822209712136924,0.054270970013503006,0.054270970013503006,-14.60008138114974,-11.457398296107907,0.27307559928469705,0.2776111688119495,"['RandomForestMSE_BAG_L1', 'LightGBM_r131_BAG_L1', 'LightGBMXT_BAG_L1', 'CatBoost_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'XGBoost_BAG_L1', 'CatBoost_r177_BAG_L1', 'LightGBM_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'CatBoost_r9_BAG_L1', 'LightGBMLarge_BAG_L1', 'NeuralNetTorch_BAG_L1', 'WeightedEnsemble_L3', 'NeuralNetTorch_r79_BAG_L1', 'LightGBMXT_BAG_L2', 'NeuralNetFastAI_BAG_L2', 'XGBoost_BAG_L2']"
2,2,WeightedEnsemble_L3,0.13954665702319036,0.13793766120580442,0.13793766120580442,-15.150839660921358,-11.614332774687096,0.39534336015380644,0.405047416175829,"['NeuralNetTorch_r79_BAG_L1', 'CatBoost_BAG_L2', 'NeuralNetFastAI_BAG_L1', 'WeightedEnsemble_L3', 'NeuralNetTorch_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'CatBoost_r177_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'CatBoost_BAG_L1', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L2', 'ExtraTreesMSE_BAG_L1', 'LightGBM_BAG_L1', 'XGBoost_BAG_L1', 'RandomForestMSE_BAG_L1', 'LightGBMLarge_BAG_L1', 'LightGBM_r131_BAG_L1']"
2,3,WeightedEnsemble_L2,0.16308268528190695,0.05498287032801008,0.05498287032801008,-15.174805398198746,-12.279812423435189,0.2645064065555757,0.2817384781057622,"['NeuralNetTorch_r22_BAG_L1', 'WeightedEnsemble_L2', 'CatBoost_r177_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1']"
2,4,WeightedEnsemble_L3,0.19290406731212661,0.023910952807925434,0.023910952807925434,-15.359286929123156,-12.500744520559818,0.22641446079123492,0.18784912057051295,"['CatBoost_r177_BAG_L1', 'NeuralNetTorch_BAG_L1', 'CatBoost_BAG_L1', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'LightGBM_r131_BAG_L1', 'WeightedEnsemble_L3', 'XGBoost_BAG_L1', 'LightGBMLarge_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'ExtraTreesMSE_BAG_L1', 'LightGBM_BAG_L2', 'RandomForestMSE_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1']"
2,5,WeightedEnsemble_L2,0.16444149563958155,0.08256366988451214,0.08256366988451214,-15.447451856787307,-12.401730712348893,0.28797649312485474,0.2822997655243971,"['NeuralNetTorch_r22_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'LightGBM_BAG_L1']"
