repeat,fold,Best_Model,score_val,score_test,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr,models_list
1,1,WeightedEnsemble_L3,0.15229719452270063,0.11899077445023842,0.11899077445023842,-14.67111668349093,-11.391773607603897,0.3548857149843723,0.3563475522257566,"['WeightedEnsemble_L3', 'NeuralNetTorch_BAG_L1', 'CatBoost_BAG_L2', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'CatBoost_BAG_L1', 'XGBoost_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'LightGBMXT_BAG_L1', 'CatBoost_r177_BAG_L1', 'CatBoost_r9_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'LightGBM_BAG_L1', 'LightGBM_r131_BAG_L1', 'LightGBMLarge_BAG_L1', 'RandomForestMSE_BAG_L1']"
1,2,WeightedEnsemble_L3,0.16924698125081727,0.01626920305437507,0.01626920305437507,-14.462692714730716,-11.902975319405279,0.24442646778671065,0.22907827582927823,"['NeuralNetFastAI_BAG_L2', 'CatBoost_r177_BAG_L1', 'LightGBMXT_BAG_L1', 'NeuralNetTorch_BAG_L1', 'CatBoost_r9_BAG_L1', 'WeightedEnsemble_L3', 'XGBoost_BAG_L1', 'CatBoost_BAG_L1', 'LightGBM_r131_BAG_L1', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L2', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'LightGBMLarge_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'NeuralNetTorch_BAG_L2', 'RandomForestMSE_BAG_L1']"
1,3,WeightedEnsemble_L2,0.16247869860020492,0.009334176206405864,0.009334176206405864,-15.167731448796978,-12.13297181439823,0.19498924350573368,0.22437796352760664,"['NeuralNetFastAI_r191_BAG_L1', 'WeightedEnsemble_L2', 'XGBoost_BAG_L1', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetTorch_r22_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
1,4,WeightedEnsemble_L2,0.13574881724702204,0.15988273579798118,0.15988273579798118,-15.180250268788809,-11.746072690162434,0.4411009938059814,0.4639270717141941,"['NeuralNetFastAI_r191_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetTorch_r22_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
1,5,WeightedEnsemble_L2,0.16088391805777458,0.07850151345562983,0.07850151345562983,-15.844587328038635,-12.816008528308755,0.2810710327843629,0.26179419057860354,"['WeightedEnsemble_L2', 'NeuralNetTorch_r22_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'LightGBM_r96_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetTorch_BAG_L1']"
2,1,WeightedEnsemble_L3,0.18315620174601688,0.0659232142678563,0.0659232142678563,-14.509859456007721,-11.411182764719223,0.29236353532759757,0.3171479591179879,"['LightGBM_r131_BAG_L1', 'RandomForestMSE_BAG_L1', 'LightGBMXT_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'CatBoost_BAG_L1', 'NeuralNetTorch_BAG_L1', 'XGBoost_BAG_L1', 'CatBoost_r177_BAG_L1', 'LightGBM_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'CatBoost_r9_BAG_L1', 'LightGBMLarge_BAG_L1', 'WeightedEnsemble_L3', 'XGBoost_BAG_L2', 'NeuralNetFastAI_BAG_L2', 'NeuralNetTorch_r79_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'LightGBMXT_BAG_L2']"
2,2,WeightedEnsemble_L2,0.12659306674678084,0.12936103754510742,0.12936103754510742,-15.22602067878674,-11.702153471094617,0.3877803730782876,0.38785725111098096,"['NeuralNetTorch_r79_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_r191_BAG_L1', 'CatBoost_r9_BAG_L1', 'LightGBM_BAG_L1', 'LightGBMLarge_BAG_L1']"
2,3,WeightedEnsemble_L3,0.17330898477449797,0.06131501152963159,0.06131501152963159,-15.123880123153985,-12.221879406088203,0.2697063146159879,0.26922471321527786,"['CatBoost_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'NeuralNetTorch_r79_BAG_L1', 'CatBoost_r177_BAG_L1', 'LightGBMXT_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'CatBoost_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'NeuralNetTorch_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'XGBoost_BAG_L1', 'LightGBM_r131_BAG_L1', 'LightGBM_BAG_L1', 'RandomForestMSE_BAG_L1', 'LightGBMLarge_BAG_L1']"
2,4,WeightedEnsemble_L2,0.18423649694733246,0.013871180899578839,0.013871180899578839,-15.43807545783587,-12.670962993915264,0.2111094156659156,0.17031693737898226,"['NeuralNetTorch_r22_BAG_L1', 'NeuralNetTorch_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
2,5,WeightedEnsemble_L2,0.15478307861560614,0.048589089816759135,0.048589089816759135,-15.730877424218248,-12.685079969597991,0.23394951427666064,0.22484366800170394,"['NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'WeightedEnsemble_L2', 'XGBoost_BAG_L1', 'NeuralNetTorch_r22_BAG_L1', 'NeuralNetTorch_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
3,1,WeightedEnsemble_L2,0.1526303898869673,0.0860816193362951,0.0860816193362951,-14.850484414516886,-12.00945618307802,0.3044310548813994,0.2951474261876381,"['NeuralNetTorch_r22_BAG_L1', 'NeuralNetTorch_BAG_L1', 'WeightedEnsemble_L2', 'CatBoost_r177_BAG_L1', 'XGBoost_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_BAG_L1']"
3,2,WeightedEnsemble_L3,0.15858365292659005,0.030671326462963333,0.030671326462963333,-15.431516461272714,-11.837710544202455,0.21644953184581928,0.2358374515136424,"['XGBoost_BAG_L1', 'CatBoost_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'LightGBM_BAG_L1', 'LightGBM_r131_BAG_L1', 'CatBoost_r177_BAG_L1', 'RandomForestMSE_BAG_L1', 'LightGBMXT_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'LightGBMLarge_BAG_L1', 'WeightedEnsemble_L3', 'NeuralNetTorch_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'NeuralNetFastAI_r191_BAG_L1', 'LightGBM_BAG_L2', 'NeuralNetTorch_r79_BAG_L1']"
3,3,WeightedEnsemble_L2,0.1366776114144933,0.13883551586237353,0.13883551586237353,-14.552528478432494,-11.814372993785248,0.3880972383728815,0.37020261130984256,"['NeuralNetTorch_BAG_L1', 'NeuralNetTorch_r22_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'LightGBM_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
3,4,WeightedEnsemble_L2,0.15203704505905646,0.07917919760205128,0.07917919760205128,-15.531967972475194,-12.417021757046852,0.28210609573792406,0.2888925243289056,"['NeuralNetFastAI_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetTorch_BAG_L1', 'XGBoost_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1']"
3,5,WeightedEnsemble_L2,0.13930393604257252,0.05688738850478503,0.05688738850478503,-15.137026858006013,-12.069518230370516,0.25588542764051514,0.24331887102106536,"['NeuralNetFastAI_BAG_L1', 'NeuralNetTorch_BAG_L1', 'WeightedEnsemble_L2', 'CatBoost_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'XGBoost_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
4,1,WeightedEnsemble_L3,0.1675269578228623,0.005019514903203071,0.005019514903203071,-17.06887393435274,-13.556168686003375,0.1549868481399668,0.13815320097725012,"['LightGBMXT_BAG_L1', 'CatBoost_r177_BAG_L1', 'CatBoost_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'XGBoost_BAG_L1', 'LightGBM_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'LightGBMLarge_BAG_L1', 'WeightedEnsemble_L3', 'NeuralNetTorch_BAG_L1', 'CatBoost_BAG_L2', 'ExtraTreesMSE_BAG_L1', 'RandomForestMSE_BAG_L1', 'LightGBMXT_BAG_L2', 'NeuralNetTorch_r79_BAG_L1']"
4,2,WeightedEnsemble_L2,0.13795752410056972,0.10181405793149934,0.10181405793149934,-13.684314932181847,-10.943605614837105,0.32218400845426043,0.34036775181619716,"['NeuralNetFastAI_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetTorch_BAG_L1', 'XGBoost_BAG_L1', 'LightGBM_BAG_L1', 'LightGBM_r131_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
