repeat,fold,Best_Model,score_val,score_test,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr,models_list
1,1,WeightedEnsemble_L3,0.06831398297558677,0.08657879619229436,0.08657879619229436,-14.938551462442115,-11.731285366080922,0.3691883908212846,0.3669907870907693,"['RandomForestMSE_BAG_L2', 'RandomForestMSE_BAG_L1', 'LightGBM_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBMXT_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'LightGBM_BAG_L1', 'CatBoost_BAG_L1']"
1,2,WeightedEnsemble_L2,0.08551061470850418,0.03424901853493856,0.03424901853493856,-14.329914664981498,-11.698902152699127,0.24766778056081623,0.24246043745499285,"['LightGBM_BAG_L1', 'CatBoost_BAG_L1', 'WeightedEnsemble_L2', 'RandomForestMSE_BAG_L1', 'LightGBMXT_BAG_L1', 'ExtraTreesMSE_BAG_L1']"
1,3,WeightedEnsemble_L2,0.09672505054983316,0.026205783480106604,0.026205783480106604,-15.038019225038115,-12.093323160205367,0.18099324103299422,0.20588192866531208,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1', 'RandomForestMSE_BAG_L1', 'NeuralNetFastAI_BAG_L1']"
1,4,WeightedEnsemble_L2,0.07381149821724264,0.08910788880696385,0.08910788880696385,-15.80674500580784,-12.532935847897502,0.3460256066354371,0.3444920237341516,"['RandomForestMSE_BAG_L1', 'WeightedEnsemble_L2', 'CatBoost_BAG_L1', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L1']"
1,5,WeightedEnsemble_L3,0.10504776271544114,0.07624915784536146,0.07624915784536146,-15.863939429575067,-12.803356915536012,0.2904881132564239,0.27406456087285624,"['RandomForestMSE_BAG_L1', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L2', 'CatBoost_BAG_L1']"
2,1,WeightedEnsemble_L2,0.07537857819919358,0.05582677301057293,0.05582677301057293,-14.588067263312166,-11.673761785383055,0.2653290120513911,0.27875060454284545,"['LightGBM_BAG_L1', 'WeightedEnsemble_L2', 'ExtraTreesMSE_BAG_L1', 'LightGBMXT_BAG_L1', 'NeuralNetFastAI_BAG_L1']"
2,2,WeightedEnsemble_L3,0.07174464230465682,0.09080122611335317,0.09080122611335317,-15.559541190942278,-12.002901111128768,0.3507300146088601,0.3570227450402316,"['RandomForestMSE_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L1', 'LightGBMXT_BAG_L2', 'CatBoost_BAG_L1']"
2,3,WeightedEnsemble_L2,0.09313897909244173,0.024659527114774926,0.024659527114774926,-15.416344727598206,-12.727547797931017,0.2055669575252134,0.2329153500849231,"['WeightedEnsemble_L2', 'RandomForestMSE_BAG_L1', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L1']"
2,4,WeightedEnsemble_L3,0.09022059963572648,0.06904893940347012,0.06904893940347012,-14.999948201973968,-11.981500478891226,0.2680152407187693,0.24937921873851424,"['WeightedEnsemble_L3', 'LightGBM_BAG_L2', 'RandomForestMSE_BAG_L1', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L2', 'LightGBMXT_BAG_L1', 'CatBoost_BAG_L1']"
2,5,WeightedEnsemble_L2,0.1025269466051213,0.031236890998818212,0.031236890998818212,-15.873682136778594,-12.79649005415877,0.18222140497711303,0.19393639681802857,"['NeuralNetFastAI_BAG_L1', 'LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1', 'RandomForestMSE_BAG_L1']"
3,1,WeightedEnsemble_L3,0.10218611668603894,0.09938133523729431,0.09938133523729431,-14.742033235590503,-11.934069097394774,0.34015759325827594,0.33790700863273726,"['RandomForestMSE_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L2', 'LightGBMXT_BAG_L2', 'ExtraTreesMSE_BAG_L1', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L1', 'CatBoost_BAG_L1']"
3,2,WeightedEnsemble_L2,0.09143092638321237,0.03680307017397988,0.03680307017397988,-15.38263096916448,-11.902940264820348,0.20383795242498762,0.2053469413321567,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'RandomForestMSE_BAG_L1', 'NeuralNetFastAI_BAG_L1']"
3,3,WeightedEnsemble_L3,0.08019696769449347,0.08604431188083517,0.08604431188083517,-14.99194473628775,-11.980041345901038,0.32204206039354855,0.303401498678949,"['LightGBMXT_BAG_L1', 'LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'ExtraTreesMSE_BAG_L1', 'LightGBM_BAG_L2', 'LightGBM_BAG_L1', 'RandomForestMSE_BAG_L1', 'CatBoost_BAG_L1']"
3,4,WeightedEnsemble_L3,0.0972317399090169,0.03297538587805526,0.03297538587805526,-15.91687074809148,-12.82089535865558,0.18571090543521437,0.2344747591751598,"['RandomForestMSE_BAG_L1', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBM_BAG_L2']"
3,5,WeightedEnsemble_L2,0.10892234266053169,0.037564031481437166,0.037564031481437166,-15.29131123658125,-12.268686757285215,0.22200894648370909,0.212747402431795,"['LightGBM_BAG_L1', 'WeightedEnsemble_L2', 'LightGBMXT_BAG_L1', 'CatBoost_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'RandomForestMSE_BAG_L1']"
