repeat,fold,Best_Model,score_val,score_test,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr,models_list
1,1,WeightedEnsemble_L2,0.07165024698155886,0.0826183711374533,0.0826183711374533,-14.970901829356793,-11.752494225135216,0.36464077930395034,0.38236323291938673,"['RandomForestMSE_BAG_L1', 'LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1', 'NeuralNetFastAI_BAG_L1']"
1,2,WeightedEnsemble_L3,0.09805435866868806,0.03491879487712435,0.03491879487712435,-14.324944697213162,-11.70259775917911,0.24722440713604535,0.24284798084227924,"['LightGBM_BAG_L2', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'RandomForestMSE_BAG_L1', 'LightGBMXT_BAG_L2', 'CatBoost_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'LightGBMXT_BAG_L1']"
1,3,WeightedEnsemble_L3,0.11209130055441807,0.028385476137366528,0.028385476137366528,-15.021179618480106,-12.049671669683512,0.1843038504191172,0.20129644552530002,"['LightGBM_BAG_L2', 'ExtraTreesMSE_BAG_L1', 'LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'CatBoost_BAG_L1', 'LightGBM_BAG_L1', 'RandomForestMSE_BAG_L1']"
1,4,WeightedEnsemble_L2,0.07487385882853081,0.09790385758377129,0.09790385758377129,-15.730241481776085,-12.475375181119118,0.3529238058634825,0.34808536513969857,"['RandomForestMSE_BAG_L1', 'WeightedEnsemble_L2', 'LightGBMXT_BAG_L1', 'CatBoost_BAG_L1', 'NeuralNetFastAI_BAG_L1']"
1,5,WeightedEnsemble_L3,0.0980093402485408,0.0671008583918079,0.0671008583918079,-15.942299585679113,-12.876388120933397,0.2680894217176031,0.2550699625559088,"['RandomForestMSE_BAG_L1', 'LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'LightGBM_BAG_L2']"
2,1,WeightedEnsemble_L3,0.08301092526515985,0.06090768068372854,0.06090768068372854,-14.548762712586864,-11.62727994749532,0.27024832761151457,0.2740537226026176,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'RandomForestMSE_BAG_L1', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L2', 'CatBoost_BAG_L1']"
2,2,WeightedEnsemble_L3,0.07850958240107542,0.08659607346344156,0.08659607346344156,-15.595482047073574,-11.985045619264863,0.3329518977970914,0.3462436404425143,"['RandomForestMSE_BAG_L1', 'LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'ExtraTreesMSE_BAG_L1', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'LightGBM_BAG_L2', 'CatBoost_BAG_L1']"
2,3,WeightedEnsemble_L3,0.10457939769248203,0.03025051978955695,0.03025051978955695,-15.37209528354048,-12.717548550938714,0.21398356862883253,0.2363200977453516,"['ExtraTreesMSE_BAG_L1', 'RandomForestMSE_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1', 'CatBoost_BAG_L1']"
2,4,WeightedEnsemble_L2,0.09340402518155644,0.05925893431784868,0.05925893431784868,-15.078612655849868,-12.017083591258032,0.24483024806368725,0.2448547439032956,"['RandomForestMSE_BAG_L1', 'LightGBM_BAG_L1', 'WeightedEnsemble_L2', 'LightGBMXT_BAG_L1', 'NeuralNetFastAI_BAG_L1']"
2,5,WeightedEnsemble_L3,0.10138932474162721,0.03709992018961206,0.03709992018961206,-15.825574863666356,-12.763902291743713,0.19447413113328288,0.20763025239574207,"['LightGBMXT_BAG_L1', 'LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'RandomForestMSE_BAG_L1']"
3,1,WeightedEnsemble_L3,0.09451688151323889,0.09230989509600951,0.09230989509600951,-14.79979551486272,-11.994263981926371,0.3281210308263825,0.32931852943888285,"['RandomForestMSE_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L2', 'LightGBMXT_BAG_L2', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'CatBoost_BAG_L1']"
3,2,WeightedEnsemble_L3,0.09067524690903506,0.037830336497381434,0.037830336497381434,-15.374425858759967,-11.772716522216797,0.20816641102599415,0.22805074469073755,"['LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'LightGBM_BAG_L2', 'CatBoost_BAG_L1', 'LightGBMXT_BAG_L2', 'RandomForestMSE_BAG_L1']"
3,3,WeightedEnsemble_L3,0.08322607655899461,0.09233567603007975,0.09233567603007975,-14.940255873040497,-11.962357989429723,0.3465251414890454,0.3435716840863894,"['LightGBM_BAG_L2', 'LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'RandomForestMSE_BAG_L1', 'LightGBMXT_BAG_L2', 'CatBoost_BAG_L1']"
3,4,WeightedEnsemble_L2,0.09933851753243328,0.04264932726718629,0.04264932726718629,-15.837055867952119,-12.788312584690793,0.21320391414465742,0.2593218749011488,"['WeightedEnsemble_L2', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L1', 'RandomForestMSE_BAG_L1']"
3,5,WeightedEnsemble_L2,0.1036103764304539,0.0388104304469542,0.0388104304469542,-15.281406552153268,-12.196951420349482,0.21503144501151888,0.20423284562950486,"['LightGBM_BAG_L1', 'WeightedEnsemble_L2', 'LightGBMXT_BAG_L1', 'RandomForestMSE_BAG_L1']"
4,1,WeightedEnsemble_L3,0.11110523026242047,0.038948844243727354,0.038948844243727354,-16.77532110884401,-13.286145678638707,0.1976772715215819,0.18167252479838425,"['RandomForestMSE_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L2', 'CatBoost_BAG_L1']"
4,2,WeightedEnsemble_L2,0.08052419667571942,0.09134753724376565,0.09134753724376565,-13.763815354794179,-11.036127462894958,0.3120142260287908,0.3227486031582985,"['LightGBM_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'WeightedEnsemble_L2', 'RandomForestMSE_BAG_L1', 'LightGBMXT_BAG_L1']"
4,3,WeightedEnsemble_L2,0.06655203976515378,0.10324525910632243,0.10324525910632243,-15.736377520494484,-12.347254600750624,0.41484439388750927,0.4341510173858233,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1', 'CatBoost_BAG_L1']"
