repeat,fold,Best_Model,score_val,score_test,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr,models_list
1,1,WeightedEnsemble_L3,0.07047684897202988,0.09711258444158033,0.09711258444158033,-14.85216423551709,-11.61068971622625,0.3983298367792687,0.4059528083071125,"['RandomForestMSE_BAG_L1', 'LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L2', 'LightGBM_BAG_L1']"
1,2,WeightedEnsemble_L3,0.10410108501854842,0.0366763718333476,0.0366763718333476,-14.311894673027462,-11.704648441111548,0.25111695435934167,0.24364940551695888,"['LightGBM_BAG_L2', 'LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'RandomForestMSE_BAG_L1', 'LightGBMXT_BAG_L1', 'LightGBMXT_BAG_L2', 'ExtraTreesMSE_BAG_L1', 'CatBoost_BAG_L1']"
1,3,WeightedEnsemble_L2,0.10622187930303006,0.02164553589803464,0.02164553589803464,-15.073189382654752,-12.094869873227452,0.17283353641527613,0.2063254426083624,"['WeightedEnsemble_L2', 'RandomForestMSE_BAG_L1', 'LightGBM_BAG_L1', 'NeuralNetFastAI_BAG_L1']"
1,4,WeightedEnsemble_L2,0.06864788565369606,0.09835004814247972,0.09835004814247972,-15.726350791522961,-12.481087566127439,0.35999446624927045,0.3534421635935902,"['RandomForestMSE_BAG_L1', 'WeightedEnsemble_L2', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'CatBoost_BAG_L1']"
1,5,WeightedEnsemble_L2,0.09515099003078176,0.06609740884621418,0.06609740884621418,-15.950871248521276,-12.885414913561217,0.26717624532041706,0.2465955072430023,"['WeightedEnsemble_L2', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L1']"
2,1,WeightedEnsemble_L3,0.08748337584081656,0.04912019982717197,0.04912019982717197,-14.639785961310457,-11.683487638213931,0.24412270371355313,0.2502283596354679,"['LightGBM_BAG_L1', 'LightGBMXT_BAG_L1', 'RandomForestMSE_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'CatBoost_BAG_L1']"
2,2,WeightedEnsemble_L2,0.09307272072562411,0.08051812804978642,0.08051812804978642,-15.64728351387336,-12.016921500482503,0.3111572383749426,0.3230384843352888,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1', 'NeuralNetFastAI_BAG_L1']"
2,3,WeightedEnsemble_L3,0.09773331106521876,0.02628841005310012,0.02628841005310012,-15.403466191951974,-12.737334257046852,0.2066772811443644,0.22981670354061268,"['ExtraTreesMSE_BAG_L1', 'WeightedEnsemble_L3', 'RandomForestMSE_BAG_L1', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L2', 'CatBoost_BAG_L1']"
2,4,WeightedEnsemble_L2,0.09928620912441921,0.05749026440827809,0.05749026440827809,-15.092780510432425,-12.041603833260622,0.2402684787791033,0.24230839405148136,"['RandomForestMSE_BAG_L1', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_BAG_L1']"
2,5,WeightedEnsemble_L3,0.10808946083856386,0.038967273407790715,0.038967273407790715,-15.810222139013254,-12.750357926949947,0.20126317578733957,0.20784811203463044,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L2', 'RandomForestMSE_BAG_L1']"
