repeat,fold,Best_Model,score_val,score_test,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr,models_list
1,1,WeightedEnsemble_L3,0.05514985272839512,0.03284009735329807,0.03284009735329807,-15.371706530296056,-11.980464957874908,0.2049712425288542,0.20791709920616505,"['RandomForestMSE_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBMXT_BAG_L1', 'CatBoost_BAG_L1']"
1,2,WeightedEnsemble_L3,0.06589607327618408,0.006596139496597431,0.006596139496597431,-14.533624884289138,-11.89344015629334,0.19238876972200758,0.1916094774629967,"['LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L2', 'LightGBM_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'CatBoost_BAG_L1', 'RandomForestMSE_BAG_L1']"
1,3,WeightedEnsemble_L2,0.07532259127404028,-0.014138646262286336,-0.014138646262286336,-15.346371480756176,-12.407325496335002,0.07760255271275183,0.07632824845326637,"['LightGBMXT_BAG_L1', 'CatBoost_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1', 'RandomForestMSE_BAG_L1']"
1,4,WeightedEnsemble_L2,0.05092665191910328,0.05581383171447485,0.05581383171447485,-16.09302899972768,-12.91428400073531,0.27121916245833677,0.292819097515844,"['RandomForestMSE_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L1', 'CatBoost_BAG_L1']"
1,5,WeightedEnsemble_L2,0.053382932339530065,0.0383487711914422,0.0383487711914422,-16.186107289615,-13.127208777433317,0.23831234530103057,0.2502449439747385,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1', 'CatBoost_BAG_L1', 'ExtraTreesMSE_BAG_L1']"
2,1,WeightedEnsemble_L3,0.06350571654749004,0.03431738882491597,0.03431738882491597,-14.753298246857542,-11.8676215177457,0.21637489180133473,0.23669050936739727,"['RandomForestMSE_BAG_L1', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L2', 'CatBoost_BAG_L1']"
2,2,WeightedEnsemble_L3,0.04088448119163157,0.06394406831095367,0.06394406831095367,-15.787678208307886,-12.304246394591924,0.3100248443465531,0.26703226226035837,"['RandomForestMSE_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L2', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'CatBoost_BAG_L1']"
2,3,WeightedEnsemble_L3,0.08419973732150876,0.008747567208600482,0.008747567208600482,-15.541589119358708,-12.894658602201021,0.1537459521124953,0.1827210396054073,"['LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L2', 'RandomForestMSE_BAG_L1']"
2,4,WeightedEnsemble_L3,0.06826730923198865,0.022740360895993628,0.022740360895993628,-15.368494116617523,-12.280639558148808,0.15410151873358016,0.15423855688609822,"['LightGBM_BAG_L2', 'LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBMXT_BAG_L1', 'CatBoost_BAG_L1', 'RandomForestMSE_BAG_L1']"
2,5,WeightedEnsemble_L3,0.06170410280788996,0.020912799859331366,0.020912799859331366,-15.958040753758803,-12.961049999711076,0.14691908035620774,0.16313429925312686,"['LightGBMXT_BAG_L2', 'LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'CatBoost_BAG_L1', 'LightGBM_BAG_L2', 'RandomForestMSE_BAG_L1']"
