repeat,fold,Best_Model,score_val,score_test,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr,models_list
1,1,WeightedEnsemble_L2,0.12725815495661585,0.07660606261480596,0.07660606261480596,-15.019879639370314,-11.689044568665635,0.29914425544741874,0.3007015072994353,"['NeuralNetFastAI_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetTorch_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'CatBoost_r177_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1']"
1,2,WeightedEnsemble_L3,0.13175179712992324,0.004088051657001213,0.004088051657001213,-14.551960140756169,-11.868028652033157,0.20657018195259663,0.19281600412503394,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'NeuralNetFastAI_BAG_L1', 'LightGBM_BAG_L1', 'LightGBM_BAG_L2', 'CatBoost_BAG_L2', 'CatBoost_BAG_L1', 'CatBoost_r177_BAG_L1', 'NeuralNetTorch_BAG_L1', 'LightGBMLarge_BAG_L1', 'XGBoost_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'RandomForestMSE_BAG_L1']"
1,3,WeightedEnsemble_L3,0.16400410183882264,-0.01637803915016045,-0.01637803915016045,-15.363305853770148,-12.425121871677376,0.13572111595252828,0.1723327298884697,"['XGBoost_BAG_L1', 'LightGBMLarge_BAG_L1', 'CatBoost_r177_BAG_L1', 'LightGBMXT_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'CatBoost_BAG_L1', 'LightGBM_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'NeuralNetTorch_BAG_L1', 'WeightedEnsemble_L3', 'ExtraTreesMSE_BAG_L1', 'LightGBMXT_BAG_L2', 'ExtraTreesMSE_BAG_L2', 'RandomForestMSE_BAG_L1', 'RandomForestMSE_BAG_L2']"
1,4,WeightedEnsemble_L2,0.11995542391389147,0.10553939610495322,0.10553939610495322,-15.663527914688494,-12.222548219579211,0.3541958781803563,0.3688984196846975,"['NeuralNetFastAI_r191_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1', 'NeuralNetTorch_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
1,5,WeightedEnsemble_L2,0.11194836055619528,0.11422803260573444,0.11422803260573444,-15.534403629965198,-12.600419648300262,0.35013676387067494,0.3415134129902796,"['NeuralNetTorch_r79_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetTorch_BAG_L1', 'LightGBM_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'LightGBMLarge_BAG_L1']"
2,1,WeightedEnsemble_L3,0.11629568725656214,0.06167539522023102,0.06167539522023102,-14.542814639074354,-11.744738313573352,0.2747668488319303,0.28621522476010103,"['CatBoost_BAG_L1', 'NeuralNetTorch_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'RandomForestMSE_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'CatBoost_BAG_L2', 'XGBoost_BAG_L1', 'LightGBMLarge_BAG_L1', 'LightGBM_BAG_L2']"
2,2,WeightedEnsemble_L3,0.10634770130258353,0.09794367688509242,0.09794367688509242,-15.498304649018237,-12.106753287230722,0.3332104294908132,0.3358067097465616,"['NeuralNetTorch_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'CatBoost_BAG_L1', 'CatBoost_BAG_L2', 'LightGBM_BAG_L1', 'RandomForestMSE_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'XGBoost_BAG_L1', 'LightGBMLarge_BAG_L1']"
2,3,WeightedEnsemble_L2,0.12078720797834652,0.045260678418046596,0.045260678418046596,-15.252663702256216,-12.3288792943108,0.22508746043612618,0.21676349815860865,"['WeightedEnsemble_L2', 'NeuralNetFastAI_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetTorch_BAG_L1', 'XGBoost_BAG_L1']"
2,4,WeightedEnsemble_L3,0.1323253552211764,0.0491488545585137,0.0491488545585137,-15.159420535266202,-12.06637214344634,0.24099818897979208,0.23025650765924935,"['LightGBMXT_BAG_L1', 'CatBoost_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'CatBoost_BAG_L2', 'NeuralNetFastAI_BAG_L1', 'NeuralNetTorch_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'XGBoost_BAG_L1', 'LightGBMXT_BAG_L2', 'LightGBMLarge_BAG_L1', 'RandomForestMSE_BAG_L1']"
2,5,WeightedEnsemble_L3,0.14912116958460386,0.023278087332588515,0.023278087332588515,-15.938753310385941,-12.669559885058883,0.1895237321263078,0.19387754967419088,"['NeuralNetFastAI_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'LightGBMXT_BAG_L1', 'CatBoost_BAG_L1', 'LightGBM_BAG_L1', 'LightGBMLarge_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'XGBoost_BAG_L1', 'WeightedEnsemble_L3', 'NeuralNetTorch_BAG_L1', 'RandomForestMSE_BAG_L1', 'LightGBMXT_BAG_L2']"
