repeat,fold,Best_Model,score_val,score_test,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr,models_list
1,1,WeightedEnsemble_L2,0.09083698273760232,0.013667613094904163,0.013667613094904163,-14.754752184408305,-11.5757932530861,0.14168988656442774,0.12729360007809137,"['NeuralNetTorch_r22_BAG_L1', 'NeuralNetFastAI_r102_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetFastAI_r145_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1']"
1,2,WeightedEnsemble_L2,0.0880546480836103,-0.018256720730722487,-0.018256720730722487,-14.54250628199118,-11.9359713470142,0.11570846277315466,0.14424692954104723,"['WeightedEnsemble_L2', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_r145_BAG_L1']"
1,3,WeightedEnsemble_L2,0.08623418631219537,-0.006231684220675993,-0.006231684220675993,-15.290896021718048,-12.270648962067963,0.09103111425535104,0.11419123862562777,"['NeuralNetFastAI_r145_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetTorch_r22_BAG_L1']"
1,4,WeightedEnsemble_L3,0.11623186182767897,-0.0025742327054782965,-0.0025742327054782965,-15.64898764523386,-11.998492740629048,0.11354953426348385,0.10320720003977923,"['ExtraTreesMSE_BAG_L1', 'RandomForestMSE_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetTorch_r22_BAG_L1', 'CatBoost_r177_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'LightGBM_r96_BAG_L1', 'LightGBMXT_BAG_L1', 'XGBoost_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'CatBoost_BAG_L1', 'NeuralNetTorch_BAG_L1', 'LightGBMLarge_BAG_L1', 'CatBoost_r9_BAG_L1', 'LightGBM_BAG_L1', 'LightGBM_r131_BAG_L1', 'NeuralNetTorch_BAG_L2', 'WeightedEnsemble_L3', 'XGBoost_BAG_L2', 'LightGBM_BAG_L2', 'NeuralNetFastAI_BAG_L2']"
1,5,WeightedEnsemble_L2,0.10320738008588914,-0.0009956119912353234,-0.0009956119912353234,-15.738054376673528,-12.812809225127564,0.09048183555915192,0.07368852866590424,"['NeuralNetTorch_r22_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetTorch_BAG_L1']"
2,1,WeightedEnsemble_L3,0.08327129106876685,0.007764647184099305,0.007764647184099305,-14.291137302078454,-11.340536183862788,0.13938214475391103,0.1325059249328515,"['CatBoost_r177_BAG_L1', 'CatBoost_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'CatBoost_BAG_L2', 'XGBoost_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'NeuralNetTorch_BAG_L1', 'LightGBM_r96_BAG_L1', 'CatBoost_r9_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'LightGBM_BAG_L2', 'LightGBM_BAG_L1', 'LightGBMLarge_BAG_L1', 'LightGBM_r131_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'RandomForestMSE_BAG_L1', 'ExtraTreesMSE_BAG_L1']"
2,2,WeightedEnsemble_L2,0.08522070992735731,0.03844545581005521,0.03844545581005521,-15.00018851097438,-11.38860115957019,0.19652287966762058,0.2219432151558849,"['NeuralNetFastAI_r102_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1']"
2,3,WeightedEnsemble_L2,0.08376617291169985,0.01411669345890132,0.01411669345890132,-15.355007830223675,-12.557402213280929,0.1735836350430442,0.1769355079309831,"['NeuralNetTorch_r22_BAG_L1', 'NeuralNetFastAI_r102_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_BAG_L1', 'CatBoost_r177_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1']"
2,4,WeightedEnsemble_L3,0.12336800115827962,-0.016031832125443124,-0.016031832125443124,-15.30795629156607,-12.4578186140956,0.07564212039159413,0.04042812391228681,"['LightGBMXT_BAG_L2', 'LightGBMLarge_BAG_L1', 'XGBoost_BAG_L1', 'NeuralNetTorch_BAG_L1', 'CatBoost_r9_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_r131_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'CatBoost_BAG_L1', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L1', 'CatBoost_r177_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'RandomForestMSE_BAG_L1']"
2,5,WeightedEnsemble_L3,0.07853241310411807,0.0256463893931711,0.0256463893931711,-15.524257924148793,-12.462286056014765,0.16155432983859497,0.12530953209686244,"['NeuralNetFastAI_r191_BAG_L1', 'WeightedEnsemble_L3', 'CatBoost_BAG_L2', 'CatBoost_r177_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'NeuralNetTorch_BAG_L1', 'LightGBMXT_BAG_L1', 'XGBoost_BAG_L1', 'CatBoost_BAG_L1', 'LightGBM_r131_BAG_L1', 'LightGBM_BAG_L1', 'CatBoost_r9_BAG_L1', 'LightGBMLarge_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'RandomForestMSE_BAG_L1']"
