repeat,fold,Best_Model,score_val,score_test,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr,models_list
1,1,WeightedEnsemble_L3,0.1777446998940343,0.0550527656399894,0.0550527656399894,-10.943088843957325,-7.891146552633252,0.24545469251842758,0.2715786641110285,"['LightGBM_BAG_L1', 'LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2']"
1,2,WeightedEnsemble_L2,0.10854550556473919,0.14600850776212004,0.14600850776212004,-12.549788398395947,-7.652804261833959,0.47536734368502787,0.4760247592568166,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1']"
1,3,WeightedEnsemble_L3,0.13424820404220406,0.0950610995979162,0.0950610995979162,-9.793508774005435,-7.175020522619846,0.3216378311824285,0.3348385083323477,"['LightGBMXT_BAG_L2', 'LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1']"
1,4,WeightedEnsemble_L3,0.14164164429420312,0.15796430598949696,0.15796430598949696,-8.075480240791974,-6.289593352368597,0.4321088461611695,0.40763250321645395,"['LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L1']"
1,5,WeightedEnsemble_L2,0.12145200268161926,0.09060555374227297,0.09060555374227297,-11.649928780025482,-7.818372771584776,0.344815999014588,0.35216831171212576,"['WeightedEnsemble_L2', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L1']"
2,1,WeightedEnsemble_L3,0.11748619929317339,0.13343091579503397,0.13343091579503397,-11.738544840879996,-8.109798081527801,0.44153073891264566,0.36193936722760484,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2']"
2,2,WeightedEnsemble_L3,0.1586079724354318,0.0984809646793895,0.0984809646793895,-12.844475084772707,-7.855667661633012,0.3402689563518898,0.3334973248808192,"['LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
2,3,WeightedEnsemble_L3,0.13244199492744213,0.05200372988224289,0.05200372988224289,-9.135498259135868,-7.009474048953084,0.27443996356245026,0.3630105064471154,"['LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2']"
2,4,WeightedEnsemble_L3,0.15287789140482455,0.07774860006963524,0.07774860006963524,-10.688668855875559,-7.269327959365393,0.2834335015319769,0.33148267907944173,"['LightGBMXT_BAG_L1', 'LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1']"
2,5,WeightedEnsemble_L3,0.14080500632523352,0.08860796634198054,0.08860796634198054,-8.983242252703695,-6.8781523337731,0.31917665463605394,0.39541661390920674,"['LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
3,1,WeightedEnsemble_L3,0.1422317193629311,0.14388353715592161,0.14388353715592161,-9.100362401668061,-6.6141681614712144,0.41722704488566875,0.4389714441853263,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1']"
3,2,WeightedEnsemble_L3,0.13156902507466872,0.09985997387357426,0.09985997387357426,-12.724303542653024,-8.588020550428762,0.4018441216591111,0.36554047849148036,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1']"
3,3,WeightedEnsemble_L3,0.1419706369533813,0.11460699394818652,0.11460699394818652,-8.569148170759535,-6.71720627779086,0.3481788827906333,0.32831259112319744,"['LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
3,4,WeightedEnsemble_L3,0.1680964118375734,-0.009170487896845714,-0.009170487896845714,-9.388838465954903,-7.2935856813509785,0.2040324533388558,0.2788735744717747,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L2']"
3,5,WeightedEnsemble_L3,0.13191637321849126,0.12046135501456257,0.12046135501456257,-13.09865633766623,-7.725556334094889,0.40726722987533037,0.4128988923501138,"['LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
4,1,WeightedEnsemble_L3,0.12416707294228724,0.159297221049155,0.159297221049155,-10.447006550618621,-6.682503435033313,0.43095682641771754,0.43304905635495816,"['WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1']"
4,2,WeightedEnsemble_L3,0.14794877547846175,0.06397202863919638,0.06397202863919638,-8.843452906546753,-6.6614158844806735,0.293906791360179,0.39013253192693365,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1']"
4,3,WeightedEnsemble_L3,0.15705420197574704,0.11077646385104944,0.11077646385104944,-13.184114021708615,-8.673404072868754,0.3728968275243421,0.3524328542797596,"['LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
