repeat,fold,Best_Model,score_val,score_test,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr,models_list
1,1,WeightedEnsemble_L2,0.20808142622651815,0.058292791813036815,0.058292791813036815,-10.924311954674968,-7.873675916321885,0.2677149600889488,0.3038513664761134,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
1,2,WeightedEnsemble_L2,0.16531557069517988,0.16532201239276922,0.16532201239276922,-12.407066538780075,-7.530933509916949,0.45107472553603417,0.43680661947663996,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
1,3,WeightedEnsemble_L3,0.18790265715892818,0.11786464423768406,0.11786464423768406,-9.669328220674881,-6.851488666421563,0.3522682661965437,0.4434169215363267,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2']"
1,4,WeightedEnsemble_L2,0.17844409300044428,0.14990782894377086,0.14990782894377086,-8.114020792402725,-6.2579564766065605,0.4359490367176039,0.4815300891449631,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
1,5,WeightedEnsemble_L3,0.1485097377940482,0.1979559983384358,0.1979559983384358,-10.940727951783117,-7.420467924084184,0.48581318843494725,0.48727854631176115,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2']"
2,1,WeightedEnsemble_L2,0.15503077352635142,0.17186005833471474,0.17186005833471474,-11.475312823263971,-7.70075013087346,0.4571897385766759,0.44191266814473007,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
2,2,WeightedEnsemble_L2,0.17952283961431947,0.16345679986918848,0.16345679986918848,-12.372945408828931,-7.516381291948127,0.44593249372954374,0.43953868563100706,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
2,3,WeightedEnsemble_L3,0.1657255873252651,0.15113709430948152,0.15113709430948152,-8.64465573897228,-6.729794699764816,0.4110012765685828,0.372799176887148,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2']"
2,4,WeightedEnsemble_L2,0.18265569216685662,0.1249097913222319,0.1249097913222319,-10.411789355984542,-7.163196947447647,0.3625155162392669,0.43111561032218004,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
2,5,WeightedEnsemble_L2,0.20035469069897238,0.03829481028876636,0.03829481028876636,-9.227870204648505,-7.034183789992474,0.30805001360931156,0.4480681558863933,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
3,1,WeightedEnsemble_L3,0.16687367518357465,0.1886213679823504,0.1886213679823504,-8.85939461267342,-6.4903040665846605,0.44934896346962067,0.4968189565155171,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2']"
3,2,WeightedEnsemble_L2,0.14094679496840457,0.17907148038532705,0.17907148038532705,-12.151549371342634,-7.967773826869987,0.5333321485762437,0.5328206809850505,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
3,3,WeightedEnsemble_L2,0.16385334571606247,0.23583360795072517,0.23583360795072517,-7.960925791331201,-6.326829667627459,0.4916198379642363,0.4577953307810507,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
3,4,WeightedEnsemble_L2,0.18420182633460158,0.043817663505831383,0.043817663505831383,-9.139026880616136,-7.0521455177894,0.3114049662240128,0.34629366891639535,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
3,5,WeightedEnsemble_L3,0.2054477445759857,0.10080718849244474,0.10080718849244474,-13.244199013048759,-8.101383779175888,0.3181620449084293,0.37952788819947086,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2']"
4,1,WeightedEnsemble_L2,0.1888407745083336,0.13320033469856707,0.13320033469856707,-10.607914068998372,-6.79702960245708,0.3693802376461356,0.43478267631421386,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
4,2,WeightedEnsemble_L3,0.18011169386705184,0.16681105335189994,0.16681105335189994,-8.343517935737452,-6.223377938806658,0.417974753216717,0.4526472026408703,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2']"
4,3,WeightedEnsemble_L2,0.15591600599137734,0.17733654016187927,0.17733654016187927,-12.681089847441324,-8.363907972031091,0.4737906008018183,0.4612504835656194,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
4,4,WeightedEnsemble_L2,0.18347248976560715,0.1209200414806203,0.1209200414806203,-10.28404388151798,-7.121730443288588,0.3567889139454927,0.42715751682072056,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
4,5,WeightedEnsemble_L2,0.17765522877381057,0.17721461278793627,0.17721461278793627,-9.716323309135905,-7.199209608269866,0.4317834871174362,0.37163821315051854,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
5,1,WeightedEnsemble_L2,0.1718007769210621,0.17097756478127435,0.17097756478127435,-10.030257782312441,-7.026091959349502,0.42254075405956687,0.4273072503157785,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
5,2,WeightedEnsemble_L2,0.1701759102914473,0.20179838135102046,0.20179838135102046,-9.107031008794392,-6.844120917235606,0.4607828823772869,0.5262252625596638,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
5,3,WeightedEnsemble_L2,0.17312215138033882,0.157599791000247,0.157599791000247,-11.386032573407595,-7.3733322944866835,0.4319900161933851,0.4221231243780207,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
5,4,WeightedEnsemble_L3,0.17191471165379013,0.15501125502671964,0.15501125502671964,-12.483027348224665,-7.827572184906908,0.4111712184703415,0.4361534121233434,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2']"
5,5,WeightedEnsemble_L2,0.18934951079870288,0.0710693013387339,0.0710693013387339,-8.646531828385733,-6.7379077821088265,0.3297743015995827,0.3815731630946142,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
6,1,WeightedEnsemble_L3,0.1513569813810458,0.2710286292791513,0.2710286292791513,-8.1725598956411,-6.119019649437899,0.5329304249650175,0.4966347805623471,"['LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1']"
6,2,WeightedEnsemble_L2,0.18934111742216542,0.08445006860636328,0.08445006860636328,-9.306089987139844,-7.136891658489521,0.31815247176455935,0.3200380509182405,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
6,3,WeightedEnsemble_L2,0.17144588277033712,0.1631408928278213,0.1631408928278213,-10.513301680125545,-7.267427692751912,0.4087355062448878,0.46223416287641983,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
6,4,WeightedEnsemble_L2,0.18003872419262856,0.12029987704559564,0.12029987704559564,-10.565336762194773,-7.272645933388253,0.34938944206250233,0.43963948887808796,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
6,5,WeightedEnsemble_L2,0.165800266709902,0.15840530478022896,0.15840530478022896,-13.01363699738122,-8.003820007369363,0.4361921914269675,0.4321676768291894,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
7,1,WeightedEnsemble_L2,0.17946774453652226,0.13572235059222204,0.13572235059222204,-12.501551545928624,-7.849430496170676,0.3837350584590705,0.39418039448741504,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
7,2,WeightedEnsemble_L2,0.162977197325062,0.15585993549257848,0.15585993549257848,-9.56227733081481,-7.1451241307004665,0.40743258950255906,0.3844939879511116,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
7,3,WeightedEnsemble_L2,0.17883845516568342,0.10173668889544207,0.10173668889544207,-8.930886000518965,-6.486196794453457,0.33612728975914535,0.40846828790615586,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
7,4,WeightedEnsemble_L2,0.16778598889262586,0.22555505277010746,0.22555505277010746,-9.220291657922328,-6.817787260698849,0.49091012000830436,0.47183448256041177,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
7,5,WeightedEnsemble_L2,0.17527763167768096,0.1508269489113525,0.1508269489113525,-11.518169883002372,-7.56119675043772,0.3927635702884491,0.48517727126988885,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
8,1,WeightedEnsemble_L2,0.15659225076431849,0.20089400003052793,0.20089400003052793,-10.691894897686662,-7.328945673429049,0.4847952082736002,0.5279362761492074,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
8,2,WeightedEnsemble_L2,0.2073727877836029,0.04691138324989608,0.04691138324989608,-9.352849229076169,-7.232412219752927,0.28515107545475515,0.424398515673729,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
