repeat,fold,Best_Model,score_val,score_test,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr,models_list
1,1,WeightedEnsemble_L3,0.05223662354893832,0.031392107008219816,0.031392107008219816,-11.079244531960729,-7.824220849212105,0.17900843387446067,0.18827914295794343,"['LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L1']"
1,2,WeightedEnsemble_L3,0.08085561332067126,0.003372474723922103,0.003372474723922103,-13.55738939289543,-8.352086061556664,0.085760390184326,0.05810435771885692,"['LightGBMXT_BAG_L1', 'CatBoost_BAG_L1', 'RandomForestMSE_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1']"
1,3,WeightedEnsemble_L2,0.04300404352588694,0.03452972464283477,0.03452972464283477,-10.115751257525437,-7.424417484441452,0.2017774510944079,0.22400512275360668,"['CatBoost_BAG_L1', 'WeightedEnsemble_L2', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
1,4,WeightedEnsemble_L3,0.06019691094556445,-0.025102909668818674,-0.025102909668818674,-8.91018745826967,-6.968896611907779,0.13971719358248788,0.16174851953162814,"['LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'RandomForestMSE_BAG_L1']"
1,5,WeightedEnsemble_L2,0.07816259403426706,-0.023346925227602178,-0.023346925227602178,-12.358295233536179,-8.407592592860114,0.0430122575668226,0.06245853779746135,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1']"
2,1,WeightedEnsemble_L2,0.045494555837577555,0.028084618648785975,0.028084618648785975,-12.43159620987094,-8.42682056314141,0.2323543083267615,0.20703487146191019,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'CatBoost_BAG_L1']"
2,2,WeightedEnsemble_L3,0.07414794389708623,0.02593811674965152,0.02593811674965152,-13.35125788487945,-8.256803591575848,0.16223453277267477,0.06655830709278397,"['LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L1']"
2,3,WeightedEnsemble_L3,0.0594889470715434,-0.044663949985039864,-0.044663949985039864,-9.589969565104456,-7.374524009298291,0.0124409815126028,0.02088432904312416,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L2']"
2,4,WeightedEnsemble_L2,0.038059686458176256,0.0607170276645036,0.0607170276645036,-10.786913237354902,-7.660489178268162,0.2721811910132043,0.20859882888304623,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1']"
2,5,WeightedEnsemble_L2,0.053241882309741584,0.009156317101236322,0.009156317101236322,-9.366623633376754,-7.184924616616153,0.16634422704437404,0.21967174912733467,"['WeightedEnsemble_L2', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
3,1,WeightedEnsemble_L3,0.0707576175367608,0.02704924541077891,0.02704924541077891,-9.701473301897897,-7.0249078400741665,0.1893589573526291,0.23516771903398803,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L2']"
3,2,WeightedEnsemble_L2,0.04742859171136571,0.009337807011782329,0.009337807011782329,-13.348786238915071,-9.022116395848743,0.21384549763555288,0.16150402459233135,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1']"
3,3,WeightedEnsemble_L3,0.056048918514447155,0.01507834108018602,0.01507834108018602,-9.037960788357235,-7.35145235908102,0.14125746509928125,0.11922010784935679,"['LightGBMXT_BAG_L2', 'LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'RandomForestMSE_BAG_L1']"
3,4,WeightedEnsemble_L3,0.05383864905604896,-0.025307002513915933,-0.025307002513915933,-9.463603976772388,-7.319004239415276,0.1053700419307591,0.055622137946392626,"['LightGBM_BAG_L1', 'LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2']"
3,5,WeightedEnsemble_L3,0.06890567340681952,0.008997000059112525,0.008997000059112525,-13.903904286139134,-8.229615905581142,0.10586355434079964,0.1973111432173999,"['LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2']"
4,1,WeightedEnsemble_L2,0.04615441428934819,0.0331459147172668,0.0331459147172668,-11.20343229182969,-7.086090234609751,0.18838871032207186,0.2246997970305665,"['WeightedEnsemble_L2', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
4,2,WeightedEnsemble_L3,0.05351967248825762,0.07125468498030707,0.07125468498030707,-8.808983001965027,-6.896750568638186,0.28622194151273667,0.25675972739036057,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L2']"
4,3,WeightedEnsemble_L2,0.044437682938020306,0.026969783182339113,0.026969783182339113,-13.791409037673436,-9.055379720834585,0.22175241086120182,0.18306160777793196,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1']"
4,4,WeightedEnsemble_L2,0.048591682077649634,0.009514800919646516,0.009514800919646516,-10.916256372447666,-7.738529972776154,0.12481697971330931,0.1058398815185751,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1']"
4,5,WeightedEnsemble_L3,0.06203758619569566,-0.01923441512998192,-0.01923441512998192,-10.814232743672202,-7.912122274996967,0.06909313330783239,0.05139492865569338,"['LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
5,1,WeightedEnsemble_L3,0.060906487045886526,0.01301719671445567,0.01301719671445567,-10.944193065292813,-7.543260450193868,0.12417045756531303,0.11645014114544378,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1']"
5,2,WeightedEnsemble_L2,0.04802424665940608,0.0025823356466986302,0.0025823356466986302,-10.180264009839814,-7.712775473058576,0.12987777962570943,0.20126908233710206,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1']"
