repeat,fold,Best_Model,score_val,score_test,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr,models_list
1,1,WeightedEnsemble_L3,0.10713875375330995,0.015052773251768237,0.015052773251768237,-11.17230097650826,-7.724799822068073,0.1439777884742368,0.18845211586522137,"['CatBoost_r177_BAG_L1', 'CatBoost_r9_BAG_L1', 'LightGBM_BAG_L1', 'CatBoost_BAG_L1', 'LightGBMXT_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'LightGBM_r96_BAG_L1', 'NeuralNetTorch_r22_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'XGBoost_BAG_L1', 'LightGBMLarge_BAG_L1', 'LightGBM_r131_BAG_L1', 'WeightedEnsemble_L3', 'NeuralNetFastAI_BAG_L2', 'CatBoost_BAG_L2', 'LightGBMXT_BAG_L2', 'NeuralNetTorch_BAG_L1', 'RandomForestMSE_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'NeuralNetTorch_BAG_L2']"
1,2,WeightedEnsemble_L2,0.09699153584681575,0.04194943858190059,0.04194943858190059,-13.292413598336763,-8.126566632964908,0.2579369262368566,0.178398866286388,"['NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetFastAI_r145_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetTorch_r79_BAG_L1', 'XGBoost_BAG_L1']"
1,3,WeightedEnsemble_L3,0.1322562111928386,0.0054045909949144155,0.0054045909949144155,-10.267197426497125,-7.292875481780464,0.13180560474281913,0.160168995305598,"['NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'NeuralNetTorch_BAG_L1', 'CatBoost_r9_BAG_L1', 'CatBoost_BAG_L1', 'CatBoost_r177_BAG_L1', 'NeuralNetTorch_r22_BAG_L1', 'LightGBMLarge_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'LightGBMXT_BAG_L1', 'LightGBM_r96_BAG_L1', 'LightGBM_BAG_L1', 'LightGBM_r131_BAG_L1', 'CatBoost_BAG_L2', 'LightGBMXT_BAG_L2', 'ExtraTreesMSE_BAG_L1', 'WeightedEnsemble_L3', 'XGBoost_BAG_L1', 'RandomForestMSE_BAG_L1', 'RandomForestMSE_BAG_L2', 'NeuralNetTorch_BAG_L2', 'LightGBM_BAG_L2']"
1,4,WeightedEnsemble_L2,0.0886945900189372,0.03132256851325266,0.03132256851325266,-8.661491803812941,-6.681731489283093,0.22900133467589534,0.2467339751355348,"['NeuralNetFastAI_r145_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1']"
1,5,WeightedEnsemble_L3,0.16164403428155927,-0.04992688718989968,-0.04992688718989968,-12.517760855428621,-8.478819728603025,0.06052857594242265,0.1094719591984827,"['LightGBM_r96_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'LightGBMXT_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetTorch_BAG_L1', 'LightGBMLarge_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'CatBoost_r9_BAG_L1', 'CatBoost_BAG_L1', 'CatBoost_r177_BAG_L1', 'LightGBM_r131_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'XGBoost_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'LightGBMXT_BAG_L2', 'ExtraTreesMSE_BAG_L2', 'RandomForestMSE_BAG_L1']"
2,1,WeightedEnsemble_L2,0.07628325738177943,0.04065014767031694,0.04065014767031694,-12.350973055771552,-8.461726781179214,0.2559791878834186,0.22037723208003523,"['NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetTorch_r22_BAG_L1', 'CatBoost_r177_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
2,2,WeightedEnsemble_L3,0.1375131804597609,0.0009091307535967763,0.0009091307535967763,-13.521703388586731,-8.201981346988113,0.09005298275613442,0.04334692215994045,"['LightGBM_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'LightGBM_r131_BAG_L1', 'LightGBM_r96_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'CatBoost_BAG_L1', 'XGBoost_BAG_L1', 'NeuralNetTorch_BAG_L1', 'LightGBMXT_BAG_L1', 'CatBoost_r177_BAG_L1', 'LightGBMLarge_BAG_L1', 'CatBoost_r9_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'WeightedEnsemble_L3', 'NeuralNetTorch_r79_BAG_L1', 'CatBoost_BAG_L2', 'LightGBMXT_BAG_L2', 'XGBoost_BAG_L2', 'RandomForestMSE_BAG_L1', 'ExtraTreesMSE_BAG_L1']"
2,3,WeightedEnsemble_L3,0.1440651802538212,-0.037690807507936075,-0.037690807507936075,-9.557909402921544,-7.193167161659376,0.02197645518160896,0.04115763403904454,"['LightGBMLarge_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'LightGBMXT_BAG_L1', 'XGBoost_BAG_L1', 'LightGBM_r131_BAG_L1', 'NeuralNetTorch_BAG_L1', 'WeightedEnsemble_L3', 'CatBoost_BAG_L2', 'CatBoost_r9_BAG_L1', 'LightGBM_BAG_L1', 'CatBoost_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'NeuralNetFastAI_BAG_L1', 'CatBoost_r177_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'RandomForestMSE_BAG_L1', 'ExtraTreesMSE_BAG_L1']"
2,4,WeightedEnsemble_L2,0.07197656313365552,0.06932591087843865,0.06932591087843865,-10.73736638005757,-7.3311925583337185,0.3016199953131185,0.3344115956105547,"['NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'NeuralNetFastAI_r102_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetTorch_r79_BAG_L1']"
2,5,WeightedEnsemble_L2,0.09064667978288932,-0.0003996396379315481,-0.0003996396379315481,-9.411682343856953,-7.179506059229022,0.16137259587754058,0.21730768045929763,"['CatBoost_r9_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetTorch_BAG_L1']"
