repeat,fold,Best_Model,score_val,score_test,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr,models_list
1,1,WeightedEnsemble_L3,0.2038998111221294,0.06209887837116912,0.06209887837116912,-10.902213273762788,-7.852270820437099,0.2666078929923418,0.3245208178321306,"['LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1']"
1,2,WeightedEnsemble_L2,0.1651493656166263,0.1648863203279215,0.1648863203279215,-12.410304287517036,-7.511793492108407,0.4449444759919552,0.4305958157908763,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
1,3,WeightedEnsemble_L2,0.17733855155423506,0.11862921536126092,0.11862921536126092,-9.665136975140058,-6.770445772882044,0.35127601834728156,0.43129208939101427,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
1,4,WeightedEnsemble_L2,0.16657042061440774,0.1690646273991877,0.1690646273991877,-8.022075250670754,-6.262464867541071,0.44491796606120954,0.47604250328303493,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
1,5,WeightedEnsemble_L2,0.15570985537227844,0.18334408619903386,0.18334408619903386,-11.039939088958425,-7.494965700002817,0.45531043694716783,0.4430610923099931,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
2,1,WeightedEnsemble_L2,0.14846364559824854,0.18458271879821653,0.18458271879821653,-11.38682440229215,-7.668364231403057,0.47186354940740405,0.45755775225974554,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
2,2,WeightedEnsemble_L2,0.18676464138510163,0.148997413392305,0.148997413392305,-12.479418529020451,-7.571784408840202,0.424060342962031,0.40791142916946177,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
2,3,WeightedEnsemble_L2,0.158417574397264,0.11884369010988027,0.11884369010988027,-8.807555786159005,-6.757962452589408,0.3624763863428248,0.33164916833391245,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
2,4,WeightedEnsemble_L2,0.16760423716986417,0.13653974456745444,0.13653974456745444,-10.342371577611711,-7.100139578418619,0.37446407265800113,0.431517496490213,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
2,5,WeightedEnsemble_L2,0.1941552684228618,0.09148569228989922,0.09148569228989922,-8.969048718489534,-6.797082505987946,0.3385606893960947,0.46146122701415676,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
3,1,WeightedEnsemble_L2,0.16306587185921317,0.17214211130906354,0.17214211130906354,-8.948910384285613,-6.5807518648678025,0.4262484126249517,0.463494557427487,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
3,2,WeightedEnsemble_L2,0.14425620435870068,0.19762355260293551,0.19762355260293551,-12.013458985067626,-7.989072991546089,0.5279954189768239,0.5195262637733236,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
3,3,WeightedEnsemble_L2,0.157827138845679,0.24263129703499176,0.24263129703499176,-7.925438242404262,-6.384087901143633,0.49875459132880523,0.45859487159316564,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
3,4,WeightedEnsemble_L2,0.17815752153761966,0.06407034305541592,0.06407034305541592,-9.041723060639978,-6.939843042362371,0.3199135910728311,0.33486159841083385,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
3,5,WeightedEnsemble_L2,0.20412462655545038,0.10251231286262852,0.10251231286262852,-13.231635677177266,-7.959260398819602,0.3212781310166812,0.3769731949054856,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
4,1,WeightedEnsemble_L2,0.1713876051394243,0.14835605986758893,0.14835605986758893,-10.514767056685386,-6.6161118569458734,0.3966067084349941,0.4576818918564287,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
4,2,WeightedEnsemble_L2,0.15943480730663795,0.21630257022842325,0.21630257022842325,-8.091921577643136,-6.0811665777624,0.47279042420390527,0.4789826141444954,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
