repeat,fold,Best_Model,score_val,score_test,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr,models_list
1,1,WeightedEnsemble_L2,0.26181709335753367,0.06165630858662963,0.06165630858662963,-10.904785197928074,-7.78331597457976,0.2833009077302393,0.34452345460612915,"['NeuralNetTorch_r22_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetFastAI_r145_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
1,2,WeightedEnsemble_L3,0.23005013510599492,0.13354546664943923,0.13354546664943923,-12.641031698325495,-7.519242055317354,0.3892641264867512,0.43197184721644805,"['NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'LightGBM_r96_BAG_L1', 'LightGBMXT_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'CatBoost_r177_BAG_L1', 'CatBoost_BAG_L1', 'WeightedEnsemble_L3', 'NeuralNetTorch_BAG_L2', 'CatBoost_r9_BAG_L1', 'RandomForestMSE_BAG_L2', 'CatBoost_BAG_L2', 'LightGBM_BAG_L2', 'XGBoost_BAG_L2', 'LightGBMXT_BAG_L2', 'ExtraTreesMSE_BAG_L1', 'LightGBM_r131_BAG_L1', 'NeuralNetTorch_BAG_L1', 'LightGBM_BAG_L1', 'XGBoost_BAG_L1', 'RandomForestMSE_BAG_L1', 'LightGBMLarge_BAG_L1']"
1,3,WeightedEnsemble_L3,0.21435531328101143,0.1289476538925053,0.1289476538925053,-9.608394266244812,-6.6583022281263,0.36090904363286314,0.44311949416460034,"['LightGBM_r96_BAG_L1', 'CatBoost_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'WeightedEnsemble_L3', 'NeuralNetFastAI_BAG_L2', 'CatBoost_r177_BAG_L1', 'NeuralNetTorch_BAG_L1', 'LightGBMXT_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'CatBoost_r9_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'LightGBM_BAG_L1', 'LightGBM_r131_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'XGBoost_BAG_L1', 'LightGBMLarge_BAG_L1', 'RandomForestMSE_BAG_L1']"
1,4,WeightedEnsemble_L3,0.2050764367384652,0.1685656334692851,0.1685656334692851,-8.024483600466356,-6.125430389268864,0.43419165651481284,0.45760403573734704,"['LightGBM_r96_BAG_L1', 'LightGBMXT_BAG_L1', 'CatBoost_BAG_L1', 'CatBoost_r9_BAG_L1', 'WeightedEnsemble_L3', 'CatBoost_r177_BAG_L1', 'LightGBM_BAG_L1', 'LightGBM_r131_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'NeuralNetTorch_r79_BAG_L1', 'XGBoost_BAG_L1', 'LightGBMXT_BAG_L2', 'LightGBMLarge_BAG_L1', 'NeuralNetTorch_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'XGBoost_BAG_L2', 'RandomForestMSE_BAG_L1']"
1,5,WeightedEnsemble_L3,0.23688710915503552,0.13833133524671037,0.13833133524671037,-11.34011010957563,-7.324634760794555,0.4103473151838358,0.45336032491267797,"['ExtraTreesMSE_BAG_L1', 'LightGBMXT_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'CatBoost_BAG_L1', 'CatBoost_r177_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'LightGBM_BAG_L1', 'CatBoost_r9_BAG_L1', 'NeuralNetTorch_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_r131_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'RandomForestMSE_BAG_L1', 'XGBoost_BAG_L1', 'LightGBMLarge_BAG_L1']"
2,1,WeightedEnsemble_L2,0.19317262816851843,0.18438106127805998,0.18438106127805998,-11.388232329787403,-7.703406717650283,0.4639674335876342,0.444805067999009,"['NeuralNetFastAI_r102_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetTorch_r22_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'XGBoost_BAG_L1']"
2,2,WeightedEnsemble_L2,0.22232702107153357,0.1503074419929673,0.1503074419929673,-12.46980945617256,-7.3703187400772725,0.414734648998515,0.4369060550739356,"['NeuralNetFastAI_r102_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetTorch_r22_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'CatBoost_r137_BAG_L1', 'NeuralNetFastAI_BAG_L1']"
2,3,WeightedEnsemble_L2,0.23020873745399884,0.11971467219741427,0.11971467219741427,-8.803201780043382,-6.713996052036624,0.3534282476409452,0.31892717478082827,"['NeuralNetTorch_r22_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1']"
2,4,WeightedEnsemble_L3,0.2163629357240039,0.12918278917661075,0.12918278917661075,-10.386338267684858,-6.985645926210302,0.37277790393275273,0.44927514166100524,"['CatBoost_r177_BAG_L1', 'CatBoost_BAG_L1', 'CatBoost_r9_BAG_L1', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'NeuralNetFastAI_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'LightGBM_r131_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'XGBoost_BAG_L1', 'LightGBMLarge_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'ExtraTreesMSE_BAG_L1', 'XGBoost_BAG_L2', 'NeuralNetTorch_BAG_L1', 'RandomForestMSE_BAG_L1']"
2,5,WeightedEnsemble_L2,0.22902198683360442,0.11855621078123191,0.11855621078123191,-8.83441524232277,-6.611918206750994,0.3557529989929385,0.44725815130592383,"['WeightedEnsemble_L2', 'NeuralNetTorch_r22_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'LightGBM_BAG_L1', 'XGBoost_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1']"
3,1,WeightedEnsemble_L2,0.22494683839108076,0.19260049866747853,0.19260049866747853,-8.837643968105455,-6.33455756712242,0.4403601046997585,0.4865688378702428,"['NeuralNetTorch_r22_BAG_L1', 'NeuralNetFastAI_r102_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
3,2,WeightedEnsemble_L2,0.18687370660531677,0.19365688263786895,0.19365688263786895,-12.043117555385708,-7.9010895441269735,0.5168570838486403,0.5357386338455429,"['WeightedEnsemble_L2', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetTorch_r22_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
3,3,WeightedEnsemble_L2,0.19907235814267388,0.23037858362346553,0.23037858362346553,-7.9892899135934154,-6.328229069004397,0.486121721570327,0.44246077370803083,"['LightGBM_r96_BAG_L1', 'LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetTorch_r22_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'LightGBM_BAG_L1', 'NeuralNetFastAI_BAG_L1']"
3,4,WeightedEnsemble_L2,0.21774023710238222,0.040972096281809534,0.040972096281809534,-9.15261550020081,-6.844078413833528,0.2848644766610806,0.3364247031958312,"['CatBoost_r177_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetTorch_r22_BAG_L1']"
3,5,WeightedEnsemble_L2,0.2609011090948906,0.08200042065436697,0.08200042065436697,-13.38198460630027,-7.874832915131157,0.2931985817916473,0.3484690595627111,"['WeightedEnsemble_L2', 'NeuralNetFastAI_r191_BAG_L1', 'LightGBM_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetTorch_r22_BAG_L1']"
4,1,WeightedEnsemble_L3,0.2378256062215942,0.09887617240281266,0.09887617240281266,-10.815904955901738,-6.700767054360294,0.3197179313371015,0.42757315698616766,"['CatBoost_BAG_L1', 'CatBoost_r177_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'LightGBMXT_BAG_L1', 'LightGBM_r131_BAG_L1', 'LightGBM_BAG_L1', 'RandomForestMSE_BAG_L1', 'XGBoost_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'NeuralNetTorch_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMLarge_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'CatBoost_BAG_L2', 'LightGBMXT_BAG_L2']"
