repeat,fold,Best_Model,score_val,score_test,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr,models_list
1,1,WeightedEnsemble_L2,0.2503919213340474,0.05818192754154439,0.05818192754154439,-10.924954978447511,-7.905551831397784,0.2803204626727386,0.3495595794676678,"['NeuralNetTorch_r79_BAG_L1', 'WeightedEnsemble_L2', 'LightGBMXT_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetTorch_r22_BAG_L1', 'NeuralNetFastAI_r102_BAG_L1', 'LightGBM_BAG_L1']"
1,2,WeightedEnsemble_L3,0.2311562102130983,0.1499368272155862,0.1499368272155862,-12.520890919300088,-7.579333694728874,0.4071661341685841,0.4191993891559414,"['NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'LightGBM_r96_BAG_L1', 'WeightedEnsemble_L3', 'NeuralNetTorch_r79_BAG_L1', 'RandomForestMSE_BAG_L2', 'LightGBMXT_BAG_L1', 'CatBoost_r177_BAG_L1', 'CatBoost_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'CatBoost_r9_BAG_L1', 'LightGBMXT_BAG_L2', 'NeuralNetTorch_BAG_L1', 'LightGBM_BAG_L2', 'XGBoost_BAG_L2', 'LightGBM_BAG_L1', 'LightGBM_r131_BAG_L1', 'RandomForestMSE_BAG_L1', 'LightGBMLarge_BAG_L1', 'XGBoost_BAG_L1']"
1,3,WeightedEnsemble_L2,0.21124066541436337,0.12433924880773473,0.12433924880773473,-9.633777907822745,-6.622277846703162,0.3545282129630464,0.44543046750893434,"['LightGBM_r96_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetTorch_r22_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetFastAI_r102_BAG_L1', 'LightGBM_BAG_L1', 'XGBoost_BAG_L1']"
1,4,WeightedEnsemble_L3,0.2135396967457467,0.19016391549565004,0.19016391549565004,-7.919571243453285,-6.067270250715447,0.44651587667309767,0.45917832444180806,"['WeightedEnsemble_L3', 'NeuralNetFastAI_r191_BAG_L1', 'LightGBM_r96_BAG_L1', 'CatBoost_r9_BAG_L1', 'CatBoost_r177_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'CatBoost_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'LightGBMXT_BAG_L1', 'LightGBM_r131_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'LightGBM_BAG_L1', 'XGBoost_BAG_L2', 'LightGBMXT_BAG_L2', 'XGBoost_BAG_L1', 'LightGBMLarge_BAG_L1', 'NeuralNetTorch_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'RandomForestMSE_BAG_L1']"
1,5,WeightedEnsemble_L3,0.2191328831496886,0.16286996131610798,0.16286996131610798,-11.177471844153231,-7.2366983142830215,0.4410385742945783,0.4713485231452968,"['ExtraTreesMSE_BAG_L1', 'LightGBMXT_BAG_L1', 'CatBoost_BAG_L1', 'CatBoost_r177_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'CatBoost_r9_BAG_L1', 'LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'NeuralNetFastAI_BAG_L2', 'CatBoost_BAG_L2', 'XGBoost_BAG_L2', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetTorch_BAG_L1', 'LightGBM_r131_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'RandomForestMSE_BAG_L2', 'RandomForestMSE_BAG_L1', 'XGBoost_BAG_L1', 'LightGBMLarge_BAG_L1', 'LightGBM_r96_BAG_L1']"
2,1,WeightedEnsemble_L2,0.19415604341059223,0.18226797994291988,0.18226797994291988,-11.402974934420993,-7.694763651966343,0.4768363084238561,0.44212166736000696,"['LightGBMXT_BAG_L1', 'NeuralNetFastAI_r102_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetTorch_r22_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1']"
2,2,WeightedEnsemble_L3,0.2661230677360077,0.16612597500470727,0.16612597500470727,-12.353190335706257,-7.605650811505741,0.41459150045506094,0.39462341854265287,"['NeuralNetFastAI_BAG_L2', 'WeightedEnsemble_L3', 'ExtraTreesMSE_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'LightGBMXT_BAG_L1', 'LightGBMXT_BAG_L2', 'RandomForestMSE_BAG_L1', 'CatBoost_BAG_L1', 'CatBoost_r177_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'CatBoost_r9_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'LightGBM_BAG_L1', 'LightGBMLarge_BAG_L1', 'LightGBM_r131_BAG_L1', 'XGBoost_BAG_L1', 'NeuralNetTorch_BAG_L1']"
2,3,WeightedEnsemble_L2,0.22683184175727544,0.1335931380434746,0.1335931380434746,-8.733531007508223,-6.645051171793741,0.3743663020409654,0.3544711031641981,"['NeuralNetTorch_r22_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1']"
2,4,WeightedEnsemble_L3,0.23286969912220445,0.11306592212032796,0.11306592212032796,-10.482011498099089,-7.15550837432139,0.3590792903724474,0.44220542894656845,"['CatBoost_r9_BAG_L1', 'CatBoost_r177_BAG_L1', 'CatBoost_BAG_L1', 'LightGBMXT_BAG_L1', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'LightGBM_r131_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMLarge_BAG_L1', 'XGBoost_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'NeuralNetTorch_r79_BAG_L1', 'RandomForestMSE_BAG_L1', 'NeuralNetTorch_BAG_L1']"
2,5,WeightedEnsemble_L2,0.23436219119710522,0.1064116323848342,0.1064116323848342,-8.895067555811243,-6.684811586459007,0.34561544598957705,0.46163666579425844,"['WeightedEnsemble_L2', 'LightGBM_r96_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'LightGBM_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'LightGBMXT_BAG_L1']"
