repeat,fold,Best_Model,score_val,score_test,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr,models_list
1,1,WeightedEnsemble_L2,0.17918211896742808,0.06383804732797971,0.06383804732797971,-10.892100486576568,-7.831507863377678,0.2634619589519185,0.30629146446008226,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
1,2,WeightedEnsemble_L2,0.15745585145244523,0.16039160036868616,0.16039160036868616,-12.443656626013373,-7.554249966638328,0.46082078475446336,0.45535940484565185,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
1,3,WeightedEnsemble_L2,0.1518346382926714,0.15287534909733735,0.15287534909733735,-9.475504622545682,-6.839439634740705,0.407840882381813,0.4370141440152724,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
1,4,WeightedEnsemble_L2,0.15018794329320895,0.19262792706182397,0.19262792706182397,-7.907514000372698,-6.18599290678487,0.4691031839207461,0.46331129897739326,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
1,5,WeightedEnsemble_L2,0.15039756107675106,0.12987382694065286,0.12987382694065286,-11.395627319377198,-7.655420591139935,0.3961606363985703,0.4297360402231659,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
2,1,WeightedEnsemble_L2,0.15487562944987787,0.1541992824161783,0.1541992824161783,-11.597027644052002,-7.915872314272548,0.45284034722586464,0.42023770786038583,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
2,2,WeightedEnsemble_L2,0.1650371110500789,0.14556689445708837,0.14556689445708837,-12.5045464338646,-7.63416997920832,0.40785782149985217,0.40613886456687853,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
2,3,WeightedEnsemble_L2,0.14495958670320086,0.10300930293897503,0.10300930293897503,-8.886339356840615,-6.9641289344200725,0.3525887866957296,0.3925300612815778,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
2,4,WeightedEnsemble_L2,0.16080853686930596,0.1391831574693151,0.1391831574693151,-10.326528280522371,-7.018000963876939,0.377656158960729,0.44050456705275737,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
2,5,WeightedEnsemble_L2,0.16259232453414052,0.11589389721591992,0.11589389721591992,-8.847746920788664,-6.725678043252618,0.36041356294689825,0.4549861673570701,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
3,1,WeightedEnsemble_L2,0.17106189388218318,0.19475518845505624,0.19475518845505624,-8.825843674290423,-6.405992163708929,0.4802231431268726,0.5096941510834244,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
3,2,WeightedEnsemble_L2,0.13579537292999988,0.13601189350141862,0.13601189350141862,-12.466164861044042,-8.254872440586428,0.48813162520858955,0.49498435150573744,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
3,3,WeightedEnsemble_L2,0.1716793538042356,0.18064468779827603,0.18064468779827603,-8.243388076068955,-6.436938302756767,0.43410399306653585,0.4244925203175214,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
3,4,WeightedEnsemble_L2,0.17305805596723545,0.014930956951226038,0.014930956951226038,-9.276046816866332,-7.15202993471947,0.25275545538003874,0.3133539734949714,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
