repeat,fold,Best_Model,score_val,score_test,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr,models_list
1,1,WeightedEnsemble_L3,0.15159921633563322,0.0719634516740224,0.0719634516740224,-10.844728555974804,-7.747042142427885,0.26882124380599165,0.2864655338215763,"['LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1']"
1,2,WeightedEnsemble_L2,0.10719042450181704,0.11911511923065232,0.11911511923065232,-12.745861915718784,-7.774267879463512,0.4011200406265085,0.37847831450949826,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
1,3,WeightedEnsemble_L2,0.13923559119245843,0.12620836164496474,0.12620836164496474,-9.623490683540238,-6.901817135556915,0.3663852733374321,0.4157200864520535,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
1,4,WeightedEnsemble_L2,0.12242870168277387,0.1644008068108891,0.1644008068108891,-8.044556643154435,-6.1698763694988905,0.4413357702686011,0.4840607974512901,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
1,5,WeightedEnsemble_L2,0.12690876229144477,0.11892262650403496,0.11892262650403496,-11.467114416248993,-7.760454302003398,0.373935874220002,0.42349404336792673,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
2,1,WeightedEnsemble_L2,0.13385469063908995,0.11628632407758632,0.11628632407758632,-11.854096428955232,-7.980195937072032,0.3958175767348846,0.39581092457489536,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
2,2,WeightedEnsemble_L2,0.12339704409437913,0.1125941533529593,0.1125941533529593,-12.743539015932127,-7.61573004299367,0.39322137029582027,0.36830133210569743,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
2,3,WeightedEnsemble_L2,0.13695551875410683,0.11840911273186516,0.11840911273186516,-8.809727417142424,-6.810844257738463,0.3752879350384654,0.3786893088314749,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
2,4,WeightedEnsemble_L2,0.1445219017608914,0.1493876612650411,0.1493876612650411,-10.265138183709889,-6.946486506941756,0.40383692583916925,0.4556368877203005,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
2,5,WeightedEnsemble_L2,0.14457117494101468,0.1095587644366176,0.1095587644366176,-8.879389954847088,-6.758591420551729,0.35739971086126243,0.4499768302741664,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
3,1,WeightedEnsemble_L2,0.12018232713540933,0.15494072409402804,0.15494072409402804,-9.041403467939682,-6.51180100299903,0.43379165615160414,0.44756486484433944,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
3,2,WeightedEnsemble_L2,0.093189578307587,0.13915261473172502,0.13915261473172502,-12.4434860795687,-8.21952326622235,0.5050491715186864,0.4919183234254589,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
3,3,WeightedEnsemble_L2,0.12462306451554805,0.181083349680349,0.181083349680349,-8.241181131053539,-6.603915649052908,0.4419328938345996,0.41629232711506586,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
3,4,WeightedEnsemble_L2,0.17219134447019036,0.01382310086946037,0.01382310086946037,-9.281261495577553,-7.190542762801492,0.2380155492312686,0.271046849955176,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
3,5,WeightedEnsemble_L2,0.1509653201742468,0.07638466428261703,0.07638466428261703,-13.422853571220369,-8.06970950132291,0.28636024054074344,0.34870925945447884,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
