repeat,fold,Best_Model,score_val,score_test,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr,models_list
1,1,WeightedEnsemble_L3,0.21238803708544762,0.03298499085175144,0.03298499085175144,-11.070130828023485,-7.887984236316568,0.23491542122568976,0.270589358634151,"['LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBMXT_BAG_L1']"
1,2,WeightedEnsemble_L3,0.1561084230964067,0.18148681619936557,0.18148681619936557,-12.286338339475769,-7.4739317245031955,0.493784875606358,0.45145152536308303,"['LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
1,3,WeightedEnsemble_L3,0.22058156420041553,0.056411930517674125,0.056411930517674125,-10.00045842161302,-6.923521668247923,0.29413500047544267,0.37890878245345516,"['LightGBM_BAG_L1', 'LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1']"
1,4,WeightedEnsemble_L3,0.1850038277981324,0.19837871376899407,0.19837871376899407,-7.879301671484409,-6.0788931649112135,0.47000995516084604,0.4927648094663104,"['LightGBM_BAG_L1', 'LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2']"
1,5,WeightedEnsemble_L3,0.17268753272539106,0.18748235983573758,0.18748235983573758,-11.011931997958962,-7.409847400597567,0.4750508366487174,0.46254478191594206,"['LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'RandomForestMSE_BAG_L1']"
2,1,WeightedEnsemble_L2,0.1492900199822791,0.18387443073317844,0.18387443073317844,-11.3917687426809,-7.766766147500665,0.472680951033008,0.4165628049917666,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1', 'RandomForestMSE_BAG_L1']"
2,2,WeightedEnsemble_L2,0.19020282676990719,0.14755026455656728,0.14755026455656728,-12.490024786347062,-7.439199526634442,0.42530372171452774,0.4246213359286451,"['WeightedEnsemble_L2', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L1']"
2,3,WeightedEnsemble_L2,0.15477468508601788,0.15291690982708195,0.15291690982708195,-8.635588334970636,-6.688519235193377,0.4248665416531712,0.4008155971395876,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
2,4,WeightedEnsemble_L3,0.2046422503587796,0.08644338269903828,0.08644338269903828,-10.63816433227962,-7.216979342804858,0.311752383167432,0.4100246739929971,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1']"
2,5,WeightedEnsemble_L2,0.1928078759970494,0.05899814544503612,0.05899814544503612,-9.128002222033397,-6.954232142521785,0.31579707552872166,0.4175306099286919,"['WeightedEnsemble_L2', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L1']"
3,1,WeightedEnsemble_L3,0.1666759198354555,0.18401602325848365,0.18401602325848365,-8.88450177772441,-6.550334794986883,0.44549890517751073,0.44926886149587325,"['LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
3,2,WeightedEnsemble_L3,0.14683298779735954,0.17537961948106207,0.17537961948106207,-12.178842554718349,-7.994954143050155,0.5173203047583974,0.5159898791125479,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L2']"
3,3,WeightedEnsemble_L3,0.15886609522171147,0.2475736539839759,0.2475736539839759,-7.899536421133467,-6.204568202678974,0.5015307628302736,0.455709249736338,"['WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
3,4,WeightedEnsemble_L2,0.18446469048896952,0.05706376131545332,0.05706376131545332,-9.075504150333169,-6.904404521693845,0.3134247802473777,0.34445303836145025,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2']"
3,5,WeightedEnsemble_L2,0.203918217064037,0.10566249864225219,0.10566249864225219,-13.208393714318033,-8.13849944616916,0.3267527100292075,0.37397505221497584,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1']"
4,1,WeightedEnsemble_L3,0.2013036872995686,0.14076597032594984,0.14076597032594984,-10.561518398321638,-6.879168640227007,0.3809736333890378,0.3912082070870635,"['LightGBM_BAG_L1', 'LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2']"
4,2,WeightedEnsemble_L2,0.17441072290798743,0.17275884510608852,0.17275884510608852,-8.313684133388577,-6.1861544050408535,0.42352309308997405,0.4452483770827739,"['LightGBM_BAG_L1', 'WeightedEnsemble_L2', 'LightGBMXT_BAG_L1', 'RandomForestMSE_BAG_L1']"
4,3,WeightedEnsemble_L2,0.14889360917522776,0.16033629567641094,0.16033629567641094,-12.811446461710194,-8.362285709945407,0.4744491935737219,0.45609111326751783,"['WeightedEnsemble_L2', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
4,4,WeightedEnsemble_L3,0.19372300155217925,0.0873407716202309,0.0873407716202309,-10.478619157934876,-7.212137797880455,0.3120387697143715,0.36917604652985236,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1']"
4,5,WeightedEnsemble_L2,0.18387753275740648,0.16665676835356713,0.16665676835356713,-9.778463718285968,-7.218049568537424,0.4213797441242725,0.37846318090143166,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1']"
5,1,WeightedEnsemble_L3,0.17652847476634748,0.17011588494668162,0.17011588494668162,-10.035469116669613,-6.946265130353397,0.41721822989101065,0.41495489233977717,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L2']"
5,2,WeightedEnsemble_L3,0.2111848677045668,0.13297000888358035,0.13297000888358035,-9.491559474255864,-7.023961885440984,0.39103773866913216,0.4700240414348358,"['WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L2', 'LightGBMXT_BAG_L1']"
5,3,WeightedEnsemble_L2,0.18350548041507797,0.12762464292915898,0.12762464292915898,-11.586836626799697,-7.49184328000221,0.36920288055487327,0.37762886355222924,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1']"
