repeat,fold,Best_Model,score_val,score_test,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr,models_list
1,1,WeightedEnsemble_L2,0.05662984529238635,-0.0050420724701121244,-0.0050420724701121244,-11.156423977165915,-8.127348630942738,0.043828845462908335,0.08634578091591667,"['NeuralNetFastAI_r145_BAG_L1', 'NeuralNetTorch_r22_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
1,2,WeightedEnsemble_L3,0.08089096640493687,0.015057557070320748,0.015057557070320748,-12.305911442786408,-7.5536700570945206,0.17230163038194876,0.11455919645964896,"['NeuralNetFastAI_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'LightGBM_r96_BAG_L1', 'WeightedEnsemble_L3', 'NeuralNetFastAI_BAG_L2', 'CatBoost_BAG_L2', 'LightGBMXT_BAG_L1', 'CatBoost_r9_BAG_L1', 'LightGBMXT_BAG_L2', 'CatBoost_BAG_L1', 'NeuralNetTorch_BAG_L1', 'CatBoost_r177_BAG_L1', 'LightGBM_BAG_L1', 'NeuralNetTorch_r22_BAG_L1', 'LightGBM_r131_BAG_L1', 'LightGBMLarge_BAG_L1', 'LightGBM_BAG_L2', 'NeuralNetTorch_r79_BAG_L1', 'XGBoost_BAG_L1', 'RandomForestMSE_BAG_L1']"
1,3,WeightedEnsemble_L2,0.05192668358964525,0.0025323353100870083,0.0025323353100870083,-9.63854771650527,-6.619651119716837,0.07424862579528985,0.06653075431355975,"['XGBoost_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetTorch_r22_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_r145_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
1,4,WeightedEnsemble_L2,0.051552893133419486,-0.05138901618012626,-0.05138901618012626,-7.876513745669642,-6.116197720612106,0.020178829552848034,0.007789269553975437,"['LightGBM_r188_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
1,5,WeightedEnsemble_L2,0.0876037997947452,-0.03132576495032402,-0.03132576495032402,-10.995109391101568,-7.366318733138384,0.03337701654697977,0.0422654268808115,"['NeuralNetFastAI_r102_BAG_L1', 'WeightedEnsemble_L2', 'CatBoost_r9_BAG_L1', 'CatBoost_r177_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
2,1,WeightedEnsemble_L2,0.05105744701186132,0.00620646884508369,0.00620646884508369,-11.259152874907892,-7.597077443805166,0.17086782550740431,0.14412759186514842,"['NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'WeightedEnsemble_L2', 'NeuralNetTorch_r22_BAG_L1', 'XGBoost_BAG_L1', 'LightGBM_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
2,2,WeightedEnsemble_L3,0.08713579099097468,-0.0016524106077624445,-0.0016524106077624445,-12.368838979633725,-7.590752337539912,0.04914049402615898,-0.03223608970215306,"['LightGBMXT_BAG_L1', 'LightGBMLarge_BAG_L1', 'CatBoost_r177_BAG_L1', 'CatBoost_r9_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'CatBoost_BAG_L1', 'XGBoost_BAG_L1', 'RandomForestMSE_BAG_L1', 'LightGBM_r131_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L2', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetTorch_BAG_L2', 'LightGBMXT_BAG_L2', 'XGBoost_BAG_L2', 'NeuralNetTorch_BAG_L1', 'ExtraTreesMSE_BAG_L1']"
2,3,WeightedEnsemble_L3,0.07364854218702488,-0.01674718212924886,-0.01674718212924886,-8.869598754901878,-6.784514089257744,0.06802221949816026,0.08602257471035753,"['NeuralNetTorch_BAG_L1', 'NeuralNetTorch_r79_BAG_L1', 'CatBoost_r177_BAG_L1', 'CatBoost_r9_BAG_L1', 'CatBoost_BAG_L1', 'LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'NeuralNetFastAI_BAG_L2', 'LightGBMLarge_BAG_L1', 'LightGBM_r131_BAG_L1', 'LightGBM_BAG_L1', 'XGBoost_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'ExtraTreesMSE_BAG_L2', 'ExtraTreesMSE_BAG_L1', 'RandomForestMSE_BAG_L1']"
2,4,WeightedEnsemble_L3,0.07838151202364185,-0.052200461994629244,-0.052200461994629244,-10.547152880061201,-7.150923538106619,-0.031314784776787334,0.025928596290587247,"['CatBoost_r177_BAG_L1', 'CatBoost_r9_BAG_L1', 'CatBoost_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'LightGBM_r131_BAG_L1', 'LightGBMXT_BAG_L1', 'LightGBMLarge_BAG_L1', 'LightGBM_BAG_L1', 'XGBoost_BAG_L1', 'ExtraTreesMSE_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_BAG_L2', 'WeightedEnsemble_L3', 'RandomForestMSE_BAG_L1', 'LightGBMXT_BAG_L2', 'NeuralNetTorch_r79_BAG_L1', 'NeuralNetTorch_BAG_L1']"
2,5,WeightedEnsemble_L2,0.05419524428964684,0.018965747330245475,0.018965747330245475,-8.8115344061472,-6.637908788423171,0.16388666409614364,0.10725970861717468,"['WeightedEnsemble_L2', 'CatBoost_r9_BAG_L1', 'NeuralNetFastAI_r191_BAG_L1', 'NeuralNetFastAI_BAG_L1', 'CatBoost_r177_BAG_L1', 'NeuralNetFastAI_r102_BAG_L1', 'NeuralNetTorch_r79_BAG_L1']"
