repeat,fold,Best_Model,score_val,score_test,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr,models_list
1,1,WeightedEnsemble_L3,0.06713197421024142,-0.01386266664166902,-0.01386266664166902,-11.20527333454648,-8.14371404832886,-0.0028212609874744025,0.02025259808065238,"['LightGBM_BAG_L2', 'LightGBMXT_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L2', 'RandomForestMSE_BAG_L1']"
1,2,WeightedEnsemble_L3,0.030681930062169238,0.0015275523871310925,0.0015275523871310925,-12.390145370139686,-7.604292693412371,0.0930848462267451,0.0816742081447964,"['LightGBM_BAG_L2', 'LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'RandomForestMSE_BAG_L1']"
1,3,WeightedEnsemble_L2,0.024103084388752416,0.018233101520582218,0.018233101520582218,-9.562388438040646,-6.705119533807594,0.17243386529390625,0.09461737357664961,"['LightGBM_BAG_L1', 'WeightedEnsemble_L2', 'CatBoost_BAG_L1']"
1,4,WeightedEnsemble_L3,0.03270490241149904,-0.02353243878375877,-0.02353243878375877,-7.77146907352243,-6.0544802414373695,0.07425513298856104,0.022890457958331265,"['LightGBMXT_BAG_L1', 'LightGBM_BAG_L2', 'LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'CatBoost_BAG_L1', 'LightGBMXT_BAG_L2', 'RandomForestMSE_BAG_L1']"
1,5,WeightedEnsemble_L2,0.020080796988293015,-0.01304232547583739,-0.01304232547583739,-10.897212406119687,-7.317609207219926,0.00721211083880817,0.0029536074784943566,"['LightGBM_BAG_L1', 'WeightedEnsemble_L2', 'LightGBMXT_BAG_L1', 'RandomForestMSE_BAG_L1']"
2,1,WeightedEnsemble_L3,0.015634459900421005,-0.0073430469056268155,-0.0073430469056268155,-11.33564743178606,-7.644206650572697,0.13274573006573281,0.10228233305156384,"['LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'CatBoost_BAG_L1', 'RandomForestMSE_BAG_L1']"
2,2,WeightedEnsemble_L3,0.02689436857874472,-0.0022648019522626406,-0.0022648019522626406,-12.372619439037113,-7.513724389723417,0.018666915742632652,0.0749067674407041,"['LightGBMXT_BAG_L1', 'CatBoost_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1', 'RandomForestMSE_BAG_L1']"
2,3,WeightedEnsemble_L2,0.011352816461004722,-0.024408746916380064,-0.024408746916380064,-8.902953884992828,-6.952204134817073,-0.023102284710955847,0.024068917507831543,"['LightGBM_BAG_L1', 'WeightedEnsemble_L2', 'LightGBMXT_BAG_L1', 'CatBoost_BAG_L1']"
2,4,WeightedEnsemble_L3,0.03321164607982985,0.017417364380887146,0.017417364380887146,-10.192261072954775,-6.927680651104209,0.15843019624483026,0.09697429267565015,"['LightGBMXT_BAG_L2', 'WeightedEnsemble_L3', 'LightGBM_BAG_L1', 'LightGBM_BAG_L2', 'LightGBMXT_BAG_L1', 'CatBoost_BAG_L1', 'RandomForestMSE_BAG_L1']"
2,5,WeightedEnsemble_L3,0.0384116847420074,-0.01896663589783132,-0.01896663589783132,-8.980270901169703,-6.745429915828175,0.01686694237785991,-0.014750633981403213,"['CatBoost_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L1', 'LightGBMXT_BAG_L2', 'LightGBM_BAG_L1', 'RandomForestMSE_BAG_L1']"
3,1,WeightedEnsemble_L2,0.01866910106866515,-0.00487423294217848,-0.00487423294217848,-8.685873780674775,-6.420370963375954,0.1024174010915404,0.07444682014817762,"['WeightedEnsemble_L2', 'CatBoost_BAG_L1', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1']"
3,2,WeightedEnsemble_L2,0.057047314492972845,-0.018468505216080233,-0.018468505216080233,-11.94555217414748,-7.821620197541167,0.10974235718452395,0.05621550395306051,"['LightGBMXT_BAG_L1', 'WeightedEnsemble_L2', 'LightGBM_BAG_L1']"
3,3,WeightedEnsemble_L2,0.03186553339804865,-0.0026608346442480446,-0.0026608346442480446,-8.146842403180365,-6.4481524342976995,0.036601377047357775,0.05224255382626424,"['WeightedEnsemble_L2', 'LightGBM_BAG_L1', 'LightGBMXT_BAG_L1']"
3,4,WeightedEnsemble_L3,0.02849461180784052,-0.023600372038651507,-0.023600372038651507,-9.424198264582133,-7.230059899915829,0.009249989559782767,-0.030851275421411174,"['LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'CatBoost_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L2', 'LightGBMXT_BAG_L2', 'RandomForestMSE_BAG_L1']"
3,5,WeightedEnsemble_L3,0.016346560636125163,-0.0006892845161983185,-0.0006892845161983185,-13.248562159765182,-8.053007683529595,0.031105907075188993,0.04703396151359952,"['LightGBMXT_BAG_L2', 'LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'CatBoost_BAG_L1', 'LightGBMXT_BAG_L1', 'RandomForestMSE_BAG_L1']"
4,1,WeightedEnsemble_L3,0.01812502470891786,-0.00656681200331688,-0.00656681200331688,-10.557044318757836,-6.805752568239747,-0.00290716501641349,0.03768087116503407,"['LightGBMXT_BAG_L2', 'CatBoost_BAG_L1', 'LightGBMXT_BAG_L1', 'LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'LightGBM_BAG_L2', 'RandomForestMSE_BAG_L1']"
4,2,WeightedEnsemble_L3,0.037276966955891555,-0.029100800080787304,-0.029100800080787304,-8.453619372337556,-6.320050723791077,-0.0636812104229917,-0.04576848490875641,"['LightGBM_BAG_L1', 'WeightedEnsemble_L3', 'LightGBMXT_BAG_L2', 'RandomForestMSE_BAG_L1', 'LightGBMXT_BAG_L1']"
