,fit_time,score_time,test_r2,train_r2,test_neg_mean_absolute_error,train_neg_mean_absolute_error,test_neg_root_mean_squared_error,train_neg_root_mean_squared_error,test_r_corr,train_r_corr,test_spearmanr,train_spearmanr,n_train,n_test,repeat,fold,cv_mdsum
0,845.2923531532288,0.016135692596435547,-1.972922162033138,0.9997823733390452,-22.362347075929623,-0.1826980868622995,-28.049682585827416,-0.23089745714710566,0.0326547639335798,0.9999148702665374,0.04022317239815542,0.9920343289831457,643,161,0,0,5c27a6ab2f77a32bc345d1ab4ef33463
1,840.8893852233887,0.016109943389892578,-2.784276308221206,0.9998025497153118,-23.30385727981776,-0.1738150749658859,-29.793212416826623,-0.22350946296334923,-0.046206041944870394,0.9999230124894933,-0.011299980785193354,0.992280960231969,643,161,0,1,5c27a6ab2f77a32bc345d1ab4ef33463
2,836.7291316986084,0.016112327575683594,-2.683346970426847,0.9997806691821368,-24.198014833104335,-0.18755547248068585,-30.434571565716347,-0.23357214270892884,0.07975940964157059,0.999913564741589,0.08645352768615489,0.9923972255346561,643,161,0,2,5c27a6ab2f77a32bc345d1ab4ef33463
3,846.4820158481598,0.01606297492980957,-2.5765909614658744,0.9997169985057408,-23.11241018339954,-0.21597927706654116,-28.96971627886039,-0.26754999822653736,0.014587170428072414,0.9998888067315721,-0.0037625656729842263,0.9922223334268826,643,161,0,3,5c27a6ab2f77a32bc345d1ab4ef33463
4,835.9974279403687,0.015290260314941406,-2.203341271732158,0.999753771868986,-24.035660325827493,-0.1955655591829792,-28.813902716629578,-0.24650076488092204,0.21525079980015693,0.9999062166866599,0.2294157371927578,0.992574332148094,644,160,0,4,5c27a6ab2f77a32bc345d1ab4ef33463
5,837.9787309169769,0.015469789505004883,-2.046275799438322,0.9997851163627952,-22.29960755520267,-0.18098197624208726,-28.599984079100064,-0.22918829476119826,0.050387639850564395,0.9999185703993094,0.08532607614673028,0.9921585280595193,643,161,0,5,5c27a6ab2f77a32bc345d1ab4ef33463
6,842.9759440422058,0.015883922576904297,-3.574912404253886,0.9997426641179941,-25.47210523954047,-0.20695156196533138,-31.412885708460163,-0.2575309682179898,0.10479702952463389,0.9999012792877202,0.10289866305158815,0.9924310540869983,643,161,0,6,5c27a6ab2f77a32bc345d1ab4ef33463
7,841.5978155136108,0.015279769897460938,-2.45518092933529,0.9997650470993811,-23.652577629459845,-0.19155204151640637,-28.708156356913335,-0.24279594771807048,-0.09422236509888891,0.9999081844043534,-0.1130778015208479,0.9924338626578213,643,161,0,7,5c27a6ab2f77a32bc345d1ab4ef33463
8,831.6970417499542,0.015062332153320312,-2.398619267534281,0.9998184306604309,-23.42569941183802,-0.1699604754678565,-29.035780615870884,-0.21288925841157072,0.10163839660790246,0.9999323124936883,0.09907113664256738,0.9922247900220986,643,161,0,8,5c27a6ab2f77a32bc345d1ab4ef33463
9,829.3147711753845,0.015107393264770508,-2.169914467266764,0.9997857270963532,-22.544273728680587,-0.18482960466921808,-29.191551595413923,-0.22839674263154047,0.09839176946307727,0.9999155518968085,0.09165186202149128,0.9923052184149627,644,160,0,9,5c27a6ab2f77a32bc345d1ab4ef33463
