,fit_time,score_time,test_r2,train_r2,test_neg_mean_absolute_error,train_neg_mean_absolute_error,test_neg_root_mean_squared_error,train_neg_root_mean_squared_error,test_r_corr,train_r_corr,test_spearmanr,train_spearmanr,n_train,n_test,repeat,fold,cv_mdsum
0,18004.412710666656,0.06257319450378418,0.019321354980393446,0.5934485116516721,-12.691794403184357,-6.246548494976062,-16.11014840029939,-9.979777951047593,0.2224432133937555,0.8684211477152929,0.20861281488195116,0.9276578691914337,643,161,0,0,5c27a6ab2f77a32bc345d1ab4ef33463
1,18288.460028648376,0.06307554244995117,0.061252487272106526,0.5937027043449652,-11.772425146526688,-6.50335391401319,-14.83885234126337,-10.138857023562261,0.2642417436954446,0.8839777436790082,0.2998449901351056,0.9293265021762138,643,161,0,1,5c27a6ab2f77a32bc345d1ab4ef33463
2,18265.791306495667,0.06184029579162598,-0.07999906228899145,0.9960757587636109,-13.013694588381028,-0.9830728776441346,-16.48001361163545,-0.9879820729334712,0.06416781514813623,0.9991593866746257,0.07670460237528011,0.9923972255346561,643,161,0,2,5c27a6ab2f77a32bc345d1ab4ef33463
3,18329.795590400696,0.06448054313659668,0.04041538264624467,0.5860857069094063,-12.048820102968534,-6.457846663244454,-15.005526674926651,-10.232124124624574,0.2200949215695065,0.8674317298398099,0.21326326589146574,0.9208668431364362,643,161,0,3,5c27a6ab2f77a32bc345d1ab4ef33463
4,18354.5120844841,0.06177783012390137,0.0720882417680696,0.5881041715038267,-12.197436595891299,-6.414855187953991,-15.507929569292198,-10.081917370600074,0.27518768776384717,0.8661329963724134,0.2733817458115581,0.9208094217736909,644,160,0,4,5c27a6ab2f77a32bc345d1ab4ef33463
5,19400.09552526474,0.13201045989990234,0.09081334551138587,0.5827260135839911,-12.549611690040674,-6.337070280922635,-15.624556806890759,-10.099535859799884,0.36582077034233357,0.868636784262097,0.3428273893205309,0.9275912206921597,643,161,0,5,5c27a6ab2f77a32bc345d1ab4ef33463
6,18338.990185022354,0.0635521411895752,0.03549727154893212,0.5800477271260782,-11.669856682521216,-6.516272798744795,-14.423417438889617,-10.403494818832657,0.20499128332780642,0.8602454221161709,0.2098331931371096,0.9191796482946585,643,161,0,6,5c27a6ab2f77a32bc345d1ab4ef33463
7,18330.55256652832,0.06555843353271484,0.042774930128553934,0.6026283474259049,-11.880811565822702,-6.424948730187159,-15.110433993851673,-9.985032201564128,0.21553745606621377,0.8820781046367266,0.2184859933744294,0.9282755301016434,643,161,0,7,5c27a6ab2f77a32bc345d1ab4ef33463
8,17265.476466417313,0.062230825424194336,0.05523123137742425,0.5904870571468785,-12.262460418246341,-6.382299524612635,-15.308936192457917,-10.110352750007356,0.24336446535897696,0.8661613910257313,0.22986120432157459,0.9203260918554488,643,161,0,8,5c27a6ab2f77a32bc345d1ab4ef33463
9,17487.274495363235,0.06120800971984863,-0.03245515386803843,0.615801502028839,-12.807460183964462,-6.217691437122891,-16.659770162760356,-9.671283398808123,0.13989133189276876,0.8834679097446355,0.17252506532308626,0.9288468668689457,644,160,0,9,5c27a6ab2f77a32bc345d1ab4ef33463
10,17462.98494577408,0.05745410919189453,-0.0043184723363396404,0.5945852924873773,-12.220570189938782,-6.430028271310703,-15.052830547677257,-10.15551549406622,0.11991080352574832,0.876184707836737,0.10227528838378079,0.9284511132894403,643,161,0,10,5c27a6ab2f77a32bc345d1ab4ef33463
11,17558.172607183456,0.059439659118652344,0.023877340218290022,0.6028017105115051,-13.083367164647486,-6.181701818134412,-16.346292203038423,-9.79337588490081,0.19161615741885998,0.8652080410769188,0.17807640175834363,0.9159603750944718,643,161,0,11,5c27a6ab2f77a32bc345d1ab4ef33463
12,17509.45205593109,0.06533956527709961,0.028731659780762198,0.6026011118761487,-12.431131487543839,-6.274037207209991,-16.04672105181869,-9.873208295760062,0.20272618180763607,0.8736161098173254,0.2132593571605552,0.92261592945579,643,161,0,12,5c27a6ab2f77a32bc345d1ab4ef33463
13,17479.348326921463,0.05974078178405762,-0.0035014149656746874,0.5913508361232894,-11.335673106106473,-6.533474535763066,-14.82629391631387,-10.24072397325738,0.1781508409477047,0.8755817314046478,0.18969645901141088,0.924501531812761,643,161,0,13,5c27a6ab2f77a32bc345d1ab4ef33463
14,17460.46094107628,0.06472182273864746,-0.02540348131509229,0.5870238140327818,-12.866552467479135,-6.360515760563524,-15.904086008508912,-10.115307963654372,0.2362077084657494,0.8737466393210169,0.2474486162567154,0.9260987012295722,644,160,0,14,5c27a6ab2f77a32bc345d1ab4ef33463
15,19482.422307014465,0.12573981285095215,0.07153290464011963,0.5936356523659283,-11.356056231195083,-6.567405271135149,-14.234908183497646,-10.215558501357268,0.2704194168624689,0.8793574484911875,0.29261297054959845,0.9271020919618748,643,161,0,15,5c27a6ab2f77a32bc345d1ab4ef33463
16,17273.46852374077,0.06196022033691406,0.020044438388903796,0.6085118548424381,-12.92800433590337,-6.1880910505902715,-16.747306547600555,-9.692915870932891,0.1597343562077162,0.8733512595893906,0.1452278452564835,0.9215543397489544,643,161,0,16,5c27a6ab2f77a32bc345d1ab4ef33463
17,17459.761106967926,0.061121225357055664,0.08804066003010269,0.5840299564828156,-11.95349701546169,-6.410143690026497,-14.846997857813415,-10.221923266116528,0.331346830575363,0.8641209738299929,0.3232378910071789,0.9183899767150573,643,161,0,17,5c27a6ab2f77a32bc345d1ab4ef33463
18,17397.683198451996,0.06275033950805664,0.01455520481715511,0.591261055131487,-12.279051052724196,-6.4683187352481,-15.429455434286345,-10.133665748605356,0.1585833754386873,0.8745182648953376,0.19435262955244967,0.925744362829303,643,161,0,18,5c27a6ab2f77a32bc345d1ab4ef33463
