,fit_time,score_time,test_r2,train_r2,test_neg_mean_absolute_error,train_neg_mean_absolute_error,test_neg_root_mean_squared_error,train_neg_root_mean_squared_error,test_r_corr,train_r_corr,test_spearmanr,train_spearmanr,n_train,n_test,repeat,fold,cv_mdsum
0,48.853803873062134,0.014884233474731445,0.035005882513099995,0.09281697303608638,-12.74934746794996,-11.704031412723934,-15.980799943079496,-14.907697058376279,0.2697911592473624,0.3212842706011943,0.2535757065794716,0.31172727695344865,643,161,0,0,5c27a6ab2f77a32bc345d1ab4ef33463
1,47.73983931541443,0.014438629150390625,0.07073587228245637,0.08975924967080562,-11.77338929150711,-11.942825127908256,-14.76370979482124,-15.17557551496742,0.29190726504661196,0.32038948050526644,0.2978472114809029,0.3037636046675035,643,161,0,1,5c27a6ab2f77a32bc345d1ab4ef33463
2,48.56157970428467,0.015120506286621094,0.11152794162778545,0.07978360913211535,-11.652426921186986,-12.003101232233856,-14.94747252993636,-15.12920815334617,0.3484153532416358,0.29997601633740295,0.3313981775877501,0.29583963262921864,643,161,0,2,5c27a6ab2f77a32bc345d1ab4ef33463
3,48.32416486740112,0.014522790908813477,0.04332130306723159,0.09753629939894892,-12.141184879152956,-11.82997216917912,-14.98278874855977,-15.10864299758789,0.23406595011403852,0.3315563903931265,0.21454305999364026,0.32872473708804073,643,161,0,3,5c27a6ab2f77a32bc345d1ab4ef33463
4,48.1330451965332,0.014287471771240234,0.07887067492728261,0.09657429579686572,-12.090103754615246,-11.816581204484828,-15.451149168247417,-14.931232509766376,0.2820652425910541,0.325716113948084,0.25503778241349084,0.319950097520846,644,160,0,4,5c27a6ab2f77a32bc345d1ab4ef33463
5,48.90985608100891,0.015208959579467773,0.08838871443817697,0.08316564238904889,-12.619472721907146,-11.71830576851761,-15.645376823401225,-14.970496359536723,0.3424179586443263,0.3086472761039942,0.3137742944209972,0.30583892284385017,643,161,0,5,5c27a6ab2f77a32bc345d1ab4ef33463
6,49.22447156906128,0.015212535858154297,0.03716985084516233,0.09431795952445732,-11.652139900587468,-11.949317330796596,-14.410905925720032,-15.2780231969181,0.22803042505770013,0.32855676142630996,0.20027410289940975,0.33087499027540546,643,161,0,6,5c27a6ab2f77a32bc345d1ab4ef33463
7,47.80603790283203,0.01483154296875,0.08530862446307319,0.07925641029267005,-11.555446060332596,-12.054979309945004,-14.770908165781783,-15.19918777874185,0.29727545712537257,0.30117105115067877,0.34163477979585677,0.28566501954049184,643,161,0,7,5c27a6ab2f77a32bc345d1ab4ef33463
8,48.43199920654297,0.013923406600952148,0.10106023071630887,0.09055720631496189,-11.919615994600852,-11.898520189640626,-14.933016529973079,-15.066770920583973,0.3227289207977227,0.31359881555941715,0.3166069394908362,0.30727255091256095,643,161,0,8,5c27a6ab2f77a32bc345d1ab4ef33463
9,52.18675661087036,0.01444244384765625,0.007269737929963771,0.10157766053909434,-12.699202549172231,-11.706460811311123,-16.336124622055063,-14.789263589061967,0.23447715803390834,0.3315719043696578,0.2343644967115465,0.3209254555574221,644,160,0,9,5c27a6ab2f77a32bc345d1ab4ef33463
10,52.08311057090759,0.013892650604248047,0.07837368091665697,0.09359764178996477,-11.808634739141935,-11.948591668790595,-14.41982140879049,-15.18492798328465,0.28286748737330725,0.3257045722311036,0.28794998152263873,0.31351793107209697,643,161,0,10,5c27a6ab2f77a32bc345d1ab4ef33463
11,47.42546248435974,0.013908863067626953,0.09388080332575677,0.0872458767463209,-12.53932278456756,-11.769761336388699,-15.749244538559166,-14.845869569811962,0.3274740332945457,0.3056085940167717,0.2975032008381801,0.3003356181572795,643,161,0,11,5c27a6ab2f77a32bc345d1ab4ef33463
12,51.48797583580017,0.014119386672973633,0.04426722590297161,0.08909609645998795,-12.201344715543023,-11.851140818276283,-15.91786900598678,-14.94793694548097,0.2542259703915248,0.3247355672926562,0.24944438805000155,0.317502639502319,643,161,0,12,5c27a6ab2f77a32bc345d1ab4ef33463
13,48.637176275253296,0.014084815979003906,0.03409149247247334,0.08358895750160777,-11.3621114789612,-12.064594371765343,-14.545933787744238,-15.335590735474447,0.28853626773457075,0.312748845617335,0.2935493545019752,0.31051510398199916,643,161,0,13,5c27a6ab2f77a32bc345d1ab4ef33463
14,48.75212025642395,0.014077901840209961,-0.01996099073374169,0.09325019382050415,-12.920824184111734,-11.676717507904048,-15.861823133188253,-14.98857483922888,0.2656327803580503,0.3204936135130865,0.27561256334583134,0.3159190425699832,644,160,0,14,5c27a6ab2f77a32bc345d1ab4ef33463
15,49.28646779060364,0.013948678970336914,0.09408067109985185,0.0837432894918595,-11.156053100988787,-12.093810887832717,-14.060998914156114,-15.339559923601492,0.3100173739054088,0.3129476342644363,0.314715690445356,0.30198838388392957,643,161,0,15,5c27a6ab2f77a32bc345d1ab4ef33463
16,47.542564153671265,0.013816118240356445,0.05275036218979279,0.10472804700529648,-12.783200944484403,-11.634089829666998,-16.465465101377625,-14.657929385414315,0.23372072725744297,0.3384179151097548,0.1948600545966505,0.3363420247165854,643,161,0,16,5c27a6ab2f77a32bc345d1ab4ef33463
17,48.20811176300049,0.013997077941894531,0.08892673614513091,0.08741569433235341,-11.695690960026063,-11.966926341087285,-14.839783299715519,-15.140425706517775,0.3249434488475538,0.3113771720221905,0.32597175319192867,0.2958855644535854,643,161,0,17,5c27a6ab2f77a32bc345d1ab4ef33463
18,48.06741690635681,0.014149188995361328,0.09239320328838041,0.08478821708953588,-11.881086258166656,-11.921660126404426,-14.807553761933265,-15.163671482739897,0.31627170823643364,0.3128347303550791,0.32980586549931595,0.30136573175653175,643,161,0,18,5c27a6ab2f77a32bc345d1ab4ef33463
