,fit_time,score_time,test_r2,train_r2,test_neg_mean_absolute_error,train_neg_mean_absolute_error,test_neg_root_mean_squared_error,train_neg_root_mean_squared_error,test_r_corr,train_r_corr,test_spearmanr,train_spearmanr,n_train,n_test,repeat,fold,cv_mdsum
0,13081.860033512115,0.04964017868041992,0.10347860753248805,0.5867382337357806,-6.5676337443419275,-2.8678925941314852,-9.14648933746471,-7.127427606311653,0.35965979507728324,0.8442790534581729,0.39931134355715614,0.98174624872567,643,161,0,0,5c27a6ab2f77a32bc345d1ab4ef33463
1,12996.370164871216,0.05063486099243164,0.05018443653646687,0.6648958264739775,-7.447662840196117,-2.667191815147248,-12.799737217837023,-5.877056911470529,0.25108790734107306,0.878535339431764,0.22286284479031265,0.9783267176862366,643,161,0,1,5c27a6ab2f77a32bc345d1ab4ef33463
2,13248.776411771774,0.051776885986328125,0.049699148131974735,0.5729657720271492,-7.413239682149536,-2.781070423307164,-10.296598202463002,-7.098527218456498,0.4303267995401009,0.8356419372683143,0.47280471204958174,0.9819588011886852,643,161,0,2,5c27a6ab2f77a32bc345d1ab4ef33463
3,13170.069464445114,0.05567026138305664,0.0609316317401819,0.6311841492132015,-7.202023228882817,-2.7326459056045147,-10.927523112163476,-6.494744080461053,0.25788973148369126,0.8618345493051214,0.2645884148433555,0.9802173657375435,643,161,0,3,5c27a6ab2f77a32bc345d1ab4ef33463
4,13211.268165111542,0.050779104232788086,0.06688209594537531,0.5882429181041057,-6.398943699482673,-2.939893814492257,-8.52445957105677,-7.215845012516279,0.27083303656601804,0.8448472583089824,0.30268963512647723,0.9792976304797124,644,160,0,4,5c27a6ab2f77a32bc345d1ab4ef33463
5,13238.84952712059,0.044196128845214844,0.10495611852999909,0.6347407314729676,-6.656850304585562,-2.814256958636278,-11.651265754376771,-6.289398675429114,0.4058764619750584,0.8703305492245408,0.4380738658447049,0.9789740258475567,643,161,0,5,5c27a6ab2f77a32bc345d1ab4ef33463
6,13176.166080474854,0.05601954460144043,0.0476059163029261,0.5888940352052758,-6.913619232388185,-2.8136444863794767,-9.646594001339285,-7.0761977827913425,0.2658533161936669,0.8408086416903532,0.3095629944234319,0.9810951492113821,643,161,0,6,5c27a6ab2f77a32bc345d1ab4ef33463
7,13081.564459562302,0.049497127532958984,0.07099516619570767,0.6242643110144364,-8.049719929068594,-2.705906054553628,-11.96014320377666,-6.3615958972319255,0.3130474301362836,0.8610134067855606,0.3058642451319377,0.9792648735302388,643,161,0,7,5c27a6ab2f77a32bc345d1ab4ef33463
8,13115.48856139183,0.05250716209411621,0.017574373614740124,0.5963116623068979,-6.366659293112018,-2.8945383799072744,-9.057517478609292,-7.1080120261599005,0.2073408331433493,0.8491958782720936,0.303808525395119,0.9824623611400741,643,161,0,8,5c27a6ab2f77a32bc345d1ab4ef33463
9,13282.256672859192,0.051595449447631836,0.03180553567538302,0.5990654249622936,-6.918873877837859,-2.8275759631908564,-9.693270384812228,-6.992486356848319,0.2543327352738951,0.8495128559029124,0.2675901238352026,0.9803120402717066,644,160,0,9,5c27a6ab2f77a32bc345d1ab4ef33463
10,13161.99370265007,0.045989274978637695,0.1065417388313683,0.6427371416842842,-6.725963957570847,-2.804062691848419,-11.266854453688229,-6.283277768188816,0.3363646607601217,0.8717366090360517,0.3070353316001015,0.9788102730300831,643,161,0,10,5c27a6ab2f77a32bc345d1ab4ef33463
11,13519.090032815933,0.05174708366394043,0.07371547120032595,0.5820673592295489,-6.8185186604121055,-2.8824663708335736,-8.966929695863627,-7.214776782785161,0.30223043525441423,0.8396131411549506,0.3511743060288999,0.9805807421516431,643,161,0,11,5c27a6ab2f77a32bc345d1ab4ef33463
12,13330.244747400284,0.05268144607543945,0.06897376685189349,0.588445150216095,-7.372333228949001,-2.7625194434002855,-10.06537929211935,-6.999314634103218,0.29098272580564377,0.8397185011617774,0.28389180863424424,0.9792181025549291,643,161,0,12,5c27a6ab2f77a32bc345d1ab4ef33463
13,13296.895738124847,0.05229949951171875,0.03674741699302586,0.643245003626592,-7.150544483588366,-2.7019074512868784,-12.0476712249602,-6.2168914970234175,0.2842258727300523,0.8742669295980521,0.36118759674212414,0.9829698410278944,643,161,0,13,5c27a6ab2f77a32bc345d1ab4ef33463
14,13338.449740886688,0.04898357391357422,0.08305192003999051,0.5783410192573193,-6.852220101030153,-2.886989228416867,-9.334733722717555,-7.185649111791707,0.3456584293882764,0.839109319651732,0.3585725285417016,0.9806723550254023,644,160,0,14,5c27a6ab2f77a32bc345d1ab4ef33463
15,13364.714627742767,0.05389761924743652,0.050887552966068283,0.6304842867594935,-7.378732171211804,-2.753299966657508,-11.509038136086573,-6.414318885098946,0.2587793931024139,0.8663665986702271,0.29917871072387503,0.9830140432936445,643,161,0,15,5c27a6ab2f77a32bc345d1ab4ef33463
16,13263.733398675919,0.052093505859375,0.053219023498085605,0.591789945548908,-6.327963098596494,-2.906976716286736,-9.0123278809986,-7.13673018371763,0.26686082426055513,0.8463239426228718,0.29733117568642026,0.9789360541618147,643,161,0,16,5c27a6ab2f77a32bc345d1ab4ef33463
17,13324.41978096962,0.0540313720703125,0.0973272057539929,0.618664458851367,-6.608653003206248,-2.852616375729951,-10.059952332242645,-6.709139038296024,0.3165804806974854,0.8589741486864421,0.3095388631989973,0.9776625008853584,643,161,0,17,5c27a6ab2f77a32bc345d1ab4ef33463
18,13415.487509727478,0.05291628837585449,0.06744405240238893,0.5989185733816939,-7.353197101883344,-2.7682993911007365,-11.249838300987813,-6.698376527880318,0.38085305504450406,0.8473040911526777,0.4150910659665756,0.9798054776232041,643,161,0,18,5c27a6ab2f77a32bc345d1ab4ef33463
19,13462.761712312698,0.05783700942993164,0.09315992262203265,0.5888085545511244,-7.221894990558494,-2.7928737738268756,-9.971595256570543,-6.989885316829737,0.3454575092620012,0.8413560975756387,0.35520152617178397,0.9800367829012673,644,160,0,19,5c27a6ab2f77a32bc345d1ab4ef33463
20,13488.647855997086,0.053961753845214844,0.006452782219509623,0.6294537919410568,-7.389797896072883,-2.7337481840719766,-11.30226401505975,-6.502066689502282,0.190587558422598,0.866578969429995,0.28269303021747394,0.9832783121107488,643,161,0,20,5c27a6ab2f77a32bc345d1ab4ef33463
21,13611.941376686096,0.058557987213134766,0.08066971834061798,0.600609698313103,-7.445217964154453,-2.7542077642168343,-10.910049124818553,-6.742447533868502,0.33769578331124983,0.8480730444810282,0.3010602287551223,0.9823603227112516,643,161,0,21,5c27a6ab2f77a32bc345d1ab4ef33463
22,13437.296577692032,0.05126690864562988,0.06273451321738988,0.6275044621741248,-7.706863927811622,-2.6833192029737196,-12.485175442287128,-6.235102939969806,0.33977516710912053,0.8583885976379279,0.3802416664776424,0.9774666067697277,643,161,0,22,5c27a6ab2f77a32bc345d1ab4ef33463
23,13543.152195930481,0.055816650390625,0.0623187391124258,0.5906316925519901,-6.650319672092063,-2.922568023186328,-8.973550731802156,-7.144086219625138,0.2712167861265692,0.8491658254987653,0.30823199342636465,0.9803903725153287,643,161,0,23,5c27a6ab2f77a32bc345d1ab4ef33463
24,13442.301886320114,0.044806480407714844,0.1307100949364174,0.5946381962055105,-5.83748142450668,-2.9497203329093225,-7.929011234634553,-7.199501907152194,0.36988912113155037,0.8460951993998879,0.3109177016887225,0.9791457573189194,644,160,0,24,5c27a6ab2f77a32bc345d1ab4ef33463
25,13532.282074451447,0.053354501724243164,0.07521040273980006,0.6144849274307536,-6.906350260840063,-2.7929191427838354,-10.847452698241863,-6.641894947034224,0.29976216787851906,0.8538895829772468,0.29040858901517813,0.9783681672809701,643,161,0,25,5c27a6ab2f77a32bc345d1ab4ef33463
26,13658.07929110527,0.04633188247680664,0.09622238727498622,0.5833040812892181,-6.449736949567908,-2.9215905406658456,-8.753812088522915,-7.216134050823394,0.3171179948050427,0.8422230926743347,0.3409086855539533,0.9796121485169635,643,161,0,26,5c27a6ab2f77a32bc345d1ab4ef33463
27,13681.85023021698,0.05122113227844238,0.06754213240019658,0.6364314412712473,-7.71928919997642,-2.6715985746583746,-12.025291184980649,-6.247397985562302,0.3201704808050951,0.8683882842999426,0.3296422992339483,0.9824052046364126,643,161,0,27,5c27a6ab2f77a32bc345d1ab4ef33463
28,13662.882752656937,0.05512833595275879,0.013101181129451245,0.587148531511609,-6.512187423545581,-2.891521187841159,-8.909195138714663,-7.216678357029127,0.2493526055617235,0.8400456564657272,0.2363366681762954,0.9790952492883727,643,161,0,28,5c27a6ab2f77a32bc345d1ab4ef33463
29,13632.31925368309,0.05171823501586914,0.04302314886012837,0.6226868705617682,-7.67142703089996,-2.735818414738879,-11.44533862619544,-6.50209647414486,0.2527595830582274,0.8620846303506644,0.33474194395503226,0.9797307287811713,644,160,0,29,5c27a6ab2f77a32bc345d1ab4ef33463
30,13754.018099308014,0.05291557312011719,0.10132228532162346,0.6194875873026185,-6.765059072699892,-2.8385757105613174,-10.708115251020036,-6.589799058464909,0.3299603001325723,0.8598959946118857,0.32807746404608357,0.9789151441697783,643,161,0,30,5c27a6ab2f77a32bc345d1ab4ef33463
31,13774.541918754578,0.052080392837524414,0.0899522263189988,0.606234599853559,-7.390310400758814,-2.7420398480632655,-11.18884658352503,-6.63462634447833,0.35060596863643734,0.8497783769708398,0.4039960295644466,0.9799034913917739,643,161,0,31,5c27a6ab2f77a32bc345d1ab4ef33463
32,13276.977442026138,0.05047416687011719,0.009126312703682693,0.5906265556204908,-6.836536073087669,-2.8501933614355894,-9.652062488979375,-7.0863173073166825,0.2479879183750976,0.8451454359410309,0.28846770919566983,0.9809133818465329,643,161,0,32,5c27a6ab2f77a32bc345d1ab4ef33463
33,13318.06220626831,0.04619789123535156,0.07509814976765239,0.5912246620746613,-6.735402303540537,-2.86622979520263,-9.548487138408873,-7.050435648652549,0.3187783918238521,0.846502096639881,0.3421622346166842,0.9797261232232806,643,161,0,33,5c27a6ab2f77a32bc345d1ab4ef33463
34,13341.480153560638,0.052658796310424805,0.05727254232470502,0.620666092278129,-7.205972708956975,-2.769814909759499,-10.903865500004976,-6.597039248206915,0.2681048914561865,0.8587294779528661,0.246582146497409,0.9799880893520104,644,160,0,34,5c27a6ab2f77a32bc345d1ab4ef33463
35,13349.18237566948,0.058663129806518555,0.06759698661249425,0.6158675519287529,-7.037414227530075,-2.7862952501495646,-10.853489988227924,-6.636472416605872,0.28809999192043656,0.8557359622360678,0.28657120513918405,0.9803474579841441,643,161,0,35,5c27a6ab2f77a32bc345d1ab4ef33463
36,13410.75081562996,0.050499677658081055,0.08116289084369088,0.6114192679173995,-6.609064340297353,-2.888710168934992,-9.841250050240449,-6.821323519042995,0.28750633617969895,0.8595281189012501,0.3279250035968094,0.9797309193754765,643,161,0,36,5c27a6ab2f77a32bc345d1ab4ef33463
37,13331.268383979797,0.044437408447265625,0.08867214179214111,0.585458828800304,-6.937776034323566,-2.771777128062368,-9.750985635076312,-7.057115074604878,0.3532831785460854,0.8368813759797736,0.36914221537948827,0.9795552994945779,643,161,0,37,5c27a6ab2f77a32bc345d1ab4ef33463
38,13463.110067129135,0.05286812782287598,0.09713679253651097,0.6119900535834046,-6.941831040362321,-2.8374764258903546,-11.096821671038592,-6.595790502959687,0.3776346999020076,0.8591962827874143,0.38504464591619625,0.98388456370216,643,161,0,38,5c27a6ab2f77a32bc345d1ab4ef33463
