,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
36,8,2,"{'max_depth': 20, 'colsample_bytree': 0.8642694051712201, 'n_estimators': 810, 'lambda': 3.529641547180318, 'alpha': 60.91359763109046, 'learning_rate': 0.010655658885485645, 'min_child_weight': 9, 'subsample': 0.6854087590842791}",0.09780108083363426,14.774683977027049,12.252847592506184,0.3368721973050323,0.32409219065470285
45,10,1,"{'max_depth': 19, 'colsample_bytree': 0.6177358265047616, 'n_estimators': 1471, 'lambda': 95.51834911012048, 'alpha': 0.014509513643076608, 'learning_rate': 0.027156968881426196, 'min_child_weight': 4, 'subsample': 0.9014467160844033}",0.09548286533033057,14.530917229857264,11.576153252957136,0.3174049333714651,0.3275622486505816
17,4,3,"{'max_depth': 9, 'colsample_bytree': 0.7842573761261278, 'n_estimators': 418, 'lambda': 10.734938744731469, 'alpha': 45.873116037717885, 'learning_rate': 0.021922558475023605, 'min_child_weight': 4, 'subsample': 0.7045521054498188}",0.09194941240791332,15.835177911064678,12.393381446070926,0.3169645479770135,0.33384182937534523
16,4,2,"{'max_depth': 17, 'colsample_bytree': 0.7735832850322164, 'n_estimators': 1138, 'lambda': 25.748907382060995, 'alpha': 0.008551596614743567, 'learning_rate': 0.017528663428260156, 'min_child_weight': 1, 'subsample': 0.7134827516559246}",0.08436769146740752,13.816577839715075,11.211155276326739,0.2926931723695999,0.29163489664116976
27,6,3,"{'max_depth': 18, 'colsample_bytree': 0.6928132939328691, 'n_estimators': 617, 'lambda': 55.3265737484902, 'alpha': 32.35589045123874, 'learning_rate': 0.015155940647172066, 'min_child_weight': 3, 'subsample': 0.5637547235446859}",0.07954253364330677,15.191148985307171,12.372589201616817,0.2869397417568439,0.2652972974338108
0,1,1,"{'max_depth': 17, 'colsample_bytree': 0.8397268874568236, 'n_estimators': 523, 'lambda': 24.007898599024887, 'alpha': 9.39034694802866, 'learning_rate': 0.03909131112074862, 'min_child_weight': 3, 'subsample': 0.6457249510803996}",0.07736627876084623,15.013695547371036,11.910618573250856,0.28796309134528697,0.31210031143198785
4,1,5,"{'max_depth': 14, 'colsample_bytree': 0.6661741821613405, 'n_estimators': 591, 'lambda': 26.696606366635333, 'alpha': 14.390290722326755, 'learning_rate': 0.030207499260165128, 'min_child_weight': 8, 'subsample': 0.7368308873554998}",0.07570775696516507,15.868587594590277,12.942921700562247,0.2759962282876252,0.24130225904342054
10,3,1,"{'max_depth': 14, 'colsample_bytree': 0.9227312148595461, 'n_estimators': 180, 'lambda': 45.9987595475301, 'alpha': 0.4826898206415586, 'learning_rate': 0.026215879468953658, 'min_child_weight': 12, 'subsample': 0.5048585062403058}",0.07267248978249019,14.959031829977599,12.242974794827974,0.30394672057186667,0.2932692050488742
3,1,4,"{'max_depth': 9, 'colsample_bytree': 0.757190817127471, 'n_estimators': 235, 'lambda': 18.40527995886212, 'alpha': 0.0034397934459860294, 'learning_rate': 0.014945781180141362, 'min_child_weight': 20, 'subsample': 0.5245945666428676}",0.07233621551935743,15.951601000107074,12.642844318638186,0.310841173120864,0.25566116495558966
34,7,5,"{'max_depth': 19, 'colsample_bytree': 0.9535805453716051, 'n_estimators': 194, 'lambda': 29.40948060554187, 'alpha': 0.0012900718142219284, 'learning_rate': 0.01642618270804802, 'min_child_weight': 3, 'subsample': 0.7307901751376863}",0.0635259307582654,15.743114462733859,12.754393718651766,0.2702486147344065,0.2724425402853734
