,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
27,6,3,"{'max_depth': 4, 'colsample_bytree': 0.8760128888065221, 'n_estimators': 76, 'lambda': 0.5732112055371513, 'alpha': 1.5814833131362391, 'learning_rate': 0.010611051177937337, 'min_child_weight': 9, 'subsample': 0.6683418871099652}",0.03172064629899307,15.58077644937581,12.714210149099136,0.24147566947032928,0.2565057641735513
45,10,1,"{'max_depth': 10, 'colsample_bytree': 0.8165818423889393, 'n_estimators': 84, 'lambda': 81.87079545530669, 'alpha': 0.0891733024422714, 'learning_rate': 0.010458223343990077, 'min_child_weight': 1, 'subsample': 0.5272579605257922}",0.02803934827995669,15.062913134945408,12.02025220521103,0.2708330548707806,0.2893386722325474
12,3,3,"{'max_depth': 3, 'colsample_bytree': 0.9157719053156919, 'n_estimators': 104, 'lambda': 93.40262307429697, 'alpha': 42.44998441116829, 'learning_rate': 0.010285943427029782, 'min_child_weight': 5, 'subsample': 0.6908438810901286}",0.027004026052387053,15.468596971584759,12.641884075819387,0.2419053387375543,0.21134733128910843
17,4,3,"{'max_depth': 3, 'colsample_bytree': 0.816630257148295, 'n_estimators': 168, 'lambda': 40.24015202386362, 'alpha': 46.29129916058835, 'learning_rate': 0.010413778797869675, 'min_child_weight': 16, 'subsample': 0.7332107281847988}",0.02467574258763705,16.411279352289334,12.964617260814418,0.19802758034960646,0.19698850364175707
6,2,2,"{'max_depth': 8, 'colsample_bytree': 0.9057100878963651, 'n_estimators': 93, 'lambda': 44.722220107533765, 'alpha': 0.0020057622763499407, 'learning_rate': 0.010202110712054319, 'min_child_weight': 10, 'subsample': 0.5447321711348017}",0.019076152166648708,16.16162451405693,12.648429464306352,0.16453323710982617,0.13763412510178386
18,4,4,"{'max_depth': 3, 'colsample_bytree': 0.9514711804343573, 'n_estimators': 50, 'lambda': 0.18723584229548346, 'alpha': 11.329293595899673, 'learning_rate': 0.016742468469955918, 'min_child_weight': 12, 'subsample': 0.70358616344851}",0.017742776450835218,15.132104620139758,12.326769947300296,0.14296857323497553,0.0829301848181766
3,1,4,"{'max_depth': 5, 'colsample_bytree': 0.8158154987019095, 'n_estimators': 51, 'lambda': 98.21572266017246, 'alpha': 11.77364240580506, 'learning_rate': 0.020409594481434683, 'min_child_weight': 9, 'subsample': 0.6242254181338645}",0.01645344029295681,16.425040106749,13.096145945893237,0.16821411341643286,0.17698564769230782
24,5,5,"{'max_depth': 9, 'colsample_bytree': 0.8340425825209634, 'n_estimators': 54, 'lambda': 98.26646151484792, 'alpha': 73.63993727714256, 'learning_rate': 0.02450842400710941, 'min_child_weight': 4, 'subsample': 0.7264993288475197}",0.01598646878744092,16.322015838949582,13.117712619036613,0.1367682537682633,0.15739980996888814
33,7,4,"{'max_depth': 6, 'colsample_bytree': 0.9625671918645323, 'n_estimators': 52, 'lambda': 98.79158062499789, 'alpha': 0.01005159497908194, 'learning_rate': 0.057959439992483826, 'min_child_weight': 1, 'subsample': 0.6551592652619921}",0.015949277230088765,15.629071975553325,12.509330523789988,0.13351134329267053,0.1397990950367557
14,3,5,"{'max_depth': 3, 'colsample_bytree': 0.9673939562621048, 'n_estimators': 66, 'lambda': 46.25927783877521, 'alpha': 0.05524469935816968, 'learning_rate': 0.027738644133441764, 'min_child_weight': 9, 'subsample': 0.5184354032983608}",0.015922782128722113,15.462275040448525,12.280693415353989,0.15180914617934996,0.15942868644664776
