,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
27,6,3,"{'max_depth': 3, 'colsample_bytree': 0.9420146746428407, 'n_estimators': 77, 'lambda': 0.01689695569829437, 'alpha': 0.003984678827698216, 'learning_rate': 0.017159775537448067, 'min_child_weight': 7, 'subsample': 0.5095319349362657}",0.053742695012249375,15.402576809722307,12.573385881954396,0.29437835381609306,0.3109002435484948
45,10,1,"{'max_depth': 10, 'colsample_bytree': 0.8835289111545341, 'n_estimators': 67, 'lambda': 82.93921759223706, 'alpha': 0.5953968998098244, 'learning_rate': 0.02252302872668829, 'min_child_weight': 9, 'subsample': 0.5102930156873975}",0.034565248040775765,15.012260561604364,11.985918394912629,0.25031887499290306,0.2548430634223981
12,3,3,"{'max_depth': 6, 'colsample_bytree': 0.8271875388020398, 'n_estimators': 51, 'lambda': 97.45995651716332, 'alpha': 0.7724717383213667, 'learning_rate': 0.016490382864433054, 'min_child_weight': 4, 'subsample': 0.5366636700776891}",0.02112658499086284,15.5152461289295,12.6281436265573,0.24845774201055987,0.2359960780153967
0,1,1,"{'max_depth': 3, 'colsample_bytree': 0.8749659809926396, 'n_estimators': 177, 'lambda': 0.0999943412333084, 'alpha': 0.020307349993600156, 'learning_rate': 0.010771863629342172, 'min_child_weight': 3, 'subsample': 0.9683169311301582}",0.020988066985486387,15.465605780101448,12.180856151693671,0.17082694124818662,0.11519684433527631
6,2,2,"{'max_depth': 8, 'colsample_bytree': 0.8076566395406106, 'n_estimators': 99, 'lambda': 51.322290693274866, 'alpha': 0.3383370773655746, 'learning_rate': 0.017716663689940862, 'min_child_weight': 16, 'subsample': 0.5659438895225145}",0.020188467503178043,16.152458704737988,12.611883310171274,0.1478187996056421,0.1391118651390756
17,4,3,"{'max_depth': 8, 'colsample_bytree': 0.9893767745051368, 'n_estimators': 118, 'lambda': 94.76709443607115, 'alpha': 1.7726979465637938, 'learning_rate': 0.010499446712408307, 'min_child_weight': 6, 'subsample': 0.8642289190958634}",0.018430445015787833,16.463738712114715,12.99371238573063,0.17974108021177324,0.18708054222864903
14,3,5,"{'max_depth': 8, 'colsample_bytree': 0.7255658165043338, 'n_estimators': 99, 'lambda': 63.601864857642475, 'alpha': 1.7536058380335666, 'learning_rate': 0.02419992790882486, 'min_child_weight': 9, 'subsample': 0.5144622510342662}",0.018344628151042763,15.44323673901183,12.264498422837116,0.15363334986613103,0.17995583457035602
23,5,4,"{'max_depth': 3, 'colsample_bytree': 0.6965886656932203, 'n_estimators': 50, 'lambda': 0.0069829989006472415, 'alpha': 52.629923026751854, 'learning_rate': 0.024751523503948825, 'min_child_weight': 2, 'subsample': 0.5206025669107435}",0.016074476658647807,15.93935782619452,12.600910886504947,0.13309632930254,0.11366221850533312
3,1,4,"{'max_depth': 7, 'colsample_bytree': 0.7245203850104178, 'n_estimators': 50, 'lambda': 81.92970701645153, 'alpha': 0.0032531405901494175, 'learning_rate': 0.019192982679422335, 'min_child_weight': 13, 'subsample': 0.554887583629458}",0.015830301563809712,16.430242431890004,13.107260799972263,0.17615180289923552,0.18377679000834948
8,2,4,"{'max_depth': 3, 'colsample_bytree': 0.7451071923392921, 'n_estimators': 50, 'lambda': 0.0032743379986267104, 'alpha': 45.14894452253616, 'learning_rate': 0.0396451109240913, 'min_child_weight': 10, 'subsample': 0.5001581363868893}",0.01537872842585275,15.426270441223862,12.20374119775535,0.12967959345694738,0.12929561757411515
35,8,1,"{'max_depth': 9, 'colsample_bytree': 0.7032032317845377, 'n_estimators': 170, 'lambda': 78.47731971347666, 'alpha': 79.42020332473889, 'learning_rate': 0.010541728109889178, 'min_child_weight': 2, 'subsample': 0.7057492275487345}",0.013851515485346022,14.492743648312794,11.761584626147027,0.12994973739307983,0.13755625566508184
46,10,2,"{'max_depth': 3, 'colsample_bytree': 0.7019541121268957, 'n_estimators': 50, 'lambda': 0.18597082454642622, 'alpha': 0.5126729561238568, 'learning_rate': 0.016452547063216482, 'min_child_weight': 8, 'subsample': 0.7441607247790362}",0.013452805145997115,14.979536321447243,11.767713986910307,0.11683875190542924,0.07472963179928428
28,6,4,"{'max_depth': 3, 'colsample_bytree': 0.6668304261210243, 'n_estimators': 92, 'lambda': 14.972196131897185, 'alpha': 78.38516117642135, 'learning_rate': 0.01018068989713515, 'min_child_weight': 14, 'subsample': 0.6265635450895245}",0.011750917901217628,15.525950928508612,12.343415119238859,0.11181328775632307,0.09035735573277875
2,1,3,"{'max_depth': 3, 'colsample_bytree': 0.6876827428891977, 'n_estimators': 333, 'lambda': 49.04273940612162, 'alpha': 8.890417373170283, 'learning_rate': 0.010394132048147715, 'min_child_weight': 16, 'subsample': 0.5313834540226947}",0.011527766899016467,15.150929499922574,12.197529674281736,0.1384319359024103,0.13285998895698883
40,9,1,"{'max_depth': 4, 'colsample_bytree': 0.6814433370240742, 'n_estimators': 52, 'lambda': 72.70079834724955, 'alpha': 0.0671920529454306, 'learning_rate': 0.010541651365066206, 'min_child_weight': 11, 'subsample': 0.7886242129562535}",0.008955680410092759,15.945740522068949,13.084339074129183,0.1320262808799346,0.11149155934999666
24,5,5,"{'max_depth': 6, 'colsample_bytree': 0.6821544720919446, 'n_estimators': 53, 'lambda': 85.8448652354181, 'alpha': 0.02308030793605883, 'learning_rate': 0.010275185878532503, 'min_child_weight': 13, 'subsample': 0.9972207214546087}",0.008240516669429154,16.386131685318976,13.208597623384916,0.11395264157742774,0.1382679180036198
39,8,5,"{'max_depth': 8, 'colsample_bytree': 0.7255694615053617, 'n_estimators': 54, 'lambda': 67.46304459440842, 'alpha': 0.47890637433004724, 'learning_rate': 0.021324061484261282, 'min_child_weight': 9, 'subsample': 0.6008846159199501}",0.007302227435377118,17.35519890232495,13.681423751560189,0.11658523114524014,0.1093394145244307
22,5,3,"{'max_depth': 10, 'colsample_bytree': 0.9172731940144202, 'n_estimators': 99, 'lambda': 93.9630608538348, 'alpha': 0.005399222503323074, 'learning_rate': 0.0198925516515545, 'min_child_weight': 4, 'subsample': 0.6576065789514453}",0.00404303548589291,14.73692231633935,11.912065855850129,0.14210346618774705,0.16443679058821598
