,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
27,6,3,"{'max_depth': 6, 'colsample_bytree': 0.7866606255652628, 'n_estimators': 72, 'lambda': 1.2262967272178322, 'alpha': 0.49238804398202723, 'learning_rate': 0.011311629433437219, 'min_child_weight': 10, 'subsample': 0.7227883029251213}",0.03847624753485601,15.526328449097846,12.625738651794794,0.25487727203459354,0.25477402258779325
45,10,1,"{'max_depth': 7, 'colsample_bytree': 0.7677329069368435, 'n_estimators': 71, 'lambda': 98.72781404691179, 'alpha': 0.021691453253098052, 'learning_rate': 0.01577092283057073, 'min_child_weight': 5, 'subsample': 0.5779222915530856}",0.03290245678547865,15.025182986712709,12.00712174635667,0.3000876711742949,0.30874566433250494
12,3,3,"{'max_depth': 3, 'colsample_bytree': 0.7764790300049648, 'n_estimators': 98, 'lambda': 0.003913335732842559, 'alpha': 98.26493597730314, 'learning_rate': 0.01033196368319663, 'min_child_weight': 15, 'subsample': 0.6149763045855801}",0.02574896305942509,15.478570192255011,12.654258457161266,0.22713188427404302,0.1935716481209845
3,1,4,"{'max_depth': 3, 'colsample_bytree': 0.7855993699984527, 'n_estimators': 70, 'lambda': 24.25086672773167, 'alpha': 44.79281022221525, 'learning_rate': 0.017239398625087696, 'min_child_weight': 17, 'subsample': 0.7100346483238225}",0.023691807590499048,16.36448881768239,13.035206766523553,0.18581704191360696,0.18776994861249055
17,4,3,"{'max_depth': 3, 'colsample_bytree': 0.9667984606140292, 'n_estimators': 140, 'lambda': 51.3898333821163, 'alpha': 0.04478739674757098, 'learning_rate': 0.010817178503459807, 'min_child_weight': 10, 'subsample': 0.5731398546148372}",0.023369584799426857,16.422264698075878,12.945871477296366,0.2040005371292815,0.1942488828188226
33,7,4,"{'max_depth': 9, 'colsample_bytree': 0.9352666036538649, 'n_estimators': 112, 'lambda': 54.835873698274796, 'alpha': 51.079875674753225, 'learning_rate': 0.027368209508204122, 'min_child_weight': 5, 'subsample': 0.5376175329843164}",0.02183549151677977,15.58225830583291,12.448266813740927,0.15552617271112343,0.17179128371953953
30,7,1,"{'max_depth': 3, 'colsample_bytree': 0.827071565098198, 'n_estimators': 50, 'lambda': 58.785159814779504, 'alpha': 0.0012798298962209314, 'learning_rate': 0.026186727932922475, 'min_child_weight': 6, 'subsample': 0.6297131183245441}",0.021084010141291132,15.965369211187548,12.720639697193395,0.27461910506251036,0.25532880413454345
46,10,2,"{'max_depth': 3, 'colsample_bytree': 0.7624109966975395, 'n_estimators': 104, 'lambda': 0.03717172068894648, 'alpha': 0.07536125933011616, 'learning_rate': 0.010596150110969208, 'min_child_weight': 16, 'subsample': 0.7666782966485525}",0.016445686643246304,14.956797404030576,11.779364275509083,0.12843879044739503,0.09899728498353537
6,2,2,"{'max_depth': 3, 'colsample_bytree': 0.8807216578027165, 'n_estimators': 69, 'lambda': 2.611794857563012, 'alpha': 0.0038005722093996277, 'learning_rate': 0.017746667808831534, 'min_child_weight': 2, 'subsample': 0.5271481189591186}",0.013467420733188629,16.207763165087712,12.621168757331441,0.11624044365810253,0.09292966885913452
14,3,5,"{'max_depth': 9, 'colsample_bytree': 0.672069534214123, 'n_estimators': 50, 'lambda': 89.61018847036905, 'alpha': 0.4740095339322691, 'learning_rate': 0.026909751579284005, 'min_child_weight': 6, 'subsample': 0.5223988696637629}",0.012647145438918206,15.487987818185182,12.296907594218057,0.15426803169150635,0.16292421521038958
23,5,4,"{'max_depth': 3, 'colsample_bytree': 0.780095188127806, 'n_estimators': 67, 'lambda': 0.421007792220529, 'alpha': 0.03156639275890772, 'learning_rate': 0.01578807153531687, 'min_child_weight': 2, 'subsample': 0.539939932758139}",0.011790063514768634,15.974023363615819,12.658416928624261,0.11110694677675961,0.07880859352800014
35,8,1,"{'max_depth': 9, 'colsample_bytree': 0.830247384647641, 'n_estimators': 50, 'lambda': 81.61078084674965, 'alpha': 66.64067762120554, 'learning_rate': 0.02580739873251921, 'min_child_weight': 7, 'subsample': 0.7223246689667251}",0.011717528799685906,14.508416039017575,11.776352470443094,0.1292319448930053,0.14257235342540908
44,9,5,"{'max_depth': 10, 'colsample_bytree': 0.8387146894276428, 'n_estimators': 76, 'lambda': 73.81847518316694, 'alpha': 98.25059350965792, 'learning_rate': 0.021501535297222978, 'min_child_weight': 5, 'subsample': 0.7203731487675537}",0.011387168668908987,15.549256297657235,12.469137564213318,0.11152626987773313,0.15444609747721047
28,6,4,"{'max_depth': 10, 'colsample_bytree': 0.8829678621166412, 'n_estimators': 50, 'lambda': 0.11477854840780796, 'alpha': 27.12050489253417, 'learning_rate': 0.010205507919970016, 'min_child_weight': 20, 'subsample': 0.5618131250502291}",0.01039675389467587,15.536584627478831,12.381505210018723,0.10318977974311308,0.08674937765820738
0,1,1,"{'max_depth': 8, 'colsample_bytree': 0.8247947840692424, 'n_estimators': 148, 'lambda': 94.2132815453394, 'alpha': 1.411966192016426, 'learning_rate': 0.010034067470864301, 'min_child_weight': 1, 'subsample': 0.5285885520775118}",0.009245292252040516,15.558080540609884,12.218900240384615,0.13704713014678616,0.112219607607978
24,5,5,"{'max_depth': 7, 'colsample_bytree': 0.8253124218396226, 'n_estimators': 74, 'lambda': 78.92183704980417, 'alpha': 0.20487206885224427, 'learning_rate': 0.0156645490991436, 'min_child_weight': 1, 'subsample': 0.5626737108312981}",0.008109546400840273,16.38721361357686,13.19418538110496,0.09296904949575863,0.1331101566218113
11,3,2,"{'max_depth': 9, 'colsample_bytree': 0.8243262488077332, 'n_estimators': 70, 'lambda': 19.990194113176504, 'alpha': 76.67142237092834, 'learning_rate': 0.028940976658328493, 'min_child_weight': 11, 'subsample': 0.507094527372392}",0.00809699329731306,15.610171698435549,12.132495180389585,0.126619745142671,0.1266077117426057
40,9,1,"{'max_depth': 3, 'colsample_bytree': 0.6729890839421993, 'n_estimators': 50, 'lambda': 22.62909539540769, 'alpha': 99.28027973272805, 'learning_rate': 0.01015580821051298, 'min_child_weight': 9, 'subsample': 0.6596191725128224}",0.007979699442938415,15.953590276760142,13.086069547213041,0.13858123934378352,0.10351227913493147
8,2,4,"{'max_depth': 8, 'colsample_bytree': 0.7255563650911804, 'n_estimators': 78, 'lambda': 48.38019490160673, 'alpha': 2.8082007030141005, 'learning_rate': 0.02268075267593795, 'min_child_weight': 9, 'subsample': 0.5225672326259097}",0.0073093009720918145,15.48935417116346,12.23878889817458,0.09661999106097878,0.0851471794536949
16,4,2,"{'max_depth': 3, 'colsample_bytree': 0.6730267354856713, 'n_estimators': 73, 'lambda': 79.0861917827095, 'alpha': 0.020521649379814308, 'learning_rate': 0.06265740606718022, 'min_child_weight': 10, 'subsample': 0.6017529692561575}",0.0071311104451246,14.387518172847743,11.42215383405516,0.12554077564830637,0.16039267404256646
1,1,2,"{'max_depth': 9, 'colsample_bytree': 0.6740374643370051, 'n_estimators': 51, 'lambda': 54.781666987321714, 'alpha': 0.015958895323260287, 'learning_rate': 0.032100856901143796, 'min_child_weight': 10, 'subsample': 0.5301007730045504}",0.0066666440399268945,14.533109129917746,11.989541635005432,0.204364189728224,0.2246372041969769
10,3,1,"{'max_depth': 3, 'colsample_bytree': 0.7432015397994141, 'n_estimators': 50, 'lambda': 0.060695782442730405, 'alpha': 0.04245173596658313, 'learning_rate': 0.03134199785845826, 'min_child_weight': 5, 'subsample': 0.637140733632658}",0.0037820130143670916,15.504726284915987,12.681330573629346,0.11547497133498799,0.07538428362542823
39,8,5,"{'max_depth': 10, 'colsample_bytree': 0.6879442445562371, 'n_estimators': 50, 'lambda': 9.125629096575455, 'alpha': 66.9159113299266, 'learning_rate': 0.010392435546866828, 'min_child_weight': 5, 'subsample': 0.7405073494082277}",0.003119335745588536,17.39172492634244,13.709292530308108,0.0832329577411838,0.05113422926211239
13,3,4,"{'max_depth': 3, 'colsample_bytree': 0.8124232048238226, 'n_estimators': 90, 'lambda': 21.393765440735933, 'alpha': 0.06131141568574937, 'learning_rate': 0.021217872827686054, 'min_child_weight': 11, 'subsample': 0.5180250926465869}",0.0029981527891848048,16.161695009468676,13.054976107806144,0.08461485051463431,0.09544946942434387
7,2,3,"{'max_depth': 9, 'colsample_bytree': 0.7391310514343646, 'n_estimators': 50, 'lambda': 95.6613222847537, 'alpha': 33.06706140004974, 'learning_rate': 0.03055184158251474, 'min_child_weight': 5, 'subsample': 0.7368575140089193}",0.0027941050908841802,15.588190644093542,12.927035359941291,0.11778486711605649,0.12292217935130022
22,5,3,"{'max_depth': 3, 'colsample_bytree': 0.8787051402435097, 'n_estimators': 88, 'lambda': 72.88416096770601, 'alpha': 3.7048514963194163, 'learning_rate': 0.028182915616031277, 'min_child_weight': 10, 'subsample': 0.6841072790129744}",0.002530933462979279,14.748105168229499,11.970671659390602,0.13393015262930605,0.1363961518290361
19,4,5,"{'max_depth': 3, 'colsample_bytree': 0.8243499056079878, 'n_estimators': 75, 'lambda': 0.03198749728831127, 'alpha': 0.002011764670245127, 'learning_rate': 0.02108245128079163, 'min_child_weight': 3, 'subsample': 0.972239943115801}",0.001474835229255289,15.151626643407875,12.414760499310917,0.0886284091363562,0.09829461032102664
21,5,2,"{'max_depth': 8, 'colsample_bytree': 0.8971518455034727, 'n_estimators': 88, 'lambda': 82.74453025644263, 'alpha': 81.88772626773945, 'learning_rate': 0.030020328627202407, 'min_child_weight': 8, 'subsample': 0.5631851121663809}",0.001267481159768713,15.407344765590345,12.597168600770848,0.08401578092178244,0.08395338619571352
5,2,1,"{'max_depth': 3, 'colsample_bytree': 0.76003693631035, 'n_estimators': 76, 'lambda': 0.3216005460175657, 'alpha': 0.1614356445465505, 'learning_rate': 0.02246420639808476, 'min_child_weight': 11, 'subsample': 0.5938121818748736}",0.000806094981570249,15.007100969157298,12.120101951283111,0.11356336284038869,0.12488541521829664
42,9,3,"{'max_depth': 5, 'colsample_bytree': 0.8148041880557396, 'n_estimators': 80, 'lambda': 95.70658281745743, 'alpha': 32.13604953405634, 'learning_rate': 0.01748801194530585, 'min_child_weight': 12, 'subsample': 0.6207988283401231}",0.0007504506409393708,15.679906218399708,12.616350072375417,0.0590298044225832,0.037047736155065125
49,10,5,"{'max_depth': 3, 'colsample_bytree': 0.7199343424277628, 'n_estimators': 142, 'lambda': 23.32080981653305, 'alpha': 26.860953989238947, 'learning_rate': 0.014831067411845894, 'min_child_weight': 13, 'subsample': 0.5508222308336419}",-0.00010430067685396338,16.360723162269167,12.975955985706939,0.057931264035862885,0.056925226989776694
37,8,3,"{'max_depth': 3, 'colsample_bytree': 0.9576842443920861, 'n_estimators': 50, 'lambda': 0.0039540892309097644, 'alpha': 16.835745353301153, 'learning_rate': 0.010081480632000246, 'min_child_weight': 9, 'subsample': 0.8025288208517408}",-0.0006045424721887738,15.56575033595768,12.319325644589036,0.09599418973175582,0.0736675542160518
34,7,5,"{'max_depth': 9, 'colsample_bytree': 0.689159417765715, 'n_estimators': 116, 'lambda': 98.64847270602492, 'alpha': 0.009473782601776342, 'learning_rate': 0.010585977458658533, 'min_child_weight': 19, 'subsample': 0.7319879596838753}",-0.0023841271353162163,16.28770389331935,13.124067994969836,0.03869831924780325,0.06553520168270817
38,8,4,"{'max_depth': 3, 'colsample_bytree': 0.713762052503853, 'n_estimators': 87, 'lambda': 0.001765024339129346, 'alpha': 64.80215520830325, 'learning_rate': 0.015734181337631308, 'min_child_weight': 12, 'subsample': 0.50850964158021}",-0.0026792277595846237,15.435270019992007,12.58887495232757,0.052769411473248665,0.06809282899585464
41,9,2,"{'max_depth': 3, 'colsample_bytree': 0.8435619590820789, 'n_estimators': 137, 'lambda': 53.712450305951045, 'alpha': 39.98857140146981, 'learning_rate': 0.015750978286747958, 'min_child_weight': 11, 'subsample': 0.5068394513768911}",-0.005229903664673907,16.216297828374852,12.997313866248497,0.07087304732188139,0.06282005376630093
20,5,1,"{'max_depth': 9, 'colsample_bytree': 0.6805874999396593, 'n_estimators': 152, 'lambda': 82.56607859388687, 'alpha': 71.64406478360918, 'learning_rate': 0.010197228510992282, 'min_child_weight': 4, 'subsample': 0.8846576690286035}",-0.006236714901922014,16.002613172427377,12.83287955741205,0.04031535353646729,0.010464174551552463
