,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
27,6,3,"{'max_depth': 3, 'colsample_bytree': 0.9849159696429763, 'n_estimators': 124, 'lambda': 98.4800452886112, 'alpha': 20.857548379865722, 'learning_rate': 0.07043554858433088, 'min_child_weight': 6, 'subsample': 0.5309256305056997}",0.1883653940974951,14.264910085309955,11.417850200946514,0.4581937981225828,0.4588651566667902
3,1,4,"{'max_depth': 3, 'colsample_bytree': 0.7286298920825721, 'n_estimators': 84, 'lambda': 0.020076119974983257, 'alpha': 2.7111463001139464, 'learning_rate': 0.029281488055832697, 'min_child_weight': 17, 'subsample': 0.553342369219997}",0.15101750991600615,15.260133869239377,11.774968254495654,0.4140618924256738,0.4132693553104986
30,7,1,"{'max_depth': 3, 'colsample_bytree': 0.648166644840416, 'n_estimators': 135, 'lambda': 50.341941214109646, 'alpha': 0.018202859814270684, 'learning_rate': 0.02440668325204934, 'min_child_weight': 15, 'subsample': 0.9046082108935134}",0.1427258766446926,14.940533738481756,11.64773349649102,0.44040049303277806,0.4491699567593943
45,10,1,"{'max_depth': 4, 'colsample_bytree': 0.6314390863855759, 'n_estimators': 52, 'lambda': 11.540655586361074, 'alpha': 49.09783850463886, 'learning_rate': 0.036389563984906344, 'min_child_weight': 2, 'subsample': 0.8100786207928368}",0.12380544731459098,14.301609125260432,11.34906148064066,0.3858191639975674,0.3521801221715134
6,2,2,"{'max_depth': 3, 'colsample_bytree': 0.6878074775151285, 'n_estimators': 282, 'lambda': 0.7197692130463235, 'alpha': 0.3157930298584313, 'learning_rate': 0.011787584348292718, 'min_child_weight': 6, 'subsample': 0.6348682551233529}",0.12056888556516754,15.302707582884398,11.78782712496244,0.35746338190836807,0.3359621293942497
17,4,3,"{'max_depth': 3, 'colsample_bytree': 0.8434562036076635, 'n_estimators': 336, 'lambda': 0.11285861088131673, 'alpha': 0.7887741617692391, 'learning_rate': 0.010055382129341487, 'min_child_weight': 13, 'subsample': 0.769421580425018}",0.11824799569342237,15.604187242376415,12.294976115932126,0.3592600255350526,0.39233423647926824
12,3,3,"{'max_depth': 7, 'colsample_bytree': 0.8913516442139634, 'n_estimators': 255, 'lambda': 99.37628717746824, 'alpha': 0.112621833350739, 'learning_rate': 0.011195005249830088, 'min_child_weight': 12, 'subsample': 0.6755174818630327}",0.11754812642889212,14.731294689241045,11.91070328661676,0.3843836994698427,0.3710564158124164
21,5,2,"{'max_depth': 3, 'colsample_bytree': 0.962980434740283, 'n_estimators': 105, 'lambda': 0.14965499553822445, 'alpha': 0.03956019567920389, 'learning_rate': 0.02714201142934946, 'min_child_weight': 8, 'subsample': 0.6665551448966359}",0.11350712378081917,14.515795138222279,11.488277141864483,0.3379609634383225,0.3343983674791978
44,9,5,"{'max_depth': 3, 'colsample_bytree': 0.7194247542961989, 'n_estimators': 153, 'lambda': 0.012827848720218105, 'alpha': 0.0021102742985031, 'learning_rate': 0.016787299271238884, 'min_child_weight': 3, 'subsample': 0.8616937537983737}",0.11245731223381361,14.732997859875843,11.604094917252219,0.33899927495204313,0.34574464143078826
5,2,1,"{'max_depth': 3, 'colsample_bytree': 0.911513684001305, 'n_estimators': 106, 'lambda': 0.009413263009549188, 'alpha': 0.3904383028971043, 'learning_rate': 0.03027040892068058, 'min_child_weight': 7, 'subsample': 0.6768682967378558}",0.10993759422286187,14.163876956062104,11.077089072684565,0.34983448305523973,0.3725867094703913
46,10,2,"{'max_depth': 4, 'colsample_bytree': 0.8944499948340158, 'n_estimators': 73, 'lambda': 0.3320319768280428, 'alpha': 0.5373527206695945, 'learning_rate': 0.029902624784516624, 'min_child_weight': 2, 'subsample': 0.7477477320877194}",0.10713722644696788,14.250555550318659,10.76464344904973,0.32788414372815444,0.3212709406613156
35,8,1,"{'max_depth': 9, 'colsample_bytree': 0.7002010952905918, 'n_estimators': 285, 'lambda': 96.30740885439052, 'alpha': 1.6114895129465763, 'learning_rate': 0.02022064825853147, 'min_child_weight': 9, 'subsample': 0.5284819360650449}",0.10462127401753296,13.809655359223976,11.051517531716613,0.3327215283057986,0.32060994831934486
19,4,5,"{'max_depth': 3, 'colsample_bytree': 0.6728762526141722, 'n_estimators': 166, 'lambda': 0.002865262207182121, 'alpha': 0.0010261788452254738, 'learning_rate': 0.02481871993690757, 'min_child_weight': 1, 'subsample': 0.5502371745686504}",0.10173844215039252,14.370807102776718,11.434620535585301,0.32178548511067295,0.32217791553703296
