,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
27,6,3,"{'max_depth': 7, 'colsample_bytree': 0.9764210303312594, 'n_estimators': 113, 'lambda': 81.25475390497365, 'alpha': 26.55495992284403, 'learning_rate': 0.03483071613455695, 'min_child_weight': 18, 'subsample': 0.5585555294468808}",0.16748629769706846,14.447225639697134,11.525924073168511,0.47402657649384816,0.48057332687784143
3,1,4,"{'max_depth': 3, 'colsample_bytree': 0.9353217346169707, 'n_estimators': 51, 'lambda': 2.6714035757107215, 'alpha': 49.80105488516582, 'learning_rate': 0.04114242001737235, 'min_child_weight': 14, 'subsample': 0.568305570009326}",0.1379330039010188,15.37727871901166,11.937546588965422,0.40887249115855506,0.40895408692567187
45,10,1,"{'max_depth': 3, 'colsample_bytree': 0.9738489799495796, 'n_estimators': 65, 'lambda': 99.42748546864102, 'alpha': 25.126434503757736, 'learning_rate': 0.09915800843257767, 'min_child_weight': 8, 'subsample': 0.5257547623177864}",0.13612001568632837,14.200751759854818,11.253512568727754,0.3783657394856347,0.3724846343815064
17,4,3,"{'max_depth': 3, 'colsample_bytree': 0.640008140675518, 'n_estimators': 399, 'lambda': 0.0014713118087600506, 'alpha': 17.633180414429145, 'learning_rate': 0.01039237660998095, 'min_child_weight': 3, 'subsample': 0.9841014030901453}",0.1281720638674777,15.516126646329061,12.151056887835441,0.3790559590329661,0.3980551357205789
10,3,1,"{'max_depth': 3, 'colsample_bytree': 0.8931514794708002, 'n_estimators': 69, 'lambda': 0.0019307455188160344, 'alpha': 0.12218229170248161, 'learning_rate': 0.045142795570075986, 'min_child_weight': 4, 'subsample': 0.9771128653731459}",0.12585934309668956,14.523710193237426,11.570131696892913,0.3569693665528517,0.3516457887547292
12,3,3,"{'max_depth': 3, 'colsample_bytree': 0.986504981080924, 'n_estimators': 62, 'lambda': 98.65980382997863, 'alpha': 22.97351670190102, 'learning_rate': 0.053857315691676316, 'min_child_weight': 1, 'subsample': 0.5257766255062158}",0.12546823476343372,14.665038146405076,11.889886212772167,0.3980805987232301,0.37917320046684116
30,7,1,"{'max_depth': 10, 'colsample_bytree': 0.9313901508157126, 'n_estimators': 72, 'lambda': 33.57855120435833, 'alpha': 52.567799567869514, 'learning_rate': 0.027308638614560565, 'min_child_weight': 13, 'subsample': 0.6827774308532152}",0.11822841179332744,15.152500456226644,11.890009637415057,0.4145686381391648,0.4127234097443062
19,4,5,"{'max_depth': 3, 'colsample_bytree': 0.8525795108622167, 'n_estimators': 376, 'lambda': 0.003869682858337052, 'alpha': 9.644629375479852, 'learning_rate': 0.010547895660230493, 'min_child_weight': 4, 'subsample': 0.6359495255205032}",0.11778815724703895,14.241843027311527,11.385401595979047,0.3440545838720147,0.34399646058718036
35,8,1,"{'max_depth': 3, 'colsample_bytree': 0.921439504142259, 'n_estimators': 124, 'lambda': 0.4379264167977764, 'alpha': 0.00721262446412243, 'learning_rate': 0.01871446635648885, 'min_child_weight': 17, 'subsample': 0.8518446114975731}",0.11762580356277763,13.709002455855853,10.943430928788947,0.358198918100781,0.3582206443076715
6,2,2,"{'max_depth': 4, 'colsample_bytree': 0.9522746958786978, 'n_estimators': 194, 'lambda': 0.8177805546810669, 'alpha': 18.00698322363098, 'learning_rate': 0.018097125574824714, 'min_child_weight': 13, 'subsample': 0.967961759139077}",0.11280321384436187,15.370123104977298,11.83450983261921,0.3360529798221185,0.3244096867108589
0,1,1,"{'max_depth': 3, 'colsample_bytree': 0.9887869988727382, 'n_estimators': 132, 'lambda': 0.03474807380245277, 'alpha': 16.146549366230115, 'learning_rate': 0.021356437324337296, 'min_child_weight': 7, 'subsample': 0.9539361039615578}",0.11076040157926825,14.739486036873233,11.339021265154054,0.3462593627558141,0.3362120077753557
5,2,1,"{'max_depth': 3, 'colsample_bytree': 0.7108574367940952, 'n_estimators': 216, 'lambda': 0.016480212048070812, 'alpha': 18.60983940089414, 'learning_rate': 0.01096942105121445, 'min_child_weight': 4, 'subsample': 0.689022215250224}",0.10189436812122321,14.22773037122894,11.16458488780366,0.342081842889466,0.3583456430911738
33,7,4,"{'max_depth': 3, 'colsample_bytree': 0.9916006277599801, 'n_estimators': 148, 'lambda': 0.06803187427287559, 'alpha': 0.04395444819210491, 'learning_rate': 0.013547104079933233, 'min_child_weight': 4, 'subsample': 0.5834885507235529}",0.10117895308045277,14.936920363797155,11.726232020812628,0.33032049951892994,0.3246743314711155
25,6,1,"{'max_depth': 3, 'colsample_bytree': 0.6811035731284588, 'n_estimators': 175, 'lambda': 0.09248276902926844, 'alpha': 3.8444871183734484, 'learning_rate': 0.016166279395181476, 'min_child_weight': 5, 'subsample': 0.882201798332169}",0.10087804149634538,15.071852246498926,11.819819884892752,0.3189618548317624,0.3252704867552225
46,10,2,"{'max_depth': 3, 'colsample_bytree': 0.9593614224665659, 'n_estimators': 233, 'lambda': 1.524309274569682, 'alpha': 0.0022495725898940546, 'learning_rate': 0.010053393104272038, 'min_child_weight': 17, 'subsample': 0.5438768238321132}",0.10016647348684848,14.306075823082315,10.844876983462001,0.31687170980398904,0.323440486332607
38,8,4,"{'max_depth': 8, 'colsample_bytree': 0.8358947818288981, 'n_estimators': 102, 'lambda': 56.116934811429424, 'alpha': 38.04671229044178, 'learning_rate': 0.027993508075124202, 'min_child_weight': 6, 'subsample': 0.5243526335638747}",0.09383656946209251,14.673593651056262,11.66271701790172,0.3189913628333023,0.3321409490432556
18,4,4,"{'max_depth': 3, 'colsample_bytree': 0.6102526291019048, 'n_estimators': 52, 'lambda': 0.23447194029761353, 'alpha': 36.40496927230957, 'learning_rate': 0.07476799487494404, 'min_child_weight': 4, 'subsample': 0.5760403242004258}",0.0892829146730133,14.570634415677354,11.52481153589734,0.2993439859413709,0.24778211733815306
28,6,4,"{'max_depth': 4, 'colsample_bytree': 0.6101642398740421, 'n_estimators': 172, 'lambda': 0.3281796279879801, 'alpha': 0.007857108159748816, 'learning_rate': 0.010276975393710551, 'min_child_weight': 9, 'subsample': 0.7550016258651441}",0.08814885742146594,14.913753913913782,11.667001712957077,0.3003186163261921,0.29131885211420105
40,9,1,"{'max_depth': 3, 'colsample_bytree': 0.6008324403942279, 'n_estimators': 140, 'lambda': 0.01812408789794323, 'alpha': 0.033426072682933496, 'learning_rate': 0.015633580881301665, 'min_child_weight': 5, 'subsample': 0.8656248470231194}",0.08398976145215764,15.330217566406072,12.285824770052757,0.29535469112981233,0.30430013853922433
21,5,2,"{'max_depth': 4, 'colsample_bytree': 0.7413242630599569, 'n_estimators': 73, 'lambda': 0.2870699947547512, 'alpha': 2.167380071584779, 'learning_rate': 0.03271650028765405, 'min_child_weight': 7, 'subsample': 0.693688895868307}",0.08393641241685079,14.755910614130974,11.670535093228493,0.2926959088143702,0.29615219717604124
