,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
27,6,3,"{'max_depth': 3, 'colsample_bytree': 0.8645288490613016, 'n_estimators': 135, 'lambda': 1.2694890952980102, 'alpha': 0.06015965239729285, 'learning_rate': 0.024254074686371002, 'min_child_weight': 15, 'subsample': 0.9984815475454003}",0.19762894723937996,14.183270531618428,11.187604396300909,0.4836354858192468,0.4912886266668087
30,7,1,"{'max_depth': 3, 'colsample_bytree': 0.8330493072364671, 'n_estimators': 69, 'lambda': 0.01577578163396797, 'alpha': 0.0013403721954123992, 'learning_rate': 0.03450828618410377, 'min_child_weight': 1, 'subsample': 0.789313298356543}",0.1500319484150383,14.876732571820863,11.655685785959458,0.4292519372496814,0.4257973962466693
17,4,3,"{'max_depth': 3, 'colsample_bytree': 0.8650610934081856, 'n_estimators': 50, 'lambda': 0.009515847142740525, 'alpha': 0.001706774810786146, 'learning_rate': 0.052024491395988824, 'min_child_weight': 2, 'subsample': 0.9762626359166482}",0.12842171116140233,15.513904971497189,12.178931738497942,0.389190634243829,0.4175944944311843
3,1,4,"{'max_depth': 3, 'colsample_bytree': 0.6159620094885108, 'n_estimators': 70, 'lambda': 26.507286756174175, 'alpha': 41.5739691019167, 'learning_rate': 0.03764467055119754, 'min_child_weight': 10, 'subsample': 0.7879651873695147}",0.12297151649642213,15.51014386076917,12.125558480708557,0.3929403901916342,0.40058925939144796
6,2,2,"{'max_depth': 3, 'colsample_bytree': 0.9371921031825257, 'n_estimators': 368, 'lambda': 89.45330535984552, 'alpha': 0.23655883664653563, 'learning_rate': 0.011645321107622775, 'min_child_weight': 9, 'subsample': 0.5371264932201799}",0.12116883822001356,15.29748689746675,11.799111270340237,0.37546998614375676,0.3485235464033571
12,3,3,"{'max_depth': 10, 'colsample_bytree': 0.7235578172783821, 'n_estimators': 50, 'lambda': 66.01030846274055, 'alpha': 40.42842709727263, 'learning_rate': 0.045365616222712436, 'min_child_weight': 16, 'subsample': 0.6673306799759144}",0.12050212540506344,14.706617588226708,11.934556024314384,0.4210096858895382,0.4086865014809219
45,10,1,"{'max_depth': 3, 'colsample_bytree': 0.6947508490361094, 'n_estimators': 50, 'lambda': 59.14527916538059, 'alpha': 38.28168496712779, 'learning_rate': 0.05319729686760878, 'min_child_weight': 6, 'subsample': 0.6343230930289143}",0.11907605544679978,14.340154724369155,11.43874826374844,0.3754224846677901,0.3520998969102812
19,4,5,"{'max_depth': 3, 'colsample_bytree': 0.6539763355524593, 'n_estimators': 314, 'lambda': 0.006594417994578397, 'alpha': 0.0012393190661348413, 'learning_rate': 0.010645613130995494, 'min_child_weight': 4, 'subsample': 0.5159402878039457}",0.11208236398888927,14.287824071914711,11.469119145320011,0.33734145554870504,0.34211814231495696
18,4,4,"{'max_depth': 3, 'colsample_bytree': 0.932722628158048, 'n_estimators': 202, 'lambda': 0.0647931170259873, 'alpha': 0.8788701890171375, 'learning_rate': 0.010381799334094053, 'min_child_weight': 4, 'subsample': 0.6603559114875983}",0.10689188813995121,14.429083165371448,11.402596513195151,0.3311189538407039,0.27881683822770875
21,5,2,"{'max_depth': 3, 'colsample_bytree': 0.7843760317564765, 'n_estimators': 94, 'lambda': 0.3083035650700785, 'alpha': 0.021498466655625936, 'learning_rate': 0.028824994510016227, 'min_child_weight': 11, 'subsample': 0.5293068185794728}",0.1064311506441199,14.573612425304873,11.59741759441308,0.3284413169467372,0.31439142380773855
0,1,1,"{'max_depth': 3, 'colsample_bytree': 0.6335445838591378, 'n_estimators': 313, 'lambda': 0.4191720309070317, 'alpha': 0.7812044941156838, 'learning_rate': 0.010164418622684631, 'min_child_weight': 4, 'subsample': 0.5384566183927206}",0.10351970579915315,14.799373024795525,11.488633308184923,0.33513537370225993,0.3324881306710523
44,9,5,"{'max_depth': 3, 'colsample_bytree': 0.6831859124613773, 'n_estimators': 137, 'lambda': 0.46015333431652133, 'alpha': 4.269752259978093, 'learning_rate': 0.01758906078251442, 'min_child_weight': 2, 'subsample': 0.9078176294172113}",0.10092073270345092,14.8284409512128,11.74442081338555,0.3204551134632123,0.32711253860335116
5,2,1,"{'max_depth': 3, 'colsample_bytree': 0.7522303760020611, 'n_estimators': 231, 'lambda': 0.1587752675316904, 'alpha': 0.16731200629822354, 'learning_rate': 0.01028488946472924, 'min_child_weight': 1, 'subsample': 0.6551407344206724}",0.10021106229071608,14.241057539570809,11.20822518252762,0.3348127928072029,0.3525933102318982
33,7,4,"{'max_depth': 3, 'colsample_bytree': 0.9905594279042359, 'n_estimators': 80, 'lambda': 2.5834241804670484, 'alpha': 0.004344812996156318, 'learning_rate': 0.03226067162594237, 'min_child_weight': 7, 'subsample': 0.6495321991426524}",0.0967242127580078,14.973889824386289,11.710868180856197,0.3169618562129944,0.31588650848262356
35,8,1,"{'max_depth': 10, 'colsample_bytree': 0.6854547769490646, 'n_estimators': 50, 'lambda': 72.99348730595594, 'alpha': 97.67252832056947, 'learning_rate': 0.07580656464784766, 'min_child_weight': 2, 'subsample': 0.8390813301477856}",0.09437435773134939,13.888450968706726,11.114163009372689,0.3155950514026539,0.318148321554522
28,6,4,"{'max_depth': 3, 'colsample_bytree': 0.9811643078000349, 'n_estimators': 101, 'lambda': 0.12987031034256186, 'alpha': 0.030975595441930858, 'learning_rate': 0.016529394941080057, 'min_child_weight': 16, 'subsample': 0.8834846726603427}",0.09376340282645368,14.867768754271982,11.56876973710822,0.30934170769344427,0.2977101991723164
46,10,2,"{'max_depth': 3, 'colsample_bytree': 0.7908943692238873, 'n_estimators': 110, 'lambda': 0.8933155490716411, 'alpha': 0.037489263827840534, 'learning_rate': 0.015164208067675985, 'min_child_weight': 13, 'subsample': 0.5349273570823831}",0.09298632699689424,14.363039483419568,10.89538752538918,0.31072308416197325,0.3233162613346557
37,8,3,"{'max_depth': 3, 'colsample_bytree': 0.7004792713167877, 'n_estimators': 80, 'lambda': 0.7655127769321878, 'alpha': 0.12811199540470036, 'learning_rate': 0.04338421497151369, 'min_child_weight': 4, 'subsample': 0.8343599170032293}",0.09188627154679097,14.82890032182219,11.559890385915542,0.31895384965003537,0.29787843145072535
25,6,1,"{'max_depth': 3, 'colsample_bytree': 0.7595876439282877, 'n_estimators': 315, 'lambda': 4.903696411295205, 'alpha': 0.5992004676058074, 'learning_rate': 0.010754140628682284, 'min_child_weight': 16, 'subsample': 0.9355614128092411}",0.08976694277035857,15.164693177611182,11.920248652350972,0.3017455343992238,0.3061445956691458
38,8,4,"{'max_depth': 8, 'colsample_bytree': 0.7570196381516837, 'n_estimators': 100, 'lambda': 80.57071019075885, 'alpha': 0.1478887808183733, 'learning_rate': 0.045704757880809695, 'min_child_weight': 9, 'subsample': 0.6568614649137261}",0.08954642644692867,14.708287989423704,11.660354298247388,0.3006833036665753,0.3071299460563896
40,9,1,"{'max_depth': 3, 'colsample_bytree': 0.6982011494493611, 'n_estimators': 141, 'lambda': 37.09998391473489, 'alpha': 0.78844916507968, 'learning_rate': 0.02976826681358108, 'min_child_weight': 9, 'subsample': 0.5584009769441312}",0.08845077151525971,15.2928425902486,12.215922045284474,0.2990901398977186,0.2957788976966085
23,5,4,"{'max_depth': 4, 'colsample_bytree': 0.7036297377574975, 'n_estimators': 50, 'lambda': 0.020219773203312905, 'alpha': 0.40382303969349986, 'learning_rate': 0.029628175690481463, 'min_child_weight': 3, 'subsample': 0.5492492509611704}",0.08464678764220923,15.373900361927621,12.013147433128582,0.30464248303734254,0.29998115399212827
