,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
17,4,3,"{'max_depth': 16, 'colsample_bytree': 0.6132530970301102, 'n_estimators': 382, 'lambda': 0.09658911181574525, 'alpha': 12.225876935235286, 'learning_rate': 0.022445469690886694, 'min_child_weight': 2, 'subsample': 0.8877544802455519}",0.12317775760605054,15.560505601434205,12.367643548186715,0.3662850819548917,0.4097348354629612
0,1,1,"{'max_depth': 17, 'colsample_bytree': 0.6762033540337821, 'n_estimators': 101, 'lambda': 9.01849864120077, 'alpha': 2.274160385761937, 'learning_rate': 0.022931210032440127, 'min_child_weight': 13, 'subsample': 0.8833019584007828}",0.11939680217661708,14.667735580054305,11.403759860428128,0.4002641627626094,0.4108200801003341
45,10,1,"{'max_depth': 17, 'colsample_bytree': 0.7085971782112777, 'n_estimators': 638, 'lambda': 98.68378441984068, 'alpha': 1.2001333730584685, 'learning_rate': 0.032396235131696836, 'min_child_weight': 2, 'subsample': 0.9596606039283166}",0.10970116968819421,14.416257508125316,11.32961961644641,0.3359538107318297,0.33460953644194974
3,1,4,"{'max_depth': 12, 'colsample_bytree': 0.9868746108525311, 'n_estimators': 1315, 'lambda': 3.4486888782733804, 'alpha': 0.11334798323191382, 'learning_rate': 0.011527478934736646, 'min_child_weight': 4, 'subsample': 0.9074175430243235}",0.1093988186318362,15.62969885440914,12.403791416326218,0.331939361583065,0.3393683475339857
36,8,2,"{'max_depth': 9, 'colsample_bytree': 0.9454128950050585, 'n_estimators': 1073, 'lambda': 45.10449144986915, 'alpha': 0.15383216577357467, 'learning_rate': 0.02619473531920738, 'min_child_weight': 11, 'subsample': 0.8133917202230471}",0.108611775563765,14.685897589442172,12.04161450989853,0.34624883468926326,0.34706303297493024
6,2,2,"{'max_depth': 11, 'colsample_bytree': 0.436051128041388, 'n_estimators': 694, 'lambda': 53.8582672493746, 'alpha': 0.058182366447314664, 'learning_rate': 0.01562519928783794, 'min_child_weight': 8, 'subsample': 0.5346487990549155}",0.10731103995927194,15.417623924363921,11.874411114574183,0.3412061062883724,0.3380026389622827
10,3,1,"{'max_depth': 11, 'colsample_bytree': 0.6841294519930216, 'n_estimators': 1297, 'lambda': 0.13252848564733813, 'alpha': 0.06800957086846283, 'learning_rate': 0.011582986859420746, 'min_child_weight': 2, 'subsample': 0.7936160610850174}",0.10230266918227415,14.718104471875169,11.761531400962694,0.324346061061734,0.3321696691275265
30,7,1,"{'max_depth': 12, 'colsample_bytree': 0.8788111961260586, 'n_estimators': 408, 'lambda': 0.05852763364919945, 'alpha': 6.09347596970097, 'learning_rate': 0.010072690289936398, 'min_child_weight': 18, 'subsample': 0.635874932149043}",0.08647474017018619,15.422917497800793,12.064289702466255,0.3009086657847334,0.3528645701951352
33,7,4,"{'max_depth': 15, 'colsample_bytree': 0.8738675812308325, 'n_estimators': 795, 'lambda': 81.00105387160365, 'alpha': 47.136874476226495, 'learning_rate': 0.01612660762293854, 'min_child_weight': 1, 'subsample': 0.5725330975150307}",0.08392201887707684,15.079629497086824,12.014289178791836,0.29566049789250143,0.2747905864842294
16,4,2,"{'max_depth': 13, 'colsample_bytree': 0.905722197883171, 'n_estimators': 633, 'lambda': 0.06383040963618884, 'alpha': 22.459583843608755, 'learning_rate': 0.031974171976564145, 'min_child_weight': 4, 'subsample': 0.9810669908406233}",0.08300079584710685,13.826886986970038,11.186949035825108,0.3072688156379256,0.3133121913219528
27,6,3,"{'max_depth': 13, 'colsample_bytree': 0.6081940311726791, 'n_estimators': 948, 'lambda': 53.004367285494745, 'alpha': 5.349933029131524, 'learning_rate': 0.027741410135513636, 'min_child_weight': 3, 'subsample': 0.61122607079223}",0.08106011644094002,15.178620792845487,12.37475935806184,0.28588734436765423,0.2718571145115557
25,6,1,"{'max_depth': 17, 'colsample_bytree': 0.5488634913365661, 'n_estimators': 598, 'lambda': 0.2657341054020324, 'alpha': 0.37054242113139957, 'learning_rate': 0.01903817143247031, 'min_child_weight': 13, 'subsample': 0.9006389416243363}",0.07585263500444983,15.280161366340943,12.12107111011031,0.28521320413511236,0.29753098912733295
20,5,1,"{'max_depth': 18, 'colsample_bytree': 0.5519669811103511, 'n_estimators': 516, 'lambda': 0.0010429090850550095, 'alpha': 1.165252076837925, 'learning_rate': 0.015956404020940115, 'min_child_weight': 3, 'subsample': 0.9410998702726499}",0.07490847718894211,15.343808801240685,12.269529241076588,0.28605524993112985,0.26920464579631115
28,6,4,"{'max_depth': 18, 'colsample_bytree': 0.6693231860935869, 'n_estimators': 520, 'lambda': 31.256976682067684, 'alpha': 15.589498619445816, 'learning_rate': 0.030032593912710175, 'min_child_weight': 14, 'subsample': 0.8276845528830798}",0.07400061765012789,15.029009116042952,11.964826391998832,0.2734379917238494,0.2895418069909839
21,5,2,"{'max_depth': 8, 'colsample_bytree': 0.8531141641222945, 'n_estimators': 843, 'lambda': 10.511520698987143, 'alpha': 0.22521818186698517, 'learning_rate': 0.02962344968587402, 'min_child_weight': 2, 'subsample': 0.7921868572940756}",0.07360716976737125,14.838868902269144,11.93294836642474,0.2745255723865947,0.25421627824695125
35,8,1,"{'max_depth': 9, 'colsample_bytree': 0.8483530497769625, 'n_estimators': 186, 'lambda': 56.64693165787456, 'alpha': 0.5241842280900482, 'learning_rate': 0.03323280172173345, 'min_child_weight': 9, 'subsample': 0.8087234932718562}",0.07181410678531919,14.06037605436834,11.297868672207262,0.27405116997741086,0.23347139165795608
4,1,5,"{'max_depth': 16, 'colsample_bytree': 0.6397869206093151, 'n_estimators': 1068, 'lambda': 0.10258225179150379, 'alpha': 40.53693137141656, 'learning_rate': 0.025679172194596013, 'min_child_weight': 7, 'subsample': 0.9508951696134151}",0.07068282333398823,15.911664077459964,12.772808232956384,0.26812267637612647,0.2811793975611777
42,9,3,"{'max_depth': 18, 'colsample_bytree': 0.6876597659744099, 'n_estimators': 327, 'lambda': 60.07041588247423, 'alpha': 0.09764431051329402, 'learning_rate': 0.016829136363422266, 'min_child_weight': 5, 'subsample': 0.9702645987980438}",0.06567992719339943,15.161924158990518,12.10456198065944,0.257857413203847,0.2644105078635221
18,4,4,"{'max_depth': 7, 'colsample_bytree': 0.8892768570729005, 'n_estimators': 1090, 'lambda': 4.41606889511859, 'alpha': 7.183758655813988, 'learning_rate': 0.031472949002886205, 'min_child_weight': 8, 'subsample': 0.5579345297625649}",0.06340509669829808,14.776195029009981,11.858999692476713,0.2579282304314553,0.21923067731750623
8,2,4,"{'max_depth': 15, 'colsample_bytree': 0.8524430757605572, 'n_estimators': 513, 'lambda': 24.704969970018396, 'alpha': 23.89700949267739, 'learning_rate': 0.023621247128087323, 'min_child_weight': 6, 'subsample': 0.6900616143874644}",0.06218842784828915,15.055116742769629,11.947109425561669,0.2516708966272916,0.24505418706902882
12,3,3,"{'max_depth': 12, 'colsample_bytree': 0.9314094642170432, 'n_estimators': 935, 'lambda': 14.224800348345783, 'alpha': 0.0018194951864986863, 'learning_rate': 0.017313314031676418, 'min_child_weight': 9, 'subsample': 0.6151827560318545}",0.05489504475539486,15.245280615314789,12.060334696572207,0.2410570758736137,0.22236153474742187
23,5,4,"{'max_depth': 10, 'colsample_bytree': 0.8239092890104025, 'n_estimators': 784, 'lambda': 0.21194290946887265, 'alpha': 0.02554662717177103, 'learning_rate': 0.03059085150983235, 'min_child_weight': 7, 'subsample': 0.8540874942327994}",0.054893840897724755,15.621761525579354,12.360909885203345,0.24112759924857752,0.24424760094011283
29,6,5,"{'max_depth': 14, 'colsample_bytree': 0.9131451162073095, 'n_estimators': 237, 'lambda': 0.019032386501252697, 'alpha': 15.282232161718918, 'learning_rate': 0.019687087822554933, 'min_child_weight': 7, 'subsample': 0.5971515691353879}",0.051297256387530465,15.446593725556461,12.184204643294656,0.25724606799000344,0.24436220124583855
49,10,5,"{'max_depth': 14, 'colsample_bytree': 0.561589232221526, 'n_estimators': 666, 'lambda': 8.795344497567298, 'alpha': 0.007381445089714324, 'learning_rate': 0.02767122213470062, 'min_child_weight': 5, 'subsample': 0.7609210538799532}",0.05053193334098749,15.941164009506318,12.729700731807911,0.23027277346276073,0.2174021462620596
