,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
0,1,1,"{'max_depth': 10, 'colsample_bytree': 0.9998322917273617, 'n_estimators': 1119, 'lambda': 0.09090914940875565, 'alpha': 77.76328685739793, 'learning_rate': 0.01874162431306917, 'min_child_weight': 3, 'subsample': 0.7228560742868763}",0.13398736023786517,14.54571447890061,11.41319347133298,0.39116412973420844,0.3999007235760876
17,4,3,"{'max_depth': 9, 'colsample_bytree': 0.5514172636350545, 'n_estimators': 335, 'lambda': 0.07092250065066716, 'alpha': 4.887698652856245, 'learning_rate': 0.03664094029981776, 'min_child_weight': 3, 'subsample': 0.9722898997403601}",0.12551787102481216,15.53972734434809,12.205369531755617,0.3716900495907813,0.4261011900226397
27,6,3,"{'max_depth': 9, 'colsample_bytree': 0.586685777045083, 'n_estimators': 1214, 'lambda': 5.201136096316663, 'alpha': 0.12092768733554271, 'learning_rate': 0.02633584498137405, 'min_child_weight': 9, 'subsample': 0.5335995865313065}",0.11474336079065339,14.897841754808384,12.205455418874527,0.34138605042756076,0.33954791079422636
45,10,1,"{'max_depth': 10, 'colsample_bytree': 0.5019688691674395, 'n_estimators': 620, 'lambda': 59.05590442671496, 'alpha': 11.5931614360912, 'learning_rate': 0.07105456082467529, 'min_child_weight': 2, 'subsample': 0.9151245890359986}",0.11143522764709413,14.402211207207113,11.359630900727222,0.33579839975598214,0.3349191558095178
3,1,4,"{'max_depth': 18, 'colsample_bytree': 0.44548277281126203, 'n_estimators': 335, 'lambda': 2.431714852370048, 'alpha': 0.13590718163536508, 'learning_rate': 0.023607348067062953, 'min_child_weight': 7, 'subsample': 0.8601397735349658}",0.10532346157357575,15.665418491219862,12.428872238249468,0.331312585536172,0.3349941719130025
30,7,1,"{'max_depth': 20, 'colsample_bytree': 0.5555667770196939, 'n_estimators': 1473, 'lambda': 25.791560149434353, 'alpha': 1.0619345291350617, 'learning_rate': 0.010119944545609749, 'min_child_weight': 5, 'subsample': 0.8603470293920162}",0.10293626810450074,15.283326969664053,11.95960632865951,0.34124632492700196,0.3971757731149882
6,2,2,"{'max_depth': 17, 'colsample_bytree': 0.7888431800741441, 'n_estimators': 695, 'lambda': 0.5044051614851448, 'alpha': 26.845372057321548, 'learning_rate': 0.020185652334482544, 'min_child_weight': 5, 'subsample': 0.6064900906413612}",0.09560480092438761,15.518383853090226,11.907609183407395,0.3139396781860439,0.3104908545529925
33,7,4,"{'max_depth': 16, 'colsample_bytree': 0.9512809880329268, 'n_estimators': 1003, 'lambda': 61.97774725056228, 'alpha': 0.051487689310186616, 'learning_rate': 0.03696890405763423, 'min_child_weight': 6, 'subsample': 0.5244091766104089}",0.0937072334531871,14.998875690745924,11.990836329714082,0.31211955617637754,0.2908894770431757
10,3,1,"{'max_depth': 18, 'colsample_bytree': 0.7422747143931753, 'n_estimators': 152, 'lambda': 3.1501107260887085, 'alpha': 4.616708526856443, 'learning_rate': 0.015271271562034613, 'min_child_weight': 1, 'subsample': 0.6388247910278718}",0.08495619523852238,14.859625247715318,12.04519215420153,0.3163601144806781,0.34026605438302476
18,4,4,"{'max_depth': 14, 'colsample_bytree': 0.805816181127032, 'n_estimators': 1233, 'lambda': 11.833872389957525, 'alpha': 0.985349575246567, 'learning_rate': 0.01660976457501881, 'min_child_weight': 6, 'subsample': 0.847690032350068}",0.0846054449662681,14.608004097403468,11.757150571021809,0.2925391379207395,0.24990057984232866
21,5,2,"{'max_depth': 19, 'colsample_bytree': 0.433549533580732, 'n_estimators': 550, 'lambda': 92.1470720310383, 'alpha': 0.0177396506779771, 'learning_rate': 0.03422410537992751, 'min_child_weight': 1, 'subsample': 0.9448535386993552}",0.08172997897544532,14.773670491212023,11.822040174134385,0.2881178432141909,0.2844230370591244
12,3,3,"{'max_depth': 20, 'colsample_bytree': 0.9910979667945886, 'n_estimators': 1045, 'lambda': 32.94694249731192, 'alpha': 0.49824903993785713, 'learning_rate': 0.010605993907876666, 'min_child_weight': 6, 'subsample': 0.6118914618953558}",0.07747217045859445,15.062086615550315,12.095764972754484,0.27868645330499886,0.25538910010910104
28,6,4,"{'max_depth': 9, 'colsample_bytree': 0.5315889490630356, 'n_estimators': 270, 'lambda': 59.76015994005106, 'alpha': 1.2738779851959738, 'learning_rate': 0.047553454957247596, 'min_child_weight': 12, 'subsample': 0.9129415802458175}",0.07302240030516183,15.03694527510282,11.923889814749272,0.2715145945059276,0.2806202384210382
43,9,4,"{'max_depth': 18, 'colsample_bytree': 0.6105367460111235, 'n_estimators': 833, 'lambda': 27.412120830380523, 'alpha': 1.890538281709124, 'learning_rate': 0.010034970981707372, 'min_child_weight': 4, 'subsample': 0.5080283388982405}",0.07113609591147618,14.611291808766037,11.66240195550862,0.2823118121986584,0.28847268686863653
35,8,1,"{'max_depth': 13, 'colsample_bytree': 0.8453968818047399, 'n_estimators': 187, 'lambda': 25.424379924215962, 'alpha': 8.315233843321971, 'learning_rate': 0.025512787458242075, 'min_child_weight': 8, 'subsample': 0.5720069796615053}",0.06799121110170114,14.089301358514458,11.345796980096038,0.2637404782715328,0.2322548616565724
23,5,4,"{'max_depth': 15, 'colsample_bytree': 0.4247440430828645, 'n_estimators': 655, 'lambda': 0.02595238416636382, 'alpha': 0.0010193457769688626, 'learning_rate': 0.03543016414361913, 'min_child_weight': 3, 'subsample': 0.9468514087346916}",0.06668312059500003,15.524022632567101,12.357062954874433,0.2607576010321474,0.26155290487092764
44,9,5,"{'max_depth': 8, 'colsample_bytree': 0.43022590994797955, 'n_estimators': 494, 'lambda': 97.64207722485044, 'alpha': 82.09277475653892, 'learning_rate': 0.017351491788715374, 'min_child_weight': 8, 'subsample': 0.8074501079037602}",0.06321080881369556,15.136220165516882,12.199497042323005,0.25516622584478743,0.24809620332054744
