,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
27,6,3,"{'max_depth': 14, 'colsample_bytree': 0.5093606060262887, 'n_estimators': 224, 'lambda': 3.3966241193908444, 'alpha': 0.4667033587642618, 'learning_rate': 0.010111178767042766, 'min_child_weight': 7, 'subsample': 0.7608559364541418}",0.07497270212744722,15.228812344492999,12.370676345373752,0.31879725796143205,0.3465563266329708
17,4,3,"{'max_depth': 20, 'colsample_bytree': 0.847383164526774, 'n_estimators': 1414, 'lambda': 8.496271566450176, 'alpha': 7.728469421202953, 'learning_rate': 0.019549501249799928, 'min_child_weight': 16, 'subsample': 0.6219525917061528}",0.06499740324847969,16.06846287573401,12.93300718950802,0.2582563837411362,0.24189048825384699
44,9,5,"{'max_depth': 17, 'colsample_bytree': 0.8223514421849163, 'n_estimators': 129, 'lambda': 60.33782472216508, 'alpha': 63.87627416507563, 'learning_rate': 0.024159765428621357, 'min_child_weight': 19, 'subsample': 0.8087817778951252}",0.06304904994999172,15.13752692274282,12.313655108389769,0.26196431993883373,0.2181633196244546
28,6,4,"{'max_depth': 14, 'colsample_bytree': 0.5527793391692729, 'n_estimators': 153, 'lambda': 74.10830670174072, 'alpha': 0.019732314802153123, 'learning_rate': 0.03145410416027117, 'min_child_weight': 18, 'subsample': 0.5971948659017577}",0.05652222366960513,15.170183593797674,12.16958144148426,0.24478210093259065,0.2256396152575805
21,5,2,"{'max_depth': 8, 'colsample_bytree': 0.9375434631917599, 'n_estimators': 351, 'lambda': 99.65833227697857, 'alpha': 0.04999852718307997, 'learning_rate': 0.02302623501039916, 'min_child_weight': 14, 'subsample': 0.5854349123333373}",0.0554070665262566,14.983923652198584,12.202705135006877,0.23555806098740267,0.24416952306283846
18,4,4,"{'max_depth': 14, 'colsample_bytree': 0.7418929888777128, 'n_estimators': 129, 'lambda': 76.68352650178403, 'alpha': 0.003007996089066373, 'learning_rate': 0.010017962463545296, 'min_child_weight': 2, 'subsample': 0.8408709607871518}",0.05197575592383252,14.866079175845849,12.06545903132512,0.24777516965543428,0.21914639169530922
6,2,2,"{'max_depth': 9, 'colsample_bytree': 0.7787730803105182, 'n_estimators': 565, 'lambda': 29.39267228007532, 'alpha': 0.01012382022736264, 'learning_rate': 0.019264163414626265, 'min_child_weight': 1, 'subsample': 0.833887558610138}",0.05136603731789391,15.893395857101332,12.312924221422545,0.22674900737850773,0.21981602396958974
12,3,3,"{'max_depth': 20, 'colsample_bytree': 0.6239704044649902, 'n_estimators': 424, 'lambda': 0.007858599485576, 'alpha': 24.272833265245897, 'learning_rate': 0.010196179509240677, 'min_child_weight': 13, 'subsample': 0.6385933103493118}",0.04875635806654299,15.294711382888698,12.523929618519439,0.22450583699809445,0.22423087764512767
36,8,2,"{'max_depth': 10, 'colsample_bytree': 0.9780266624146962, 'n_estimators': 105, 'lambda': 82.58734825576465, 'alpha': 0.18834107221819035, 'learning_rate': 0.010122399068378071, 'min_child_weight': 2, 'subsample': 0.9739189634365452}",0.04709006412852812,15.184237104799072,12.606715817423261,0.23691495199454743,0.21298732360635256
20,5,1,"{'max_depth': 18, 'colsample_bytree': 0.9152210173356782, 'n_estimators': 100, 'lambda': 54.97033246863848, 'alpha': 0.06790439181123453, 'learning_rate': 0.019335188091908626, 'min_child_weight': 12, 'subsample': 0.9400946626224211}",0.045665529142729366,15.584437549408888,12.475097249950883,0.21829791883428368,0.18069845941082446
4,1,5,"{'max_depth': 9, 'colsample_bytree': 0.9632323204520401, 'n_estimators': 173, 'lambda': 81.20925002907492, 'alpha': 0.05001290838751085, 'learning_rate': 0.016828464818365363, 'min_child_weight': 6, 'subsample': 0.5628890243730033}",0.04464847286557916,16.13300321774379,13.069467736419137,0.21804077218820397,0.21326231582534297
33,7,4,"{'max_depth': 13, 'colsample_bytree': 0.48162431653635307, 'n_estimators': 1401, 'lambda': 5.213747468504869, 'alpha': 0.0038374600817624002, 'learning_rate': 0.023325895764892825, 'min_child_weight': 7, 'subsample': 0.6778691756540169}",0.039204141795217806,15.443296511958023,12.450144434821675,0.20859918842588954,0.20363178530081016
