,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
27,6,3,"{'max_depth': 3, 'colsample_bytree': 0.8002912830057632, 'n_estimators': 131, 'lambda': 57.15559861375535, 'alpha': 94.54681640314178, 'learning_rate': 0.027977943677756863, 'min_child_weight': 19, 'subsample': 0.6275886540497032}",0.13356921562128554,14.738581856947611,11.836429325081188,0.42005082470973276,0.425229021075977
36,8,2,"{'max_depth': 10, 'colsample_bytree': 0.8974967058814006, 'n_estimators': 115, 'lambda': 78.93509527181114, 'alpha': 1.13541279743922, 'learning_rate': 0.02847947000439016, 'min_child_weight': 5, 'subsample': 0.7501016779193752}",0.10600724991846944,14.707337124037833,11.995961589926093,0.33586411323790566,0.3257958687675626
12,3,3,"{'max_depth': 4, 'colsample_bytree': 0.9176053033980895, 'n_estimators': 58, 'lambda': 0.2577872741115893, 'alpha': 1.171607702007638, 'learning_rate': 0.016025077247514403, 'min_child_weight': 20, 'subsample': 0.9401144087072082}",0.10538473550896876,14.83247259711332,11.923845347568129,0.38550778471890224,0.36691778341447756
30,7,1,"{'max_depth': 8, 'colsample_bytree': 0.8690374276552568, 'n_estimators': 83, 'lambda': 86.58758510352796, 'alpha': 76.18636703945832, 'learning_rate': 0.04321382929501567, 'min_child_weight': 20, 'subsample': 0.6008636719265417}",0.10416828484540896,15.272828393338534,12.132944953512158,0.3828232895612976,0.37709252164175616
23,5,4,"{'max_depth': 3, 'colsample_bytree': 0.7857268278630113, 'n_estimators': 142, 'lambda': 22.290974535155854, 'alpha': 0.3447406151407124, 'learning_rate': 0.015662128981389245, 'min_child_weight': 20, 'subsample': 0.7258138328219067}",0.09049993779429777,15.324667967594516,12.054975385496602,0.31362134359780547,0.3101210196677787
44,9,5,"{'max_depth': 3, 'colsample_bytree': 0.9781005315895964, 'n_estimators': 78, 'lambda': 0.01966377305095524, 'alpha': 26.69231310195704, 'learning_rate': 0.016084796475970498, 'min_child_weight': 19, 'subsample': 0.5297792498172561}",0.08956952333437207,14.921754629757137,11.891111678625705,0.32728973539110506,0.3300475781135619
6,2,2,"{'max_depth': 8, 'colsample_bytree': 0.9646601226544984, 'n_estimators': 149, 'lambda': 16.182504003768088, 'alpha': 70.35659347446519, 'learning_rate': 0.010279864621576679, 'min_child_weight': 16, 'subsample': 0.7642507547306134}",0.08675557752566643,15.594120299399036,12.141365073841705,0.33673209691343803,0.3155307126445531
5,2,1,"{'max_depth': 3, 'colsample_bytree': 0.6365092284736094, 'n_estimators': 50, 'lambda': 72.27692315126313, 'alpha': 29.967755408403722, 'learning_rate': 0.0899509452613335, 'min_child_weight': 18, 'subsample': 0.5297475473847093}",0.0863555438309247,14.350285057421106,11.423263888387286,0.3233664662746283,0.3360520628117631
21,5,2,"{'max_depth': 7, 'colsample_bytree': 0.8905940977536245, 'n_estimators': 187, 'lambda': 40.168288326982136, 'alpha': 0.20663653992437023, 'learning_rate': 0.010471947689998436, 'min_child_weight': 15, 'subsample': 0.5817623625856073}",0.08626317467140165,14.737159009194631,11.881083877834342,0.3124609433041341,0.31023998613238524
3,1,4,"{'max_depth': 6, 'colsample_bytree': 0.7486593347188687, 'n_estimators': 167, 'lambda': 0.015124527761894947, 'alpha': 0.002141144717518151, 'learning_rate': 0.010157450179952067, 'min_child_weight': 18, 'subsample': 0.8012571648939479}",0.08600206856020509,15.833669782021342,12.489079582620654,0.30144042839123925,0.31403196925943705
31,7,2,"{'max_depth': 3, 'colsample_bytree': 0.8783477347128987, 'n_estimators': 110, 'lambda': 1.7530814724867687, 'alpha': 1.5273827853059927, 'learning_rate': 0.018997016286042306, 'min_child_weight': 7, 'subsample': 0.8534020114771834}",0.08586546145029195,14.09262778135266,11.1645637376774,0.2949299443864528,0.2917741418455642
46,10,2,"{'max_depth': 7, 'colsample_bytree': 0.880393274149667, 'n_estimators': 70, 'lambda': 9.82214306002715, 'alpha': 99.63139011052633, 'learning_rate': 0.04910514567809672, 'min_child_weight': 18, 'subsample': 0.626223687697566}",0.08432334692828858,14.431467907266988,10.83544730011528,0.29047004883927174,0.3207238487511461
28,6,4,"{'max_depth': 3, 'colsample_bytree': 0.6750543727431948, 'n_estimators': 75, 'lambda': 51.325357657205075, 'alpha': 11.020653673343393, 'learning_rate': 0.026080480652902104, 'min_child_weight': 3, 'subsample': 0.5981117765403337}",0.08164111912231242,14.966877857047834,11.843098002778003,0.3083179415772007,0.2875642490188847
10,3,1,"{'max_depth': 3, 'colsample_bytree': 0.8603084807300877, 'n_estimators': 71, 'lambda': 99.39095696188473, 'alpha': 0.24857175787327954, 'learning_rate': 0.07097376291111769, 'min_child_weight': 16, 'subsample': 0.58812725364336}",0.08113702874127315,14.890603157904087,12.069585202008309,0.2984361280651465,0.28806903678934986
25,6,1,"{'max_depth': 5, 'colsample_bytree': 0.6351066151047415, 'n_estimators': 133, 'lambda': 16.644751625963316, 'alpha': 0.0633735573406582, 'learning_rate': 0.022277341613000597, 'min_child_weight': 20, 'subsample': 0.5427381992597012}",0.07953231375733083,15.249710505458388,12.13834640683507,0.29104734124770126,0.3137894377912261
4,1,5,"{'max_depth': 3, 'colsample_bytree': 0.6085934148941778, 'n_estimators': 238, 'lambda': 36.00740562031769, 'alpha': 27.375602901781313, 'learning_rate': 0.023703024898546372, 'min_child_weight': 2, 'subsample': 0.5470759215991039}",0.07744750186910854,15.85364627176982,12.730518995657475,0.27907653584296893,0.2737540770617171
35,8,1,"{'max_depth': 3, 'colsample_bytree': 0.7506070922954606, 'n_estimators': 98, 'lambda': 0.18723584229548346, 'alpha': 0.4727734032712228, 'learning_rate': 0.011949024286053345, 'min_child_weight': 17, 'subsample': 0.9891986535921187}",0.07627585228556655,14.026541565276425,11.231501223772941,0.29987744108565884,0.2908102676533251
17,4,3,"{'max_depth': 10, 'colsample_bytree': 0.8795058974843876, 'n_estimators': 144, 'lambda': 7.961654260510155, 'alpha': 0.02359837756258233, 'learning_rate': 0.010350926198323304, 'min_child_weight': 19, 'subsample': 0.8641654511663146}",0.07017282550892168,16.023930123335525,12.788724120552018,0.2750731281315626,0.3063216620685461
18,4,4,"{'max_depth': 3, 'colsample_bytree': 0.7566618089838423, 'n_estimators': 113, 'lambda': 39.778540945339735, 'alpha': 3.4926251341496584, 'learning_rate': 0.030838237690431352, 'min_child_weight': 17, 'subsample': 0.5018648688822469}",0.06860292488995823,14.735136200028611,11.722909645216,0.26279605830636715,0.2258917574597923
33,7,4,"{'max_depth': 10, 'colsample_bytree': 0.8890209005353147, 'n_estimators': 237, 'lambda': 45.15025402323549, 'alpha': 99.86002547125861, 'learning_rate': 0.010432976024678405, 'min_child_weight': 14, 'subsample': 0.8110794286454176}",0.06702318954455178,15.218080375374308,11.935138544387366,0.2646565443273157,0.2659914809840546
49,10,5,"{'max_depth': 3, 'colsample_bytree': 0.9921199209043409, 'n_estimators': 112, 'lambda': 0.740864199072963, 'alpha': 0.828828269096302, 'learning_rate': 0.016668156226270558, 'min_child_weight': 13, 'subsample': 0.5359256996357564}",0.06542210729952946,15.815670210424523,12.620839767907498,0.25763410318485896,0.25713811824312055
45,10,1,"{'max_depth': 6, 'colsample_bytree': 0.922155613134402, 'n_estimators': 179, 'lambda': 98.08030465947685, 'alpha': 63.81616195814912, 'learning_rate': 0.02035787860600198, 'min_child_weight': 12, 'subsample': 0.524488561960914}",0.06248758102097807,14.79357522824492,11.781970142612796,0.2513554754156016,0.24211858487914342
20,5,1,"{'max_depth': 3, 'colsample_bytree': 0.9986081454858502, 'n_estimators': 202, 'lambda': 12.29773840112557, 'alpha': 54.49621964253008, 'learning_rate': 0.010183334782889186, 'min_child_weight': 19, 'subsample': 0.6123667375119755}",0.06171229397407041,15.45285895039712,12.260702686196954,0.25506476761250896,0.23998918181299722
19,4,5,"{'max_depth': 7, 'colsample_bytree': 0.8889113435180209, 'n_estimators': 77, 'lambda': 28.30864750128195, 'alpha': 0.004010371031857028, 'learning_rate': 0.02348477749535855, 'min_child_weight': 15, 'subsample': 0.6224654757971915}",0.0607703808602037,14.694866430932365,11.975846465522721,0.24781209931970596,0.25492786033052683
38,8,4,"{'max_depth': 6, 'colsample_bytree': 0.7037492389603219, 'n_estimators': 150, 'lambda': 67.42007235092042, 'alpha': 3.1654293503745157, 'learning_rate': 0.02157356589213513, 'min_child_weight': 16, 'subsample': 0.6027827192940481}",0.05826946587967852,14.958792858768167,11.756156831098027,0.2426815595053278,0.2734581506759082
0,1,1,"{'max_depth': 3, 'colsample_bytree': 0.7838647126255557, 'n_estimators': 84, 'lambda': 0.11649480329984149, 'alpha': 0.06932613080741676, 'learning_rate': 0.022197054020050778, 'min_child_weight': 1, 'subsample': 0.5679859793229767}",0.05660019680625361,15.181714979021383,11.685980644451796,0.25208618118097914,0.27604635332675714
40,9,1,"{'max_depth': 3, 'colsample_bytree': 0.6419218470597823, 'n_estimators': 81, 'lambda': 20.58384451487514, 'alpha': 80.08480512125489, 'learning_rate': 0.03374929726540244, 'min_child_weight': 19, 'subsample': 0.7124479375649446}",0.05527466553292937,15.568649283979743,12.504625331720657,0.2394298207625572,0.2532228110594306
