,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
27,6,3,"{'max_depth': 3, 'colsample_bytree': 0.9719490141951369, 'n_estimators': 95, 'lambda': 0.47468482789793937, 'alpha': 7.414235346084089, 'learning_rate': 0.015466308837180087, 'min_child_weight': 13, 'subsample': 0.7664102947791598}",0.044430448382115406,14.395876387468233,11.58448592187396,0.2206134981478932,0.19659141763214166
22,5,3,"{'max_depth': 4, 'colsample_bytree': 0.8581581440838786, 'n_estimators': 56, 'lambda': 0.1315937585251287, 'alpha': 3.220102761378983, 'learning_rate': 0.021024436242905047, 'min_child_weight': 2, 'subsample': 0.6335451920527732}",0.04024986317063506,14.521461291828187,11.472556343758368,0.23413344530361227,0.2314156431803491
35,8,1,"{'max_depth': 10, 'colsample_bytree': 0.9186134179848571, 'n_estimators': 127, 'lambda': 76.2296007281636, 'alpha': 2.710464404253038, 'learning_rate': 0.01038173742156543, 'min_child_weight': 7, 'subsample': 0.6283199255113718}",0.024922409572259885,13.930214471358195,11.152884965222999,0.19236210654364905,0.16855949480383872
6,2,2,"{'max_depth': 3, 'colsample_bytree': 0.889285668372097, 'n_estimators': 100, 'lambda': 0.005879670777415957, 'alpha': 1.6659378673589886, 'learning_rate': 0.010073224120172307, 'min_child_weight': 5, 'subsample': 0.9279387305027156}",0.022697929690434826,15.122519878073618,11.653451249922858,0.15961598796137053,0.17685785175903188
17,4,3,"{'max_depth': 9, 'colsample_bytree': 0.851977325127036, 'n_estimators': 71, 'lambda': 98.35311966615446, 'alpha': 88.1851231075937, 'learning_rate': 0.04990950039563237, 'min_child_weight': 10, 'subsample': 0.5034733367650308}",0.02008019819997986,15.415360104421511,12.09506113429092,0.16754176576028704,0.167908109989558
14,3,5,"{'max_depth': 3, 'colsample_bytree': 0.8617976787357597, 'n_estimators': 69, 'lambda': 13.284344232985196, 'alpha': 12.470889788635217, 'learning_rate': 0.01735282152443977, 'min_child_weight': 15, 'subsample': 0.6534976915242193}",0.019947436787521533,15.365067221446383,12.226330303201253,0.19503885493369277,0.21131221719457016
3,1,4,"{'max_depth': 3, 'colsample_bytree': 0.6231420979768155, 'n_estimators': 65, 'lambda': 99.24548819725524, 'alpha': 0.008176631191475383, 'learning_rate': 0.016581321857073283, 'min_child_weight': 18, 'subsample': 0.8082481479494066}",0.018603888703741855,15.482822851687848,12.09190383897291,0.22340000391033887,0.22777833026701808
11,3,2,"{'max_depth': 3, 'colsample_bytree': 0.8405409193469295, 'n_estimators': 55, 'lambda': 99.24644394121977, 'alpha': 0.008750321350334628, 'learning_rate': 0.07462641584805546, 'min_child_weight': 20, 'subsample': 0.5250287762169947}",0.018467468836054213,15.460835509118352,11.855959814260611,0.15842171571047592,0.16711749788672867
46,10,2,"{'max_depth': 3, 'colsample_bytree': 0.7751928076754525, 'n_estimators': 75, 'lambda': 2.796137374759027, 'alpha': 0.0015540979675943741, 'learning_rate': 0.011142055660701545, 'min_child_weight': 20, 'subsample': 0.5824344707176048}",0.016894429667342448,14.409683287664041,11.01756818277874,0.1387682620753657,0.09564914723285765
44,9,5,"{'max_depth': 9, 'colsample_bytree': 0.6388586017906185, 'n_estimators': 102, 'lambda': 99.23926613373297, 'alpha': 24.054022057317592, 'learning_rate': 0.0176767803184274, 'min_child_weight': 7, 'subsample': 0.6624924464148045}",0.016480090167503514,14.630603658882691,11.593402276715011,0.14275805912007417,0.13238774799860775
