,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
39,8,5,"{'max_depth': 7, 'colsample_bytree': 0.958908973354291, 'n_estimators': 1381, 'lambda': 0.0016471013570735955, 'alpha': 0.0018770282597826353, 'learning_rate': 0.038035011158878605, 'min_child_weight': 1, 'subsample': 0.8779626280410833}",0.0355084712465753,16.607492368796333,13.043810761181197,0.1942787624629623,0.20138730048232312
17,4,3,"{'max_depth': 12, 'colsample_bytree': 0.49940510485376743, 'n_estimators': 884, 'lambda': 0.3221677452194218, 'alpha': 63.43547863104642, 'learning_rate': 0.023770790915645573, 'min_child_weight': 4, 'subsample': 0.8012112023183308}",0.03462187189123944,15.30055326109676,12.203711654735457,0.2020542090023169,0.21396250808015516
0,1,1,"{'max_depth': 11, 'colsample_bytree': 0.9205470221144904, 'n_estimators': 125, 'lambda': 78.68947786857508, 'alpha': 23.696189795428904, 'learning_rate': 0.038012846620756456, 'min_child_weight': 15, 'subsample': 0.6597720217929923}",0.03388656227050335,14.60273937640663,11.342162446815525,0.20582223473732303,0.20526838873530193
33,7,4,"{'max_depth': 11, 'colsample_bytree': 0.47177332399730015, 'n_estimators': 324, 'lambda': 10.55956417723291, 'alpha': 80.89761804636012, 'learning_rate': 0.01803505086832715, 'min_child_weight': 3, 'subsample': 0.5517225948674603}",0.03355778327584602,14.535141463518888,11.49273998045014,0.19251751842114315,0.19649942817363636
16,4,2,"{'max_depth': 11, 'colsample_bytree': 0.4267438181282435, 'n_estimators': 252, 'lambda': 3.521946469387173, 'alpha': 5.8866715128423595, 'learning_rate': 0.05304749200536856, 'min_child_weight': 10, 'subsample': 0.7525379706177563}",0.02358042715337283,13.891256153317137,11.06287057051106,0.16994250752734924,0.1640521133037668
23,5,4,"{'max_depth': 19, 'colsample_bytree': 0.43861336725369493, 'n_estimators': 132, 'lambda': 0.025105413901663563, 'alpha': 22.126545861625388, 'learning_rate': 0.015499110416259572, 'min_child_weight': 13, 'subsample': 0.6804629434531213}",0.02113840007275236,15.404445042499345,12.315757118416398,0.14653400405054692,0.1657724628312864
8,2,4,"{'max_depth': 18, 'colsample_bytree': 0.8605447982448693, 'n_estimators': 170, 'lambda': 5.856009511050686, 'alpha': 1.6558894218049465, 'learning_rate': 0.010326813400401978, 'min_child_weight': 4, 'subsample': 0.5398929689412875}",0.013844762904503538,15.081210402760464,12.167864429257286,0.12220713078940848,0.13079906518820547
10,3,1,"{'max_depth': 14, 'colsample_bytree': 0.5589245157610091, 'n_estimators': 150, 'lambda': 20.59955977156302, 'alpha': 0.012289349399055903, 'learning_rate': 0.010233007432820717, 'min_child_weight': 1, 'subsample': 0.5899879128777429}",0.013469902308665627,14.612909574203806,11.770507867459962,0.18083188776463568,0.18847894187260708
36,8,2,"{'max_depth': 8, 'colsample_bytree': 0.9998877118206891, 'n_estimators': 153, 'lambda': 97.81071929955434, 'alpha': 58.96880341560288, 'learning_rate': 0.03574763378142639, 'min_child_weight': 11, 'subsample': 0.5210174899060418}",0.010991578206457797,14.677944273703973,12.223969584982303,0.13335936640433485,0.10021132713440407
31,7,2,"{'max_depth': 20, 'colsample_bytree': 0.8203049357704539, 'n_estimators': 784, 'lambda': 59.70030542502623, 'alpha': 0.06947969964991198, 'learning_rate': 0.010659355856250243, 'min_child_weight': 3, 'subsample': 0.7413683300648867}",0.01090694870590092,14.051616553646225,11.076484948248806,0.1169907146571467,0.08911043707423798
11,3,2,"{'max_depth': 19, 'colsample_bytree': 0.9563708277426306, 'n_estimators': 478, 'lambda': 77.80011543805989, 'alpha': 0.0032623167232911795, 'learning_rate': 0.010150845043585214, 'min_child_weight': 1, 'subsample': 0.7723370852377502}",0.010496918546201939,15.523483561084836,11.904485829755222,0.13803869672371694,0.1380538014022177
4,1,5,"{'max_depth': 17, 'colsample_bytree': 0.802227975016584, 'n_estimators': 520, 'lambda': 1.2095818482951564, 'alpha': 3.7251698175109063, 'learning_rate': 0.02563170575837868, 'min_child_weight': 7, 'subsample': 0.599876596493812}",0.006911813540261713,15.67576926913307,12.939470446108713,0.13943595434836425,0.10447019044304114
34,7,5,"{'max_depth': 19, 'colsample_bytree': 0.6348030728660663, 'n_estimators': 170, 'lambda': 49.67607825829692, 'alpha': 0.1029235037944373, 'learning_rate': 0.010086632504143057, 'min_child_weight': 12, 'subsample': 0.7358352922252845}",0.006582688596572295,15.953657192811196,12.910511718317608,0.11562242222041197,0.1254611903933171
