,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
25,6,1,"{'max_depth': 15, 'colsample_bytree': 0.7904378724061663, 'n_estimators': 216, 'lambda': 31.28369093471163, 'alpha': 9.258972105989598, 'learning_rate': 0.013339769429445874, 'min_child_weight': 12, 'subsample': 0.9223693437325369}",0.1770628626613142,8.683328011069113,6.321446779916978,0.4403960044621983,0.4725861874529152
34,7,5,"{'max_depth': 8, 'colsample_bytree': 0.6570732105847599, 'n_estimators': 407, 'lambda': 39.58590814071201, 'alpha': 0.008791411924322217, 'learning_rate': 0.014874432767309187, 'min_child_weight': 18, 'subsample': 0.5515162120391661}",0.17554345651776038,11.349304879406903,7.406749934134399,0.46731559783412063,0.4474876794877869
49,10,5,"{'max_depth': 20, 'colsample_bytree': 0.8497370738850694, 'n_estimators': 139, 'lambda': 81.71737834678136, 'alpha': 2.892255512814085, 'learning_rate': 0.03892791695941561, 'min_child_weight': 5, 'subsample': 0.6603487366731351}",0.15303377698673815,11.057721512501777,7.275020288997854,0.4230466386925839,0.3940453304446913
40,9,1,"{'max_depth': 9, 'colsample_bytree': 0.8235310562772423, 'n_estimators': 320, 'lambda': 0.003049234631132334, 'alpha': 82.81824332858636, 'learning_rate': 0.010500894582368083, 'min_child_weight': 15, 'subsample': 0.7950283914947506}",0.1529309995045951,10.818311553165188,7.854910715091863,0.41027370064257096,0.3564108728219833
1,1,2,"{'max_depth': 9, 'colsample_bytree': 0.8333748374994359, 'n_estimators': 844, 'lambda': 45.74110162334068, 'alpha': 0.48802376892074173, 'learning_rate': 0.011364662679487022, 'min_child_weight': 19, 'subsample': 0.5098106095800565}",0.15151776161783426,12.509242420767105,7.580187842690733,0.43002496694567827,0.440082470058494
20,5,1,"{'max_depth': 13, 'colsample_bytree': 0.7042823324121372, 'n_estimators': 498, 'lambda': 37.48100067386898, 'alpha': 0.02031311881603601, 'learning_rate': 0.019662021478745264, 'min_child_weight': 17, 'subsample': 0.6010062736052417}",0.14926145413161174,10.160779064144588,6.960348129272461,0.38779820474827087,0.41379758366396385
45,10,1,"{'max_depth': 19, 'colsample_bytree': 0.4518518427825609, 'n_estimators': 569, 'lambda': 61.35800644115818, 'alpha': 0.0016536406726168245, 'learning_rate': 0.01829919455776253, 'min_child_weight': 17, 'subsample': 0.6919324367235435}",0.14650893364624717,9.786101768302899,7.586105408753164,0.3875906109813339,0.3459629579635213
10,3,1,"{'max_depth': 13, 'colsample_bytree': 0.7804895902387788, 'n_estimators': 235, 'lambda': 22.55499638741857, 'alpha': 0.014314835862361446, 'learning_rate': 0.019732949916690175, 'min_child_weight': 17, 'subsample': 0.521382457128649}",0.14181843672408456,9.11133161187621,6.469540889446552,0.3896226309782559,0.44798681872664037
47,10,3,"{'max_depth': 7, 'colsample_bytree': 0.41403402807397, 'n_estimators': 1063, 'lambda': 68.4992021544127, 'alpha': 0.7460292209069439, 'learning_rate': 0.010725635630848858, 'min_child_weight': 13, 'subsample': 0.6179084023283161}",0.1371928888770284,10.436782536681477,6.976877833259176,0.37370355481303796,0.4117696288345592
23,5,4,"{'max_depth': 15, 'colsample_bytree': 0.9429490992301045, 'n_estimators': 235, 'lambda': 26.00021879008055, 'alpha': 0.005625849142374479, 'learning_rate': 0.020915083134816836, 'min_child_weight': 18, 'subsample': 0.58024492505984}",0.13678419369220318,12.616943314946205,7.96646969134991,0.4187061787185873,0.3302243069594277
