,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
12,3,3,"{'max_depth': 5, 'colsample_bytree': 1.0, 'n_estimators': 162, 'lambda': 94.54047276728838, 'alpha': 16.679098736047028, 'learning_rate': 0.025645368111316444, 'min_child_weight': 7, 'subsample': 0.7818782431363038}",0.2468926289091733,7.903110568718667,6.2706683796538405,0.49900432138055134,0.47629858264892694
25,6,1,"{'max_depth': 8, 'colsample_bytree': 1.0, 'n_estimators': 162, 'lambda': 98.75607686887936, 'alpha': 0.0033568204147918, 'learning_rate': 0.01879383467704581, 'min_child_weight': 19, 'subsample': 0.518235973890115}",0.2284234787158288,8.407993704883765,6.140214073587451,0.49502474771880967,0.4961350800814412
33,7,4,"{'max_depth': 3, 'colsample_bytree': 1.0, 'n_estimators': 287, 'lambda': 82.94645266252778, 'alpha': 0.04837445083979676, 'learning_rate': 0.014883526548023707, 'min_child_weight': 2, 'subsample': 0.5956561733471321}",0.22527929908440625,9.221933029029522,6.766364244314341,0.49035549399734557,0.4797339509316168
21,5,2,"{'max_depth': 3, 'colsample_bytree': 1.0, 'n_estimators': 91, 'lambda': 40.9812503034477, 'alpha': 0.5568777176500224, 'learning_rate': 0.03351644057059878, 'min_child_weight': 20, 'subsample': 0.570953174733562}",0.2246848263403175,8.975520745409769,6.75202656920845,0.4836868247541863,0.5048933429990468
46,10,2,"{'max_depth': 4, 'colsample_bytree': 1.0, 'n_estimators': 151, 'lambda': 0.6028463229611042, 'alpha': 0.06777122553330817, 'learning_rate': 0.014333376067171284, 'min_child_weight': 19, 'subsample': 0.594242684464456}",0.21723940359248073,9.371479988274377,6.727971584839229,0.4715736059781201,0.4778025690198907
10,3,1,"{'max_depth': 6, 'colsample_bytree': 1.0, 'n_estimators': 187, 'lambda': 95.89002525709671, 'alpha': 4.156173864073417, 'learning_rate': 0.03176435684768171, 'min_child_weight': 17, 'subsample': 0.526775870995647}",0.21315920627607354,8.724402572595281,6.3216757068972615,0.4691331558894164,0.4766883360781764
35,8,1,"{'max_depth': 3, 'colsample_bytree': 1.0, 'n_estimators': 69, 'lambda': 57.77199252232722, 'alpha': 0.05459210668753472, 'learning_rate': 0.05228037025783008, 'min_child_weight': 19, 'subsample': 0.6404450642346133}",0.20921846218194284,10.636059198853646,7.2711113867675055,0.4942422145594637,0.5277266019851115
42,9,3,"{'max_depth': 7, 'colsample_bytree': 1.0, 'n_estimators': 200, 'lambda': 79.370899094911, 'alpha': 0.03621858651412284, 'learning_rate': 0.017758203632365528, 'min_child_weight': 18, 'subsample': 0.5061312832908638}",0.18826750060608077,8.743076057736376,6.731881057016948,0.43510736022106417,0.4264850583799384
20,5,1,"{'max_depth': 10, 'colsample_bytree': 1.0, 'n_estimators': 105, 'lambda': 0.1754256980479563, 'alpha': 94.71053221544608, 'learning_rate': 0.02997490072274721, 'min_child_weight': 19, 'subsample': 0.5728395264957021}",0.18679122495073786,9.934133249973753,6.935102474054641,0.4348756373915252,0.4142629112684734
43,9,4,"{'max_depth': 4, 'colsample_bytree': 1.0, 'n_estimators': 65, 'lambda': 50.83376891072667, 'alpha': 46.58678027820731, 'learning_rate': 0.06239969589196606, 'min_child_weight': 12, 'subsample': 0.6323435649426516}",0.1859432688252861,9.704643312459206,6.812574222948424,0.44245516455452955,0.4776154322703203
11,3,2,"{'max_depth': 10, 'colsample_bytree': 1.0, 'n_estimators': 111, 'lambda': 11.677513498947455, 'alpha': 0.010189376207314516, 'learning_rate': 0.02688908625218502, 'min_child_weight': 19, 'subsample': 0.5712214806119866}",0.18205445498959805,12.129451983886097,8.003850175078805,0.49344194948067643,0.48329263079051965
45,10,1,"{'max_depth': 9, 'colsample_bytree': 1.0, 'n_estimators': 238, 'lambda': 0.008986881798217461, 'alpha': 77.89573685061833, 'learning_rate': 0.013479835620191258, 'min_child_weight': 18, 'subsample': 0.5338980504409183}",0.1810265689184446,9.586170394784725,7.42184478150317,0.4262485176101756,0.4551273580425013
17,4,3,"{'max_depth': 3, 'colsample_bytree': 1.0, 'n_estimators': 50, 'lambda': 7.735252763535089, 'alpha': 8.33786415379068, 'learning_rate': 0.048398340713480655, 'min_child_weight': 13, 'subsample': 0.5102665517717746}",0.17872617222278886,12.67037495738973,8.287466387776934,0.4829625406323668,0.4682104901123676
5,2,1,"{'max_depth': 3, 'colsample_bytree': 1.0, 'n_estimators': 93, 'lambda': 0.3467069357573836, 'alpha': 86.41653590168544, 'learning_rate': 0.028827326676689267, 'min_child_weight': 19, 'subsample': 0.7712323828279046}",0.17645277486558886,11.443448563533845,7.622770619815623,0.469712568878818,0.46817657942795715
34,7,5,"{'max_depth': 8, 'colsample_bytree': 1.0, 'n_estimators': 53, 'lambda': 0.005903195272212659, 'alpha': 70.71019186409113, 'learning_rate': 0.05164906839209715, 'min_child_weight': 17, 'subsample': 0.5068124288026913}",0.1763809373271883,11.34353911765581,7.39981371411205,0.4429882511213947,0.5104861502669329
19,4,5,"{'max_depth': 3, 'colsample_bytree': 1.0, 'n_estimators': 141, 'lambda': 0.009650564203167624, 'alpha': 10.018234127522637, 'learning_rate': 0.010395065816739907, 'min_child_weight': 18, 'subsample': 0.7619368591583864}",0.1749463604247954,9.7297070573386,7.275177165601381,0.43241746722542695,0.37877831818841434
6,2,2,"{'max_depth': 10, 'colsample_bytree': 1.0, 'n_estimators': 70, 'lambda': 0.001491483772618627, 'alpha': 72.92423570288913, 'learning_rate': 0.05420877168095235, 'min_child_weight': 11, 'subsample': 0.5575072257173717}",0.1742668086296839,12.292742404733186,7.58217897923035,0.43268629181285423,0.4254424221482501
