,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
16,4,2,"{'max_depth': 3, 'colsample_bytree': 0.9853334985347745, 'n_estimators': 51, 'lambda': 39.047061799460195, 'alpha': 58.278086001135186, 'learning_rate': 0.025111811969159986, 'min_child_weight': 9, 'subsample': 0.8634685000103789}",0.0621383940319199,8.852110621985476,6.838297240127473,0.29629603432141866,0.3003408526668115
46,10,2,"{'max_depth': 6, 'colsample_bytree': 0.8896522191736644, 'n_estimators': 65, 'lambda': 18.951282699350237, 'alpha': 0.0035226913564517814, 'learning_rate': 0.02376207227428219, 'min_child_weight': 11, 'subsample': 0.5364402973564247}",0.04866235934128227,10.331444442143855,7.46753802101993,0.22667336491792572,0.200595535571761
8,2,4,"{'max_depth': 8, 'colsample_bytree': 0.9167328467920082, 'n_estimators': 74, 'lambda': 44.08385227834386, 'alpha': 70.13388189345287, 'learning_rate': 0.023748901394866847, 'min_child_weight': 15, 'subsample': 0.7008725825766005}",0.0475866503650193,10.862047507926821,7.547200614884055,0.25320630320671583,0.24035109612206848
45,10,1,"{'max_depth': 3, 'colsample_bytree': 0.8206431973451177, 'n_estimators': 113, 'lambda': 77.81553329385927, 'alpha': 13.163485188439875, 'learning_rate': 0.01715459660108765, 'min_child_weight': 19, 'subsample': 0.717526989729744}",0.042584886789967635,10.36478689784559,7.8225627312293415,0.2133540405213408,0.20702743655603772
12,3,3,"{'max_depth': 9, 'colsample_bytree': 0.9167780969052886, 'n_estimators': 122, 'lambda': 84.7438308788016, 'alpha': 31.59863150232655, 'learning_rate': 0.02226072603851518, 'min_child_weight': 17, 'subsample': 0.6190747821633384}",0.041746992040059605,8.914760999271369,7.250513866808287,0.20537014779121449,0.17338742352402906
31,7,2,"{'max_depth': 3, 'colsample_bytree': 0.9910101388997867, 'n_estimators': 90, 'lambda': 7.534881312535566, 'alpha': 2.2098331262513486, 'learning_rate': 0.016328371364293937, 'min_child_weight': 10, 'subsample': 0.7385558596911301}",0.04062521342554781,10.19408449266603,7.631604730730226,0.2432310519354092,0.1805774639714232
28,6,4,"{'max_depth': 8, 'colsample_bytree': 0.8143613244292589, 'n_estimators': 72, 'lambda': 78.77434041868077, 'alpha': 96.31862314869446, 'learning_rate': 0.031120908235477508, 'min_child_weight': 8, 'subsample': 0.7893047797321704}",0.040621055180875554,11.033444366890498,7.605600943932166,0.21094720986123935,0.22952423491583168
40,9,1,"{'max_depth': 4, 'colsample_bytree': 0.8832914391295296, 'n_estimators': 50, 'lambda': 96.32420434891242, 'alpha': 1.4386952900531564, 'learning_rate': 0.021248462796771284, 'min_child_weight': 11, 'subsample': 0.9775880432802795}",0.04061745057930444,11.513198633524464,8.185367618086776,0.27086515574085807,0.08994820318811017
39,8,5,"{'max_depth': 6, 'colsample_bytree': 0.9230051178921728, 'n_estimators': 55, 'lambda': 51.593791091078074, 'alpha': 0.4829285072311789, 'learning_rate': 0.056056858841184484, 'min_child_weight': 14, 'subsample': 0.5138529184565217}",0.04053171310844206,9.864456698601705,7.464938626486874,0.20266242173837115,0.1917012356655243
27,6,3,"{'max_depth': 9, 'colsample_bytree': 0.8724652371604479, 'n_estimators': 66, 'lambda': 0.06914519789328373, 'alpha': 58.83585334047389, 'learning_rate': 0.026758052805325477, 'min_child_weight': 10, 'subsample': 0.9992575630035947}",0.040310949570027454,11.258440144130688,7.885731341570792,0.20302463728652387,0.1620615174337411
