,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
16,4,2,"{'max_depth': 3, 'colsample_bytree': 0.8806498354328144, 'n_estimators': 95, 'lambda': 0.0010073686577841247, 'alpha': 15.960827458993789, 'learning_rate': 0.010294443447615487, 'min_child_weight': 10, 'subsample': 0.7330462544944033}",0.06989153638476331,8.815445241790938,6.852045442931045,0.2986391640416476,0.2753734575709446
8,2,4,"{'max_depth': 3, 'colsample_bytree': 0.8483693912845188, 'n_estimators': 120, 'lambda': 23.253057088170497, 'alpha': 50.14004816201616, 'learning_rate': 0.010101345125540126, 'min_child_weight': 3, 'subsample': 0.8835602278412831}",0.052901095023323186,10.831700126232679,7.528847801614795,0.29020956186321356,0.2601547275165208
45,10,1,"{'max_depth': 6, 'colsample_bytree': 0.9977501763591684, 'n_estimators': 124, 'lambda': 99.96280439579438, 'alpha': 0.1568550894864225, 'learning_rate': 0.016600254819063888, 'min_child_weight': 20, 'subsample': 0.651523616879836}",0.042713584728018894,10.364090245205544,7.816859691100713,0.21399586357874031,0.20407795209731291
15,4,1,"{'max_depth': 3, 'colsample_bytree': 0.904229801355948, 'n_estimators': 109, 'lambda': 0.9147912939388032, 'alpha': 0.0062639939474738926, 'learning_rate': 0.010300277950338912, 'min_child_weight': 4, 'subsample': 0.5472733769143046}",0.0409301760720866,11.158241041115145,7.045776288184894,0.21000143599570886,0.2466817994285089
40,9,1,"{'max_depth': 9, 'colsample_bytree': 0.728249561471555, 'n_estimators': 50, 'lambda': 95.6613222847537, 'alpha': 31.56684316169938, 'learning_rate': 0.03055184158251474, 'min_child_weight': 5, 'subsample': 0.7368575140089193}",0.04050967236746206,11.513845318787682,8.148207342836278,0.2711958563152831,0.15973876779577076
27,6,3,"{'max_depth': 3, 'colsample_bytree': 0.7322818129941746, 'n_estimators': 80, 'lambda': 0.7827589041804782, 'alpha': 0.0870443616706871, 'learning_rate': 0.014057553682462491, 'min_child_weight': 8, 'subsample': 0.5871642410677635}",0.03983196121659516,11.261249381660456,7.834383078580777,0.22523533553400504,0.2193724208356133
39,8,5,"{'max_depth': 10, 'colsample_bytree': 0.6803700712902928, 'n_estimators': 73, 'lambda': 45.63700132400732, 'alpha': 64.47536032145499, 'learning_rate': 0.029049797924334313, 'min_child_weight': 8, 'subsample': 0.6167573313953424}",0.03897973487725237,9.872431551116136,7.485488823885043,0.19922229602861177,0.18766621910023842
29,6,5,"{'max_depth': 3, 'colsample_bytree': 0.7441883856777725, 'n_estimators': 121, 'lambda': 46.29224812713392, 'alpha': 99.76712585600356, 'learning_rate': 0.062349175003487564, 'min_child_weight': 9, 'subsample': 0.5000275547026807}",0.03577207037365082,13.9295487361401,8.701686921204336,0.19054785212055475,0.13599059073152728
34,7,5,"{'max_depth': 6, 'colsample_bytree': 0.6749872728817639, 'n_estimators': 103, 'lambda': 57.305958294658566, 'alpha': 27.731721695284477, 'learning_rate': 0.025237518708545126, 'min_child_weight': 7, 'subsample': 0.7182647892093136}",0.035717678032662015,12.274038483375465,7.937945901994874,0.20984294489598423,0.2884263025076265
28,6,4,"{'max_depth': 5, 'colsample_bytree': 0.9852330004920252, 'n_estimators': 90, 'lambda': 90.32962564309037, 'alpha': 71.64605112944531, 'learning_rate': 0.040598512035436844, 'min_child_weight': 4, 'subsample': 0.9894311382351927}",0.035716490268577816,11.061611161416096,7.698611772977388,0.19331296865414713,0.20522723208717483
46,10,2,"{'max_depth': 9, 'colsample_bytree': 0.7013829889406926, 'n_estimators': 95, 'lambda': 95.82774752193995, 'alpha': 20.880386812015885, 'learning_rate': 0.021793237042884425, 'min_child_weight': 7, 'subsample': 0.712220528538188}",0.03523104181767156,10.404120298347683,7.43252399828307,0.19404072648595835,0.2057737838850172
33,7,4,"{'max_depth': 4, 'colsample_bytree': 0.7163873459761784, 'n_estimators': 66, 'lambda': 0.03193172229807139, 'alpha': 0.008213362074926619, 'learning_rate': 0.014537599936387636, 'min_child_weight': 20, 'subsample': 0.7235737366464682}",0.034809800010453085,10.293328558429447,7.725561491836458,0.19206958679312186,0.17155179733678816
49,10,5,"{'max_depth': 3, 'colsample_bytree': 0.8608416609717888, 'n_estimators': 50, 'lambda': 94.50455683400766, 'alpha': 0.06765101567408524, 'learning_rate': 0.03980680106327135, 'min_child_weight': 8, 'subsample': 0.7384454862055948}",0.030391250118865454,11.831256381473484,7.979647405048799,0.17775133838957305,0.15444600334583694
20,5,1,"{'max_depth': 9, 'colsample_bytree': 0.7900627638385566, 'n_estimators': 86, 'lambda': 76.74930605618444, 'alpha': 0.01282757920453409, 'learning_rate': 0.03263823288438456, 'min_child_weight': 2, 'subsample': 0.5917412033033175}",0.029651206880169645,10.851577787225676,7.38564037571292,0.17706168789952753,0.1773992425690855
36,8,2,"{'max_depth': 3, 'colsample_bytree': 0.9064138110899272, 'n_estimators': 165, 'lambda': 34.251141449399796, 'alpha': 18.50268210943034, 'learning_rate': 0.01003476820469773, 'min_child_weight': 2, 'subsample': 0.5017549631570871}",0.029625389775722044,9.437283562608672,7.332698980026697,0.17774364764192396,0.10724511491041468
17,4,3,"{'max_depth': 7, 'colsample_bytree': 0.8571573285220923, 'n_estimators': 236, 'lambda': 86.50827248273302, 'alpha': 35.817610870659266, 'learning_rate': 0.010467113306570915, 'min_child_weight': 10, 'subsample': 0.629325875183657}",0.0292604588098756,13.775165832208081,9.019109274508684,0.2459823002947708,0.22038968063382874
5,2,1,"{'max_depth': 3, 'colsample_bytree': 0.8533922613550964, 'n_estimators': 77, 'lambda': 1.2379307047639876, 'alpha': 2.1805714904822935, 'learning_rate': 0.0201984115879866, 'min_child_weight': 14, 'subsample': 0.5220058471158983}",0.028677545944125638,12.427803617739896,8.4692162395229,0.21711951232303411,0.19175802405952555
31,7,2,"{'max_depth': 3, 'colsample_bytree': 0.7773354352673459, 'n_estimators': 50, 'lambda': 0.0038493993088524474, 'alpha': 12.87847972280657, 'learning_rate': 0.021558289577055707, 'min_child_weight': 3, 'subsample': 0.7794998898236766}",0.02834758815368066,10.259106661883722,7.630485026794072,0.217961206397691,0.1610951787765101
26,6,2,"{'max_depth': 4, 'colsample_bytree': 0.8167985707225842, 'n_estimators': 50, 'lambda': 1.652151101025017, 'alpha': 41.445794808941514, 'learning_rate': 0.017287556233928466, 'min_child_weight': 3, 'subsample': 0.5002585630700825}",0.025325409354829076,9.601875105592047,7.492108440963475,0.16232520201618666,0.16496237078891451
25,6,1,"{'max_depth': 3, 'colsample_bytree': 0.9713836534183451, 'n_estimators': 55, 'lambda': 5.716374894516805, 'alpha': 29.69384145282853, 'learning_rate': 0.020844171848736905, 'min_child_weight': 18, 'subsample': 0.5120863114543844}",0.023923692591738988,9.456812133310402,6.930035924065042,0.15710326798040292,0.14044282733516214
14,3,5,"{'max_depth': 7, 'colsample_bytree': 0.8282648381418781, 'n_estimators': 145, 'lambda': 0.21595086169956682, 'alpha': 98.68089881379976, 'learning_rate': 0.010086267198540276, 'min_child_weight': 10, 'subsample': 0.5728522921120185}",0.02296299791229872,13.805584249648033,8.139983013536803,0.16414774497858226,0.242741281296136
12,3,3,"{'max_depth': 9, 'colsample_bytree': 0.734129037303948, 'n_estimators': 65, 'lambda': 27.314569917613348, 'alpha': 24.639961072823574, 'learning_rate': 0.02653165784976835, 'min_child_weight': 10, 'subsample': 0.8035683851366807}",0.022297625222093997,9.004776621031008,7.3461832464093995,0.15864217485203042,0.11975268488890928
0,1,1,"{'max_depth': 3, 'colsample_bytree': 0.6974751584116606, 'n_estimators': 55, 'lambda': 79.0799271741025, 'alpha': 0.03892479203957987, 'learning_rate': 0.05374646571334625, 'min_child_weight': 11, 'subsample': 0.6608818472746328}",0.02063428208945617,11.140600348647565,7.873621314234987,0.15080807170833382,0.16354152839838654
42,9,3,"{'max_depth': 3, 'colsample_bytree': 0.7796963702291919, 'n_estimators': 50, 'lambda': 1.1830730395259235, 'alpha': 7.265974439430093, 'learning_rate': 0.02659910431944499, 'min_child_weight': 5, 'subsample': 0.8164395337378668}",0.019975475838276635,9.606744958550205,7.57635088361932,0.1522654103126463,0.10965971490228013
35,8,1,"{'max_depth': 10, 'colsample_bytree': 0.9183732674776285, 'n_estimators': 192, 'lambda': 79.38246165234027, 'alpha': 83.46132491879513, 'learning_rate': 0.010151866864604751, 'min_child_weight': 11, 'subsample': 0.64042806155684}",0.01909050430709669,11.845869790138098,8.124308761054948,0.15816077199115933,0.2332642298000012
22,5,3,"{'max_depth': 10, 'colsample_bytree': 0.8087166068643376, 'n_estimators': 71, 'lambda': 49.93467184748165, 'alpha': 97.89696491819272, 'learning_rate': 0.045605190656122126, 'min_child_weight': 17, 'subsample': 0.5003268061586792}",0.018679858570754715,12.289056624385163,8.069882827397635,0.1766034110648577,0.15364455547572808
2,1,3,"{'max_depth': 4, 'colsample_bytree': 0.8933056981567374, 'n_estimators': 50, 'lambda': 76.39871658861516, 'alpha': 16.76902965404023, 'learning_rate': 0.0256792739778779, 'min_child_weight': 7, 'subsample': 0.9601407751459253}",0.018301197362979416,10.200414469138735,7.516107672064967,0.1387128363217528,0.1484999146136037
43,9,4,"{'max_depth': 3, 'colsample_bytree': 0.6951683314946422, 'n_estimators': 98, 'lambda': 96.66327751583243, 'alpha': 0.013184996419026231, 'learning_rate': 0.016457594381272138, 'min_child_weight': 17, 'subsample': 0.9366103692859892}",0.017795454284833534,10.659901993905118,7.797420422706378,0.16721352433418127,0.13058698123406404
44,9,5,"{'max_depth': 10, 'colsample_bytree': 0.7407572913615456, 'n_estimators': 186, 'lambda': 96.06728338955402, 'alpha': 16.646768363375497, 'learning_rate': 0.017593130585465314, 'min_child_weight': 18, 'subsample': 0.545070319242565}",0.017792274975968025,9.680431477952533,6.712472972079847,0.15021960352494185,0.1436904079905483
18,4,4,"{'max_depth': 3, 'colsample_bytree': 0.7209844134284645, 'n_estimators': 147, 'lambda': 0.03252883147655373, 'alpha': 54.73250528244609, 'learning_rate': 0.010051134051868298, 'min_child_weight': 4, 'subsample': 0.6345822446966743}",0.016122977363806856,10.879780679078749,7.738640271700346,0.1492049276825814,0.13238850491490295
23,5,4,"{'max_depth': 3, 'colsample_bytree': 0.7403712834045326, 'n_estimators': 169, 'lambda': 61.8973438903857, 'alpha': 1.58718332905401, 'learning_rate': 0.011880846703436507, 'min_child_weight': 15, 'subsample': 0.653762400155894}",0.015772686467013353,13.472313068395213,8.489476074128461,0.14460487420579735,0.08951660600553271
10,3,1,"{'max_depth': 3, 'colsample_bytree': 0.8383583903228169, 'n_estimators': 72, 'lambda': 1.342379907668005, 'alpha': 0.15773988020479096, 'learning_rate': 0.011584705127217128, 'min_child_weight': 9, 'subsample': 0.5749320267677609}",0.013482111800676155,9.768879341470884,7.074761847772542,0.14925263112763043,0.21845884317555916
37,8,3,"{'max_depth': 7, 'colsample_bytree': 0.9511725563931756, 'n_estimators': 74, 'lambda': 40.02141302974839, 'alpha': 8.518263631458222, 'learning_rate': 0.027721486214118435, 'min_child_weight': 3, 'subsample': 0.678534558908938}",0.013336041631464068,13.14037573930185,8.107315785786104,0.12205946426118817,0.11343466876802163
11,3,2,"{'max_depth': 7, 'colsample_bytree': 0.821486499121467, 'n_estimators': 262, 'lambda': 99.43449788210607, 'alpha': 6.182234615123124, 'learning_rate': 0.011737696806515222, 'min_child_weight': 9, 'subsample': 0.5328953808224899}",0.012526703776079895,13.327284352182895,8.984256733098679,0.23190799663998193,0.20959985144254392
6,2,2,"{'max_depth': 3, 'colsample_bytree': 0.7464732571648831, 'n_estimators': 50, 'lambda': 53.47273666159838, 'alpha': 29.300956363243525, 'learning_rate': 0.0583886588093175, 'min_child_weight': 11, 'subsample': 0.6088917544335793}",0.012122447526366154,13.445608716534203,8.259586029504177,0.11780268695666782,0.06815411314651408
48,10,4,"{'max_depth': 4, 'colsample_bytree': 0.7708617953631564, 'n_estimators': 50, 'lambda': 53.71256481583066, 'alpha': 28.154538888331693, 'learning_rate': 0.03222629441091934, 'min_child_weight': 9, 'subsample': 0.8198099216754041}",0.010107408688200259,12.230151847718247,7.511822333702674,0.1378768496680624,0.20981304119976688
38,8,4,"{'max_depth': 3, 'colsample_bytree': 0.790971449725711, 'n_estimators': 65, 'lambda': 0.004576846365267809, 'alpha': 6.064228303264949, 'learning_rate': 0.0156763553732537, 'min_child_weight': 6, 'subsample': 0.8071069054321182}",0.0068736501599792055,11.545911792069866,7.642068817770693,0.11843293977516796,0.09825443529136972
9,2,5,"{'max_depth': 7, 'colsample_bytree': 0.883312472376203, 'n_estimators': 118, 'lambda': 40.00013779213304, 'alpha': 39.88897468898936, 'learning_rate': 0.011596862000776163, 'min_child_weight': 11, 'subsample': 0.7741120193438962}",0.006507079800683102,9.379137133027408,7.143751099264834,0.14304999834441362,0.23566654003660617
30,7,1,"{'max_depth': 9, 'colsample_bytree': 0.9708753528848557, 'n_estimators': 50, 'lambda': 6.7995542857819204, 'alpha': 0.5362324569623801, 'learning_rate': 0.0103782413829582, 'min_child_weight': 1, 'subsample': 0.538419498792186}",0.005967213063446719,13.40718584655286,8.354693790864662,0.1607436459836449,0.15058556325307443
47,10,3,"{'max_depth': 9, 'colsample_bytree': 0.6788246346917047, 'n_estimators': 52, 'lambda': 12.531742021692342, 'alpha': 0.17665415805922435, 'learning_rate': 0.03256181993866265, 'min_child_weight': 10, 'subsample': 0.673717422619087}",0.003823749146967259,11.21444714724323,7.927439796854053,0.11037684558230049,0.03151788336081358
41,9,2,"{'max_depth': 3, 'colsample_bytree': 0.7785535240026015, 'n_estimators': 100, 'lambda': 42.207872768584295, 'alpha': 0.04576566505709569, 'learning_rate': 0.03714795140740721, 'min_child_weight': 12, 'subsample': 0.9058248634147597}",0.0033619035522464147,14.166376528523426,8.450364581226598,0.11740617732901035,0.22306994933142502
1,1,2,"{'max_depth': 5, 'colsample_bytree': 0.8490211607464179, 'n_estimators': 70, 'lambda': 0.18839511597042655, 'alpha': 0.004784256422777414, 'learning_rate': 0.021110290427144844, 'min_child_weight': 9, 'subsample': 0.8938174270664812}",0.0019829960700330496,13.566836825095374,8.48558521270752,0.1087741708204077,0.06509026771396166
32,7,3,"{'max_depth': 6, 'colsample_bytree': 0.9716083756901475, 'n_estimators': 50, 'lambda': 97.5612214824577, 'alpha': 0.2352135727493585, 'learning_rate': 0.03582318449607105, 'min_child_weight': 10, 'subsample': 0.8832569396893448}",-0.005268343997855585,9.447865855894294,6.824012000179855,0.10153336107058977,0.09937716504170797
21,5,2,"{'max_depth': 9, 'colsample_bytree': 0.6975457429098642, 'n_estimators': 66, 'lambda': 5.676767482811716, 'alpha': 0.0020401847312304607, 'learning_rate': 0.016949208319804294, 'min_child_weight': 5, 'subsample': 0.7848116800927917}",-0.009124492577392562,10.23983330548538,7.6650365118444315,0.08417979259600229,0.17274890987335587
3,1,4,"{'max_depth': 3, 'colsample_bytree': 0.7727992673511518, 'n_estimators': 76, 'lambda': 0.07391446481962376, 'alpha': 0.07527797229164906, 'learning_rate': 0.01037289326835685, 'min_child_weight': 13, 'subsample': 0.5392484525460386}",-0.009947152554192318,8.844075319186729,6.933213544315135,0.13960371911291353,0.1400519588410556
19,4,5,"{'max_depth': 4, 'colsample_bytree': 0.6675155041426494, 'n_estimators': 63, 'lambda': 2.221813110871607, 'alpha': 9.00504950229896, 'learning_rate': 0.01666161417690777, 'min_child_weight': 11, 'subsample': 0.5146257420777084}",-0.010070348518642191,10.765506898419495,7.927524182923447,0.06976338309291183,0.05899659485809106
4,1,5,"{'max_depth': 5, 'colsample_bytree': 0.6675835469997867, 'n_estimators': 51, 'lambda': 2.094564059176916, 'alpha': 0.10263864861166562, 'learning_rate': 0.02331476994004289, 'min_child_weight': 11, 'subsample': 0.734696519482677}",-0.0214439219287077,12.346799220022133,8.332306698229186,0.037984607168596356,0.08144834285695023
