,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
33,7,4,"{'max_depth': 10, 'colsample_bytree': 0.6328747672696584, 'n_estimators': 269, 'lambda': 13.961239017750472, 'alpha': 15.101330119547413, 'learning_rate': 0.01041318792097624, 'min_child_weight': 20, 'subsample': 0.5454001550610024}",0.2369110078003156,9.15244184481775,6.717697335418159,0.5045734995118898,0.49221990105003327
46,10,2,"{'max_depth': 3, 'colsample_bytree': 0.9391895911715452, 'n_estimators': 147, 'lambda': 0.0789008452752551, 'alpha': 0.0015613783562506466, 'learning_rate': 0.018305376748636932, 'min_child_weight': 16, 'subsample': 0.6183336600696607}",0.22288287232828008,9.337636099234658,6.760681078984187,0.48516328867303676,0.4813145726152628
21,5,2,"{'max_depth': 4, 'colsample_bytree': 0.9099943812567719, 'n_estimators': 158, 'lambda': 0.0016980315987740514, 'alpha': 10.639098556798396, 'learning_rate': 0.01002366619479223, 'min_child_weight': 15, 'subsample': 0.5226394443299133}",0.2212091463217878,8.995616543183448,6.768523103386693,0.4900860999019391,0.550008962184532
16,4,2,"{'max_depth': 3, 'colsample_bytree': 0.9667313368483025, 'n_estimators': 87, 'lambda': 0.0014917540753261065, 'alpha': 69.90188968967148, 'learning_rate': 0.031346073665569754, 'min_child_weight': 13, 'subsample': 0.5420917151091397}",0.21914997184429008,8.077208043802479,6.0697653730945476,0.47507764878296127,0.483889072895302
12,3,3,"{'max_depth': 4, 'colsample_bytree': 0.7857813404714854, 'n_estimators': 98, 'lambda': 19.911124482874136, 'alpha': 47.976618976149595, 'learning_rate': 0.0414717820316295, 'min_child_weight': 13, 'subsample': 0.6172511703029478}",0.21467447352125058,8.07038894969519,6.540203512067626,0.4638774749786971,0.42969385682530054
25,6,1,"{'max_depth': 3, 'colsample_bytree': 0.6493889799708826, 'n_estimators': 316, 'lambda': 72.70849491186138, 'alpha': 0.4537885873582941, 'learning_rate': 0.011060805143638044, 'min_child_weight': 12, 'subsample': 0.5775433968273616}",0.2038873863074755,8.540634342751966,6.257727086896727,0.4714207500674909,0.45517131171053016
43,9,4,"{'max_depth': 3, 'colsample_bytree': 0.9432838200655341, 'n_estimators': 202, 'lambda': 4.475999370439864, 'alpha': 79.7970930385476, 'learning_rate': 0.017116725031218284, 'min_child_weight': 1, 'subsample': 0.6160594058451179}",0.20027878686976064,9.618814514145141,6.87081195334711,0.46568050809217937,0.4827630267986058
11,3,2,"{'max_depth': 3, 'colsample_bytree': 0.9971934459979931, 'n_estimators': 91, 'lambda': 74.69144568015894, 'alpha': 0.0016172887469354789, 'learning_rate': 0.060037436378245726, 'min_child_weight': 20, 'subsample': 0.5910836300976449}",0.19901840433992757,12.003012340530466,7.862641402250211,0.5167595916227153,0.4923625490848174
45,10,1,"{'max_depth': 9, 'colsample_bytree': 0.8397314532270738, 'n_estimators': 112, 'lambda': 62.307187112017424, 'alpha': 0.005980434742765814, 'learning_rate': 0.03815985154225708, 'min_child_weight': 20, 'subsample': 0.5506246961375884}",0.1923383406173944,9.519737461553023,7.290166967719264,0.44209101473726553,0.4351665140859344
10,3,1,"{'max_depth': 3, 'colsample_bytree': 0.8194150926269783, 'n_estimators': 140, 'lambda': 0.007109275033896911, 'alpha': 23.154508635464385, 'learning_rate': 0.01754041121947397, 'min_child_weight': 17, 'subsample': 0.509942077604951}",0.17583707182273423,8.928917309942968,6.526965011506391,0.4309808380626831,0.48077101726918786
