,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
12,3,3,"{'max_depth': 3, 'colsample_bytree': 0.9401761558767163, 'n_estimators': 169, 'lambda': 16.238050732184707, 'alpha': 0.03347737639593407, 'learning_rate': 0.017164648521590234, 'min_child_weight': 19, 'subsample': 0.9438892433109594}",0.23925940369976173,7.943061134678139,6.40267052170793,0.49089757472011514,0.449578392087097
25,6,1,"{'max_depth': 4, 'colsample_bytree': 0.8710720512271056, 'n_estimators': 258, 'lambda': 32.92613841430817, 'alpha': 0.2945784225812146, 'learning_rate': 0.010471208324343671, 'min_child_weight': 17, 'subsample': 0.8666428107012147}",0.23667266102303464,8.362926589746998,6.08780984483527,0.513756806631937,0.485352698949048
16,4,2,"{'max_depth': 10, 'colsample_bytree': 0.937651447787161, 'n_estimators': 92, 'lambda': 31.684366025414054, 'alpha': 1.046698083593784, 'learning_rate': 0.03285236205595195, 'min_child_weight': 14, 'subsample': 0.5417371805901668}",0.23061382626083404,8.017697057272665,6.032808557769956,0.48452180306248804,0.4878411177830935
21,5,2,"{'max_depth': 3, 'colsample_bytree': 0.6767951059728095, 'n_estimators': 107, 'lambda': 60.213230619126875, 'alpha': 16.912340999437042, 'learning_rate': 0.03435351458907124, 'min_child_weight': 20, 'subsample': 0.5663580441708357}",0.21226051719114858,9.047150607072425,6.693475785340078,0.47283351607129354,0.5167632226565144
46,10,2,"{'max_depth': 3, 'colsample_bytree': 0.9110751623860047, 'n_estimators': 67, 'lambda': 11.878257275205275, 'alpha': 0.3232523869577047, 'learning_rate': 0.028230996579018414, 'min_child_weight': 17, 'subsample': 0.7001629219826737}",0.2116474365080513,9.40489489610222,6.802107810974121,0.48894798523645794,0.4835428865818755
33,7,4,"{'max_depth': 7, 'colsample_bytree': 0.8867589399082241, 'n_estimators': 149, 'lambda': 51.35558361855948, 'alpha': 0.02301599485046173, 'learning_rate': 0.02572406745988796, 'min_child_weight': 5, 'subsample': 0.5082773475778496}",0.20595375101860802,9.336245925278186,6.742506822890784,0.47444831330131343,0.4922099461778178
11,3,2,"{'max_depth': 9, 'colsample_bytree': 0.9055562046380217, 'n_estimators': 153, 'lambda': 57.31426162660726, 'alpha': 80.41019214107853, 'learning_rate': 0.04326188532822371, 'min_child_weight': 19, 'subsample': 0.5115014582511133}",0.18833847037293328,12.082768787740125,7.914392465670433,0.5087540454914878,0.5025100567936936
45,10,1,"{'max_depth': 9, 'colsample_bytree': 0.9398046694815098, 'n_estimators': 117, 'lambda': 60.12339800904172, 'alpha': 6.0582715408051, 'learning_rate': 0.03224344277863623, 'min_child_weight': 18, 'subsample': 0.8628155647367725}",0.18803716234316736,9.545052343008459,7.320771742149217,0.4359910953879294,0.43926917108503793
43,9,4,"{'max_depth': 3, 'colsample_bytree': 0.6768974968250219, 'n_estimators': 56, 'lambda': 69.570467449365, 'alpha': 0.001960492312563072, 'learning_rate': 0.07600215986340039, 'min_child_weight': 1, 'subsample': 0.502180635762334}",0.18650766280707476,9.701278564182065,6.793785208075709,0.4481951535889822,0.4915252408822675
17,4,3,"{'max_depth': 3, 'colsample_bytree': 0.6448620313009397, 'n_estimators': 136, 'lambda': 13.26437931542037, 'alpha': 0.0037493068466854435, 'learning_rate': 0.04187182023453772, 'min_child_weight': 13, 'subsample': 0.797302491263145}",0.17672048590136136,12.68583709695577,8.375286960037503,0.46620406652106783,0.4345115599817334
10,3,1,"{'max_depth': 3, 'colsample_bytree': 0.6684167116264997, 'n_estimators': 143, 'lambda': 0.06622333938011199, 'alpha': 0.00209351836110931, 'learning_rate': 0.019497993443639384, 'min_child_weight': 20, 'subsample': 0.5003140442577126}",0.17018032248906656,8.959507302111707,6.604509991301588,0.4306548729130622,0.4772995441785176
5,2,1,"{'max_depth': 5, 'colsample_bytree': 0.6469630904427557, 'n_estimators': 215, 'lambda': 44.14364334809448, 'alpha': 8.320383997245498, 'learning_rate': 0.027854928034971166, 'min_child_weight': 14, 'subsample': 0.5441287459985114}",0.1701141141891649,11.48740299390443,7.729613733009474,0.45367249617735583,0.4329232138019263
3,1,4,"{'max_depth': 3, 'colsample_bytree': 0.9125301434828357, 'n_estimators': 219, 'lambda': 0.005528427120312102, 'alpha': 33.14419843955147, 'learning_rate': 0.010208751943975617, 'min_child_weight': 18, 'subsample': 0.6655153588759666}",0.16957572710543067,8.019607723644912,6.250000694094325,0.4395641922709966,0.4528114777919877
39,8,5,"{'max_depth': 6, 'colsample_bytree': 0.7354475033987893, 'n_estimators': 117, 'lambda': 40.49018539220104, 'alpha': 61.35423075699701, 'learning_rate': 0.03250075699987496, 'min_child_weight': 14, 'subsample': 0.6987453828873281}",0.16463359554142132,9.204418595659721,6.9224933308257155,0.4072253818248664,0.38954644660066995
42,9,3,"{'max_depth': 7, 'colsample_bytree': 0.6900228921229341, 'n_estimators': 81, 'lambda': 80.1841366562112, 'alpha': 75.08483306982973, 'learning_rate': 0.05219059723241877, 'min_child_weight': 16, 'subsample': 0.5121999963364773}",0.1634315519232893,8.87582088817789,6.899938521300547,0.4075367001793674,0.36171740469496555
35,8,1,"{'max_depth': 3, 'colsample_bytree': 0.9308136409646613, 'n_estimators': 53, 'lambda': 8.278032651635437, 'alpha': 0.055369980970222894, 'learning_rate': 0.039123967797365704, 'min_child_weight': 19, 'subsample': 0.7599312313759512}",0.16129116787646802,10.953630668272922,7.418591899984687,0.4278613189677591,0.5194156014898815
