,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
21,5,2,"{'max_depth': 8, 'colsample_bytree': 0.7163243328718579, 'n_estimators': 92, 'lambda': 0.009308439691613147, 'alpha': 0.6060073085462696, 'learning_rate': 0.021118861790121093, 'min_child_weight': 20, 'subsample': 0.5044890223067461}",0.2308136501407475,8.939974860076083,6.723500962793475,0.4998705647416493,0.5361010844012207
33,7,4,"{'max_depth': 9, 'colsample_bytree': 0.9913470985686095, 'n_estimators': 50, 'lambda': 84.15185487230437, 'alpha': 0.0036418938961087317, 'learning_rate': 0.07760308464349695, 'min_child_weight': 17, 'subsample': 0.5228252850681099}",0.22751794627188415,9.20859945617287,6.761568701478857,0.49967453582899135,0.5040960636030188
25,6,1,"{'max_depth': 3, 'colsample_bytree': 0.889968358999569, 'n_estimators': 58, 'lambda': 11.460901410203375, 'alpha': 0.0435365999440524, 'learning_rate': 0.02680818567187538, 'min_child_weight': 15, 'subsample': 0.738109968492199}",0.2261098614053988,8.42059019947544,6.101545435437084,0.5138518478559393,0.48331319506895193
12,3,3,"{'max_depth': 9, 'colsample_bytree': 0.9919810720745706, 'n_estimators': 129, 'lambda': 41.6424466273443, 'alpha': 48.624011071652596, 'learning_rate': 0.04244477382565576, 'min_child_weight': 20, 'subsample': 0.6206549969006799}",0.22489392166497257,8.01770697871289,6.409244678429598,0.4750928484428265,0.44182740521940417
46,10,2,"{'max_depth': 3, 'colsample_bytree': 0.9133828064291014, 'n_estimators': 51, 'lambda': 6.405123303855072, 'alpha': 66.43308523025956, 'learning_rate': 0.049667116162180044, 'min_child_weight': 20, 'subsample': 0.6583190282853223}",0.21325430219025476,9.39530520732945,6.817961122862686,0.4816670850471521,0.47627816003187473
11,3,2,"{'max_depth': 4, 'colsample_bytree': 0.6703243883044973, 'n_estimators': 73, 'lambda': 54.6961234700972, 'alpha': 68.51634249184873, 'learning_rate': 0.11556088153031836, 'min_child_weight': 19, 'subsample': 0.7687557929140434}",0.20084759085264037,11.989298980748304,8.034858810831103,0.5086303646826262,0.4913919720139501
43,9,4,"{'max_depth': 3, 'colsample_bytree': 0.6752991630326014, 'n_estimators': 71, 'lambda': 1.451261315764332, 'alpha': 0.0037433877588337115, 'learning_rate': 0.027440046846621137, 'min_child_weight': 19, 'subsample': 0.6431801567973607}",0.1941276809623913,9.655735512886244,6.947116750231861,0.47621540864229456,0.47482464252937157
16,4,2,"{'max_depth': 4, 'colsample_bytree': 0.7329034833893752, 'n_estimators': 96, 'lambda': 79.02201429950647, 'alpha': 3.410114810366637, 'learning_rate': 0.05512006851935285, 'min_child_weight': 19, 'subsample': 0.648084709142399}",0.19390342420133855,8.206745999359162,6.156268559969389,0.4446733930936803,0.45720032643643804
45,10,1,"{'max_depth': 3, 'colsample_bytree': 0.7824744650328012, 'n_estimators': 167, 'lambda': 59.80741818279138, 'alpha': 1.62125512047871, 'learning_rate': 0.025841245341963175, 'min_child_weight': 15, 'subsample': 0.7051489935537714}",0.18696592773152843,9.551346732168385,7.277679765012842,0.43357871706909745,0.43476843942258897
17,4,3,"{'max_depth': 3, 'colsample_bytree': 0.9548990492822745, 'n_estimators': 135, 'lambda': 0.022238922171207, 'alpha': 18.768790061270067, 'learning_rate': 0.016133290884689445, 'min_child_weight': 9, 'subsample': 0.6724083600815197}",0.182058850751606,12.644641024201253,8.318604266149757,0.5025471798752231,0.46074250123789395
5,2,1,"{'max_depth': 4, 'colsample_bytree': 0.6436253774753541, 'n_estimators': 232, 'lambda': 97.11268531486799, 'alpha': 0.03704840265616287, 'learning_rate': 0.03684091695880252, 'min_child_weight': 18, 'subsample': 0.5434354025041956}",0.17415838882550783,11.459378085428694,7.73211436864187,0.4598601762361642,0.43999808604763974
42,9,3,"{'max_depth': 3, 'colsample_bytree': 0.6988406998300506, 'n_estimators': 307, 'lambda': 57.7686551404974, 'alpha': 0.39144471778074785, 'learning_rate': 0.011353278549456116, 'min_child_weight': 12, 'subsample': 0.5239805508797684}",0.17395458235182293,8.819820621731067,6.876641262212448,0.41994575005564083,0.36996444107645826
49,10,5,"{'max_depth': 3, 'colsample_bytree': 0.7242888038448005, 'n_estimators': 64, 'lambda': 1.5508781690663098, 'alpha': 72.35252936146418, 'learning_rate': 0.041385578820593516, 'min_child_weight': 12, 'subsample': 0.7439520482871217}",0.16588059282479006,10.973539102313158,7.132807771129721,0.4178737381431547,0.4210160862208254
10,3,1,"{'max_depth': 3, 'colsample_bytree': 0.8774055849198142, 'n_estimators': 358, 'lambda': 13.125742061660905, 'alpha': 3.773595933664641, 'learning_rate': 0.010861575108470963, 'min_child_weight': 3, 'subsample': 0.9073573301659885}",0.16085651113836374,9.009700984880515,6.64035701751709,0.4284959454060946,0.4699321547114407
40,9,1,"{'max_depth': 3, 'colsample_bytree': 0.9462176796688317, 'n_estimators': 380, 'lambda': 40.3869943234913, 'alpha': 0.01281842538565797, 'learning_rate': 0.012308135968330412, 'min_child_weight': 13, 'subsample': 0.5553642221681666}",0.16050505153879469,10.769837083637869,7.485177062672271,0.4046201108822155,0.4145702087208282
3,1,4,"{'max_depth': 3, 'colsample_bytree': 0.9615880026591621, 'n_estimators': 236, 'lambda': 0.008036469190147492, 'alpha': 52.410404276282335, 'learning_rate': 0.011723112172008289, 'min_child_weight': 20, 'subsample': 0.7978182605528547}",0.15878331732350626,8.071551951920286,6.245961014335678,0.4319577541492668,0.44623555564623885
39,8,5,"{'max_depth': 9, 'colsample_bytree': 0.9405178622988287, 'n_estimators': 90, 'lambda': 84.85716896798327, 'alpha': 97.08535631722789, 'learning_rate': 0.07389444317418098, 'min_child_weight': 17, 'subsample': 0.6588289275583685}",0.15584307176535395,9.252720703127068,7.042156005046777,0.40290775157829456,0.3740670629778756
15,4,1,"{'max_depth': 9, 'colsample_bytree': 0.714800636202988, 'n_estimators': 220, 'lambda': 0.05017688201450945, 'alpha': 78.1561043021165, 'learning_rate': 0.014550121575904903, 'min_child_weight': 15, 'subsample': 0.568424785852488}",0.15561530853148275,10.469858230291008,6.575855390559992,0.3987323744415553,0.4564933727888844
29,6,5,"{'max_depth': 10, 'colsample_bytree': 0.8021286895421141, 'n_estimators': 75, 'lambda': 9.327452956175053, 'alpha': 12.951793674480387, 'learning_rate': 0.048750520544160056, 'min_child_weight': 20, 'subsample': 0.5648837978738918}",0.1523431261528837,13.06042284032199,8.107365715433154,0.40605646495979336,0.40388644227710513
4,1,5,"{'max_depth': 10, 'colsample_bytree': 0.7136367687568772, 'n_estimators': 292, 'lambda': 57.654674428034404, 'alpha': 64.16676801763157, 'learning_rate': 0.017008469421701762, 'min_child_weight': 19, 'subsample': 0.524118849589744}",0.1517798563856112,11.251266524105061,7.561707592574803,0.41645563764695664,0.44148472993893706
37,8,3,"{'max_depth': 8, 'colsample_bytree': 0.951813321678991, 'n_estimators': 376, 'lambda': 82.88847037639478, 'alpha': 3.226112157592388, 'learning_rate': 0.011435049304832287, 'min_child_weight': 20, 'subsample': 0.5200826160146769}",0.14953156624864905,12.19978707791883,7.363207585712861,0.4022814293501231,0.4132339383889186
34,7,5,"{'max_depth': 3, 'colsample_bytree': 0.7987305716517302, 'n_estimators': 241, 'lambda': 0.004196917296482317, 'alpha': 0.002545575416449578, 'learning_rate': 0.010236977145888157, 'min_child_weight': 19, 'subsample': 0.5000445598178276}",0.14814091785793115,11.536372141852455,7.570716107385398,0.3956333588248426,0.48997589327054203
20,5,1,"{'max_depth': 3, 'colsample_bytree': 0.9249245312815627, 'n_estimators': 116, 'lambda': 3.53448264716401, 'alpha': 0.02519634857821086, 'learning_rate': 0.03280255468799678, 'min_child_weight': 17, 'subsample': 0.5000336401457749}",0.14465026325676655,10.188278684687232,7.1681742132062745,0.3850104581024258,0.4104812098778965
44,9,5,"{'max_depth': 3, 'colsample_bytree': 0.9825551192472257, 'n_estimators': 93, 'lambda': 19.164443801974482, 'alpha': 0.1690346504271104, 'learning_rate': 0.028283159653455146, 'min_child_weight': 16, 'subsample': 0.5737277363800917}",0.14280437910288413,9.043426522198155,6.433418008702747,0.3826212387875908,0.33492080526394863
35,8,1,"{'max_depth': 8, 'colsample_bytree': 0.8470457430282109, 'n_estimators': 206, 'lambda': 98.2719668481613, 'alpha': 0.5344170137016797, 'learning_rate': 0.03334859996594452, 'min_child_weight': 19, 'subsample': 0.8455240499367772}",0.1410562368839856,11.084978381821486,7.534467623783992,0.3941168356780996,0.47606265044619145
31,7,2,"{'max_depth': 10, 'colsample_bytree': 0.771075544741465, 'n_estimators': 194, 'lambda': 19.133435491799908, 'alpha': 0.0041311027765661215, 'learning_rate': 0.015120016518144402, 'min_child_weight': 14, 'subsample': 0.533153993228422}",0.13749445462181686,9.66573817025282,7.154830859257625,0.3782079798960962,0.3535907607574775
6,2,2,"{'max_depth': 3, 'colsample_bytree': 0.702766654402761, 'n_estimators': 291, 'lambda': 71.74609126758479, 'alpha': 5.52609319244053, 'learning_rate': 0.014524790970053606, 'min_child_weight': 20, 'subsample': 0.9321743202456211}",0.13592036285792464,12.574936348038728,7.608719109078131,0.3842617121164261,0.36863493274719483
32,7,3,"{'max_depth': 6, 'colsample_bytree': 0.7631179247209572, 'n_estimators': 392, 'lambda': 46.48531852570865, 'alpha': 83.52553996255912, 'learning_rate': 0.017948237637675477, 'min_child_weight': 20, 'subsample': 0.5121997696978281}",0.13475115113684444,8.765228256039105,6.351739042609401,0.38049824281394673,0.4232848184803839
27,6,3,"{'max_depth': 9, 'colsample_bytree': 0.8017467820845543, 'n_estimators': 309, 'lambda': 17.831862021281545, 'alpha': 38.30975828445738, 'learning_rate': 0.015396513378066653, 'min_child_weight': 16, 'subsample': 0.5725426092736036}",0.13258824020792737,10.703494893706665,7.356151868605755,0.3653299887726962,0.4327521952084316
28,6,4,"{'max_depth': 7, 'colsample_bytree': 0.8752631269139867, 'n_estimators': 275, 'lambda': 0.4207337239748668, 'alpha': 90.2743382698563, 'learning_rate': 0.015768794824357394, 'min_child_weight': 19, 'subsample': 0.5123047743976588}",0.13245027344037308,10.492118977216931,7.310638168154384,0.3725020115445129,0.4320921740429635
1,1,2,"{'max_depth': 4, 'colsample_bytree': 0.9726255496570524, 'n_estimators': 197, 'lambda': 3.585423416581336, 'alpha': 16.939047074983748, 'learning_rate': 0.011411483593162332, 'min_child_weight': 4, 'subsample': 0.5490265873006539}",0.13140250398302267,12.65665428957231,7.65906954658102,0.38545919968403874,0.423064967491612
7,2,3,"{'max_depth': 3, 'colsample_bytree': 0.9533049051212508, 'n_estimators': 189, 'lambda': 17.250122830217972, 'alpha': 0.31276994641811834, 'learning_rate': 0.01495332658800699, 'min_child_weight': 14, 'subsample': 0.555907142662508}",0.12990616815057032,8.75209392705669,6.739773428651708,0.3745162762594975,0.3299704077643037
