,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
25,6,1,"{'max_depth': 11, 'colsample_bytree': 0.5930621021520084, 'n_estimators': 324, 'lambda': 23.540689211224446, 'alpha': 0.019532325926102295, 'learning_rate': 0.010298961594437201, 'min_child_weight': 10, 'subsample': 0.9328265399379688}",0.22792826494746843,8.410691484203458,6.14467171099059,0.4911483018587934,0.485692458906003
10,3,1,"{'max_depth': 8, 'colsample_bytree': 0.9476254088343234, 'n_estimators': 133, 'lambda': 19.071193652529576, 'alpha': 0.002239246197188384, 'learning_rate': 0.02177596937719873, 'min_child_weight': 19, 'subsample': 0.5508588954970002}",0.21162172752947594,8.732922108905713,6.350611054685694,0.48857350073439243,0.4771240412363217
12,3,3,"{'max_depth': 8, 'colsample_bytree': 0.758493554914749, 'n_estimators': 524, 'lambda': 53.03468364995487, 'alpha': 0.006328995264177902, 'learning_rate': 0.018088779830807533, 'min_child_weight': 15, 'subsample': 0.532536530493602}",0.1914531433113229,8.18883660172133,6.388895700669147,0.44860425882863025,0.400315015928491
20,5,1,"{'max_depth': 11, 'colsample_bytree': 0.49217297970287077, 'n_estimators': 315, 'lambda': 0.009047465635057542, 'alpha': 78.10393581974057, 'learning_rate': 0.010596225017142948, 'min_child_weight': 10, 'subsample': 0.5106156607644889}",0.19044263901191183,9.911805377375211,6.792131282874113,0.45051084734636315,0.46008619744270535
49,10,5,"{'max_depth': 12, 'colsample_bytree': 0.8058211322402713, 'n_estimators': 306, 'lambda': 4.5247507198184165, 'alpha': 0.06919603076708997, 'learning_rate': 0.010764348508798696, 'min_child_weight': 3, 'subsample': 0.527516152460395}",0.18359313511729847,10.856402253558658,7.167507696433885,0.4582690416370086,0.42929697441454995
15,4,1,"{'max_depth': 14, 'colsample_bytree': 0.8726848818559866, 'n_estimators': 129, 'lambda': 7.5193471346775835, 'alpha': 0.054682307044994355, 'learning_rate': 0.03136607248683322, 'min_child_weight': 20, 'subsample': 0.7573374945375618}",0.1831924066081616,10.297469369026619,6.650918255190877,0.4407198406267101,0.4355841488581914
34,7,5,"{'max_depth': 13, 'colsample_bytree': 0.45270509905310397, 'n_estimators': 269, 'lambda': 60.648423734856074, 'alpha': 0.009600696318680529, 'learning_rate': 0.032281834028660375, 'min_child_weight': 8, 'subsample': 0.5090056495509394}",0.1817823147862342,11.306281892223183,7.247457114902474,0.4634568118239107,0.5209902235351377
45,10,1,"{'max_depth': 16, 'colsample_bytree': 0.6973215087614584, 'n_estimators': 1269, 'lambda': 0.30509124195251697, 'alpha': 78.24030367895166, 'learning_rate': 0.018122645509622705, 'min_child_weight': 10, 'subsample': 0.5181876433301874}",0.18126407406640743,9.584780282588794,7.306932291335608,0.4272095382874973,0.4110183098207438
3,1,4,"{'max_depth': 19, 'colsample_bytree': 0.9471742967966303, 'n_estimators': 160, 'lambda': 54.60708775444324, 'alpha': 1.9437945718038938, 'learning_rate': 0.031112564154017516, 'min_child_weight': 11, 'subsample': 0.5663219681710224}",0.17854611655033203,7.976175506093097,6.150604620487733,0.4328879866285003,0.40338752395090716
46,10,2,"{'max_depth': 20, 'colsample_bytree': 0.903348997056904, 'n_estimators': 614, 'lambda': 40.93807352412919, 'alpha': 72.26149056407445, 'learning_rate': 0.01852595766281854, 'min_child_weight': 20, 'subsample': 0.6077945886644516}",0.17589106750019068,9.615813136798717,6.859546356652615,0.42203374796425464,0.42771186428272645
33,7,4,"{'max_depth': 18, 'colsample_bytree': 0.6212860470999793, 'n_estimators': 156, 'lambda': 58.83106410502283, 'alpha': 37.97583472446295, 'learning_rate': 0.03593136112654982, 'min_child_weight': 20, 'subsample': 0.6154670987155062}",0.16151190207373867,9.59395848386855,7.003231612888314,0.4217888663658882,0.4508001664797611
21,5,2,"{'max_depth': 14, 'colsample_bytree': 0.8008709911167013, 'n_estimators': 130, 'lambda': 12.808807691879725, 'alpha': 15.001180810265113, 'learning_rate': 0.039031583599243046, 'min_child_weight': 16, 'subsample': 0.5127009613689789}",0.15756794263868312,9.355951367655926,6.874654391813561,0.40780053532357485,0.4351404703933651
23,5,4,"{'max_depth': 7, 'colsample_bytree': 0.8239067811958085, 'n_estimators': 149, 'lambda': 2.9890921694407933, 'alpha': 2.1782962499493546, 'learning_rate': 0.027590251786164446, 'min_child_weight': 6, 'subsample': 0.8543414646191203}",0.1574902395711849,12.464702866516975,7.789681090405707,0.42187940766069637,0.4119612966129596
36,8,2,"{'max_depth': 11, 'colsample_bytree': 0.7528200078366298, 'n_estimators': 232, 'lambda': 54.83552109904192, 'alpha': 62.79293019249299, 'learning_rate': 0.022603405502216067, 'min_child_weight': 16, 'subsample': 0.6081432045010636}",0.15271166899619015,8.818463156927182,6.719813205786711,0.3910731099691018,0.43463509119795213
42,9,3,"{'max_depth': 14, 'colsample_bytree': 0.5482965972097612, 'n_estimators': 503, 'lambda': 75.40612261686238, 'alpha': 22.884121918840957, 'learning_rate': 0.024000121971332486, 'min_child_weight': 8, 'subsample': 0.6926479712904329}",0.15250552013885332,8.933594348249512,6.860753996132393,0.39376192206765853,0.38460081539080637
31,7,2,"{'max_depth': 17, 'colsample_bytree': 0.8054742905703497, 'n_estimators': 635, 'lambda': 36.347425643867126, 'alpha': 9.5195005236166, 'learning_rate': 0.014755493066857585, 'min_child_weight': 1, 'subsample': 0.5777753015927106}",0.1524503569994794,9.581569436870655,7.001539252918853,0.39310611462777106,0.38308030188450787
1,1,2,"{'max_depth': 15, 'colsample_bytree': 0.6069910832905847, 'n_estimators': 222, 'lambda': 34.13274549655001, 'alpha': 0.004515379337648655, 'learning_rate': 0.031739022067470826, 'min_child_weight': 19, 'subsample': 0.561082205060638}",0.1523158348528706,12.503358007538612,7.58243835607224,0.41614127700257186,0.4440538012614102
47,10,3,"{'max_depth': 7, 'colsample_bytree': 0.9066308801367483, 'n_estimators': 334, 'lambda': 30.77101082843024, 'alpha': 19.17244058932995, 'learning_rate': 0.017137494857760727, 'min_child_weight': 11, 'subsample': 0.5879400253486478}",0.14773813780560674,10.372807157007296,7.045644410263152,0.38695781952251185,0.41490810168313874
37,8,3,"{'max_depth': 7, 'colsample_bytree': 0.6099700892375138, 'n_estimators': 178, 'lambda': 23.27931153075167, 'alpha': 0.0029094502959334505, 'learning_rate': 0.045496862098718054, 'min_child_weight': 2, 'subsample': 0.619919679548186}",0.1450294164134499,12.232035641823042,7.338133027567666,0.39998303454269557,0.42748514405962945
40,9,1,"{'max_depth': 20, 'colsample_bytree': 0.43087092010291955, 'n_estimators': 542, 'lambda': 2.253763789306595, 'alpha': 56.052899340534296, 'learning_rate': 0.0314238690790523, 'min_child_weight': 2, 'subsample': 0.847134400098597}",0.1436543746673562,10.877388291519278,7.735319792166264,0.3834420582039815,0.37641741559315145
8,2,4,"{'max_depth': 8, 'colsample_bytree': 0.7151990463146959, 'n_estimators': 432, 'lambda': 61.78541845883982, 'alpha': 12.07813173385806, 'learning_rate': 0.02117774268067096, 'min_child_weight': 3, 'subsample': 0.5489198305580424}",0.1393845847306443,10.32532002929964,6.951512263371394,0.3905033713473275,0.43999318867795384
27,6,3,"{'max_depth': 20, 'colsample_bytree': 0.620944343492946, 'n_estimators': 796, 'lambda': 80.24461235227294, 'alpha': 20.40971386991037, 'learning_rate': 0.08042201679403028, 'min_child_weight': 4, 'subsample': 0.5021208490777087}",0.13872580495370146,10.665560191890354,7.439871906528811,0.37969916633297646,0.43755900444551166
11,3,2,"{'max_depth': 16, 'colsample_bytree': 0.613280174586397, 'n_estimators': 442, 'lambda': 71.35654241590768, 'alpha': 0.015276982695647642, 'learning_rate': 0.03160523779944209, 'min_child_weight': 20, 'subsample': 0.5429313644844667}",0.13800869433883467,12.451750977682579,8.150751108248558,0.4317497485227206,0.4420119970392053
38,8,4,"{'max_depth': 11, 'colsample_bytree': 0.9444463442325451, 'n_estimators': 381, 'lambda': 25.142159823471538, 'alpha': 7.221681401449141, 'learning_rate': 0.010240931877405856, 'min_child_weight': 14, 'subsample': 0.7425845474384494}",0.13565433688418937,10.771339423589358,7.25414216306788,0.39019548746361604,0.3737590081692265
43,9,4,"{'max_depth': 10, 'colsample_bytree': 0.8424497565260265, 'n_estimators': 720, 'lambda': 0.05100834120200874, 'alpha': 79.34204801561587, 'learning_rate': 0.010556617609315514, 'min_child_weight': 18, 'subsample': 0.7446351380667238}",0.1318651218105662,10.021802604617397,7.011913824363573,0.38523396419585615,0.4618474562682688
22,5,3,"{'max_depth': 19, 'colsample_bytree': 0.6702755657889223, 'n_estimators': 305, 'lambda': 23.75513506884978, 'alpha': 0.03765903003345543, 'learning_rate': 0.022565061027096312, 'min_child_weight': 11, 'subsample': 0.5317960606039913}",0.12807342560357882,11.583855891257041,7.580023833280484,0.3913808252052531,0.3925511138342123
17,4,3,"{'max_depth': 11, 'colsample_bytree': 0.41967493358947777, 'n_estimators': 255, 'lambda': 10.767465166474157, 'alpha': 5.057542671664001, 'learning_rate': 0.019596880403240168, 'min_child_weight': 2, 'subsample': 0.5812812970456005}",0.12508976595157362,13.077575140323406,8.35142724753837,0.4084813997002015,0.4274983918166612
6,2,2,"{'max_depth': 13, 'colsample_bytree': 0.6797041335505783, 'n_estimators': 1437, 'lambda': 39.852357763373, 'alpha': 0.41152688876062954, 'learning_rate': 0.014037371348793536, 'min_child_weight': 19, 'subsample': 0.7950008165964992}",0.12076772733089414,12.684715189237762,7.82426509631456,0.3480975738727182,0.3358200815861705
41,9,2,"{'max_depth': 16, 'colsample_bytree': 0.427701939391168, 'n_estimators': 695, 'lambda': 0.003973964489570885, 'alpha': 1.2816388498809421, 'learning_rate': 0.013487573153976671, 'min_child_weight': 1, 'subsample': 0.8234408875212801}",0.11889801148807877,13.31996640293301,8.234119776437973,0.35251373648332207,0.4159015194583101
35,8,1,"{'max_depth': 9, 'colsample_bytree': 0.9613666275810331, 'n_estimators': 285, 'lambda': 2.5059588554795225, 'alpha': 25.428958170299403, 'learning_rate': 0.010470840439524867, 'min_child_weight': 18, 'subsample': 0.886969909525581}",0.1176416700179378,11.23504924172154,7.58846067959035,0.35059024076630113,0.4261151344656997
16,4,2,"{'max_depth': 9, 'colsample_bytree': 0.6613104957359407, 'n_estimators': 194, 'lambda': 33.4882933061277, 'alpha': 58.15593903236863, 'learning_rate': 0.03387715682568754, 'min_child_weight': 16, 'subsample': 0.8300564759439937}",0.1150155597239294,8.598946986338495,6.375131550625231,0.3719793363141127,0.4080822320234047
