,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
25,6,1,"{'max_depth': 10, 'colsample_bytree': 0.5658233003282387, 'n_estimators': 124, 'lambda': 19.39099107857135, 'alpha': 3.7412009844225356, 'learning_rate': 0.025068952847902243, 'min_child_weight': 13, 'subsample': 0.7532370498300692}",0.23697665683955915,8.361261152302552,6.133976947626419,0.5018392395778535,0.48723569094491936
10,3,1,"{'max_depth': 20, 'colsample_bytree': 0.641439077185127, 'n_estimators': 560, 'lambda': 59.807570561603406, 'alpha': 0.001371619804199727, 'learning_rate': 0.01714879294526994, 'min_child_weight': 10, 'subsample': 0.5342692171810648}",0.22297445422832796,8.669816623851796,6.2456106942080885,0.4841969522998091,0.4915389318290261
49,10,5,"{'max_depth': 13, 'colsample_bytree': 0.5779510045432968, 'n_estimators': 180, 'lambda': 27.45270819980872, 'alpha': 0.5840255788063295, 'learning_rate': 0.04567437198860553, 'min_child_weight': 15, 'subsample': 0.5855050715698852}",0.20577268778931634,10.707917375170705,7.332099372818625,0.46104747935859286,0.395902121124739
3,1,4,"{'max_depth': 17, 'colsample_bytree': 0.42587334631475066, 'n_estimators': 178, 'lambda': 0.2068646506899232, 'alpha': 69.22794620494878, 'learning_rate': 0.02588720824902334, 'min_child_weight': 9, 'subsample': 0.5179758214490691}",0.19927362247114466,7.87490232180914,6.295196657350077,0.4733815139390931,0.41229936696485636
34,7,5,"{'max_depth': 12, 'colsample_bytree': 0.639047708476375, 'n_estimators': 478, 'lambda': 23.390101467304603, 'alpha': 4.84938191159972, 'learning_rate': 0.010866714849064188, 'min_child_weight': 13, 'subsample': 0.638593347598625}",0.19252260986141856,11.231831083799568,7.227666002758862,0.4715141017661175,0.5039436664384187
40,9,1,"{'max_depth': 7, 'colsample_bytree': 0.8510948157582354, 'n_estimators': 232, 'lambda': 4.983189127042954, 'alpha': 2.197530190207541, 'learning_rate': 0.010195858257720762, 'min_child_weight': 5, 'subsample': 0.5295632818419064}",0.18889765156310745,10.586146981094394,7.461707075672037,0.4814766922687776,0.4513666682485191
20,5,1,"{'max_depth': 9, 'colsample_bytree': 0.9733485979796946, 'n_estimators': 510, 'lambda': 17.867097037378265, 'alpha': 79.02736588688181, 'learning_rate': 0.010084963061957499, 'min_child_weight': 18, 'subsample': 0.5262896231461478}",0.18667834640725567,9.934822686448419,6.784885135628063,0.44206877616470913,0.45306270264024234
21,5,2,"{'max_depth': 16, 'colsample_bytree': 0.5141304515182545, 'n_estimators': 196, 'lambda': 10.947869843016647, 'alpha': 0.02914198491428662, 'learning_rate': 0.023770790915645573, 'min_child_weight': 18, 'subsample': 0.6193268725247153}",0.18560276300936507,9.198958488050438,6.751498199778901,0.4394156770161026,0.44840491436782
27,6,3,"{'max_depth': 14, 'colsample_bytree': 0.5584141591234328, 'n_estimators': 408, 'lambda': 64.4739779864798, 'alpha': 64.0155201366784, 'learning_rate': 0.017837837786226544, 'min_child_weight': 10, 'subsample': 0.6580459970912712}",0.1827738895851968,10.389246969895813,7.087081937394904,0.4343240855078156,0.4832317802795843
31,7,2,"{'max_depth': 13, 'colsample_bytree': 0.8406675572667253, 'n_estimators': 229, 'lambda': 10.362382938443899, 'alpha': 4.413982675913667, 'learning_rate': 0.014890785614924407, 'min_child_weight': 6, 'subsample': 0.583212334181724}",0.1751620245290143,9.452319707133997,6.87427174269095,0.426890284484823,0.4292926540705348
42,9,3,"{'max_depth': 17, 'colsample_bytree': 0.5707158296639037, 'n_estimators': 389, 'lambda': 78.50711305178815, 'alpha': 59.54595855123313, 'learning_rate': 0.022501068703061504, 'min_child_weight': 13, 'subsample': 0.5109616679442551}",0.16843452291124417,8.849240837365706,6.738951333175749,0.4137614793614295,0.4098060380793849
33,7,4,"{'max_depth': 12, 'colsample_bytree': 0.4228410641291436, 'n_estimators': 346, 'lambda': 6.568776358247346, 'alpha': 0.0987498182062486, 'learning_rate': 0.010755541135080916, 'min_child_weight': 5, 'subsample': 0.7015306519809896}",0.1679193180150378,9.55723144442832,6.9159266229211935,0.41627211394828456,0.45407407507960457
37,8,3,"{'max_depth': 18, 'colsample_bytree': 0.7970884902544264, 'n_estimators': 557, 'lambda': 36.24807010480529, 'alpha': 24.972958597169853, 'learning_rate': 0.021682161511626507, 'min_child_weight': 16, 'subsample': 0.5014205410904407}",0.16387305825286236,12.096486925671663,7.227031752908018,0.42587448433273084,0.44397402921649337
12,3,3,"{'max_depth': 20, 'colsample_bytree': 0.5274292829086978, 'n_estimators': 806, 'lambda': 20.84432142353242, 'alpha': 20.093505376144186, 'learning_rate': 0.019634541202226928, 'min_child_weight': 4, 'subsample': 0.5741358615130222}",0.15945301392014133,8.349310389764847,6.529099255623902,0.40729345296237496,0.38401542097265423
1,1,2,"{'max_depth': 11, 'colsample_bytree': 0.8944221350232503, 'n_estimators': 279, 'lambda': 9.363052275295805, 'alpha': 34.9750933213796, 'learning_rate': 0.024039522737950965, 'min_child_weight': 20, 'subsample': 0.5615663080867946}",0.15895796686171115,12.454275882729767,7.608192596209825,0.4128142874365283,0.4390846606522475
45,10,1,"{'max_depth': 8, 'colsample_bytree': 0.8741918087406703, 'n_estimators': 180, 'lambda': 40.712191202989075, 'alpha': 38.59108424664247, 'learning_rate': 0.044919694638203715, 'min_child_weight': 15, 'subsample': 0.6752661429231838}",0.15811104334545012,9.719359460543911,7.437547886865379,0.4001039327142754,0.37068837049056264
43,9,4,"{'max_depth': 9, 'colsample_bytree': 0.42060344296987007, 'n_estimators': 235, 'lambda': 0.02213073362031534, 'alpha': 59.23665941110894, 'learning_rate': 0.03137310379639935, 'min_child_weight': 19, 'subsample': 0.6662107284750723}",0.15762544847696636,9.871993507239178,6.907653938383746,0.4124875828467324,0.4750685558883259
15,4,1,"{'max_depth': 17, 'colsample_bytree': 0.5651973338059537, 'n_estimators': 170, 'lambda': 1.3610213965605145, 'alpha': 0.8747906426602425, 'learning_rate': 0.016836090850292765, 'min_child_weight': 1, 'subsample': 0.8338492808620285}",0.14879990486683226,10.512026747753549,6.718732579925357,0.39678300038924924,0.43018043179926224
41,9,2,"{'max_depth': 17, 'colsample_bytree': 0.4387827510857475, 'n_estimators': 340, 'lambda': 0.28877059529404625, 'alpha': 53.803037117966454, 'learning_rate': 0.010213591588956818, 'min_child_weight': 17, 'subsample': 0.7203442117945801}",0.14544606810009442,13.117762906542163,7.984500896295852,0.40590336141492217,0.47924757679116853
5,2,1,"{'max_depth': 15, 'colsample_bytree': 0.5668406036621985, 'n_estimators': 890, 'lambda': 48.831193864941135, 'alpha': 0.0026032332952128554, 'learning_rate': 0.010331213086706788, 'min_child_weight': 8, 'subsample': 0.520608240301376}",0.14409329337423804,11.66610504054422,7.905139815877881,0.42623800285169755,0.40424304767696073
46,10,2,"{'max_depth': 17, 'colsample_bytree': 0.5129013935224767, 'n_estimators': 356, 'lambda': 1.4105775835990206, 'alpha': 63.944120471349976, 'learning_rate': 0.0695653589268862, 'min_child_weight': 12, 'subsample': 0.9995896335359647}",0.14354515602176798,9.802705137990987,6.995720344182303,0.3872579373039228,0.4341355298380705
36,8,2,"{'max_depth': 15, 'colsample_bytree': 0.44548277281126203, 'n_estimators': 994, 'lambda': 25.46127179828996, 'alpha': 99.56793231453095, 'learning_rate': 0.012084664154516568, 'min_child_weight': 7, 'subsample': 0.6299498130178512}",0.14337494678654772,8.866917711418232,6.8121619986359185,0.38981875756654927,0.44388484391756683
35,8,1,"{'max_depth': 17, 'colsample_bytree': 0.9800869332830618, 'n_estimators': 440, 'lambda': 20.715920637287212, 'alpha': 0.0014571235620747303, 'learning_rate': 0.01888277116421233, 'min_child_weight': 9, 'subsample': 0.7684546712178952}",0.14104110696926186,11.08507600988882,7.4142582176705085,0.3900871186486248,0.4550996220081524
2,1,3,"{'max_depth': 7, 'colsample_bytree': 0.7386962292392409, 'n_estimators': 229, 'lambda': 4.297704676457055, 'alpha': 99.20104602197208, 'learning_rate': 0.020127587085889333, 'min_child_weight': 19, 'subsample': 0.7666992175747894}",0.13923174780989067,9.551505018876178,6.771612206859701,0.3758672440849072,0.380805348622957
11,3,2,"{'max_depth': 12, 'colsample_bytree': 0.9837846396686594, 'n_estimators': 153, 'lambda': 60.17729746842308, 'alpha': 0.006172999956472737, 'learning_rate': 0.058415146316511284, 'min_child_weight': 15, 'subsample': 0.9304031558767054}",0.1388169187747499,12.445912073351456,8.285646026656472,0.4335627976049698,0.4180785619352782
9,2,5,"{'max_depth': 16, 'colsample_bytree': 0.9013760236976066, 'n_estimators': 274, 'lambda': 58.37064272527138, 'alpha': 0.025253565815618616, 'learning_rate': 0.015749448867201716, 'min_child_weight': 18, 'subsample': 0.5850328258417674}",0.1372568892033027,8.74019752189087,6.4577284987861585,0.37469548644560047,0.4507470189612795
32,7,3,"{'max_depth': 9, 'colsample_bytree': 0.9023079204233544, 'n_estimators': 1046, 'lambda': 43.7098797340648, 'alpha': 18.22698588060788, 'learning_rate': 0.010067430488736637, 'min_child_weight': 17, 'subsample': 0.6083881354104349}",0.1362024082758857,8.75787433782747,6.3537471985675875,0.3903215378387364,0.39484280477078015
14,3,5,"{'max_depth': 18, 'colsample_bytree': 0.6721785863297254, 'n_estimators': 168, 'lambda': 4.2875381306593665, 'alpha': 0.016681005463413806, 'learning_rate': 0.01804210563181853, 'min_child_weight': 6, 'subsample': 0.9770906238069278}",0.13562283421962273,12.985268308323308,7.993937069142358,0.37348165084487706,0.3705301128345978
29,6,5,"{'max_depth': 7, 'colsample_bytree': 0.9840406978393216, 'n_estimators': 462, 'lambda': 35.07330246380636, 'alpha': 0.8220383890412984, 'learning_rate': 0.01629484900884886, 'min_child_weight': 12, 'subsample': 0.5568368140010783}",0.13392761365712247,13.201530688268887,7.849501638017463,0.39766640552295424,0.4307366291882822
17,4,3,"{'max_depth': 7, 'colsample_bytree': 0.9167388790126855, 'n_estimators': 130, 'lambda': 0.037498974207319485, 'alpha': 0.00458427457390652, 'learning_rate': 0.01779242593011779, 'min_child_weight': 17, 'subsample': 0.7542339361288084}",0.12823869972718982,13.054019844635793,8.46932638044188,0.39091094623242856,0.4290451214172973
8,2,4,"{'max_depth': 19, 'colsample_bytree': 0.4839180091380908, 'n_estimators': 311, 'lambda': 30.736584140108715, 'alpha': 2.3983707554050504, 'learning_rate': 0.01645896346237218, 'min_child_weight': 6, 'subsample': 0.6931797236118801}",0.12800043413386053,10.393386919045422,6.953464118686654,0.37168289511544284,0.44262597855893726
