,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
20,5,1,"{'max_depth': 11, 'colsample_bytree': 0.8479154157097261, 'n_estimators': 100, 'lambda': 23.22918291425666, 'alpha': 0.11258959998872092, 'learning_rate': 0.06536852576007714, 'min_child_weight': 10, 'subsample': 0.589535838156536}",0.2316367167114456,9.656333459375684,6.830235069320047,0.4840316256165203,0.43940521584771364
10,3,1,"{'max_depth': 8, 'colsample_bytree': 0.674386276383319, 'n_estimators': 170, 'lambda': 17.198610191988145, 'alpha': 38.93800800043207, 'learning_rate': 0.025895624637169528, 'min_child_weight': 6, 'subsample': 0.585778937133427}",0.2183439108554971,8.69561135417424,6.2307375337950575,0.48215016713827263,0.4970305558075264
25,6,1,"{'max_depth': 11, 'colsample_bytree': 0.9357993000411705, 'n_estimators': 150, 'lambda': 80.10700680743847, 'alpha': 63.56483104191277, 'learning_rate': 0.04077573331100967, 'min_child_weight': 20, 'subsample': 0.5894843442686528}",0.21573033930658247,8.47687117899587,6.113038153338009,0.4758401686170402,0.4790938973976684
3,1,4,"{'max_depth': 17, 'colsample_bytree': 0.42492357208645404, 'n_estimators': 646, 'lambda': 33.75032314559691, 'alpha': 0.001626099869601819, 'learning_rate': 0.010297034350483469, 'min_child_weight': 10, 'subsample': 0.567336543104731}",0.19168286434133563,7.912140684481531,6.115391127456575,0.44864645536710424,0.4179394273669256
46,10,2,"{'max_depth': 15, 'colsample_bytree': 0.7632783207355747, 'n_estimators': 951, 'lambda': 39.33457058799459, 'alpha': 0.008766648440499972, 'learning_rate': 0.011486482445803359, 'min_child_weight': 13, 'subsample': 0.8435599928336713}",0.18985090343552047,9.534022673486135,6.735259800973023,0.43602234537109935,0.4393896727085368
1,1,2,"{'max_depth': 14, 'colsample_bytree': 0.6236668543756801, 'n_estimators': 320, 'lambda': 0.44092936639096053, 'alpha': 48.27963578425995, 'learning_rate': 0.022482439999040347, 'min_child_weight': 18, 'subsample': 0.5255736123968614}",0.18468062081982362,12.262344518623397,7.5018871183226095,0.44880071977684793,0.44018200216884273
12,3,3,"{'max_depth': 12, 'colsample_bytree': 0.83777604538807, 'n_estimators': 209, 'lambda': 42.891856713387135, 'alpha': 0.02240610721887109, 'learning_rate': 0.04235912456457743, 'min_child_weight': 13, 'subsample': 0.5970755253163673}",0.1745924620230236,8.27377724496007,6.484997343029496,0.4332374156088092,0.39659319834601087
27,6,3,"{'max_depth': 14, 'colsample_bytree': 0.5447219014336767, 'n_estimators': 333, 'lambda': 57.843875922839196, 'alpha': 43.83653612330255, 'learning_rate': 0.0230748389188597, 'min_child_weight': 10, 'subsample': 0.669088302589661}",0.1739910318919774,10.44492521054229,7.097868016485632,0.4203455996248082,0.4845893337037765
34,7,5,"{'max_depth': 8, 'colsample_bytree': 0.4370181666871711, 'n_estimators': 274, 'lambda': 8.526902646697735, 'alpha': 43.29126620942697, 'learning_rate': 0.011679040375579451, 'min_child_weight': 16, 'subsample': 0.6924634019178529}",0.17381135778270596,11.361220487749145,7.380059947628947,0.4678240130332755,0.4948143378604124
45,10,1,"{'max_depth': 13, 'colsample_bytree': 0.9563613212852882, 'n_estimators': 307, 'lambda': 67.85234458317275, 'alpha': 2.3051282575920045, 'learning_rate': 0.021999501233549316, 'min_child_weight': 20, 'subsample': 0.7335591195662358}",0.16997791431739329,9.650616598068464,7.446019296815409,0.4175278111840552,0.39556928093297333
49,10,5,"{'max_depth': 11, 'colsample_bytree': 0.5175789889784559, 'n_estimators': 277, 'lambda': 4.347710583136878, 'alpha': 0.0013167006296180136, 'learning_rate': 0.010374362750880156, 'min_child_weight': 1, 'subsample': 0.5776533970838762}",0.16651748320557158,10.969348889230192,7.196345639652049,0.44066633894663976,0.425426586334826
8,2,4,"{'max_depth': 9, 'colsample_bytree': 0.5466835092631768, 'n_estimators': 401, 'lambda': 60.11599701300193, 'alpha': 0.8991737102599549, 'learning_rate': 0.058360482729882736, 'min_child_weight': 5, 'subsample': 0.5358236021073982}",0.15686200755551793,10.219938693274413,7.039366039298695,0.4046364569056004,0.43593326742008565
16,4,2,"{'max_depth': 20, 'colsample_bytree': 0.5595240245085485, 'n_estimators': 194, 'lambda': 36.874065545198974, 'alpha': 82.26257525461344, 'learning_rate': 0.024271865271747437, 'min_child_weight': 19, 'subsample': 0.8736993922545163}",0.15537228275395942,8.400596373520278,6.233564681555393,0.4014091135103441,0.4534423996224802
21,5,2,"{'max_depth': 18, 'colsample_bytree': 0.5231612865300271, 'n_estimators': 493, 'lambda': 0.00686081423173156, 'alpha': 99.46457182284958, 'learning_rate': 0.02172541626511083, 'min_child_weight': 2, 'subsample': 0.5950096582208271}",0.15527821135383935,9.368657482905977,6.880577787139712,0.41112138794858394,0.45151878552789565
