,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
33,7,4,"{'max_depth': 13, 'colsample_bytree': 0.7256667960110871, 'n_estimators': 560, 'lambda': 76.05694366314603, 'alpha': 0.0667559942844662, 'learning_rate': 0.015188749420732133, 'min_child_weight': 10, 'subsample': 0.7509816700663231}",0.18837433598360442,9.439027888193104,6.903093676595293,0.456231958325005,0.4212354403590169
46,10,2,"{'max_depth': 8, 'colsample_bytree': 0.7932332496200146, 'n_estimators': 380, 'lambda': 1.4676227693816728, 'alpha': 54.28217986795148, 'learning_rate': 0.011217547078186367, 'min_child_weight': 7, 'subsample': 0.5426259979804735}",0.1880320164533189,9.544719215243699,6.905760539353952,0.44985024393615297,0.4255781074693592
3,1,4,"{'max_depth': 17, 'colsample_bytree': 0.9376993791493096, 'n_estimators': 222, 'lambda': 77.32866806523455, 'alpha': 58.64116395649215, 'learning_rate': 0.02313490138392468, 'min_child_weight': 11, 'subsample': 0.6136803273340227}",0.1800407224729853,7.968916019652379,6.124905072725737,0.4393043097831395,0.421557180144687
20,5,1,"{'max_depth': 13, 'colsample_bytree': 0.901536758834861, 'n_estimators': 169, 'lambda': 70.62120578303096, 'alpha': 0.014252396589101279, 'learning_rate': 0.040502994124856306, 'min_child_weight': 17, 'subsample': 0.8118741128638616}",0.16876081369369578,10.043658952347565,6.9436494725695725,0.4160762648824896,0.3985671526066738
12,3,3,"{'max_depth': 10, 'colsample_bytree': 0.8483453003129147, 'n_estimators': 675, 'lambda': 94.19313043659716, 'alpha': 38.36496598301973, 'learning_rate': 0.01186204500617431, 'min_child_weight': 6, 'subsample': 0.7122865475753556}",0.16808960896807779,8.306305178416231,6.58109102305576,0.41897965562168066,0.36952633908352034
10,3,1,"{'max_depth': 7, 'colsample_bytree': 0.6835152255163252, 'n_estimators': 398, 'lambda': 30.366332764895986, 'alpha': 4.108198448131024, 'learning_rate': 0.05303935851006073, 'min_child_weight': 5, 'subsample': 0.6359638275301966}",0.16695615450585588,8.976895990594645,6.439477282868334,0.4228664251966461,0.4594828837913341
34,7,5,"{'max_depth': 9, 'colsample_bytree': 0.5940619545919087, 'n_estimators': 102, 'lambda': 7.18465322690891, 'alpha': 49.13451635025578, 'learning_rate': 0.03472667169235554, 'min_child_weight': 19, 'subsample': 0.619566686140948}",0.16087459102446755,11.449824080316372,7.405644326520389,0.43804196272908413,0.4864814610667468
21,5,2,"{'max_depth': 11, 'colsample_bytree': 0.8037516504222092, 'n_estimators': 563, 'lambda': 34.5470863168013, 'alpha': 0.0027829509539378703, 'learning_rate': 0.08410985190838002, 'min_child_weight': 3, 'subsample': 0.7382720042099458}",0.15013209116314197,9.397151498680694,7.029587542516945,0.40382747684167264,0.46474713747051893
25,6,1,"{'max_depth': 11, 'colsample_bytree': 0.8869889571222178, 'n_estimators': 178, 'lambda': 0.4754706424650733, 'alpha': 30.01684804239254, 'learning_rate': 0.015362988220582189, 'min_child_weight': 18, 'subsample': 0.5542318110297905}",0.14844393149338453,8.83302582303613,6.600892834409454,0.3866876907083183,0.3228055617403418
27,6,3,"{'max_depth': 12, 'colsample_bytree': 0.40155336414920356, 'n_estimators': 390, 'lambda': 68.01295106785065, 'alpha': 0.006297582383997277, 'learning_rate': 0.024288439996799402, 'min_child_weight': 19, 'subsample': 0.7521454327455388}",0.1416718634553218,10.647303357803086,7.224048383137178,0.3822752668145507,0.4476790612731513
31,7,2,"{'max_depth': 9, 'colsample_bytree': 0.49685110747470457, 'n_estimators': 122, 'lambda': 69.87847076385073, 'alpha': 0.003666366579925133, 'learning_rate': 0.030983132174474237, 'min_child_weight': 19, 'subsample': 0.761818098482551}",0.14140902816160372,9.643778733074715,7.129183701509555,0.3967597458916804,0.35897546111856365
17,4,3,"{'max_depth': 13, 'colsample_bytree': 0.7965598893304023, 'n_estimators': 525, 'lambda': 24.856391487756685, 'alpha': 55.18803444451795, 'learning_rate': 0.07717139261285615, 'min_child_weight': 3, 'subsample': 0.6612754936998094}",0.13970785107163108,12.967864247459381,8.506877368723853,0.41628715847479486,0.3539285654462636
49,10,5,"{'max_depth': 13, 'colsample_bytree': 0.9851013468669796, 'n_estimators': 611, 'lambda': 28.609508773601647, 'alpha': 22.588868309117185, 'learning_rate': 0.01063570549279239, 'min_child_weight': 17, 'subsample': 0.59014106989574}",0.13895953827879282,11.149217367647147,7.302990524021126,0.37620388773135616,0.39574033641401096
42,9,3,"{'max_depth': 20, 'colsample_bytree': 0.48211790968607715, 'n_estimators': 286, 'lambda': 99.18904746928605, 'alpha': 0.14294986290156722, 'learning_rate': 0.01819480059285112, 'min_child_weight': 12, 'subsample': 0.6319353488407464}",0.13517614466071726,9.024468215446097,6.81339482301791,0.37394996208334735,0.34071284507577737
29,6,5,"{'max_depth': 18, 'colsample_bytree': 0.8022300445732897, 'n_estimators': 501, 'lambda': 6.891827143183774, 'alpha': 27.093141486916654, 'learning_rate': 0.010492935100995492, 'min_child_weight': 18, 'subsample': 0.6904002576264305}",0.12994691121806412,13.231834805770351,8.228349166508963,0.3919434164386225,0.36158965156890155
